Unnamed: 0,mots,poids,serie
0,be,22851.855005773163,90210
1,you,13523.034009872894,90210
2,to,7833.109541340953,90210
3,not,7540.120030848453,90210
4,do,5555.623256177293,90210
5,it,5287.858172758252,90210
6,that,4852.13839793269,90210
7,the,4751.453585979135,90210
8,have,3825.320713527573,90210
9,and,3804.588473625558,90210
10,what,3583.9244894272697,90210
11,know,3243.1559778343794,90210
12,go,3218.076305309958,90210
13,we,3151.7364107208928,90210
14,get,2725.4123773388324,90210
15,just,2626.088810677726,90210
16,so,2419.120450589751,90210
17,my,2394.3148906421525,90210
18,this,2388.991432717358,90210
19,she,2286.7815169511373,90210
20,of,2215.681775574083,90210
21,with,2005.629255568916,90210
22,want,1998.596498763668,90210
23,your,1956.2541488714844,90210
24,like,1889.3435775238115,90210
25,can,1804.3921681937168,90210
26,in,1789.3856420638378,90210
27,think,1787.6239053494266,90210
28,he,1760.7899615447902,90210
29,for,1710.2215827973205,90210
30,yeah,1679.063035067005,90210
31,right,1664.2540845853914,90210
32,about,1603.6601593396192,90210
33,no,1585.2517869948197,90210
34,okay,1561.2269378066687,90210
35,will,1438.2867725084373,90210
36,on,1435.0,90210
37,but,1416.2400599472423,90210
38,well,1386.0335699693544,90210
39,all,1382.6233711682944,90210
40,really,1372.8531591641636,90210
41,here,1323.7107708721026,90210
42,would,1281.8514486366894,90210
43,come,1235.7491132557952,90210
44,navid,1210.1854650533994,90210
45,tell,1171.4829352239362,90210
46,say,1152.7289729108354,90210
47,naomi,1150.4802997868592,90210
48,out,1147.247296600322,90210
49,how,1143.1952115561796,90210
50,see,1119.4502396812554,90210
51,they,1104.3020632309,90210
52,if,1046.759607638763,90210
53,up,1039.7577764286475,90210
54,mean,1027.6421203056543,90210
55,at,1027.2914074810087,90210
56,there,993.6552256618422,90210
57,good,945.5471668227405,90210
58,sorry,897.739055066264,90210
59,dixon,864.3005193939298,90210
60,why,855.6018017556808,90210
61,thank,854.496898069958,90210
62,look,819.5330248972571,90210
63,adrianna,807.9427306607304,90210
64,oh,806.2055930794386,90210
65,ve,791.4028570614948,90210
66,talk,788.4388014170697,90210
67,make,786.823947181606,90210
68,could,773.8255595945478,90210
69,should,773.4041025604442,90210
70,take,766.9427041002857,90210
71,guy,748.6660507725379,90210
72,thing,746.019891243581,90210
73,now,736.4647728151336,90210
74,some,715.5942341956603,90210
75,who,710.6367707099989,90210
76,hey,684.1638073657986,90210
77,need,676.6093977415226,90210
78,let,675.8352815403989,90210
79,annie,667.777024196596,90210
80,when,661.4140377937239,90210
81,uh,658.0802335233843,90210
82,because,655.9280950898916,90210
83,something,632.85636509311,90210
84,one,630.2996087194215,90210
85,back,617.253592497238,90210
86,mom,587.9711087738494,90210
87,then,581.290290900338,90210
88,maybe,580.4618528730607,90210
89,ade,533.3521101933794,90210
90,time,532.6822312770654,90210
91,silver,514.1497681787143,90210
92,too,507.5314773805016,90210
93,school,503.8200609781604,90210
94,liam,500.5147952920908,90210
95,from,493.3241138244408,90210
96,dad,492.795304963624,90210
97,feel,491.8489752580798,90210
98,give,477.16626798527903,90210
99,or,474.0683979319185,90210
100,her,469.80323959042187,90210
101,wait,465.8750953180126,90210
102,um,458.2882031517544,90210
103,love,457.41378702314665,90210
104,try,457.0849866367297,90210
105,great,445.3563876404453,90210
106,ethan,435.3920178018124,90210
107,actually,424.4271331011076,90210
108,over,416.1434556201359,90210
109,even,411.7907342958447,90210
110,friend,410.8260929342108,90210
111,his,410.131120434637,90210
112,call,409.2536633085442,90210
113,please,400.70406068018735,90210
114,yes,388.9072563359464,90210
115,much,388.5452719907088,90210
116,little,387.9923038668522,90210
117,god,382.5336415876687,90210
118,never,382.5336415876687,90210
119,an,381.0,90210
120,happen,377.809733805445,90210
121,way,376.4215935703941,90210
122,kid,374.4189630150789,90210
123,off,373.842717013844,90210
124,more,369.6155053886689,90210
125,where,369.5024100676306,90210
126,girl,369.4438812579957,90210
127,kind,367.5858284141533,90210
128,everything,356.37929734424466,90210
129,night,355.7764555605001,90210
130,our,348.43887170382845,90210
131,work,341.9655388336794,90210
132,hear,333.9381787671611,90210
133,anything,331.10554023825927,90210
134,into,331.10554023825927,90210
135,find,329.62143512140983,90210
136,man,328.57303174663946,90210
137,still,328.1477448630941,90210
138,nice,326.4821833583488,90210
139,sure,321.0737551910742,90210
140,ask,318.8452431274559,90210
141,as,318.0,90210
142,guess,304.8122178629304,90210
143,help,304.3017584094478,90210
144,meet,297.5130741222042,90210
145,leave,295.92209511620314,90210
146,by,295.7760137405307,90210
147,down,294.3126815429902,90210
148,bad,289.21198096948694,90210
149,care,286.6697034905688,90210
150,people,284.5022588248906,90210
151,together,282.8729592874352,90210
152,very,282.2396593442531,90210
153,pretty,282.1578760884909,90210
154,believe,281.2378554765252,90210
155,us,276.9090981380812,90210
156,whole,276.14118628822933,90210
157,nothing,275.34821620137365,90210
158,other,268.8754520141846,90210
159,last,267.60768817534336,90210
160,two,266.2401389110767,90210
161,use,263.6733285473013,90210
162,play,263.1141252788012,90210
163,fine,262.4475483687531,90210
164,totally,262.43214064881045,90210
165,any,260.4181022689396,90210
166,keep,258.16111419316417,90210
167,before,256.68054052670425,90210
168,after,254.53727566223816,90210
169,year,251.59649632973415,90210
170,life,250.36272159832168,90210
171,again,249.52708784255725,90210
172,big,249.2814364860807,90210
173,first,248.6858440378189,90210
174,around,244.235423410258,90210
175,start,242.99026579345932,90210
176,day,241.8246641260629,90210
177,than,240.23782990616493,90210
178,lot,231.6144488975671,90210
179,whatever,230.450669925992,90210
180,stay,230.14069257233945,90210
181,house,228.4427004357496,90210
182,party,228.3304118917325,90210
183,tonight,223.8904129230134,90210
184,ever,222.7370608401529,90210
185,dude,222.5651013460667,90210
186,away,222.23271790625512,90210
187,break,221.082420096781,90210
188,cool,218.008728950284,90210
189,someone,217.96412382214965,90210
190,movie,214.1585729699208,90210
191,listen,213.8635172115228,90210
192,move,212.56349541830392,90210
193,which,211.5897080935134,90210
194,only,211.367047813978,90210
195,always,209.8707073810341,90210
196,baby,204.55166628046,90210
197,cause,204.0,90210
198,later,203.43316817345632,90210
199,stop,202.57208862620067,90210
200,sound,200.83887558059487,90210
201,wrong,198.8723757501365,90210
202,stuff,197.84756112011365,90210
203,idea,196.38041829574524,90210
204,class,193.47386900856105,90210
205,home,191.3355085023285,90210
206,jasper,190.31533145530247,90210
207,date,189.86707908324945,90210
208,lie,186.2822660650044,90210
209,matthews,185.55352529295828,90210
210,drug,185.0738761082496,90210
211,hi,184.4636813888294,90210
212,live,183.39416891670973,90210
213,those,183.17837336830016,90210
214,another,181.3716066841245,90210
215,ty,180.32666542555103,90210
216,exactly,179.89544623603163,90210
217,trust,178.80415784801724,90210
218,put,177.18554535768988,90210
219,probably,176.55789668563185,90210
220,hang,175.7636587703592,90210
221,remember,175.00769066012015,90210
222,amazing,174.08144131100116,90210
223,worry,174.08144131100116,90210
224,jen,173.38284830879078,90210
225,hell,172.6892115340502,90210
226,family,169.65957624397916,90210
227,teddy,169.39254290817487,90210
228,sister,168.88723628368206,90210
229,might,167.64415333562985,90210
230,beverly,167.3996894621963,90210
231,ready,165.79184886762016,90210
232,problem,165.3108298259749,90210
233,new,164.80030086120868,90210
234,long,163.0,90210
235,through,162.61551565467698,90210
236,tomorrow,162.2798586121114,90210
237,90210,160.9747489870031,90210
238,glad,159.90149133793074,90210
239,already,159.90149133793074,90210
240,mind,159.51807726125455,90210
241,seriously,159.3339782896211,90210
242,course,157.95589885605904,90210
243,else,157.15728158725537,90210
244,kiss,156.79724113572547,90210
245,these,156.6000475685532,90210
246,harry,156.42063886783214,90210
247,kelly,155.40373496058814,90210
248,high,155.30655657236164,90210
249,money,155.19367658500514,90210
250,anyway,151.82351666561817,90210
251,bring,151.6030170191988,90210
252,prom,151.3012686966135,90210
253,watch,149.74040880464025,90210
254,today,149.34140539735515,90210
255,dinner,149.3088972372403,90210
256,mother,148.44778934282826,90210
257,car,147.4840409165362,90210
258,miss,147.2931760517894,90210
