Unnamed: 0,mots,poids,serie
0,be,4023.122777710521,blade
1,you,2507.0379747885954,blade
2,to,1265.6771424605167,blade
3,the,1194.1885477008263,blade
4,not,1094.208875567443,blade
5,do,1056.6554646716334,blade
6,it,918.0483279563712,blade
7,what,796.9028598209402,blade
8,that,714.3501567343417,blade
9,of,641.8357626419569,blade
10,we,632.2927984470927,blade
11,have,625.9896048739197,blade
12,and,601.7629132873614,blade
13,krista,592.9525462689364,blade
14,get,575.5807818296491,blade
15,he,568.1981790800564,blade
16,this,535.6416862732556,blade
17,go,479.2879603653129,blade
18,know,457.8745246108077,blade
19,she,439.8777185472889,blade
20,in,432.6474894016719,blade
21,for,402.9124334111843,blade
22,will,396.5075035712461,blade
23,they,378.704411258882,blade
24,your,361.2781259885778,blade
25,can,345.78465884776926,blade
26,marcus,341.5794759532007,blade
27,chthon,338.2737339971667,blade
28,my,330.2503297437452,blade
29,blade,328.3787295162342,blade
30,just,319.3891796770207,blade
31,no,314.7775949803334,blade
32,sciver,303.2798994457356,blade
33,there,288.16001544193426,blade
34,here,275.3927006067248,blade
35,with,273.04707058271555,blade
36,like,266.00347172138896,blade
37,so,251.10552606802293,blade
38,on,248.0,blade
39,see,240.85600556064895,blade
40,now,232.49182043771864,blade
41,domic,227.4599245843017,blade
42,take,221.2622226254236,blade
43,all,221.1203594500956,blade
44,if,219.99206039660817,blade
45,one,219.5137130163362,blade
46,out,214.16952807713437,blade
47,want,213.3678289770736,blade
48,think,209.38951338883143,blade
49,ve,207.4838951097552,blade
50,come,204.0815733736792,blade
51,tell,201.8167102404628,blade
52,up,201.2805430033333,blade
53,where,200.58702260814232,blade
54,would,198.6633241429556,blade
55,about,195.177530746148,blade
56,who,189.9865652306324,blade
57,how,187.0134646872906,blade
58,find,185.2158540206017,blade
59,kill,185.0215580908137,blade
60,well,181.2625638291377,blade
61,but,179.42400759473958,blade
62,his,178.85417282111993,blade
63,need,178.13734721139392,blade
64,yeah,167.3620367206172,blade
65,boone,160.29942645681578,blade
66,say,155.56396395557832,blade
67,work,154.12531327715126,blade
68,time,152.71025591915873,blade
69,right,149.76758520603153,blade
70,from,148.55782973122365,blade
71,vampire,146.95787979968662,blade
72,make,145.65252457369422,blade
73,something,145.3225727250845,blade
74,let,143.98229911078062,blade
75,our,140.59814121382553,blade
76,bloods,137.8263533210104,blade
77,look,136.37837702450503,blade
78,some,135.34064864135314,blade
79,thing,130.47672995000903,blade
80,back,128.43068378923422,blade
81,zack,127.71450973862191,blade
82,yes,126.13208313598264,blade
83,good,121.60938995263568,blade
84,shen,118.3394848789168,blade
85,chase,117.63750198071506,blade
86,armaya,116.64611517143678,blade
87,blood,115.62107620798407,blade
88,aurora,114.35747403886056,blade
89,house,112.119116778282,blade
90,her,109.49343795332324,blade
91,when,109.2771018963544,blade
92,at,107.91464989909642,blade
93,shit,105.99542692917066,blade
94,give,103.59530818101452,blade
95,mean,102.28475225437307,blade
96,more,101.4927822173804,blade
97,could,100.45605641795348,blade
98,only,99.72952256011638,blade
99,too,99.10377960684347,blade
100,or,97.3819959634415,blade
101,why,96.44965765245855,blade
102,turn,94.29375598450018,blade
103,little,94.09780127003393,blade
104,people,93.89976030181116,blade
105,then,93.7564985323126,blade
106,happen,91.98845692654314,blade
107,help,91.4481968277097,blade
108,pure,88.86402569240096,blade
109,day,87.21545263562925,blade
110,everything,85.91286632405898,blade
111,man,85.76313032030929,blade
112,fritz,85.6097707974952,blade
113,oh,85.33932180791068,blade
114,their,83.39029435641154,blade
115,as,82.0,blade
116,lychan,81.65228062000574,blade
117,down,81.28635966425445,blade
118,name,81.25563206133758,blade
119,by,80.33422595421821,blade
120,starr,80.16545749862105,blade
121,dead,79.33718522430769,blade
122,hey,79.17989813998392,blade
123,leave,77.95797129405352,blade
124,before,77.78198197778916,blade
125,off,76.20640000666819,blade
126,stay,75.11536493680522,blade
127,thank,74.87020440232013,blade
128,ever,74.77601328205134,blade
129,ash,74.6204663607454,blade
130,way,74.5510298954352,blade
131,brother,74.28398558248917,blade
132,an,74.0,blade
133,hear,73.85171261196832,blade
134,last,73.25573586922808,blade
135,keep,72.85528376003407,blade
136,talk,72.61936328841432,blade
137,charlotte,72.42574676189994,blade
138,still,71.87998220810633,blade
139,sorry,70.96099148501719,blade
140,should,70.30946386913129,blade
141,after,70.21717949303121,blade
142,nothing,68.44814414045446,blade
143,other,68.41209725804697,blade
144,even,68.10385221046663,blade
145,please,68.10385221046663,blade
146,much,67.8412379666317,blade
