Unnamed: 0,mots,poids,serie
0,be,41585.68869797844,buffy
1,you,29135.87989985591,buffy
2,not,20132.868167799395,buffy
3,the,15913.068410209991,buffy
4,to,15721.650198410103,buffy
5,do,14229.782773133256,buffy
6,it,11985.978852036114,buffy
7,that,10580.546321459507,buffy
8,have,9126.188352829386,buffy
9,we,8906.295703840477,buffy
10,what,8291.211149764917,buffy
11,and,8238.34254329291,buffy
12,buffy,7281.796382443932,buffy
13,this,7057.780125192787,buffy
14,she,7042.413142967356,buffy
15,of,6928.590089830738,buffy
16,get,6851.653826299434,buffy
17,know,6568.231998410629,buffy
18,go,6332.180090117388,buffy
19,just,5293.343337847156,buffy
20,can,5216.957432298487,buffy
21,in,4990.97706363621,buffy
22,he,4858.822890338431,buffy
23,they,4845.901646468655,buffy
24,think,4478.435413226798,buffy
25,well,4431.557163960641,buffy
26,for,4400.000916548438,buffy
27,my,4345.674973929599,buffy
28,no,4329.612407491228,buffy
29,like,4327.948377737193,buffy
30,with,4323.714437268568,buffy
31,so,4032.782191879341,buffy
32,your,3887.085022210439,buffy
33,all,3655.93942618894,buffy
34,there,3648.134185644192,buffy
35,here,3500.9867629617333,buffy
36,its,3497.803894970564,buffy
37,xander,3433.1915589099813,buffy
38,about,3309.2787302630472,buffy
39,will,3264.241709336532,buffy
40,slayer,3247.3430123315698,buffy
41,right,3178.740583964751,buffy
42,on,3148.0,buffy
43,but,3035.088128470567,buffy
44,out,2987.1013126547687,buffy
45,see,2966.012948979564,buffy
46,if,2867.0860681754034,buffy
47,say,2739.4814052577344,buffy
48,come,2679.8021772654147,buffy
49,thing,2644.840067104301,buffy
50,now,2544.41358764758,buffy
51,ve,2446.827934472899,buffy
52,how,2416.093309911609,buffy
53,one,2377.423371381606,buffy
54,would,2342.9658704478725,buffy
55,make,2333.4435380156788,buffy
56,mean,2328.576313040962,buffy
57,want,2311.7406506436896,buffy
58,yeah,2288.64183548031,buffy
59,good,2251.823310583636,buffy
60,could,2239.8561329440563,buffy
61,need,2211.090757053705,buffy
62,up,2195.683180533504,buffy
63,tell,2114.3453783785985,buffy
64,giles,2101.076922754188,buffy
65,look,2096.1861653766514,buffy
66,at,2078.4081272774024,buffy
67,really,2061.6770376272075,buffy
68,take,2031.7254091077743,buffy
69,lt,1986.2155439352111,buffy
70,something,1986.075160576155,buffy
71,re,1970.6229063618075,buffy
72,ok,1940.9619299223305,buffy
73,oh,1870.4371356251484,buffy
74,willow,1833.967386867511,buffy
75,should,1819.8705415428635,buffy
76,some,1759.4284323375907,buffy
77,why,1729.871279186031,buffy
78,guy,1669.2048525006392,buffy
79,more,1617.825244897944,buffy
80,let,1610.2510186266895,buffy
81,kill,1609.6875553900793,buffy
82,then,1604.7987332114171,buffy
83,time,1578.8076064713025,buffy
84,who,1575.003128553181,buffy
85,find,1561.7777521228704,buffy
86,back,1543.7892398338563,buffy
87,when,1525.5658567372632,buffy
88,maybe,1479.7689488735773,buffy
89,where,1470.4687747589385,buffy
90,sorry,1415.9193184684823,buffy
91,help,1396.9500411957033,buffy
92,her,1366.1216153943703,buffy
93,wanna,1364.4271531727893,buffy
94,talk,1351.6093738578338,buffy
95,from,1327.210044862913,buffy
96,spike,1315.6491421927017,buffy
97,any,1313.483803318964,buffy
98,too,1286.8475624706798,buffy
99,feel,1284.357982413732,buffy
100,little,1278.69888849142,buffy
101,way,1277.14469247098,buffy
102,work,1261.901002456676,buffy
103,yes,1249.3082520135422,buffy
104,or,1247.7737065205802,buffy
105,anya,1236.4071645391978,buffy
106,ill,1232.8689191171495,buffy
107,hey,1228.525607078188,buffy
108,never,1197.1599390577649,buffy
109,try,1123.534075544129,buffy
110,happen,1120.2879932839717,buffy
111,god,1094.944472074825,buffy
112,love,1094.2849005185012,buffy
113,as,1092.0,buffy
114,much,1080.8342685138368,buffy
115,still,1075.074516503851,buffy
116,his,1060.790266387332,buffy
117,demon,1040.4617353659903,buffy
118,even,1027.8930252230894,buffy
119,give,1004.5605641795348,buffy
120,sunnydale,1002.8670654463276,buffy
121,leave,989.5889417326794,buffy
122,thank,986.3335623436086,buffy
123,dawn,978.7222064332968,buffy
124,our,965.8481005123668,buffy
125,bad,963.1174103098704,buffy
126,cos,962.1834201299464,buffy
127,very,954.7764476102734,buffy
128,vampire,940.8682649244304,buffy
129,anything,931.8255918133868,buffy
130,off,917.3525132878171,buffy
131,an,916.0,buffy
132,hear,891.0369673835307,buffy
133,girl,884.975048895787,buffy
134,only,881.1921993371477,buffy
135,keep,880.5986471864986,buffy
136,people,880.1350667095137,buffy
137,by,870.2874478373641,buffy
138,down,856.3097543941287,buffy
139,than,844.80985218658,buffy
140,into,837.2240088881698,buffy
141,ll,828.2799751995583,buffy
142,call,822.6412020040434,buffy
143,over,814.3734512301335,buffy
144,wait,809.0642224739863,buffy
145,friend,805.2786821645218,buffy
146,other,803.4443980305516,buffy
147,guess,792.8448945505731,buffy
148,because,784.5095330851805,buffy
149,use,779.6266936676378,buffy
150,before,779.3754594174474,buffy
151,first,773.8518323294483,buffy
152,again,772.9253696586529,buffy
153,nothing,771.5972612196684,buffy
154,sure,771.1964473560529,buffy
155,big,752.6152460417078,buffy
156,please,749.1423743151329,buffy
157,night,736.8703367975902,buffy
158,mom,736.2131163683894,buffy
159,stuff,735.7967149095136,buffy
160,everything,725.4864267364981,buffy
161,spell,725.3986543361841,buffy
162,last,716.1121934971479,buffy
163,kind,714.3950665266369,buffy
164,day,713.5809761096938,buffy
165,away,713.2468986856161,buffy
166,always,712.8941488816079,buffy
167,cordelia,711.3618235923117,buffy
168,stop,707.4598831209444,buffy
169,two,687.543215869264,buffy
170,angel,685.1084967713026,buffy
171,ever,684.1209725804697,buffy
172,hurt,676.038284431247,buffy
173,great,671.064216750739,buffy
174,around,664.2581260903195,buffy
175,nice,663.9517478874112,buffy
176,life,657.2021441955943,buffy
177,those,651.8509682925998,buffy
178,lets,649.0280667892597,buffy
179,wrong,645.9374764364435,buffy
180,man,638.2113464095743,buffy
