Unnamed: 0,mots,poids,serie
0,be,6591.1346722748485,community
1,you,3530.4690423234406,community
2,to,2077.512024896413,community
3,not,1915.2249963940003,community
4,the,1756.873998990368,community
5,that,1582.455680537218,community
6,it,1531.7504844347095,community
7,do,1464.5899305680937,community
8,have,1082.37611483126,community
9,and,1054.455232390604,community
10,we,1043.630531063223,community
11,what,916.6521267707774,community
12,of,843.5555737580005,community
13,get,840.1984399695139,community
14,this,818.9562971946469,community
15,my,752.2368621940863,community
16,in,716.641738855077,community
17,go,689.7689165045773,community
18,abed,672.1844727263295,community
19,your,663.6812981123504,community
20,he,641.0440994749354,community
21,britta,629.5135154537862,community
22,for,611.1454647460165,community
23,with,596.7626697271721,community
24,like,589.5212075987539,community
25,can,547.492376508968,community
26,know,520.7774145733149,community
27,will,492.4774725884904,community
28,she,451.53010844258125,community
29,so,439.0916302828816,community
30,on,439.0,community
31,they,431.7230288351256,community
32,would,430.437202309737,community
33,think,415.6538101599192,community
34,say,406.0219459240594,community
35,want,394.5002305547332,community
36,just,384.6865230776561,community
37,if,375.28057361774336,community
38,about,367.0502817017112,community
39,at,353.1752178515883,community
40,make,351.3679458788088,community
41,but,344.7360145921401,community
42,right,340.79766837699015,community
43,there,339.2622841902576,community
44,here,337.7744725673641,community
45,out,331.90014585052984,community
46,greendale,323.7669904147493,community
47,all,314.2890502296302,community
48,see,305.9931642971767,community
49,how,304.65096666800565,community
50,good,295.141890222127,community
51,jeff,275.1039634241748,community
52,one,261.8760085107169,community
53,guy,257.8091264333448,community
54,no,254.54939088662337,community
55,take,249.6675079624712,community
56,look,238.66215979288376,community
57,now,236.8239661601606,community
58,why,236.45722521247905,community
59,ve,231.19634026515575,community
60,up,226.5843826951809,community
61,tell,223.8904129230134,community
62,let,221.85027720130483,community
63,class,220.6280962378328,community
64,need,215.63994662431892,community
65,come,213.9337872606844,community
66,his,209.69109916958888,community
67,who,207.38991471740783,community
68,when,205.61349435761417,community
69,could,204.051364598968,community
70,thing,202.62268651060225,community
71,because,201.82402925842817,community
72,troy,199.6658042154145,community
73,really,198.17670749284784,community
74,pierce,196.53405124260536,community
75,from,189.20100956335088,community
76,well,185.9503887557533,community
77,winger,185.38914024301656,community
78,sorry,178.2276065205083,community
79,people,169.5801641271515,community
80,should,168.4156925237331,community
81,our,166.5782325250759,community
82,more,165.11512330887257,community
83,talk,164.5050882655916,community
84,thank,164.38892705726812,community
85,call,163.97705701588137,community
86,time,163.5322425590991,community
87,as,162.0,community
88,an,159.0,community
89,friend,157.78103569212442,community
90,annie,152.36602523922332,community
91,or,149.81845532837156,community
92,some,149.34140539735515,community
93,never,145.57960449085368,community
94,try,145.4361321116867,community
95,something,145.3225727250845,community
