Unnamed: 0,mots,poids,serie
0,be,7419.340076120903,eleventhhour
1,you,3092.381642911043,eleventhhour
2,the,3074.5294982331443,eleventhhour
3,to,2465.5298349937984,eleventhhour
4,it,2072.8103448401016,eleventhhour
5,not,1939.6685586602905,eleventhhour
6,that,1541.6356715809698,eleventhhour
7,do,1533.55306377122,eleventhhour
8,we,1513.3337527667777,eleventhhour
9,of,1422.82583348696,eleventhhour
10,have,1281.2742897788848,eleventhhour
11,and,1144.3360318251462,eleventhhour
12,what,1077.7434025485345,eleventhhour
13,this,1063.9053878871,eleventhhour
14,in,958.4805919052424,eleventhhour
15,get,947.8395212467468,eleventhhour
16,they,924.0387634716722,eleventhhour
17,he,835.6467725298265,eleventhhour
18,for,754.0746460172624,eleventhhour
19,go,720.1998981150733,eleventhhour
20,know,690.4689316814737,eleventhhour
21,well,650.0450564907006,eleventhhour
22,she,642.3379929779946,eleventhhour
23,with,629.1342296416178,eleventhhour
24,your,607.4824785141271,eleventhhour
25,can,587.2850555033542,eleventhhour
26,here,579.6940272439897,eleventhhour
27,so,574.9356034016481,eleventhhour
28,just,574.9005234186372,eleventhhour
29,on,568.0,eleventhhour
30,if,536.3205132544762,eleventhhour
31,no,515.9170690291385,eleventhhour
32,there,506.76416508753954,eleventhhour
33,hood,502.751892120467,eleventhhour
34,but,486.86402060819785,eleventhhour
35,would,480.8913798698527,eleventhhour
36,my,473.0967025297302,eleventhhour
37,right,472.2263655986097,eleventhhour
38,will,465.9594548337255,eleventhhour
39,all,460.8744570560981,eleventhhour
40,think,418.7790267776629,eleventhhour
41,out,413.3096155874522,eleventhhour
42,at,406.43179832127225,eleventhhour
43,okay,405.1197879215893,eleventhhour
44,yeah,401.3967547364396,eleventhhour
45,like,393.97270946843554,eleventhhour
46,now,392.7812121680713,eleventhhour
47,about,384.5288665446498,eleventhhour
48,uh,381.8979668438917,eleventhhour
49,from,371.3945743280591,eleventhhour
50,one,351.7354231957668,eleventhhour
51,need,351.5868694961722,eleventhhour
52,see,351.43769364824254,eleventhhour
53,want,343.84455892708263,eleventhhour
54,say,334.4625225044934,eleventhhour
55,could,334.33031276600144,eleventhhour
56,how,327.27356320275857,eleventhhour
57,up,323.1990433367809,eleventhhour
58,come,322.30814001774155,eleventhhour
59,make,321.3364975130986,eleventhhour
60,find,320.2036798322267,eleventhhour
61,take,301.9930335833484,eleventhhour
62,his,294.4926466278785,eleventhhour
63,who,294.4066621512853,eleventhhour
64,tell,291.68821401941887,eleventhhour
65,ve,290.4774531536573,eleventhhour
66,our,285.78100442375404,eleventhhour
67,why,272.2369369222621,eleventhhour
68,any,270.18378110402483,eleventhhour
69,rachel,268.0184086587722,eleventhhour
70,look,262.6546520471949,eleventhhour
71,some,248.90234232892533,eleventhhour
72,where,236.78317706374696,eleventhhour
73,thank,236.0039051812265,eleventhhour
74,help,228.62049206927423,eleventhhour
75,something,228.140813095294,eleventhhour
76,work,227.9770258891196,eleventhhour
77,when,222.86777360440695,eleventhhour
78,people,222.83674459683547,eleventhhour
79,her,222.80641443990197,eleventhhour
80,mean,220.55149704849197,eleventhhour
81,as,217.0,eleventhhour
82,use,216.47254751105604,eleventhhour
83,an,211.0,eleventhhour
84,time,203.2128602388805,eleventhhour
85,really,202.9713052547716,eleventhhour
86,then,200.0138635356002,eleventhhour
87,let,199.81217019455272,eleventhhour
88,should,199.4826649310237,eleventhhour
89,back,199.19861159146532,eleventhhour
90,call,197.0480601115213,eleventhhour
91,geppetto,195.6245014878857,eleventhhour
92,dr,190.4834646317867,eleventhhour
93,more,189.35220562944104,eleventhhour
94,only,187.5510424264875,eleventhhour
95,their,184.7667306328334,eleventhhour
96,oh,183.73053989232537,eleventhhour
