Unnamed: 0,mots,poids,serie
0,be,13958.711910655373,futurama
1,you,6566.402448895631,futurama
2,the,5287.82640825154,futurama
3,to,4123.8440471957165,futurama
4,it,3830.002437777058,futurama
5,not,3806.006430521712,futurama
6,that,2831.54795459841,futurama
7,we,2819.608984723409,futurama
8,do,2570.337795147037,futurama
9,of,2415.244155555196,futurama
10,and,2253.5966297246173,futurama
11,my,2237.052828859417,futurama
12,have,2130.8316106792045,futurama
13,this,2036.3237659975007,futurama
14,leela,1927.077890465492,futurama
15,what,1904.5835791069344,futurama
16,will,1777.969952319473,futurama
17,in,1758.3237710298715,futurama
18,bender,1563.7523671714737,futurama
19,your,1557.5101431507578,futurama
20,get,1556.3106334666618,futurama
21,for,1453.9347750006038,futurama
22,they,1283.0505453450924,futurama
23,can,1277.4822118542588,futurama
24,go,1228.6508825237784,futurama
25,with,1194.9327985810594,futurama
26,like,1137.3445736844253,futurama
27,he,1125.9897981037016,futurama
28,no,1096.607866989248,futurama
29,so,1086.751784950132,futurama
30,all,1074.545566990633,futurama
31,on,1044.0,futurama
32,one,992.3046793077656,futurama
33,fry,934.9938626181104,futurama
34,but,933.4080395097128,futurama
35,just,908.48477774797,futurama
36,here,870.3017941825777,futurama
37,know,867.4747383201565,futurama
38,if,842.5839698850483,futurama
39,there,836.0898970211787,futurama
40,now,812.9993472449416,futurama
41,well,792.2424125980414,futurama
42,ve,772.1364953727318,futurama
43,would,767.8495147430108,futurama
44,make,765.8019333256088,futurama
45,up,748.7636199723999,futurama
46,oh,741.9501037181882,futurama
47,out,725.1705073488935,futurama
48,right,719.801353388172,futurama
49,at,707.7519246629051,futurama
50,let,691.9965600120171,futurama
51,come,686.840053836934,futurama
52,zoidberg,683.781921958423,futurama
53,say,679.8145224858773,futurama
54,our,673.954133427142,futurama
55,want,644.70854798828,futurama
56,robot,641.6385072835739,futurama
57,good,636.7413002014407,futurama
58,see,627.1345050447087,futurama
59,how,613.8264526429618,futurama
60,about,610.2939207659405,futurama
61,think,598.4789822979287,futurama
62,look,570.7687631025581,futurama
63,from,538.1717605357536,futurama
64,who,538.0535549661421,futurama
65,take,523.2552562087719,futurama
66,as,516.0,futurama
67,why,511.8054414138527,futurama
68,time,500.2162713572443,futurama
69,she,495.2265705499278,futurama
70,could,491.2929009190537,futurama
71,his,453.3028173224936,futurama
72,some,432.4678197965077,futurama
73,back,431.1601527210007,futurama
74,need,426.5920683220223,futurama
75,love,419.6332972395239,futurama
76,then,415.6538101599192,futurama
77,when,412.6648453191278,futurama
78,never,407.31314873504806,futurama
79,an,405.0,futurama
80,thing,403.7103526688515,futurama
81,give,397.1153480272224,futurama
82,yes,391.9104011725174,futurama
83,yeah,386.42941811914864,futurama
84,too,373.89153215309136,futurama
85,wait,368.0579044861168,futurama
86,by,366.3727577609043,futurama
