Unnamed: 0,mots,poids,serie
0,be,16325.423880673789,lietome
1,you,9123.75298216016,lietome
2,the,5728.056932192098,lietome
3,to,5417.236747520332,lietome
4,not,4923.221011751545,lietome
5,do,4163.503058805706,lietome
6,that,3922.802860695442,lietome
7,it,3464.28605065119,lietome
8,he,3266.619201707504,lietome
9,have,2789.1999882190166,lietome
10,we,2538.898775302941,lietome
11,what,2407.815617598512,lietome
12,and,2351.150180330401,lietome
13,she,2251.82434726526,lietome
14,of,2025.82783570016,lietome
15,this,2012.714215087385,lietome
16,get,1942.0245080434136,lietome
17,know,1879.7724093446895,lietome
18,in,1851.5093841317705,lietome
19,go,1672.4360310101792,lietome
20,your,1667.231648080622,lietome
21,they,1654.1808683787967,lietome
22,lightman,1587.8728536233518,lietome
23,for,1519.2386250641905,lietome
24,right,1494.6193707295802,lietome
25,with,1362.4204346601475,lietome
26,tell,1313.3853096117616,lietome
27,my,1286.927872255388,lietome
28,about,1239.522975111731,lietome
29,can,1204.7576605886566,lietome
30,just,1202.3228230508291,lietome
31,so,1180.0587563852444,lietome
32,no,1156.836071082958,lietome
33,on,1146.0,lietome
34,there,1117.1523751369568,lietome
35,see,1107.331698520971,lietome
36,all,1045.9738351515757,lietome
37,think,1036.0093087820542,lietome
38,here,1008.7588978025332,lietome
39,say,992.4980900365896,lietome
40,would,985.4331554710096,lietome
41,want,979.3429848012444,lietome
42,if,943.2339321580064,lietome
43,well,884.4363028214821,lietome
44,will,883.9339251588289,lietome
45,at,877.3320887900566,lietome
46,his,852.6410135351665,lietome
47,but,842.6880356696759,lietome
48,how,821.9543407626885,lietome
49,yeah,793.2688407164213,lietome
50,out,791.5505365189995,lietome
51,who,783.1507269048968,lietome
52,one,768.9398485192128,lietome
53,like,754.874717047185,lietome
54,now,729.244529944397,lietome
55,take,687.7069081601003,lietome
56,when,685.8576000600137,lietome
57,why,684.4814414045446,lietome
58,come,681.2102173300739,lietome
59,look,662.9504438691216,lietome
60,up,650.9987847993523,lietome
61,could,632.5592302568008,lietome
62,need,618.7928903132631,lietome
63,ve,604.6673514627151,lietome
64,make,602.1305397324885,lietome
65,from,598.4357858040802,lietome
66,lie,587.7277696779596,lietome
67,her,583.1162160770006,lietome
68,talk,576.508822840677,lietome
69,good,564.3222252858262,lietome
70,find,533.6727997203778,lietome
71,let,520.0993253593505,lietome
72,then,501.59726714787234,lietome
73,mean,489.0489717162213,lietome
74,kill,481.05605103611566,lietome
75,really,469.8705806685263,lietome
76,something,459.4068428083317,lietome
77,back,456.0599791699338,lietome
78,call,442.32466640418414,lietome
79,where,425.3048148533544,lietome
80,work,417.42272345895134,lietome
81,man,416.5637758415022,lietome
82,guy,410.74674380905776,lietome
83,any,405.2756716560372,lietome
84,try,402.746212001594,lietome
85,an,398.0,lietome
