Unnamed: 0,mots,poids,serie
0,be,13507.224937030962,life
1,you,8279.483708222542,life
2,not,4581.011140023488,life
3,to,4513.016672204105,life
4,the,4243.4174411098,life
5,that,4067.033559007519,life
6,do,4031.421125721752,life
7,it,3406.673195145061,life
8,he,2925.284031857213,life
9,we,2476.3643227092725,life
10,have,2289.64178137382,life
11,what,2285.21517762606,life
12,and,2072.738923545356,life
13,know,1966.081025804874,life
14,get,1861.2936970854887,life
15,in,1782.7295268422736,life
16,of,1765.8573839409803,life
17,she,1724.553704503278,life
18,go,1668.6321583088672,life
19,they,1645.0919625085835,life
20,this,1460.8409625634245,life
21,for,1367.6844069920935,life
22,would,1300.7717652217327,life
23,your,1277.8541122929328,life
24,there,1263.3616440557707,life
25,want,1180.4306509594935,life
26,no,1175.0181704320023,life
27,here,1160.9095611211658,life
28,my,1159.8077056476766,life
29,like,1154.598852931218,life
30,with,1152.7090247796084,life
31,say,1107.6154233637176,life
32,just,1081.6646885061768,life
33,about,1047.2585418394062,life
34,think,1045.384958635285,life
35,see,946.7610281472053,life
36,can,944.0470051081954,life
37,his,942.0680999457264,life
38,on,910.0,life
39,but,852.7680360963466,life
40,so,842.5070656052791,life
41,all,836.0337185950243,life
42,out,829.1241379360406,life
43,yeah,810.9575112641288,life
44,if,808.0754113914627,life
45,why,785.5980179756705,life
46,tell,778.886366084286,life
47,one,767.6561425951406,life
48,right,751.8944073608931,life
49,how,735.9884739306275,life
50,come,719.2116137513797,life
51,take,704.1520733552331,life
52,who,691.7831420993256,life
53,well,682.85983097701,life
54,will,673.0525458709368,life
55,at,665.7072558710494,life
56,where,662.0879919171014,life
57,kill,658.3683775398121,life
58,when,657.1004679820257,life
59,now,654.1540040887363,life
60,crews,640.3671967547136,life
61,find,635.6984820198619,life
62,look,627.5930868627685,life
63,up,621.0942469817142,life
64,okay,599.4119311084738,life
65,reese,596.7943816741372,life
66,need,568.7894244293631,life
67,something,528.1616083986943,life
68,back,521.5858382460738,life
69,work,510.5401002305636,life
70,detective,498.9552789576549,life
71,from,491.92262486471225,life
72,make,488.01103594278993,life
73,because,485.0287154759,life
74,then,479.7207508236661,life
75,talk,474.2489031080119,life
76,could,464.6092609330348,life
77,ask,449.6535480002583,life
78,her,449.43236741305935,life
79,call,438.1907910172292,life
80,crew,436.0577732310026,life
81,maybe,420.2216794038778,life
82,some,416.9114234009499,life
83,let,386.40147618505415,life
84,thing,383.75508808826186,life
85,those,381.20904727997606,life
86,mean,378.7732231919753,life
87,year,377.3947444946013,life
88,rayborn,373.617142029024,life
89,guy,369.9633791755343,life
90,time,365.5426598379862,life
91,ve,363.0968164420716,life
92,name,362.5251276582753,life
93,good,357.9961816583208,life
94,too,357.3742355519508,life
95,leave,345.242444302237,life
96,two,345.23446584073685,life
97,should,341.7366964801963,life
98,dead,336.4484336364159,life
99,yes,328.8443596045261,life
100,never,328.3284697027764,life
101,cop,326.1655754185994,life
102,money,319.5163929691282,life
103,use,315.75694900108925,life
104,happen,315.38899517671933,life
105,hazlit,314.7567577268931,life
106,gun,307.1763737389014,life
107,charlie,306.8457312391686,life
108,someone,303.8769901462086,life
109,really,302.0596590011955,life
110,people,299.9186373819043,life
111,down,285.9037477846191,life
112,give,284.1022845570247,life
113,last,279.56780831725814,life
114,guess,274.83068823706844,life
115,or,271.8134832386169,life
116,uh,270.8964816712727,life
