Unnamed: 0,mots,poids,serie
0,be,55363.230676542495,onetreehill
1,you,43043.00734394752,onetreehill
2,to,22174.75592110113,onetreehill
3,it,17523.075247527406,onetreehill
4,not,16298.104605199696,onetreehill
5,the,15743.04834579157,onetreehill
6,that,14866.647261865555,onetreehill
7,do,13409.238374682498,onetreehill
8,and,12536.179306498272,onetreehill
9,have,10449.092493178705,onetreehill
10,what,9390.338349983063,onetreehill
11,know,9322.793435606,onetreehill
12,go,8863.023394056978,onetreehill
13,we,8526.92002477222,onetreehill
14,this,8008.064549324954,onetreehill
15,just,7627.013610687255,onetreehill
16,get,7385.374187632381,onetreehill
17,of,6904.858347346498,onetreehill
18,my,6722.953141211955,onetreehill
19,for,6646.20692911293,onetreehill
20,so,6394.271865994464,onetreehill
21,your,6274.196788001635,onetreehill
22,she,6017.002832181623,onetreehill
23,in,5999.378519703183,onetreehill
24,with,5697.394544942436,onetreehill
25,well,5575.386446054856,onetreehill
26,he,5567.50963018004,onetreehill
27,think,5290.991733840174,onetreehill
28,want,5196.043892715065,onetreehill
29,okay,5146.674856758966,onetreehill
30,brooke,4915.149258547988,onetreehill
31,about,4815.350124229592,onetreehill
32,like,4803.878913627895,onetreehill
33,can,4744.933929744389,onetreehill
34,yeah,4679.33369335124,onetreehill
35,peyton,4678.349480250242,onetreehill
36,but,4433.184187649802,onetreehill
37,right,4369.240062286165,onetreehill
38,haley,4186.00251193345,onetreehill
39,if,4069.1341890353015,onetreehill
40,on,4008.0,onetreehill
41,say,4002.6607925770304,onetreehill
42,no,3954.606608417185,onetreehill
43,all,3822.400820381709,onetreehill
44,come,3707.2473397673857,onetreehill
45,here,3651.61591964718,onetreehill
46,see,3574.9696422838465,onetreehill
47,nathan,3568.6140677227063,onetreehill
48,will,3538.261226135769,onetreehill
49,they,3482.56576593668,onetreehill
50,how,3467.2899622264604,onetreehill
51,good,3424.1924856326405,onetreehill
52,would,3386.736668722766,onetreehill
53,out,3382.8765809142683,onetreehill
54,tell,3277.944848358766,onetreehill
55,really,3245.9426848223707,onetreehill
56,there,3176.857707187433,onetreehill
57,lucas,3063.1652458169706,onetreehill
58,look,2927.0840550259504,onetreehill
59,at,2867.446411604562,onetreehill
60,up,2851.282663458647,onetreehill
61,now,2850.551885366812,onetreehill
62,mean,2832.0090780429546,onetreehill
63,make,2759.8901048087628,onetreehill
64,hey,2732.9436717378826,onetreehill
65,ve,2633.5634400716785,onetreehill
66,one,2577.6814955368604,onetreehill
67,oh,2508.976061152574,onetreehill
68,thing,2489.803011516643,onetreehill
69,sorry,2424.225499802099,onetreehill
70,love,2366.6778243026524,onetreehill
71,take,2357.6386829749526,onetreehill
72,need,2340.7872466900712,onetreehill
73,when,2317.8248454858326,onetreehill
74,why,2297.679747623892,onetreehill
75,let,2283.147885899521,onetreehill
76,could,2206.8939894319155,onetreehill
77,thank,2141.938891162028,onetreehill
78,back,2120.416799703888,onetreehill
79,who,1973.82988762512,onetreehill
80,time,1931.1233937493612,onetreehill
81,because,1928.7215699293336,onetreehill
82,guy,1915.3615890386916,onetreehill
83,should,1906.5310435210952,onetreehill
84,too,1864.9529435106003,onetreehill
85,maybe,1854.2077215719744,onetreehill
86,some,1804.5419818847083,onetreehill
87,talk,1803.6278596326576,onetreehill
88,re,1769.787341476262,onetreehill
89,then,1754.8091308631174,onetreehill
90,mom,1703.9502670698243,onetreehill
91,something,1634.488291079983,onetreehill
92,from,1590.6899692918755,onetreehill
93,never,1575.0474230552998,onetreehill
94,great,1561.7769920316296,onetreehill
95,give,1508.410472150833,onetreehill
96,call,1501.9747239269805,onetreehill
97,don,1489.9278474812634,onetreehill
98,work,1414.4208437205236,onetreehill
99,or,1364.4180753119551,onetreehill
100,feel,1353.741066697787,onetreehill
101,try,1347.2819711005704,onetreehill
102,her,1316.4676144620494,onetreehill
103,leave,1314.1486589569022,onetreehill
104,little,1304.4791080174566,onetreehill
105,way,1283.2554326263437,onetreehill
106,keith,1282.2321891513611,onetreehill
107,night,1260.5412994765286,onetreehill
108,life,1255.895608887233,onetreehill
109,dan,1249.4222016982965,onetreehill
110,his,1247.353670795569,onetreehill
111,day,1242.1594769316891,onetreehill
112,help,1236.1273502228346,onetreehill
113,even,1229.0369608214442,onetreehill
114,still,1223.5223058466793,onetreehill
115,find,1222.7385617122775,onetreehill
116,man,1183.976721175179,onetreehill
117,guess,1182.6047796867792,onetreehill
118,as,1172.0,onetreehill
119,over,1156.1071498850797,onetreehill
120,happen,1154.7836646314254,onetreehill
121,more,1154.2910455170725,onetreehill
122,friend,1138.7027575893885,onetreehill
123,scott,1130.5650135991827,onetreehill
124,where,1129.621653635328,onetreehill
125,uh,1102.0861742138604,onetreehill
126,much,1099.3364243229182,onetreehill
127,our,1095.7485570686183,onetreehill
128,kind,1085.1772934487394,onetreehill
129,jamie,1076.9328242312265,onetreehill
130,um,1068.8557143127944,onetreehill
131,ask,1067.7227885242498,onetreehill
132,luke,1061.55361197584,onetreehill
133,play,1057.8537139414364,onetreehill
134,actually,1046.146566354683,onetreehill
135,first,1037.1662554283153,onetreehill
136,always,1026.0345694183889,onetreehill
137,ever,1022.9995008587024,onetreehill
138,girl,1017.7816728774196,onetreehill
139,last,1013.6201820272782,onetreehill
140,ll,1010.4735399642664,onetreehill
141,tonight,1005.9301651048066,onetreehill
142,year,988.6452067315836,onetreehill
143,wait,986.46150076234,onetreehill
144,by,983.485675318308,onetreehill
145,again,981.3717784051796,onetreehill
146,than,962.5422986306608,onetreehill
147,bad,961.7336209272412,onetreehill
148,game,959.5870464962934,onetreehill
149,off,948.985358573604,onetreehill
150,school,944.8494912112682,onetreehill
151,dad,942.8816834970672,onetreehill
152,deb,921.528996346688,onetreehill
153,nice,915.091888932295,onetreehill
154,anything,914.4819682770968,onetreehill
155,didn,910.0565271368004,onetreehill
156,two,901.1204701605672,onetreehill
157,hear,895.8533834234418,onetreehill
158,other,894.1302013726138,onetreehill
159,away,884.4261543701639,onetreehill
160,believe,871.5103312150461,onetreehill
161,sure,867.2088564646377,onetreehill
162,everything,862.310621252592,onetreehill
163,home,854.4572023528644,onetreehill
164,an,844.0,onetreehill
165,only,823.1406862051397,onetreehill
166,hi,819.8385839503529,onetreehill
167,people,810.0606187230874,onetreehill
168,kid,809.9675526448644,onetreehill
169,down,808.6591297633589,onetreehill
170,keep,804.5757423934197,onetreehill
171,ravens,801.3104493517225,onetreehill
172,pretty,800.2182387427692,onetreehill
173,yes,795.833381691319,onetreehill
174,any,784.5095330851805,onetreehill
175,lose,778.9814597901386,onetreehill
176,mouth,773.3822922296687,onetreehill
177,start,773.2897766760404,onetreehill
178,please,769.7319110299251,onetreehill
179,god,763.5185639786262,onetreehill
180,before,749.8183062658875,onetreehill
181,miss,749.4276797515045,onetreehill
182,nothing,748.2626666263317,onetreehill
183,stay,747.9572508601032,onetreehill
184,together,743.9722339640638,onetreehill
185,after,738.7432425829326,onetreehill
186,into,728.4321885241703,onetreehill
187,use,709.6393286828603,onetreehill
188,fine,701.0922770977488,onetreehill
189,might,694.9908104302325,onetreehill
190,wrong,690.484888604474,onetreehill
191,every,689.01486230533,onetreehill
192,around,684.4814414045446,onetreehill
193,us,671.0679945868815,onetreehill
194,remember,666.6202035144577,onetreehill
195,heart,660.0983304293485,onetreehill
196,julian,658.5843432933168,onetreehill
197,listen,649.6914424380351,onetreehill
198,someone,649.1194344484456,onetreehill
199,those,643.5996902129466,onetreehill
200,lot,641.2183265045946,onetreehill
201,huh,637.8514164554188,onetreehill
202,today,636.2566125783153,onetreehill
203,big,633.3418314550663,onetreehill
204,tree,631.8694826704082,onetreehill
205,sleep,616.501253108605,onetreehill
206,alright,612.4364035149399,onetreehill
207,hell,610.4715109493178,onetreehill
208,nate,604.2238769936897,onetreehill
209,boy,592.5578336719806,onetreehill
210,move,587.0022681167009,onetreehill
211,anyway,580.8899768075826,onetreehill
212,whitey,577.8344632337879,onetreehill
213,basketball,574.8532644090451,onetreehill
214,else,570.3027125640607,onetreehill
215,put,566.0928016936363,onetreehill
216,yourself,565.7459185748704,onetreehill
217,whatever,562.0343676612323,onetreehill
218,baby,559.8871322762305,onetreehill
219,hill,559.7957706850834,onetreehill
220,hard,559.1940949316814,onetreehill
221,hope,556.4469263706317,onetreehill
222,care,552.7498702663454,onetreehill
223,name,551.6007330317724,onetreehill
224,got,548.3502942186387,onetreehill
225,new,545.767230124782,onetreehill
226,next,543.1778680475179,onetreehill
227,enough,542.0748354599863,onetreehill
228,probably,536.3362521959759,onetreehill
229,meet,536.159925022368,onetreehill
230,ready,535.5076718424131,onetreehill
231,run,532.8539238603614,onetreehill
232,very,530.6105595671959,onetreehill
233,karen,530.3082971668183,onetreehill
234,since,526.4315414818717,onetreehill
235,promise,518.9284869556511,onetreehill
236,long,518.0,onetreehill
237,through,512.6260541114103,onetreehill
238,stop,510.0292180639367,onetreehill
239,these,509.2791462943705,onetreehill
240,whole,502.5127401640453,onetreehill
241,happy,501.4252697814137,onetreehill
242,matter,500.9159639369622,onetreehill
243,win,499.0148734935531,onetreehill
244,own,498.2350034061425,onetreehill
245,their,495.4364547057392,onetreehill
246,lie,490.9765152100891,onetreehill
247,rachel,490.1915632048597,onetreehill
248,watch,489.9115548934426,onetreehill
249,stuff,488.8960394620991,onetreehill
250,lindsey,487.8620811484727,onetreehill
251,break,486.9077109274343,onetreehill
252,same,483.4011023367191,onetreehill
253,son,481.916170209378,onetreehill
254,old,481.4662073520051,onetreehill
255,wish,481.1929137259263,onetreehill
256,movie,476.2886662851039,onetreehill
257,least,475.2520397602553,onetreehill
258,marry,474.657060042666,onetreehill
259,cause,474.0,onetreehill
260,live,470.75983517202656,onetreehill
261,bring,469.324233538158,onetreehill
262,dream,468.78249266156297,onetreehill
263,davis,468.22947527639946,onetreehill
264,house,468.09731254932734,onetreehill
265,coach,467.6416436025066,onetreehill
266,ass,464.52203384958415,onetreehill
267,turn,463.477783652628,onetreehill
268,high,460.69928126087103,onetreehill
269,understand,455.9275843859554,onetreehill
270,write,453.5755853581147,onetreehill
271,kill,450.2191246876467,onetreehill
272,father,440.29386857703486,onetreehill
273,wanna,440.29386857703486,onetreehill
274,sometimes,438.8103875477033,onetreehill
275,yet,436.7633182303755,onetreehill
276,person,434.7321795749992,onetreehill
277,team,434.165566939112,onetreehill
278,while,433.302509891158,onetreehill
279,show,429.0001615048533,onetreehill
280,world,413.6126768932114,onetreehill
281,few,411.66197810219296,onetreehill
282,anymore,411.4132120882176,onetreehill
283,late,410.4110565384176,onetreehill
284,totally,404.944958749489,onetreehill
285,pick,403.3151707963173,onetreehill
286,suck,403.2069975531392,onetreehill
287,hales,402.36394494181695,onetreehill
288,change,402.3615825915074,onetreehill
289,exactly,401.822538788893,onetreehill
290,already,401.41936887959696,onetreehill
291,trust,400.3990543263293,onetreehill
292,money,400.1562445280034,onetreehill
293,walk,399.569552751492,onetreehill
294,millicent,398.197009285192,onetreehill
295,kiss,397.5364396471424,onetreehill
296,morning,395.13246844716895,onetreehill
297,both,394.584600304936,onetreehill
298,idea,394.4110922074211,onetreehill
299,mother,393.7772938357129,onetreehill
300,another,392.9718144822698,onetreehill
301,millie,392.7695567616593,onetreehill
302,brother,391.8116102292076,onetreehill
303,sound,391.0272047288855,onetreehill
304,mind,390.2772375712248,onetreehill
305,room,389.3596285542302,onetreehill
306,place,388.0,onetreehill
307,sawyer,387.1439982301101,onetreehill
308,without,385.6024022450183,onetreehill
309,suppose,385.4142819142486,onetreehill
310,deal,382.612756801289,onetreehill
311,which,382.489087707505,onetreehill
312,tomorrow,377.0620244222589,onetreehill
313,drink,376.07387650930696,onetreehill
314,three,374.2906317638359,onetreehill
315,family,374.1599583237754,onetreehill
316,until,371.30751358439227,onetreehill
317,true,367.0464496205566,onetreehill
318,spend,366.4409176494246,onetreehill
