Unnamed: 0,mots,poids,serie
0,be,6481.857570378495,primeval
1,you,3820.073037453205,primeval
2,not,2353.7712605833176,primeval
3,to,2265.7468553900853,primeval
4,the,2176.864039071591,primeval
5,it,2150.46245443532,primeval
6,do,2025.645929508784,primeval
7,we,1599.4923318958322,primeval
8,what,1465.5029336241978,primeval
9,that,1266.7809446088993,primeval
10,get,1245.3475097768771,primeval
11,have,1227.3096686690642,primeval
12,go,1151.3054709304342,primeval
13,this,1065.380984818982,primeval
14,of,833.8471336508112,primeval
15,know,830.9032906675361,primeval
16,can,805.458709300161,primeval
17,and,756.3140440223667,primeval
18,he,728.4592039487902,primeval
19,in,715.5323863181496,primeval
20,here,689.2425048334051,primeval
21,on,686.0,primeval
22,there,684.2025982414399,primeval
23,they,657.4308579454192,primeval
24,anomaly,655.1279191548585,primeval
25,she,651.0772853994639,primeval
26,come,633.3566070217629,primeval
27,just,599.0321503275677,primeval
28,no,586.372704006686,primeval
29,ve,577.9908506628894,primeval
30,think,567.2268161204912,primeval
31,will,565.7177121016505,primeval
32,right,542.5254362055224,primeval
33,your,501.7751749841359,primeval
34,connor,495.0538978637687,primeval
35,for,494.0913938773239,primeval
36,now,492.4205637842364,primeval
37,all,490.6884381055492,primeval
38,out,477.1847379964221,primeval
39,my,475.7177368927758,primeval
40,if,473.05482268290257,primeval
41,so,439.0916302828816,primeval
42,well,428.1546766308942,primeval
43,abby,425.4013356730081,primeval
44,with,425.0526562679387,primeval
45,yeah,416.3640913537306,primeval
46,its,410.70768684273486,primeval
47,about,407.8336463352347,primeval
48,cutter,385.5432716702615,primeval
49,look,362.4129093151198,primeval
50,see,362.0414171634913,primeval
51,would,353.1792429208099,primeval
52,how,349.8961597375114,primeval
53,like,343.64772833195656,primeval
54,back,343.3555015589732,primeval
55,tell,340.56569853078094,primeval
56,where,339.3389480212934,primeval
57,want,328.49435540355216,primeval
58,leek,324.47923273251376,primeval
59,say,322.0174053880471,primeval
60,something,309.3964451566316,primeval
61,ok,287.0666383750673,primeval
62,up,282.94293473611424,primeval
63,but,277.200011733446,primeval
64,thing,274.76864307119547,primeval
65,find,274.6845292678415,primeval
66,really,271.6938731756785,primeval
67,at,266.2829023484197,primeval
68,one,264.44342035886115,primeval
69,need,264.08080419934714,primeval
70,let,255.6420412783248,primeval
71,help,255.4242738980857,primeval
72,could,254.27939280794476,primeval
73,happen,251.32560553144825,primeval
74,take,251.16252298021053,primeval
75,why,238.0128648520348,primeval
76,who,234.94521807146904,primeval
77,work,231.1879699157269,primeval
78,sorry,231.0357862302885,primeval
79,make,228.23900757939717,primeval
80,good,224.0892129464298,primeval
81,stay,214.15870003259363,primeval
82,then,214.0773383154471,primeval
83,way,212.65375740665124,primeval
84,stephen,205.9927637333826,primeval
85,time,202.0104172788871,primeval
86,should,199.4826649310237,primeval
87,some,196.0105945840287,primeval
88,any,192.05835042334292,primeval
89,mean,185.3911134610512,primeval
90,down,183.5950537244368,primeval
91,lester,182.33312826822623,primeval
92,maybe,179.8614192001033,primeval
93,from,179.3905868452512,primeval
94,try,177.4001171911783,primeval
95,oh,174.69461170089951,primeval
96,rex,174.0025887591337,primeval
97,kill,168.0612485991558,primeval
98,give,167.94996932376597,primeval
99,keep,166.30010423486036,primeval
100,call,162.59909855356304,primeval
101,re,161.885637150167,primeval
102,leave,160.6888796061103,primeval
103,nothing,158.6752432346899,primeval
104,an,156.0,primeval
105,as,155.0,primeval
106,never,154.8719196711209,primeval
107,too,150.15724182855075,primeval
108,very,149.99021896580308,primeval
109,more,148.45212921348175,primeval
110,please,147.29437803659062,primeval
111,anything,143.47906743657902,primeval
112,yes,142.6493797371232,primeval
113,helen,141.64197354991708,primeval
114,sprat,141.09785691205553,primeval
115,creature,139.158981862267,primeval
116,thank,138.34711683037415,primeval
117,jenny,137.7725957867712,primeval
118,through,136.2872893105864,primeval
119,when,135.15852076654355,primeval
120,still,132.8217062541095,primeval
121,much,127.97324434614616,primeval
122,claudia,127.7831511199888,primeval
123,wait,126.00180513939132,primeval
124,people,124.73251741583871,primeval
125,god,120.80009734347432,primeval
126,might,120.44337229938456,primeval
127,her,119.67887404200448,primeval
128,raptor,118.3394848789168,primeval
129,two,117.02863248838536,primeval
130,fine,115.8219227542854,primeval
131,talk,114.11614231036536,primeval
132,again,114.11299748897436,primeval
133,stop,112.08303380840545,primeval
134,listen,111.79229308784144,primeval
135,over,111.6146354477848,primeval
136,our,110.03332790647217,primeval
137,nick,109.54847758941538,primeval
138,guy,109.24115526836644,primeval
139,man,109.1530749531209,primeval
140,idea,108.91687065142172,primeval
141,only,108.6605245804253,primeval
142,becker,108.20130071263232,primeval
143,ill,107.29080783456206,primeval
144,everything,106.59559340207318,primeval
145,own,105.63843426649224,primeval
146,put,105.11006927998552,primeval
147,use,104.16724090757585,primeval
148,run,103.9714973386071,primeval
149,other,103.413635390071,primeval
150,someone,103.413635390071,primeval
151,his,101.76185694994754,primeval
152,or,100.59239143476375,primeval
153,off,99.2121056690586,primeval
154,close,98.03125165059588,primeval
155,little,97.96483419893944,primeval
156,caroline,97.64981885294786,primeval
157,wrong,97.04971936606664,primeval
158,than,97.04971936606664,primeval
159,arc,96.70048476551682,primeval
160,must,96.44965765245855,primeval
161,sir,96.3363924612598,primeval
162,kind,95.89195523847476,primeval
163,before,94.89401801290278,primeval
164,us,93.550370992595,primeval
165,die,93.5067323436453,primeval
166,detector,93.25599683501429,primeval
167,shoot,92.2870208765256,primeval
168,dead,91.0908422945755,primeval
169,valerie,90.09732271926248,primeval
170,bit,89.06867360569696,primeval
171,by,88.85452264633227,primeval
172,danny,88.8494729516047,primeval
173,open,88.08696302298657,primeval
174,sure,85.68849415067254,primeval
175,hear,85.09001670509393,primeval
176,bad,84.41115234037657,primeval
177,exactly,84.06329263365964,primeval
178,into,81.98803853518801,primeval
179,move,81.7551905455015,primeval
180,hell,80.28533518688299,primeval
181,away,79.58333816913189,primeval
182,even,79.19052582612397,primeval
183,predator,77.90577877417384,primeval
184,place,77.0,primeval
185,another,76.36699228805243,primeval
186,these,76.32607360484106,primeval
187,long,76.0,primeval
188,lose,75.8015085095994,primeval
189,lucien,75.2495680517347,primeval
190,professor,74.52198041123002,primeval
191,mammoth,74.12413397713365,primeval
192,few,73.63059770933533,primeval
193,which,73.24259126313926,primeval
194,ever,73.18503427605025,primeval
195,first,73.14289530524086,primeval
196,whatever,72.94841350175287,primeval
197,hope,72.39488072679136,primeval
198,suppose,72.18461467290274,primeval
199,meet,71.59405527004915,primeval
200,job,71.41311747417087,primeval
201,those,70.96099148501719,primeval
202,because,69.98736498477751,primeval
203,fog,69.55793877296485,primeval
204,door,69.06353878734302,primeval
205,enough,68.99134269490735,primeval
206,silurian,68.82421037376757,primeval
207,ask,68.67436005822127,primeval
208,safe,68.67436005822127,primeval
209,minute,67.53600285869412,primeval
210,hold,66.70341609991307,primeval
211,actually,66.31673954704806,primeval
212,until,66.01022463722529,primeval
213,nice,65.92428702428197,primeval
214,hurt,65.52616941295776,primeval
215,believe,65.4041524364012,primeval
216,probably,64.95998085603436,primeval
217,fire,64.7575453317848,primeval
218,big,64.40764387678641,primeval
219,forget,64.06338964527112,primeval
220,life,63.95134736478869,primeval
221,year,62.899124082433545,primeval
222,hey,61.859295421862434,primeval
223,every,61.491028901391005,primeval
224,gun,61.12962661470675,primeval
225,many,61.0594577894334,primeval
226,friend,61.02851380544435,primeval
227,new,60.9975139551227,primeval
228,name,60.94172404600319,primeval
229,future,60.62210951342519,primeval
230,erm,60.60819434015676,primeval
231,ll,58.862536308598045,primeval
232,pretty,58.59016006209101,primeval
233,after,58.514316244192685,primeval
234,last,58.30558569183459,primeval
235,home,57.66275598700312,primeval
236,feel,57.04831374466756,primeval
237,else,56.7062356242674,primeval
238,quinn,56.63260285210784,primeval
239,always,56.6317781821838,primeval
240,trust,56.54490461860375,primeval
241,bring,56.44793186885062,primeval
242,sound,56.29574542789401,primeval
243,clear,55.59352957094103,primeval
244,girl,55.53731548322811,primeval
245,world,55.50074258630952,primeval
246,cretaceous,54.95451348091764,primeval
247,save,54.83513381545489,primeval
248,quick,54.71131012631465,primeval
249,ago,54.45843532571087,primeval
250,follow,54.45843532571087,primeval
251,333,54.40953853323135,primeval
252,seem,54.20748354599864,primeval
253,soon,54.20748354599864,primeval
254,change,53.85142393270176,primeval
255,care,53.84955756176431,primeval
256,mate,53.82054063861654,primeval
257,control,53.48842328786841,primeval
258,anyway,52.80817970978024,primeval
259,mind,52.65645268818112,primeval
260,hello,52.60304198385756,primeval
261,james,52.59899990068971,primeval
262,artefact,52.52080364532621,primeval
263,yet,51.876102931577165,primeval
264,around,51.33610810534085,primeval
265,oi,51.05832273032126,primeval
266,start,50.43194195713307,primeval
267,day,50.21495757808957,primeval
268,least,50.202680256365,primeval
269,love,49.92421864264432,primeval
270,matter,49.78046846578506,primeval
271,understand,49.73755466028605,primeval
272,trap,49.68478892902163,primeval
273,water,49.3354955853985,primeval
