Unnamed: 0,mots,poids,serie
0,be,15406.633510782069,robinhood
1,you,9483.3037049272,robinhood
2,the,5976.002859468966,robinhood
3,to,5381.437485279204,robinhood
4,not,5048.314536290793,robinhood
5,do,3956.6136591963264,robinhood
6,it,3876.343212858075,robinhood
7,we,3725.663720080561,robinhood
8,have,3267.172346620285,robinhood
9,he,3215.6270574310884,robinhood
10,gisborne,2919.640269949457,robinhood
11,and,2849.879006461092,robinhood
12,will,2677.0570304810244,robinhood
13,what,2605.9721426702663,robinhood
14,that,2449.2005373748857,robinhood
15,this,2329.967555442068,robinhood
16,of,2248.0432425980475,robinhood
17,marian,2067.90639083304,robinhood
18,robin,1926.735609503399,robinhood
19,my,1913.3550850232853,robinhood
20,they,1904.125779809659,robinhood
21,your,1883.998523673769,robinhood
22,get,1865.7787421387068,robinhood
23,go,1820.787066361348,robinhood
24,for,1679.4178799371382,robinhood
25,in,1575.2806024368565,robinhood
26,know,1553.5550962833156,robinhood
27,no,1542.069301040839,robinhood
28,sheriff,1539.1493825178093,robinhood
29,can,1505.2609950635035,robinhood
30,come,1434.2008501226142,robinhood
31,well,1382.908353351611,robinhood
32,nottingham,1220.4088075338063,robinhood
33,there,1209.4203603769852,robinhood
34,would,1199.8634101015014,robinhood
35,on,1191.0,robinhood
36,if,1180.4802718014073,robinhood
37,here,1171.56010755347,robinhood
38,think,1157.8927568740603,robinhood
39,with,1106.262873598013,robinhood
40,hood,1094.22470637984,robinhood
41,she,1074.9329678407255,robinhood
42,ve,1068.542059815239,robinhood
43,now,1049.8233134051022,robinhood
44,all,988.8303714734612,robinhood
45,so,956.3964572099017,robinhood
46,right,929.1703245435426,robinhood
47,want,899.5219264788858,robinhood
48,tell,843.5307810831843,robinhood
49,see,837.6941577046471,robinhood
50,his,837.222550360932,robinhood
51,good,828.0369697898565,robinhood
52,just,813.3777775774794,robinhood
53,take,799.8330344905514,robinhood
54,man,793.0305037410417,robinhood
55,make,783.8208023450348,robinhood
56,let,774.2721595038918,robinhood
57,say,768.4859819405569,robinhood
58,locksley,752.1502990847456,robinhood
59,need,739.1137300963976,robinhood
60,then,737.5511217875257,robinhood
61,yes,716.2500435221871,robinhood
62,like,716.0525887419011,robinhood
63,but,711.6480301229559,robinhood
64,out,683.8395457901482,robinhood
65,kill,673.7868407140465,robinhood
66,djaq,662.0745593565682,robinhood
67,how,659.0716457124677,robinhood
68,back,656.569107942922,robinhood
69,one,640.5692561119987,robinhood
70,give,640.4073596644535,robinhood
71,why,631.589693659648,robinhood
72,about,621.9463106612329,robinhood
73,king,612.4497030977701,robinhood
74,where,606.2855871313776,robinhood
75,much,605.9456027474149,robinhood
76,could,605.8755902707819,robinhood
77,from,564.8000507705956,robinhood
78,look,561.9294238509698,robinhood
79,who,556.9071835768156,robinhood
80,help,554.9959531612726,robinhood
81,at,545.1792053343962,robinhood
82,find,544.6601808910915,robinhood
83,up,540.5820297803808,robinhood
84,lardner,529.333333535225,robinhood
85,when,494.6226717413936,robinhood
86,our,493.621734913757,robinhood
87,die,491.6644313552962,robinhood
88,should,490.531143273009,robinhood
89,john,485.0589755983197,robinhood
90,allan,465.5598145816854,robinhood
91,time,465.3454255174364,robinhood
92,leave,456.6109747223135,robinhood
93,as,441.0,robinhood
94,nightwatchman,437.4229318928879,robinhood
95,more,428.6933935450545,robinhood
96,way,427.7518108754479,robinhood
97,must,410.6888648427268,robinhood
98,mean,385.1660202078736,robinhood
99,people,382.6064860058873,robinhood
100,very,380.6203406013928,robinhood
101,castle,376.8110653389341,robinhood
102,father,375.7819464412056,robinhood
103,friend,370.6365838428206,robinhood
104,thank,366.21295631569626,robinhood
105,something,364.0877359671472,robinhood
106,because,359.7025037589728,robinhood
107,never,354.6566960468669,robinhood
108,really,353.202035128382,robinhood
109,wait,351.47871959935475,robinhood
110,guy,346.65859938494947,robinhood
111,oh,345.3732553167209,robinhood
112,please,343.6868820853781,robinhood
113,yeah,341.52740826727575,robinhood
114,an,337.0,robinhood
115,by,331.0743857507175,robinhood
116,sorry,328.4008675701958,robinhood
117,too,324.3396423496696,robinhood
118,love,319.78485995423523,robinhood
119,isabella,317.7288720729728,robinhood
120,work,316.27798662082085,robinhood
121,or,315.6888880133543,robinhood
122,thing,313.1441518800217,robinhood
123,nothing,308.0166486320451,robinhood
124,prince,304.558616018571,robinhood
125,dead,302.656669559396,robinhood
126,little,299.05054650202567,robinhood
127,some,295.5715315155988,robinhood
128,only,294.72306667019467,robinhood
129,off,291.88489059157814,robinhood
130,outlaw,289.92946536823524,robinhood
131,life,287.10072965894494,robinhood
132,lord,286.3005349117148,robinhood
133,down,284.5022588248906,robinhood
134,try,282.8812679535005,robinhood
135,day,277.5037129315476,robinhood
136,money,272.34968734035215,robinhood
137,save,270.950072970483,robinhood
138,any,268.55616796484395,robinhood
139,their,264.8868173674249,robinhood
140,england,263.62173702108163,robinhood
141,still,259.3929792727315,robinhood
142,bring,258.0476885433171,robinhood
143,stay,255.7118806359327,robinhood
144,use,249.02481029467347,robinhood
145,away,247.75944901710872,robinhood
146,keep,247.07444057750683,robinhood
147,before,244.235423410258,robinhood
148,us,240.73628802094447,robinhood
149,guard,238.17311553742317,robinhood
150,her,235.5382095507535,robinhood
151,forest,234.44976991186635,robinhood
152,happen,233.25644434944863,robinhood
153,stop,230.3357758998424,robinhood
154,than,229.10097686415727,robinhood
155,believe,228.91453352740425,robinhood
156,move,225.64432590558417,robinhood
157,run,225.27157756698205,robinhood
158,land,223.817259634037,robinhood
159,saracen,222.4835930854753,robinhood
160,brother,221.395408010556,robinhood
161,other,219.55510282815072,robinhood
162,after,217.96582800961767,robinhood
163,these,217.1345197379099,robinhood
164,into,216.0069476792453,robinhood
165,holy,215.53667863234432,robinhood
166,sir,212.8027773771112,robinhood
167,hear,210.31683374277932,robinhood
168,again,209.9679153797128,robinhood
