Unnamed: 0,mots,poids,serie
0,etre,7029.31128310222,rome
1,le,6116.647131313758,rome
2,de,4589.79539216704,rome
3,je,4578.983874319964,rome
4,avoir,3554.395140839464,rome
5,ce,3345.1782445770536,rome
6,ne,3155.6136499073127,rome
7,que,3066.610204763348,rome
8,pas,2821.2764409473803,rome
9,un,2751.1789077523,rome
10,il,2291.8932717755065,rome
11,tu,2149.615201216596,rome
12,et,1808.7978339884432,rome
13,nous,1443.173926339045,rome
14,te,1435.719763842786,rome
15,en,1204.8478459133623,rome
16,pouvoir,1195.38002125064,rome
17,mon,1180.385631362681,rome
18,faire,1158.4273848957482,rome
19,taire,1000.3531823405496,rome
20,aller,986.903055519164,rome
21,bien,955.3145963354436,rome
22,me,921.782988847036,rome
23,cela,883.4364498303,rome
24,moi,872.4135750238798,rome
25,tout,839.656132737117,rome
26,cesar,837.1870993673141,rome
27,lui,775.331279809435,rome
28,devoir,766.8836486098589,rome
29,pullo,764.0320543729109,rome
30,mais,753.3828447224098,rome
31,si,744.3737591049494,rome
32,pour,728.8827088545235,rome
33,vorenus,723.205914062908,rome
34,toi,714.4695376543093,rome
35,pompee,711.5413025457643,rome
36,se,669.5723244022557,rome
37,dire,662.8518943976234,rome
38,qui,657.4810013302576,rome
39,vous,651.7238227054678,rome
40,antoine,645.0361826492291,rome
41,homme,626.280841073562,rome
42,sur,615.644691497058,rome
43,son,584.3233563788708,rome
44,avec,580.7615761662935,rome
45,comme,542.6495404966367,rome
46,ton,531.1835546440409,rome
47,luire,496.61628346101,rome
48,voir,486.36703615287263,rome
49,savoir,485.2925758115283,rome
50,dans,455.7316789706443,rome
51,atia,431.5906261343161,rome
52,vouloir,413.8469028841749,rome
53,alors,411.66197810219296,rome
54,non,403.4156168073863,rome
55,ou,389.4233273764176,rome
56,bon,382.4263773253316,rome
57,lucius,367.6897123302843,rome
58,au,358.71892925552885,rome
59,octave,348.52431518698177,rome
60,pourquoi,343.12195016264303,rome
61,rome,340.33031116238664,rome
62,plus,327.5396845581561,rome
63,rien,326.6099422692117,rome
64,ici,326.6099422692117,rome
65,tres,318.7720950098628,rome
66,on,312.0,rome
67,peu,301.21608153819,rome
68,par,299.34673234581936,rome
69,notre,297.5130741222042,rome
70,quelque,292.84896816212915,rome
71,quand,288.15581251522934,rome
72,parler,285.81519495444275,rome
73,oui,282.4437448329608,rome
74,femme,281.91827194100136,rome
75,quoi,278.3218467999292,rome
76,venir,271.094473384371,rome
77,croire,261.8215099879474,rome
78,autre,251.51172075028688,rome
79,servilia,250.78914761858908,rome
80,traduction,248.1329866178832,rome
81,aimer,247.14608034295927,rome
82,julii,244.95684186001725,rome
83,ami,244.3874225568104,rome
84,penser,239.86228656960344,rome
85,meme,238.7251563928644,rome
86,legion,238.10217503053352,rome
87,chose,237.05587189416275,rome
88,senat,233.2287940802284,rome
89,veux,233.18967486781565,rome
90,maintenant,227.7352749984273,rome
91,aussi,226.5271127287352,rome
92,celer,215.53667863234432,rome
93,titus,210.6589683435176,rome
94,gaius,208.28251267576408,rome
95,quel,206.53942631149383,rome
96,prendre,205.11443402612952,rome
97,la,201.39203466201977,rome
98,jamais,198.03067391167588,rome
99,enfant,197.292300152468,rome
100,mere,193.3516464452752,rome
101,vraiment,193.21430203333296,rome
102,aventin,192.46609003287068,rome
103,republique,192.35704913854067,rome
104,encore,192.2008219912408,rome
105,sans,192.05835042334292,rome
106,tuer,191.664307204744,rome
107,consul,190.8701369014787,rome
108,mourir,189.0967622989748,rome
109,toujours,187.497984572014,rome
110,ciceron,185.00970880842817,rome
111,frere,183.1316268219234,rome
112,niobe,180.801478515727,rome
113,synchro,177.2353864745062,rome
114,merci,176.85636227962618,rome
115,peuple,176.13798672020766,rome
116,esclave,175.9494357842315,rome
117,posca,174.96917275715518,rome
118,domina,173.65890081483758,rome
119,as,173.0,rome
120,argent,170.689112871641,rome
121,partir,168.12658526731929,rome
122,soldat,167.36895621224218,rome
123,mort,166.96908938358055,rome
124,votre,165.9077526710867,rome
125,marc,164.97694328648578,rome
126,gaule,164.1483177352717,rome
127,caton,163.30456124001148,rome
128,comment,161.8510311674574,rome
129,pere,160.648576820368,rome
130,aucun,160.47124805712906,rome
131,mascius,157.47225548143965,rome
132,petit,153.62962010268052,rome
133,fai,153.2389291988503,rome
134,arriver,152.02539289622754,rome
135,memmio,151.6399497228678,rome
136,octavie,151.6399497228678,rome
137,yellow,150.2973772219322,rome
138,temps,149.90764812931005,rome
139,vie,148.23934454066386,rome
140,seul,146.27012918256776,rome
141,brutu,143.57750676868312,rome
142,nom,143.53902675222014,rome
143,fille,143.2450859902296,rome
144,dis,141.65730546069568,rome
145,vrai,141.22633162454818,rome
146,vorenu,139.97533820572414,rome
147,fils,138.51202463878508,rome
148,dieu,137.9826853898147,rome
149,demander,136.82285360660478,rome
150,trop,135.32096050631185,rome
151,demande,133.25124278160894,rome
152,mieux,131.58560224683882,rome
153,hein,130.97556060541993,rome
154,trouver,130.06616947788356,rome
155,cassius,128.31072668858044,rome
156,lyde,128.31072668858044,rome
157,romain,128.05806675147826,rome
158,laisser,127.77620480316264,rome
159,besoin,127.18012331612466,rome
160,excellence,126.82698786756224,rome
161,beaucoup,126.70484132179836,rome
162,falloir,126.68782741352295,rome
163,famille,126.09493895048944,rome
164,moins,124.99865638134264,rome
165,fait,124.8414772574514,rome
166,celui,124.41367309781626,rome
167,quintus,123.33980587228544,rome
168,passer,123.198826240906,rome
169,avant,120.99768200734223,rome
170,assez,119.93114328480172,rome
171,nouveau,119.91352420781516,rome
172,eirene,118.20064729427357,rome
173,timon,116.64611517143678,rome
174,affaire,114.8636301882608,rome
175,deux,113.52189951026033,rome
176,mettre,113.1744591560805,rome
177,jour,113.01306347019766,rome
178,agrippa,110.81380941286494,rome
179,garcon,109.05008032511844,rome
180,entendre,109.05008032511844,rome
181,ville,107.81997331215948,rome
182,donc,107.09905121357866,rome
183,donner,106.9317586057614,rome
184,chef,106.8334320938664,rome
185,fois,106.1067832752769,rome
186,plait,105.48115076232224,rome
187,raison,105.31158044506805,rome
188,gaulois,104.9815036542931,rome
189,heureux,104.01545378513156,rome
190,sang,103.48701404236104,rome
191,reste,102.55721701306476,rome
192,desoler,101.35026193081836,rome
193,vieux,100.87595116039157,rome
194,ainsi,99.36957785804326,rome
195,envoyer,99.19468530771836,rome
196,maison,98.55906099272478,rome
197,juste,98.38068125713966,rome
198,entrer,97.97191986645774,rome
199,personne,97.05851516230568,rome
200,ordre,96.40018608631752,rome
201,gens,96.28274883427744,rome
202,sai,95.27375895963397,rome
203,attendre,94.59357780209712,rome
204,rendre,94.1508877496988,rome
205,tant,92.90440676991685,rome
206,jusque,92.90440676991685,rome
207,voila,91.93481009047834,rome
208,esperer,91.21523573773652,rome
209,rester,90.7883560443524,rome
210,importer,90.316690990161,rome
211,cleopatre,90.06874120540806,rome
212,revenir,87.83689367337591,rome
213,glabius,87.48458637857759,rome
214,plebe,87.01131301145293,rome
215,honneur,85.04941190522013,rome
216,armee,84.63739220803333,rome
217,tribun,84.47421655158702,rome
218,depuis,84.4585516090153,rome
219,sou,84.16303641246225,rome
220,mari,83.67113376060833,rome
221,mal,83.25970114086617,rome
222,chez,83.00827009822449,rome
223,droit,82.38202678098645,rome
224,guerre,82.38202678098645,rome
225,macedoine,82.2265372481903,rome
226,egypte,81.54454530039682,rome
227,occuper,81.08020954465468,rome
228,tyran,80.90434627928066,rome
229,magnus,80.0614015323923,rome
230,parle,79.95074566896537,rome
231,battre,79.76554248598569,rome
232,probleme,79.58008745645768,rome
233,sub,79.54659077989649,rome
