Unnamed: 0,mots,poids,serie
0,be,33704.79665200583,sixfeetunder
1,you,19262.34708284708,sixfeetunder
2,to,10185.467515056347,sixfeetunder
3,it,9677.707271649222,sixfeetunder
4,do,8115.441251344193,sixfeetunder
5,the,7897.836801912922,sixfeetunder
6,have,7886.543913620934,sixfeetunder
7,that,7202.010246847372,sixfeetunder
8,we,5842.107526750719,sixfeetunder
9,and,5122.109460458724,sixfeetunder
10,what,4732.947217541184,sixfeetunder
11,of,4530.60538335499,sixfeetunder
12,this,4488.765866785795,sixfeetunder
13,know,4088.687847562964,sixfeetunder
14,just,3940.55272348182,sixfeetunder
15,get,3873.583910962652,sixfeetunder
16,not,3706.7943248526526,sixfeetunder
17,in,3616.489270383206,sixfeetunder
18,so,3564.8751733591453,sixfeetunder
19,he,3549.6776352418906,sixfeetunder
20,my,3522.670183933282,sixfeetunder
21,she,3454.933603954202,sixfeetunder
22,like,3371.7737361440927,sixfeetunder
23,for,3351.4428711878327,sixfeetunder
24,think,3175.220083627653,sixfeetunder
25,with,2985.220807762576,sixfeetunder
26,your,2963.8187002396294,sixfeetunder
27,go,2866.8520592221494,sixfeetunder
28,they,2658.504967037352,sixfeetunder
29,want,2657.120229923125,sixfeetunder
30,fuck,2509.4116888200324,sixfeetunder
31,gon,2486.545989926214,sixfeetunder
32,no,2479.5837987259474,sixfeetunder
33,would,2238.904129230134,sixfeetunder
34,fucking,2215.2676399527845,sixfeetunder
35,all,2213.688092921744,sixfeetunder
36,well,2164.212507787549,sixfeetunder
37,yeah,2121.2797987596928,sixfeetunder
38,can,2022.5658219905235,sixfeetunder
39,about,1994.0152208319157,sixfeetunder
40,there,1912.0765556664307,sixfeetunder
41,here,1903.4047981160925,sixfeetunder
42,really,1892.2679167059016,sixfeetunder
43,ll,1886.4041397945944,sixfeetunder
44,if,1862.0243020497228,sixfeetunder
45,right,1861.3971304178208,sixfeetunder
46,on,1854.0,sixfeetunder
47,but,1804.3200763740667,sixfeetunder
48,at,1688.7941964728725,sixfeetunder
49,how,1677.0884897763478,sixfeetunder
50,did,1629.8314363743232,sixfeetunder
51,come,1625.615291355858,sixfeetunder
52,make,1599.1746254740654,sixfeetunder
53,up,1591.8415515235044,sixfeetunder
54,out,1585.605979799135,sixfeetunder
55,say,1572.7516755908969,sixfeetunder
56,na,1512.766593372471,sixfeetunder
57,good,1512.602187388401,sixfeetunder
58,see,1473.917568619569,sixfeetunder
59,nate,1422.3947298878688,sixfeetunder
60,now,1403.615214071196,sixfeetunder
61,take,1396.3440265685515,sixfeetunder
62,some,1381.4079999255357,sixfeetunder
63,tell,1376.4530315619063,sixfeetunder
64,when,1376.0287699317255,sixfeetunder
65,okay,1365.5568361574658,sixfeetunder
66,why,1330.0718918201949,sixfeetunder
67,could,1326.333869893292,sixfeetunder
68,one,1326.0682195665222,sixfeetunder
69,need,1300.0901129814013,sixfeetunder
70,who,1241.438930056651,sixfeetunder
71,thing,1221.8762004730258,sixfeetunder
72,thank,1173.509073349409,sixfeetunder
73,sorry,1170.0312316948184,sixfeetunder
74,oh,1147.5628803110812,sixfeetunder
75,because,1083.990350694461,sixfeetunder
76,look,1080.924914194225,sixfeetunder
77,should,1080.80361901153,sixfeetunder
78,time,1073.7815632740844,sixfeetunder
79,shit,1055.024249434536,sixfeetunder
80,feel,1051.5391884827914,sixfeetunder
81,never,1032.9957042063766,sixfeetunder
82,god,1012.8623546491308,sixfeetunder
83,something,1009.4449675312322,sixfeetunder
84,mean,1002.0709322420612,sixfeetunder
85,his,962.1121020722312,sixfeetunder
86,from,958.6184484543112,sixfeetunder
87,let,924.1312871498062,sixfeetunder
88,ca,913.0389434761188,sixfeetunder
89,too,905.448168226161,sixfeetunder
90,work,887.8260233569234,sixfeetunder
91,even,886.9338892525886,sixfeetunder
92,then,865.6850031150196,sixfeetunder
93,love,864.9033554036489,sixfeetunder
94,give,864.8638607233182,sixfeetunder
95,maybe,860.0646045386759,sixfeetunder
96,her,858.1229904713938,sixfeetunder
97,more,855.8719694450734,sixfeetunder
98,people,818.4695524814585,sixfeetunder
99,life,800.0721755424627,sixfeetunder
100,yes,795.833381691319,sixfeetunder
101,much,794.0508534730754,sixfeetunder
102,where,776.7091476931827,sixfeetunder
103,guy,774.8839280369459,sixfeetunder
104,little,763.0944979706861,sixfeetunder
105,try,757.5464463839506,sixfeetunder
106,or,754.4429357607281,sixfeetunder
107,call,752.3653204258086,sixfeetunder
108,way,722.2894863639706,sixfeetunder
109,back,716.8528982929706,sixfeetunder
110,talk,711.3733546620178,sixfeetunder
111,mom,697.9033840686768,sixfeetunder
112,hey,692.8241087248593,sixfeetunder
113,happen,686.6281249159827,sixfeetunder
114,very,677.3751824262074,sixfeetunder
115,any,675.459452760062,sixfeetunder
116,as,675.0,sixfeetunder
