Unnamed: 0,mots,poids,serie
0,be,56420.05528040855,southpark
1,you,28260.932236603698,southpark
2,to,21548.846239336897,southpark
3,the,19830.61406118448,southpark
4,we,17201.143426765084,southpark
5,not,16378.624575018064,southpark
6,it,14264.191551289376,southpark
7,do,13401.05630803128,southpark
8,that,12531.742749568166,southpark
9,have,11497.547989026649,southpark
10,and,11224.138856215994,southpark
11,00,11172.924814007596,southpark
12,br,10237.977658090707,southpark
13,what,9291.972880702842,southpark
14,get,8515.60554104333,southpark
15,go,8477.56429365736,southpark
16,of,7967.39318129999,southpark
17,this,7932.809105798959,southpark
18,in,6548.508025482229,southpark
19,all,6432.366411419072,southpark
20,they,6283.463591607371,southpark
21,can,6199.424955056435,southpark
22,my,5941.884901024368,southpark
23,just,5567.308278636779,southpark
24,for,5500.309182714149,southpark
25,your,5405.791218495757,southpark
26,cartman,5078.712954194805,southpark
27,he,5044.059659342552,southpark
28,well,5005.034413316621,southpark
29,will,4840.1696216197015,southpark
30,right,4789.506245262274,southpark
31,on,4704.0,southpark
32,with,4685.431432834331,southpark
33,now,4678.717380237319,southpark
34,here,4403.240196441224,southpark
35,know,4362.242276004565,southpark
36,oh,4218.774473374597,southpark
37,no,4147.791414000782,southpark
38,come,4088.668763107159,southpark
39,so,4058.8532574273872,southpark
40,see,3920.348065351947,southpark
41,like,3772.935728632025,southpark
42,there,3582.836842243557,southpark
43,think,3567.434769154494,southpark
44,yeah,3419.3560835683825,southpark
45,our,3311.697521851738,southpark
46,out,3311.48673822189,southpark
47,make,3163.8130853275643,southpark
48,but,3034.0801284279,southpark
49,say,3019.496540377775,southpark
50,about,3004.8600442485326,southpark
51,let,2944.291096102085,southpark
52,how,2907.757741266905,southpark
53,ve,2891.43628113666,southpark
54,if,2877.151064402699,southpark
55,want,2862.8129571384334,southpark
56,guy,2825.7045496084115,southpark
57,kyle,2684.22093782468,southpark
58,up,2656.9031676439995,southpark
59,dude,2638.731841558967,southpark
60,take,2635.711476274472,southpark
61,at,2559.1188404642867,southpark
62,look,2538.1531279560654,southpark
63,would,2497.481789225727,southpark
64,butters,2424.32777360627,southpark
65,people,2256.397225162925,southpark
66,who,2217.476780439976,southpark
67,god,2185.2427865595164,southpark
68,tell,2139.5724671586563,southpark
69,really,2100.0338197225974,southpark
70,one,2089.8732443894464,southpark
71,time,2076.61899190856,southpark
72,why,2070.5563602487478,southpark
73,good,2060.5276409952203,southpark
74,from,2058.787281841203,southpark
75,some,2054.999963853189,southpark
76,then,1987.6377688850268,southpark
77,need,1964.1986442519487,southpark
78,hey,1930.010017162108,southpark
79,kid,1887.377221729071,southpark
80,okay,1875.401467215248,southpark
81,stan,1843.3353746093817,southpark
82,his,1790.0835745286226,southpark
83,she,1785.7287514535633,southpark
84,yes,1767.3507363220424,southpark
85,back,1765.2666435112094,southpark
86,kenny,1758.3732743389976,southpark
87,little,1715.673609457742,southpark
88,boy,1677.5556745016188,southpark
89,could,1601.0183991611336,southpark
90,where,1566.991853307217,southpark
91,over,1548.8253116458038,southpark
92,give,1538.2333638999123,southpark
93,down,1489.782764191422,southpark
94,thing,1487.434721430103,southpark
95,mean,1465.5487158946892,southpark
96,us,1460.6331257643833,southpark
97,because,1451.8309201493382,southpark
98,child,1436.6540424189864,southpark
99,should,1429.0807307353664,southpark
100,wait,1424.1519817728572,southpark
101,try,1408.0135427516043,southpark
102,mr,1375.5947462324218,southpark
103,09,1339.641440286189,southpark
104,uh,1330.6963758193735,southpark
105,too,1324.3868729278176,southpark
106,more,1316.376533535874,southpark
107,when,1286.8816604899628,southpark
108,thank,1266.2830222827188,southpark
109,find,1265.1184605136016,southpark
110,friend,1259.271284863559,southpark
111,04,1249.9792141348082,southpark
112,their,1245.949103913443,southpark
113,hell,1231.5467454138843,southpark
114,03,1230.9012447651069,southpark
115,something,1229.7727390821667,southpark
116,very,1201.5345497798205,southpark
117,07,1192.0035845483822,southpark
118,help,1169.9062421751828,southpark
119,05,1166.857324860049,southpark
120,mom,1157.6201716652276,southpark
121,as,1157.0,southpark
122,way,1137.8198169286914,southpark
123,eric,1133.580331274313,southpark
124,south,1130.189678752168,southpark
125,ass,1119.9203943355428,southpark
126,06,1115.8686014207865,southpark
127,08,1113.9074966731223,southpark
128,man,1103.7826252912532,southpark
129,work,1088.510025019881,southpark
130,everyone,1082.36273755528,southpark
131,kill,1077.7505758789898,southpark
132,again,1075.7051896627315,southpark
133,please,1073.8235302022413,southpark
134,park,1065.6240835353913,southpark
135,by,1063.819901272526,southpark
136,dad,1056.2246036387007,southpark
137,never,1054.6777729603334,southpark
138,only,1049.3927373862991,southpark
139,or,1043.3785281797304,southpark
140,great,1040.679722139408,southpark
141,garrison,1037.7378756798712,southpark
142,an,1034.0,southpark
143,those,1028.1092487247838,southpark
144,sorry,1018.2077150292,southpark
145,talk,1018.153113860013,southpark
146,day,1016.1921678302862,southpark
147,wanna,1001.5475911587496,southpark
148,into,987.0098485197632,southpark
149,off,984.9317736710888,southpark
150,put,974.5204994672944,southpark
151,school,970.2647465128372,southpark
152,any,970.0574309518,southpark
153,call,949.41338053733,southpark
154,sure,940.5086526658156,southpark
155,show,913.9072589504988,southpark
156,these,913.280949685512,southpark
157,maybe,909.1177188659768,southpark
158,leave,903.6760754086204,southpark
159,02,896.089498565967,southpark
160,love,885.1429035020183,southpark
161,timmy,873.9058317957051,southpark
162,jesus,873.3851027458041,southpark
163,stupid,868.5063684351145,southpark
164,use,849.6140586524153,southpark
165,must,844.7123242787903,southpark
166,two,841.1432960102698,southpark
167,other,825.7181041145668,southpark
168,year,817.6886130716362,southpark
169,play,817.6777431741206,southpark
170,much,817.1785482344272,southpark
171,happen,816.3975552230703,southpark
172,start,816.0805153063351,southpark
173,keep,814.0786054925545,southpark
174,big,805.0955484598301,southpark
175,believe,797.9306597240948,southpark
176,away,797.3349541096045,southpark
177,hello,796.5603500412716,southpark
178,alright,795.7644058828988,southpark
179,even,785.57001619515,southpark
180,asshole,780.0648059588915,southpark
181,money,777.489889558212,southpark
182,feel,775.5486976639942,southpark
183,01,772.5900157231099,southpark
184,stop,766.0721118097435,southpark
185,tweek,765.1845317153781,southpark
186,still,764.1154630383476,southpark
187,hear,760.9937343059344,southpark
188,ever,758.896985862521,southpark
