Unnamed: 0,mots,poids,serie
0,etre,2786.2168937906918,spaced
1,je,1978.7140776949288,spaced
2,le,1758.0411758893304,spaced
3,ce,1561.181553931417,spaced
4,avoir,1527.8784867996978,spaced
5,de,1305.5608250043806,spaced
6,un,1061.3800495004743,spaced
7,que,1013.029781317123,spaced
8,pas,965.3966979794894,spaced
9,tu,708.270649631622,spaced
10,aller,647.2873532791792,spaced
11,cela,570.9398088769434,spaced
12,te,529.018648088726,spaced
13,et,515.3969404851738,spaced
14,il,506.348513531798,spaced
15,faire,469.8516666010728,spaced
16,vous,438.2040264015351,spaced
17,on,420.0,spaced
18,en,383.5793042378869,spaced
19,ne,371.3263968274518,spaced
20,pouvoir,358.10962661939004,spaced
21,lui,353.1699685572638,spaced
22,me,350.502056652256,spaced
23,tout,310.0741111753156,spaced
24,mon,296.5219943519777,spaced
25,bien,290.0329134414336,spaced
26,daisy,289.05978735980887,spaced
27,moi,280.7940422193899,spaced
28,quoi,278.3218467999292,spaced
29,dans,276.6942336607483,spaced
30,dire,276.0684679486848,spaced
31,pour,275.0909480669376,spaced
32,qui,269.61451133686825,spaced
33,voir,259.83992342413745,spaced
34,oui,256.34839884295894,spaced
35,se,255.90333734112187,spaced
36,vouloir,244.9297996661444,spaced
37,non,240.30957227609804,spaced
38,taire,235.37721937424695,spaced
39,mais,228.4451206577629,spaced
40,toi,227.40452552879825,spaced
41,comme,213.52777776938663,spaced
42,bon,201.2069093244776,spaced
43,avec,200.91211283590692,spaced
44,savoir,199.13729835024785,spaced
45,devoir,197.6330107650958,spaced
46,tim,196.2124573092036,spaced
47,si,186.09343977623732,spaced
48,marsha,185.16831839876065,spaced
49,vraiment,176.55789668563185,spaced
50,pourquoi,159.90149133793074,spaced
51,ou,159.86852387031882,spaced
52,brian,159.51807726125455,spaced
53,sur,157.6651039199783,spaced
54,ca,142.34780378604057,spaced
55,au,137.76886413436978,spaced
56,croire,135.13368257442448,spaced
57,ouai,128.4951437819525,spaced
58,alors,127.18012331612466,spaced
59,merci,123.6556679353484,spaced
60,ton,121.89264727621148,spaced
61,mike,120.4260419961926,spaced
62,plus,120.06277826247523,spaced
63,colin,119.1552802222672,spaced
64,veux,118.26047796867792,spaced
65,tres,117.19562316539074,spaced
66,quelque,117.13958726485166,spaced
67,nous,116.6685455401443,spaced
68,peu,115.46616458963948,spaced
69,juste,114.50866179109696,spaced
70,merde,113.79274191442732,spaced
71,passer,110.05761810854268,spaced
72,son,109.43513031837958,spaced
73,petit,109.28292564005108,spaced
74,quand,108.26663476005726,spaced
75,salut,108.05746957751404,spaced
76,aimer,105.91974871841114,spaced
77,chose,105.00461439607209,spaced
78,la,102.34677171348544,spaced
79,comment,97.33698377903032,spaced
80,venir,97.05851516230568,spaced
81,penser,94.59357780209712,spaced
82,aussi,89.94458887758603,spaced
83,bisley,87.48458637857759,spaced
84,steiner,86.31587698851607,spaced
85,ici,86.21176141116248,spaced
86,luire,86.1477226411956,spaced
87,prendre,84.06329263365964,spaced
88,arriver,82.76938057683499,spaced
89,deux,81.98803853518801,spaced
90,autre,79.95074566896537,spaced
91,vrai,79.01949507564005,spaced
92,parler,79.01949507564005,spaced
93,fait,78.84724879417983,spaced
94,oh,78.31137765902392,spaced
95,fai,78.28510513419525,spaced
96,toujours,77.70186748029407,spaced
97,partir,77.33822922296686,spaced
98,ami,77.25795938892716,spaced
99,jamais,74.26150271687845,spaced
100,notre,73.18503427605025,spaced
101,chien,71.61719768812338,spaced
102,sortir,70.61316581227409,spaced
103,heure,69.9569024603447,spaced
104,allez,69.31073586908656,spaced
105,bonjour,67.57075882284784,spaced
106,par,66.67268129520522,spaced
107,appeler,65.87767025503193,spaced
108,soir,64.95998085603436,spaced
109,rien,64.65882105837186,spaced
110,temps,63.29434032126424,spaced
111,twist,63.17165932798029,spaced
112,vulva,62.24415956432728,spaced
113,as,61.0,spaced
114,trouver,60.810157158491016,spaced
115,sai,60.778087612180286,spaced
116,meme,60.49884100367112,spaced
117,falloir,57.4318150941304,spaced
118,gros,55.48177313821536,spaced
119,mettre,54.05347302976979,spaced
120,mal,53.96462110982066,spaced
121,quel,53.300497112643576,spaced
122,votre,52.56483252945322,spaced
123,besoin,51.876102931577165,spaced
124,maintenant,51.1579240938496,spaced
125,nouveau,50.922181512907805,spaced
126,probleme,49.73755466028605,spaced
127,fois,49.73755466028605,spaced
128,trop,49.50766847791897,spaced
129,duane,49.01034601665452,spaced
130,ok,48.93181335938648,spaced
131,monde,48.75670972752259,spaced
132,truc,47.0754438748494,spaced
133,parce,47.0754438748494,spaced
134,sophie,45.826928690690494,spaced
135,sans,45.57316789706442,spaced
136,avant,44.147802894570816,spaced
137,jour,43.94952468285464,spaced
138,entrer,43.91844683668796,spaced
139,mec,43.03579735996318,spaced
140,laisser,42.03164631682982,spaced
141,maison,41.06627541363533,spaced
142,pler,40.32593781601754,spaced
143,mieux,39.97537283448269,spaced
144,amber,39.85706891957056,spaced
145,voila,39.79267899438615,spaced
146,fete,39.0342016420781,spaced
147,rester,38.66911461148343,spaced
148,putain,38.4192478124456,spaced
149,hein,38.13212523955264,spaced
150,genre,37.870441125888206,spaced
151,bilbo,37.86954775922983,spaced
152,encore,37.50259941292504,spaced
153,depuis,37.16176270796673,spaced
154,chercher,37.16176270796673,spaced
155,argent,36.81529885466767,spaced
156,accord,36.43287094680487,spaced
157,beaucoup,36.42764188001704,spaced
158,tard,35.972283840020665,spaced
159,boire,35.80859884406169,spaced
160,demander,35.472591675786425,spaced
161,sentir,35.472591675786425,spaced
162,travailler,35.306582906137045,spaced
163,super,35.07543392567498,spaced
164,benzie,34.99383455143104,spaced
165,aujourd,34.97845123017235,spaced
166,desole,34.97845123017235,spaced
167,hui,34.81628826220023,spaced
168,ah,34.205002028178214,spaced
169,donner,34.02374137456044,spaced
170,perdre,33.62531705346385,spaced
171,peur,33.46845350424333,spaced
172,apres,32.853020330908265,spaced
173,entendre,32.55226278361745,spaced
174,air,32.514067280121814,spaced
175,amie,32.39825609700819,spaced
176,oublier,32.24564483476017,spaced
177,gens,32.094249611425816,spaced
178,essayer,32.094249611425816,spaced
179,dernier,32.094249611425816,spaced
180,idee,31.79503082903117,spaced
181,donc,31.79503082903117,spaced
182,semaine,31.79503082903117,spaced
183,travail,31.64717016063212,spaced
184,bas,31.354856702682014,spaced
185,anniversaire,31.283301534295287,spaced
186,genial,30.985774099173494,spaced
187,artiste,30.56531875664839,spaced
188,vie,30.564813307353376,spaced
189,damien,30.437626710810115,spaced
190,enfin,30.405078579245508,spaced
191,acheter,30.405078579245508,spaced
192,nathbot,30.29759853256895,spaced
193,connaitre,30.26278534811747,spaced
194,femme,30.092399813927116,spaced
195,fille,29.981529625862013,spaced
196,porte,29.84253279617163,spaced
197,portfolio,29.374985942712776,spaced
198,tellement,28.9879133499547,spaced
199,boulot,28.9879133499547,spaced
200,sarah,28.781535255675035,spaced
201,revenir,28.7159075470652,spaced
202,desoler,28.7159075470652,spaced
203,regarder,28.7159075470652,spaced
204,prend,28.58151949544428,spaced
205,mois,28.3158890910919,spaced
206,nuit,28.3158890910919,spaced
207,trois,27.925067281272025,spaced
208,pardon,27.18434075521471,spaced
209,chambre,27.15422722927173,spaced
210,ecoute,27.02673651488489,spaced
211,jouer,27.02673651488489,spaced
212,vien,27.02673651488489,spaced
213,chance,27.0,spaced
214,personne,26.774762803394665,spaced
215,resynch,26.721819166207016,spaced
216,a6,26.38150409495362,spaced
217,revoir,26.095345990001807,spaced
218,ecrire,25.94493590302564,spaced
219,cas,25.687552212858545,spaced
220,ecrivain,25.364688925675093,spaced
221,devenir,25.33756548270459,spaced
222,meilleur,25.33756548270459,spaced
223,finir,25.33756548270459,spaced
224,seulement,25.33756548270459,spaced
225,tirer,25.21898779009789,spaced
226,aider,25.21898779009789,spaced
