Unnamed: 0,mots,poids,serie
0,be,5330.134430655075,swingtown
1,you,3368.487146742386,swingtown
2,to,1809.5949655434576,swingtown
3,not,1791.5693284586523,swingtown
4,the,1588.8779829578789,swingtown
5,it,1343.882477349504,swingtown
6,do,1285.7533309057485,swingtown
7,that,1027.3035587322438,swingtown
8,have,979.0724115638892,swingtown
9,we,974.1478059591471,swingtown
10,and,902.0963162759532,swingtown
11,what,781.2214081965568,swingtown
12,go,704.9844073098253,swingtown
13,of,656.9377805864735,swingtown
14,this,652.213843891953,swingtown
15,get,626.411292432787,swingtown
16,in,611.2532478469775,swingtown
17,for,602.5204279451655,swingtown
18,know,585.1431624419268,swingtown
19,just,539.4128367878573,swingtown
20,well,535.9746499430537,swingtown
21,think,514.0981336188473,swingtown
22,with,474.3137257029647,swingtown
23,your,473.67576518502426,swingtown
24,my,454.749461988411,swingtown
25,she,450.0735597056697,swingtown
26,janet,441.24074710764137,swingtown
27,want,437.48080042061855,swingtown
28,can,429.4865008704436,swingtown
29,will,417.97447032510337,swingtown
30,so,411.6484033902015,swingtown
31,about,397.6378051768538,swingtown
32,on,396.0,swingtown
33,susan,393.495099179846,swingtown
34,all,386.3395044324704,swingtown
35,right,380.5319256765495,swingtown
36,he,357.9856659405484,swingtown
37,uh,351.50470304662696,swingtown
38,no,351.14179367842246,swingtown
39,at,350.3722399321312,swingtown
40,like,347.96129814365474,swingtown
41,would,342.14239157953455,swingtown
42,here,339.2959792005504,swingtown
43,they,334.7746995528517,swingtown
44,how,325.76539010044166,swingtown
45,if,324.9555924812644,swingtown
46,trina,307.085697905268,swingtown
47,out,303.093718097465,swingtown
48,see,299.9338937170346,swingtown
49,come,299.7887939903011,swingtown
50,up,299.0453781763809,swingtown
51,bruce,292.3573534241942,swingtown
52,one,291.40124476437614,swingtown
53,there,289.5795229071654,swingtown
54,good,288.3099020225408,swingtown
55,yeah,284.37939572852844,swingtown
56,oh,275.09381382785324,swingtown
57,say,273.79257656181784,swingtown
58,make,268.78146287310585,swingtown
59,laurie,264.3168020081828,swingtown
60,roger,244.53459066506863,swingtown
61,tell,239.65734341054957,swingtown
62,take,228.7372977141203,swingtown
63,okay,223.2292708955696,swingtown
64,why,219.34518917736543,swingtown
65,but,209.6640088747519,swingtown
66,could,204.051364598968,swingtown
67,time,199.6055313589004,swingtown
68,now,197.83465465818296,swingtown
69,look,196.99098903539613,swingtown
70,let,193.9353416594188,swingtown
71,thing,191.87754404413093,swingtown
72,who,188.5362861067344,swingtown
73,should,188.03693825465348,swingtown
74,hey,185.57788626558727,swingtown
75,thank,183.92028472743857,swingtown
76,some,182.00983782802663,swingtown
77,need,178.13734721139392,swingtown
78,ve,173.39725519886684,swingtown
79,night,170.5594992949214,swingtown
80,really,167.81092166733083,swingtown
81,our,166.5782325250759,swingtown
82,back,166.43568205339537,swingtown
83,something,162.51126412267516,swingtown
84,sorry,158.4245391293407,swingtown
85,talk,157.09494915452893,swingtown
86,little,153.39230617991834,swingtown
87,from,152.7622966104092,swingtown
88,maybe,152.0646544146328,swingtown
89,mean,150.23072987361044,swingtown
90,guy,148.56797116497833,swingtown
91,more,148.45212921348175,swingtown
92,too,145.65252457369422,swingtown
93,tom,139.21318544059815,swingtown
94,work,138.07059314411467,swingtown
95,tonight,135.59560219281093,swingtown
96,day,134.78751770960884,swingtown
97,two,134.58292736164316,swingtown
98,call,133.66197084487808,swingtown
99,sure,132.14611146127814,swingtown
100,bj,126.73611461344792,swingtown
101,where,126.6865405946162,swingtown
102,when,125.09352453924778,swingtown
103,party,124.74637137499532,swingtown
104,then,120.32083978313447,swingtown
105,last,119.60120141914788,swingtown
106,swingtown,119.39049431020084,swingtown
107,give,119.29156699631976,swingtown
108,an,118.0,swingtown
109,might,115.56053288184194,swingtown
110,kind,115.07034628616972,swingtown
111,feel,114.09662748933512,swingtown
112,over,111.6146354477848,swingtown
113,as,111.0,swingtown
114,way,109.99332279654374,swingtown
115,home,108.77292606639226,swingtown
116,mom,106.60099422528717,swingtown
117,other,106.59559340207318,swingtown
118,off,106.40138868855558,swingtown
119,still,106.2573650032876,swingtown
120,leave,105.00461439607209,swingtown
121,try,103.88295150834766,swingtown
122,down,103.71018301991084,swingtown
123,her,103.12754039789748,swingtown
124,find,100.45605641795348,swingtown
125,help,99.33166207147778,swingtown
126,or,98.4521277872156,swingtown
127,always,98.2727915514366,swingtown
128,keep,98.19625202439374,swingtown
129,great,96.9483292822738,swingtown
130,love,95.80052766561478,swingtown
131,only,92.2870208765256,swingtown
132,guess,91.61022941235616,swingtown
133,much,90.9689327279834,swingtown
134,new,90.961205020797,swingtown
135,into,89.87150377895608,swingtown
136,actually,89.52759838851487,swingtown
137,any,89.51872265494798,swingtown
138,kid,88.63795859132479,swingtown
139,friend,87.82151986637113,swingtown
140,husband,87.01797911103266,swingtown
141,um,87.01674743387743,swingtown
142,never,86.72827501582772,swingtown
143,doug,84.21716650384172,swingtown
144,than,82.7309083120568,swingtown
145,house,81.28635966425445,swingtown
146,job,81.0059242990595,swingtown
147,anything,80.41134548643439,swingtown
148,stay,79.90996269872896,swingtown
149,today,79.33762161734495,swingtown
150,sylvia,78.63053566959279,swingtown
151,nice,78.48129407652615,swingtown
152,wife,77.92216896778147,swingtown
153,these,77.64204039113142,swingtown
154,first,77.5314690235553,swingtown
155,dad,77.20459777763442,swingtown
156,while,76.84987911277142,swingtown
157,mareno,75.97576910649144,swingtown
158,reems,75.97576910649144,swingtown
159,his,75.55046955374893,swingtown
160,melinda,75.5435926169794,swingtown
161,hi,75.15187019544902,swingtown
162,yes,75.07862091427538,swingtown
163,meet,74.77601328205134,swingtown
164,morning,74.67070269867759,swingtown
