Unnamed: 0,mots,poids,serie
0,be,4096.45346450939,thenine
1,you,2411.321400127063,thenine
2,to,1504.7238290383698,thenine
3,not,1214.9888302949928,thenine
4,the,1185.080329964125,thenine
5,do,1032.109264717978,thenine
6,it,1030.7691322074943,thenine
7,that,930.6962042024568,thenine
8,we,803.2203022031199,thenine
9,what,719.9211882103307,thenine
10,and,692.7398200320808,thenine
11,have,667.6194554443528,thenine
12,get,629.4013224682657,thenine
13,go,602.2798443744011,thenine
14,she,595.7284333968249,thenine
15,know,555.8860043198305,thenine
16,this,553.3488494558426,thenine
17,in,532.4892177251346,thenine
18,he,517.206034803641,thenine
19,of,489.7368676293251,thenine
20,for,454.66265421629055,thenine
21,there,435.7887918259794,thenine
22,just,387.5255380081185,thenine
23,here,380.3766582965812,thenine
24,they,371.1303230337044,thenine
25,egan,369.02516423152986,thenine
26,well,359.3999110405316,thenine
27,all,357.7677725934131,thenine
28,my,352.52912182963274,thenine
29,so,349.9011428816713,thenine
30,with,346.23494517189704,thenine
31,your,341.2071189892124,thenine
32,no,340.9143627945849,thenine
33,on,333.0,thenine
34,want,331.5643961082583,thenine
35,can,330.6908840567952,thenine
36,think,328.1477448630941,thenine
37,about,327.7234658050993,thenine
38,will,324.53002680831287,thenine
39,out,308.1035316197371,thenine
40,right,304.1198924081661,thenine
41,come,294.158957483441,thenine
42,would,279.0746696293899,thenine
43,yeah,273.49406000686224,thenine
44,if,271.7548981369866,thenine
45,see,259.0338173010753,thenine
46,okay,254.9223155288912,thenine
47,lizzie,253.06927851847288,thenine
48,say,252.01362160803689,thenine
49,ve,246.0166184872812,thenine
50,now,235.37991758601328,thenine
51,how,230.75048465447952,thenine
52,tell,230.19718511802787,thenine
53,at,228.4427004357496,thenine
54,take,218.2721925899449,thenine
55,why,213.1226306191423,thenine
56,eva,211.34912165631627,thenine
57,kathryn,208.28251267576408,thenine
58,franny,207.69880967798997,thenine
59,up,201.2805430033333,thenine
60,randall,191.9849815204728,thenine
61,but,191.5200081067445,thenine
62,need,187.5129970646252,thenine
63,like,182.60778869522375,thenine
64,let,180.71247745536752,thenine
65,hey,179.39195672340108,thenine
66,from,175.1861199660656,thenine
67,bank,170.23475364211686,thenine
68,good,168.06690970982234,thenine
69,really,167.81092166733083,thenine
70,make,166.67453842969132,thenine
71,thank,166.01654019644897,thenine
72,thing,164.24717770177608,thenine
73,look,159.1081065285892,thenine
74,back,157.2620617827358,thenine
75,one,155.32841681272913,thenine
76,uh,153.28776523837868,thenine
77,oh,142.56686702027432,thenine
78,talk,137.82858746576596,thenine
79,could,136.5574516931555,thenine
80,happen,136.34003437326928,thenine
81,his,132.5987832984165,thenine
82,her,131.13748964177086,thenine
83,call,130.90605392024142,thenine
84,some,130.67372972268578,thenine
85,hear,128.43776106429272,thenine
86,day,128.1802864493339,thenine
87,time,125.05406783931107,thenine
88,try,124.6595418100172,thenine
89,should,122.63278581825226,thenine
90,who,121.8234464074284,thenine
91,way,119.7705070451254,thenine
92,mean,116.6685455401443,thenine
93,then,114.07040654764698,thenine
94,please,109.28292564005108,thenine
95,any,109.05008032511844,thenine
96,when,107.839245292455,thenine
97,work,107.56662489134516,thenine
98,sorry,107.2666150354911,thenine
99,something,104.69475669441572,thenine
100,malcolm,103.24290990987184,thenine
101,nick,101.94094442348376,thenine
102,jeremy,101.28216344007592,thenine
103,down,100.9072051004538,thenine
104,never,97.5693093928062,thenine
105,hale,96.92625208528972,thenine
106,over,96.45709236228316,thenine
107,because,94.4015620724906,thenine
108,felicia,93.63568680976036,thenine
109,ricky,92.20025962474487,thenine
110,where,91.99855924132844,thenine
111,maybe,91.5658134109617,thenine
112,ask,91.5658134109617,thenine
113,find,91.03830112877034,thenine
114,yes,90.09434509713044,thenine
115,last,89.7009010643609,thenine
116,our,88.63795859132479,thenine
117,lucas,86.9864370008876,thenine
118,rios,86.67871099300167,thenine
119,two,86.30861646018421,thenine
120,foote,85.20648245826712,thenine
121,people,84.0893375837115,thenine
122,too,84.08805542398842,thenine
123,anything,83.56473158394162,thenine
124,or,82.40015043060434,thenine
125,um,81.2156309382856,thenine
126,keep,80.77433634264646,thenine
127,give,80.05091995805668,thenine
128,help,78.83465243768077,thenine
129,us,78.5823116337798,thenine
130,fine,77.62533120765936,thenine
131,wait,76.26425047910527,thenine
132,guy,75.74053431940072,thenine
133,feel,75.55046955374893,thenine
134,other,74.77601328205134,thenine
135,off,74.76854340276878,thenine
136,even,74.43909427655655,thenine
137,as,74.0,thenine
138,move,73.57967149095136,thenine
139,everything,73.18503427605025,thenine
140,reese,73.02547286308008,thenine
141,into,72.52788024266631,thenine
142,mother,70.31737389923444,thenine
143,ed,70.29907060691276,thenine
144,leave,70.00307626404806,thenine
145,year,69.35031629601647,thenine
146,cop,67.2506341069277,thenine
147,hi,66.95348435594549,thenine
148,man,66.82841323660463,thenine
149,through,66.594925458582,thenine
150,more,65.13715873652771,thenine
151,an,65.0,thenine
152,much,64.7575453317848,thenine
153,very,64.51192213582928,thenine
154,by,64.51081781172068,thenine
155,life,63.95134736478869,thenine
156,nothing,63.78122522178711,thenine
157,great,63.62234109149218,thenine
158,everybody,62.899124082433545,thenine
159,kates,62.24415956432728,thenine
160,hour,60.49947420717212,thenine
161,cavanaugh,60.25318395810909,thenine
162,dalton,58.83868001351347,thenine
163,tom,58.00549393358256,thenine
164,today,57.558666663563976,thenine
165,yet,56.89637095721366,thenine
166,gonna,56.18141208585622,thenine
167,before,56.0030270240082,thenine
168,sure,55.74914077272671,thenine
169,put,55.55817947656378,thenine
170,phone,55.184256706376544,thenine
171,got,54.83502942186387,thenine
172,money,54.77423879470769,thenine
173,night,54.63233961790451,thenine
174,only,53.58601212185357,thenine
175,guess,53.300497112643576,thenine
176,those,52.80817970978024,thenine
177,bad,52.58399653990672,thenine
178,inside,52.32332194912097,thenine
179,don,52.17646158494696,thenine
180,first,51.2000267136686,thenine
181,use,50.45600731460704,thenine
182,little,50.27142807577155,thenine
183,lot,50.202146559078585,thenine
184,always,49.96921604310335,thenine
185,stay,49.54417687321196,thenine
186,someone,49.32034918603386,thenine
187,remember,49.32034918603386,thenine
188,friend,49.12051111169911,thenine
189,home,48.48913571634353,thenine
190,still,48.440857575028176,thenine
191,god,48.010295098047486,thenine
192,robbery,47.71237047372823,thenine
193,die,46.75336617182265,thenine
194,minute,46.36800196268551,thenine
195,kill,46.25538952270343,thenine
196,re,46.253039185762006,thenine
197,pm,45.00182247113943,thenine
198,these,44.74287073387234,thenine
199,again,44.12369236240342,thenine
200,might,43.94555475788356,thenine
201,else,43.74481033872057,thenine
202,whole,43.34774435919879,thenine
203,mom,43.30665390402291,thenine
204,hurt,43.15137985731364,thenine
205,together,42.51269908366079,thenine
206,after,42.42287927703969,thenine
207,away,42.04402771199421,thenine
208,shoot,41.67800942810834,thenine
209,long,41.0,thenine
210,hell,40.90007641595926,thenine
211,send,40.35038046415663,thenine
212,pregnant,40.35031125185809,thenine
213,wife,39.79004372822884,thenine
214,sit,39.77447515002731,thenine
215,since,39.606134782335175,thenine
216,door,39.24064703826308,thenine
217,later,38.66911461148343,thenine
218,mr,38.47817471978802,thenine
219,actually,38.13212523955264,thenine
220,juliana,37.98788455324572,thenine
221,love,37.78048978362273,thenine
222,easy,37.67102115673255,thenine
223,believe,37.6073876509307,thenine
224,everyone,37.43510220116006,thenine
225,listen,37.26409769594715,thenine
226,father,37.09435522810183,thenine
227,pretty,37.004311618162745,thenine
228,security,36.758582841415326,thenine
229,hand,36.730178344586896,thenine
230,three,36.51615919647179,thenine
231,next,36.51615919647179,thenine
232,honey,35.643919535253794,thenine
233,bring,35.481557174706104,thenine
234,start,35.14953530345638,thenine
235,him,35.001417477552884,thenine
236,hold,34.741362552038055,thenine
237,month,34.65536793454328,thenine
238,nielson,34.412105186883785,thenine
239,their,34.337180029110634,thenine
240,which,34.17987592279832,thenine
241,than,33.41055912602294,thenine
242,job,33.04189017461638,thenine
243,each,32.853020330908265,thenine
244,card,32.853020330908265,thenine
245,name,32.8147744863094,thenine
246,change,32.514067280121814,thenine
247,head,32.46313250140943,thenine
248,doctor,32.40356321386709,thenine
249,judith,32.29616073127455,thenine
250,kind,31.963985079491582,thenine
251,huh,31.96205354787501,thenine
252,few,31.79503082903117,thenine
253,ready,31.500451284847827,thenine
254,idea,31.354856702682014,thenine
255,hello,31.31133451420093,thenine
256,morning,31.112792791115663,thenine
257,big,31.011087792526787,thenine
258,jones,30.92464964443657,thenine
259,carlos,30.563853700069902,thenine
260,hospital,30.50396825276952,thenine
261,sister,30.430132663726496,thenine
262,guard,30.405078579245508,thenine
263,run,30.325020057093734,thenine
264,place,30.0,thenine
265,check,29.93731673745929,thenine
266,week,29.8442878996535,thenine
267,understand,29.84253279617163,thenine
268,word,29.82289174907994,thenine
269,hostage,29.573640712968647,thenine
270,nine,29.56771829781744,thenine
271,soon,29.56771829781744,thenine
272,matter,29.55715315155988,thenine
273,around,29.55715315155988,thenine
274,myself,29.297036505255704,thenine
275,hearing,29.15922355698055,thenine
276,kid,29.036572641985707,thenine
277,gun,29.036572641985707,thenine
278,corcoran,28.89290366433389,thenine
279,them,28.767586571542427,thenine
280,ever,28.63762210801966,thenine
281,show,28.52394690856738,thenine
282,school,28.40528533704762,thenine
283,own,28.38047487756508,thenine
284,somebody,28.3158890910919,thenine
285,scared,28.184614307495423,thenine
286,answer,28.05434547082075,thenine
287,stuff,27.796764785470515,thenine
288,break,27.635302512097624,thenine
289,anyone,27.417566907727444,thenine
290,woman,27.32795279834509,thenine
291,bathroom,27.238841067291748,thenine
292,daughter,27.15422722927173,thenine
293,meet,27.046643102018567,thenine
294,tomorrow,27.046643102018567,thenine
295,hope,26.97064183939286,thenine
296,tonight,26.803781828811463,thenine
297,problem,26.77569778871425,thenine
298,outside,26.774762803394665,thenine
299,stop,26.73540255980313,thenine
300,nice,26.683639986018893,thenine
301,already,26.650248556321788,thenine
302,damn,26.650248556321788,thenine
303,hard,26.628290234841973,thenine
304,whatever,26.526695818819224,thenine
305,negotiator,26.47740600608106,thenine
306,lawyer,26.44918506501041,thenine
307,ago,26.40408985489012,thenine
308,walk,26.32822634409056,thenine
309,mind,26.32822634409056,thenine
310,most,26.28241626472661,thenine
311,enough,26.28241626472661,thenine
312,forget,26.28241626472661,thenine
313,lose,25.804768854331712,thenine
314,save,25.804768854331712,thenine
315,turn,25.57118806359327,thenine
316,girl,25.35399185103892,thenine
317,company,25.340968264359677,thenine
318,care,25.340968264359677,thenine
319,every,25.227088780057848,thenine
320,stand,25.151895601369112,thenine
321,teller,25.09004988763574,thenine
322,five,25.001732941950024,thenine
323,dead,24.97652127431909,thenine
324,alone,24.89023423289253,thenine
325,course,24.777395898989653,thenine
