,24,90210,alias,angel,battlestargalactica,betteroffted,bionicwoman,blade,bloodties,bones,breakingbad,buffy,burnnotice,californication,caprica,charmed,chuck,coldcase,community,criminalminds,cupid,daybreak,demons,desperatehousewives,dexter,dirt,dirtysexymoney,doctorwho,dollhouse,eleventhhour,entourage,eureka,extras,fearitself,flashforward,flashpoint,flightoftheconchords,fridaynightlights,friends,fringe,futurama,garyunmarried,ghostwhisperer,gossipgirl,greek,greysanatomy,heroes,house,howimetyourmother,intreatment,invasion,jake,jekyll,jericho,johnfromcincinnati,knightrider,kylexy,legendoftheseeker,leverage,lietome,life,lost,madmen,mastersofscifi,medium,melroseplace,mental,merlin,moonlight,mynameisearl,ncis,ncislosangeles,niptuck,onetreehill,oz,painkillerjane,primeval,prisonbreak,privatepractice,psych,pushingdaisies,raines,reaper,robinhood,rome,samanthawho,sanctuary,scrubs,sexandthecity,sixfeetunder,skins,smallville,sonsofanarchy,southpark,spaced,stargateatlantis,stargatesg1,stargateuniverse,supernatural,swingtown,the4400,thebigbangtheory,theblackdonnellys,thekillpoint,thelostroom,thementalist,thenine,theoc,thepretender,theriches,thesarahconnorchronicles,theshield,thesopranos,thetudors,thevampirediaries,thewire,torchwood,traveler,trucalling,trueblood,uglybetty,v,veronicamars,weeds,whitechapel,womensmurderclub,xfiles
24,1.0000000000000002,0.16640733052247605,0.24419708631626397,0.20099997936023167,0.22231017372936038,0.1573876141798465,0.15387368492544093,0.10495202411693284,0.1584336088038317,0.21229948568047402,0.17722642128012428,0.14767728762868926,0.2103981651170301,0.15414177418033398,0.13666727127802578,0.2176426144667988,0.2044544040665595,0.2144656358374244,0.14456147116244739,0.23594462168388744,0.1302749604757258,0.14100401384066263,0.10790594783038125,0.1926563124710738,0.19540309818603288,0.16979122868629284,0.15252419854631757,0.18035183512691427,0.19306418969563946,0.1813005271244695,0.17977444687398006,0.18893190526229606,0.1292838036270912,0.12119793470894101,0.1857393510452126,0.17008158184892516,0.1349045650834118,0.18398921992853737,0.13191928657736118,0.21686582777237035,0.1723662989140616,0.16114334967335944,0.20500530339900658,0.17387089999742283,0.1916973161895743,0.19381251030574423,0.20933381014247454,0.20300375212698565,0.1821362911122608,0.19502298078883004,0.15063265928358804,0.13718526694302727,0.127761201518323,0.20401282292372983,0.14604705150903846,0.20345639181016062,0.19438271979061023,0.14531835817728003,0.2010584157499307,0.20953843906964187,0.17807607678772883,0.21459209457960282,0.18084782510500047,0.12511001996815563,0.22480358808924225,0.16144460174335654,0.16744934214268647,0.13358032166095807,0.17427257830653647,0.17515730564865606,0.2460742493697121,0.20037326118738674,0.2004429208573043,0.18708150192316225,0.17243519405572072,0.1959209892671534,0.07618141977434421,0.2266255368225094,0.17305517849100793,0.1954511732531379,0.1639133848558695,0.14853566145740454,0.16776668574266598,0.15507669069862767,0.10674715454201524,0.13394142354828786,0.1944763057566629,0.17425509860227179,0.17012355458628028,0.19831553237509944,0.1371424221960135,0.23591941314563336,0.16620602011021998,0.17605932024834625,0.09608093946806529,0.22546781996926712,0.234173601693974,0.1833213835751885,0.1781480398573366,0.1360370304972536,0.21151434699173874,0.17955814748655788,0.1401039141279846,0.14570627516973772,0.10926944820091247,0.20529585957761792,0.1382341461641596,0.19753572544761053,0.21992260537830163,0.1449197210934116,0.1886947249930931,0.22327832720163443,0.18833321223230037,0.14617488276522828,0.15108720478501095,0.20150414763615204,0.18600277422183353,0.15185886183283295,0.17760605096472848,0.17203408345997775,0.18170219811357816,0.17278585143570865,0.2102370803009422,0.16961417686211508,0.11388049555939127,0.16159542733190688,0.18125066859260414
90210,0.16640733052247605,0.9999999999999987,0.16907578902209802,0.19622931415979572,0.16043894211909687,0.1882153700267078,0.15951968945543232,0.11073143289531157,0.17220625184673996,0.1792157039645448,0.18228659864384095,0.14153649748130898,0.17943922930058748,0.20465631534790077,0.1432241285640874,0.21278717804206193,0.19327411483234155,0.20205241595803544,0.19191537953328397,0.18648108214840062,0.1626884138103869,0.15354364731238093,0.13179614753703764,0.20748066553222796,0.18794213888059727,0.20052772697566063,0.1649858477811199,0.1536904041746675,0.18275588974590434,0.16510451020432704,0.2196874960319273,0.16926955422190296,0.16445129271188086,0.1466153524747946,0.17122201922237065,0.15955408531735976,0.18071752919450534,0.19837451271661358,0.14944633145539063,0.1707916267895592,0.18432091991450844,0.20983506284703743,0.20794625368391,0.21087710660733303,0.22841691669580602,0.1836218287947103,0.19867560534225503,0.1857038128892377,0.21095435270177632,0.20783936244963028,0.15651130137645936,0.12016097075493902,0.14535960209961354,0.18032925638486255,0.16075281259895807,0.16703309475208644,0.20972410322195856,0.13733712940342027,0.18588614783874052,0.18490911983229075,0.19060407958719558,0.19552225241355967,0.1893908900741113,0.12697879340878432,0.19671394821565266,0.20584051970833128,0.1762546253735077,0.13039057631553136,0.1831610322063858,0.21275707370116223,0.19246871337634677,0.17837182538571705,0.21537470103980424,0.21967570105590656,0.15964133562553934,0.17493597612383377,0.06825378260276468,0.1863121913206228,0.1788625658464123,0.19952848928228972,0.18204383381879694,0.16199865957576978,0.20369765177248025,0.14823742111842989,0.10542913668705962,0.17923444011461773,0.1639268960932821,0.18866210341705175,0.21050279000550373,0.21868863078138243,0.1755596775491691,0.20810787731994357,0.16545879316342482,0.17951685295542197,0.12097737208794,0.1610233523078238,0.16004369332980245,0.15821013834236128,0.18799593330741157,0.1737624204114203,0.18738635220624725,0.18662565808799217,0.1615568240558697,0.13914058404452107,0.1202347351944734,0.1991017059607877,0.158284474433801,0.23591995946209238,0.18890370214467506,0.16648809573970577,0.18058060251004474,0.18375200409354797,0.1904717599329001,0.12272184175997577,0.1905520871812438,0.16637110294062502,0.17053091236810775,0.1454238860074644,0.18988339256446385,0.19329532544271036,0.21886719521062287,0.15318391401573223,0.22573636771512154,0.19007908856500105,0.11724890865282682,0.17206883740237608,0.12828702144834153
alias,0.24419708631626397,0.16907578902209802,0.9999999999999899,0.2005680185605237,0.19757293181302676,0.16305283529468279,0.15195374117519853,0.1053755279882504,0.1651300755981505,0.20062073164723682,0.17487108302271528,0.1437890936026393,0.2050214979675789,0.15486741204832621,0.13909182219167543,0.2153501173888137,0.21169362470147765,0.19595310519144898,0.1531650934409706,0.20789528695026327,0.12652126111919626,0.13528063443360666,0.11146998197206273,0.1895508302240881,0.18829622836337986,0.16059798192905525,0.15102724603390605,0.17971997812593604,0.18930569267647276,0.1810903522759366,0.1823186269424438,0.1949163309331434,0.13000386014705667,0.11752677199423993,0.18224068143272054,0.1524522354633086,0.13940766222316886,0.1667509632672368,0.13095861289730648,0.21285241908337957,0.17791106613884294,0.16211969575892757,0.1959387372838111,0.17303288137289768,0.1924301355021313,0.18297012137461255,0.20225163141785701,0.1974860747428022,0.18729137112501357,0.1905858253656404,0.15053649731030386,0.14075036249439304,0.13038991556630833,0.18635676387908084,0.14083356473028424,0.19760592660298965,0.1942000076119961,0.1390053400425686,0.20241562947825273,0.18797124712265986,0.1755473700666305,0.2058681753721816,0.17737346808447793,0.121026412060844,0.205600718175393,0.16770359623336,0.1574417120527186,0.12824494136820888,0.16527826027548698,0.1751469979985649,0.227291406182841,0.1912200877702468,0.2010209700040642,0.1863183264428924,0.16113221122852964,0.1869204528852655,0.07235348323310781,0.20617344944741162,0.16516847448304847,0.19536321122013603,0.17441519933499094,0.14179374894259253,0.17645770380339323,0.1477273172976183,0.10039796262309139,0.1355280239937903,0.197334616481989,0.17060636616288555,0.1812917407350811,0.19324757669710374,0.14063704021662402,0.2303934708813115,0.15374212008903115,0.16957147918611884,0.10261447847590908,0.21350952825664038,0.21346235385974077,0.17613479495744497,0.17106848301532956,0.14156874160770222,0.19812709486254804,0.18435816770502028,0.131807858444672,0.13669931564550178,0.10911587947165458,0.1954001352251297,0.1331413448819784,0.19926057824599058,0.21005227721173653,0.1372366543507211,0.18030614804732586,0.19493118669479004,0.18239143877928085,0.140092492180628,0.15480330077322757,0.1783924915850823,0.18121960594144876,0.13960123138499209,0.17003832556821602,0.1697790055810266,0.1819149265401344,0.16179596404014585,0.20144344632035915,0.17089925468830547,0.10703846751824711,0.15759681265797768,0.16386416235161383
angel,0.20099997936023167,0.19622931415979572,0.2005680185605237,1.000000000000011,0.20114844640980048,0.18449044900468148,0.1416015632968913,0.10603894276751036,0.1907328667470616,0.2280017087963897,0.18470772730951376,0.19981116242217398,0.19678359768956047,0.1912748486700288,0.14107751737053692,0.2677895056730854,0.20976098942435933,0.2293097893934972,0.17145041034272512,0.2206721321692011,0.14048735735148377,0.14041091353801938,0.12514889269083412,0.22491820865988468,0.20361730721852253,0.17824806512586064,0.1605444343490069,0.20465406143149226,0.19768671718184447,0.17031390765127274,0.21194758123583224,0.19636052024345949,0.1541166650342732,0.12247815994091772,0.17596800676527175,0.1554759413958345,0.16233554509957027,0.19940196786506925,0.16332794875699838,0.1986082538893201,0.22300008130921378,0.18753299855319505,0.22206700637901375,0.19816522000887504,0.22853840181445556,0.2046841055219169,0.22241021088709167,0.2129098496779642,0.21851916003058916,0.20127934923175905,0.14907007122301338,0.12284285771493632,0.13629841781319213,0.1786645724984536,0.15863411109034312,0.17101446491112168,0.20983967247761132,0.16902961204915595,0.19675841383217657,0.1895779676161514,0.18187545929929055,0.21829156352766677,0.19345436854998702,0.12494171834617827,0.21928053661060204,0.17502948089355916,0.17210031513740315,0.15170481094792598,0.17486624253714103,0.21340230864654966,0.22971822558960558,0.17838978448795684,0.23178543800996826,0.2176176320835875,0.1857021182475621,0.1859757981074109,0.0733706976314026,0.2023578393337833,0.17399959661638248,0.2231919841428674,0.20562161951483532,0.14837729319038806,0.21068279211891602,0.17655142740754232,0.12100894098488602,0.1564862154775133,0.19749632284503088,0.2129902150433567,0.21246310347197447,0.23238219019288628,0.1686412049961721,0.2509067175290257,0.17197550957475807,0.2049503070259451,0.11067866361268237,0.2124764212093679,0.22261928590360375,0.1646041157046988,0.21574253280152522,0.14806236791735672,0.19895698718793287,0.2094402616060623,0.15505736118826952,0.13662525887639132,0.11400501483326715,0.21118145710216207,0.13828164978215512,0.24179518183489895,0.23607538038558992,0.15807741562070332,0.17968550508579076,0.21092865204868988,0.20896919685798285,0.1544138504517644,0.17857087439425776,0.19449440944354449,0.19568448184260553,0.13157575543547892,0.18229506418624752,0.20394331026355575,0.21480931633835182,0.15342726985883362,0.23395348661161028,0.19107886926683865,0.11106517139122894,0.16648959972606936,0.18527293822774685
battlestargalactica,0.22231017372936038,0.16043894211909687,0.19757293181302676,0.20114844640980048,1.0,0.16932764944519252,0.14921921540513705,0.112441297135413,0.17393013547834296,0.184961354631484,0.1699528405957333,0.14525128899018622,0.18155554535079776,0.16558734426252147,0.18555113669688045,0.21783317817779468,0.1884559410222195,0.18690706856840453,0.15225700877690507,0.19527917064164976,0.13916109216910766,0.14238946855805756,0.12631701298103987,0.18411809273379265,0.1824925954131875,0.15600233645311704,0.150416066253069,0.19725421534562487,0.20313243590396585,0.16974434945003344,0.16662025319563964,0.19436170206912762,0.1369411557999104,0.12839889743504254,0.1739314169929369,0.15987793328041164,0.14078668442777886,0.18581768197872403,0.12914073432219003,0.1944060385535933,0.1898710515926931,0.15574996445873027,0.19066432390537583,0.16651756881755103,0.19023543367426374,0.18356781248889997,0.20589328465007914,0.1899084976038368,0.1735770602832981,0.19993242566126102,0.16087560826992842,0.11999491120753782,0.1474584897758287,0.1997578788513745,0.15191245985276405,0.1952399852584167,0.20799293249897569,0.1722729379032482,0.17762764073296985,0.18510638470583324,0.17061187607183861,0.2060792956052943,0.16644970575919615,0.13892431097653143,0.19182614850800966,0.15907481287312164,0.17432438526885788,0.16191872361595666,0.17336901721108347,0.17375595694472384,0.19904754447649736,0.1695876574539316,0.1907673167937308,0.18583600876973433,0.16989331567558488,0.19323768100688238,0.08078848457363358,0.19586249098076686,0.16963942890295575,0.18355014902245498,0.18177339593639638,0.140354887302008,0.18003106959905665,0.17473802753804596,0.13237919305806037,0.1406059740971446,0.19456015450555636,0.16509860571616533,0.17264931149861862,0.18737652716730038,0.14445711504031136,0.22225205596367828,0.16455943516377147,0.17043087571318308,0.10666172038742466,0.23807892227578517,0.23376717002036643,0.21593508832202013,0.17510592652927362,0.14171548076747315,0.202009826005621,0.1796625577641949,0.14959451773744126,0.1502618981694487,0.12385263377052033,0.1897682715759113,0.14117510212412976,0.18885481438499213,0.1998767635371914,0.1435491244929224,0.18250094578223688,0.18999167473964013,0.16953854168446994,0.16385838377277073,0.16709767174652065,0.1817663749899407,0.18470791645473314,0.1451342955747698,0.17281989471126286,0.18169549843693636,0.1651310492975399,0.17352161265696878,0.18803479425462147,0.1598147984757988,0.11882544406532361,0.15664574503731865,0.15656523033880362
betteroffted,0.1573876141798465,0.1882153700267078,0.16305283529468279,0.18449044900468148,0.16932764944519252,1.0,0.164968257439318,0.11409284554995361,0.17376937643090568,0.16925534735370715,0.19291974552383515,0.13493200696532534,0.1816098036325345,0.18773497364372255,0.16935137868533032,0.19402356875948532,0.18904082047117385,0.17180347617087272,0.20176853182790735,0.16894341567968704,0.16272167521796485,0.1554358626620525,0.14393808110045966,0.18612040928458348,0.18322494888001248,0.17944071880303514,0.16015841983752707,0.15798697761435768,0.19397599015066186,0.17914286714459887,0.18959050782785997,0.17934615800883372,0.16635809889681266,0.16360190386697446,0.17889773322813393,0.15258741747741678,0.18382698917174856,0.18194158475926278,0.13554117058338896,0.18415325208408653,0.19938167100769585,0.20243910884669897,0.18069799958925603,0.17675019115549276,0.203755107884117,0.17117659772649674,0.19531988874783848,0.18372390071576652,0.19888996854895238,0.20634283606341897,0.16543483454944086,0.12517531580343572,0.1673009530558904,0.18573051945688915,0.16920576331142323,0.18485715837714892,0.20848959171827933,0.1479732258333052,0.1827586485535439,0.18072129739998394,0.18561451682312805,0.18561753993658525,0.18310914607164505,0.1417962845508233,0.1786368634683391,0.1835808946069418,0.17411704481008003,0.14405859302344742,0.17583208041437165,0.20417158679301456,0.17437849983254372,0.1683007796040399,0.18691913391539033,0.1865203677152552,0.16338650909411914,0.18556619932233304,0.07611079946442609,0.1845536186141472,0.17197969286578899,0.1915910536997942,0.19429887090165485,0.17042826396950003,0.20600698748991256,0.1564233037783178,0.11771233149600617,0.1861588558655611,0.17906551086238054,0.1780736952835327,0.19337110053972345,0.19618518164973653,0.16516051865298007,0.18930401743350903,0.1713711890233313,0.1696520497541699,0.130361319172044,0.18179312684375695,0.16925188663493465,0.18720734988293058,0.1689194336095955,0.1727207433844664,0.18100517091344814,0.20067616990958792,0.17293173928585745,0.16173469148854086,0.14325501925231396,0.18476345469791244,0.15683739454697904,0.20497897446912194,0.18628465090967214,0.16197571778296552,0.18160100945874863,0.18241190768888493,0.16385980419383084,0.12765666923433414,0.1843857373438082,0.16721093855668276,0.175072145113727,0.15206299084703867,0.1837789607223702,0.19313276460893447,0.18538884241432135,0.16949511287711536,0.19777899779161634,0.1789659343172174,0.13057290307566174,0.16890723353071502,0.12738702898486973
bionicwoman,0.15387368492544093,0.15951968945543232,0.15195374117519853,0.1416015632968913,0.14921921540513705,0.164968257439318,0.9999999999999942,0.12568607678448807,0.1643255701195689,0.13331062832593107,0.16803858402758634,0.0987622338703154,0.16268817409988445,0.1582070188282403,0.17303901169190827,0.15133397616723807,0.17170827629651358,0.136110334427775,0.16349535872000828,0.1421744643029286,0.15728497696772742,0.17212804835813403,0.155627176056485,0.13948977399425033,0.15628684551667102,0.1655048929559187,0.14692687174867528,0.13218900781080634,0.18058378642272913,0.16947820107921152,0.15042890414829274,0.15291188593568902,0.1501777813219624,0.17684885272234513,0.17052455684073872,0.15125367332624542,0.16000019105252472,0.15547562461510125,0.09775804010802212,0.16368146274948428,0.1379595406096865,0.16359214152259943,0.1549372683960189,0.14366740511201576,0.15616171357318867,0.13536110464040602,0.18074544113218033,0.14126937499622533,0.15085953277422362,0.18135828875784799,0.17152823339502563,0.13457036896206395,0.18232913352362703,0.19731833690269557,0.16930474669353718,0.18381797870931074,0.1858774523871309,0.1290474814004216,0.16427060226189225,0.17194589836346355,0.1710220320077472,0.16831418021927566,0.14641798148570737,0.1534028868159925,0.14931230737629902,0.17498730292920917,0.1774697819828634,0.1387493790378573,0.18670614297158034,0.15894078085565222,0.14319741287905707,0.1699893250329839,0.1527451830728532,0.14568604239913782,0.14198134848516056,0.19177670359126053,0.07424230092460428,0.16834873739103523,0.1424313994159646,0.14592076349322528,0.15191553071140726,0.171240043615905,0.16817224679052326,0.14243529846728598,0.09987468045942527,0.16250819504166286,0.16653397915601084,0.12919272159568185,0.15232667870001645,0.15824728018649958,0.13445875066890908,0.1539416797063896,0.1656857739032559,0.12429028868541858,0.1248016183209652,0.15801667731973934,0.1387346057674749,0.18850606190870528,0.14158929875010665,0.16202507092540402,0.17391458382742644,0.15119961675870097,0.17979107093352922,0.17293524505252714,0.15666957029070858,0.15822166154696884,0.18359832458615247,0.1662201401689644,0.152437936527872,0.14967230048692942,0.17438591952372462,0.1550591899926196,0.12945252536784263,0.11403802048614127,0.17647162096107985,0.13246184477648648,0.16789749227698092,0.1840322495668208,0.18524860961158648,0.1628368524874174,0.14368854783245422,0.19401467994838353,0.1581061026827905,0.151376281729479,0.1495947037625557,0.17249967640572264,0.09969174928926514
blade,0.10495202411693284,0.11073143289531157,0.1053755279882504,0.10603894276751036,0.112441297135413,0.11409284554995361,0.12568607678448807,0.9999999999999953,0.12131428020591414,0.09223792197824711,0.12318671215324573,0.0736754324422947,0.11026978936242202,0.11196191899223157,0.12183894507501818,0.11399335384658331,0.10854833014546662,0.10444013620778353,0.11291495122583108,0.10485105678831325,0.10628800843581296,0.12315748994456238,0.11715959549033253,0.10056561534861676,0.11258917447718675,0.12308561621232703,0.10485981164575287,0.09542808403976784,0.12235528106549984,0.11908669980743836,0.11037024154549996,0.1051572513616533,0.10814029465730761,0.12600842634252893,0.11688210108820696,0.11243185152454446,0.10363562864699838,0.10827321027751198,0.06982327492903861,0.11620581927909095,0.09712333557098492,0.11981819410811345,0.11515480803832995,0.10272672807607716,0.10771427205357688,0.0941910122498381,0.12215316313211576,0.09852115530927968,0.10488230624055564,0.12257642827159687,0.11448611088127596,0.15204399436986774,0.1322058743406416,0.13351684492154617,0.11761333210187659,0.12527393050616858,0.12648590525102213,0.10569783004328091,0.11399969022923202,0.11192837957941561,0.1197999996636221,0.12229526810040668,0.11193392408155775,0.10921916054467305,0.1061429702610237,0.1205706694651487,0.12468176902846054,0.10659054731542067,0.13003119422535772,0.10911167358282575,0.10107907758352451,0.11772851810549269,0.10241951752267889,0.11288036111440332,0.06992032287911461,0.13875501025282302,0.05102290863310576,0.11809592146810707,0.09947649082141789,0.1004663489084482,0.11135551015359021,0.12121190923758902,0.12365893148176083,0.10545531923591211,0.020714924605159845,0.11720531623741677,0.1272451640022922,0.091917243256243,0.10256187106117494,0.11047798832694539,0.09482446066961141,0.11249050123577498,0.12983218327656076,0.09196705614630633,0.031991604206512175,0.10666675811041489,0.09881628242066404,0.1277246778403826,0.10793637679561088,0.11622455966872729,0.12062323557784822,0.10726554516623492,0.121233940365921,0.12740694891371032,0.10823916366893624,0.11626203589800484,0.12239217662902845,0.1176253938365767,0.1149727286894523,0.10595771839644753,0.12422338356626547,0.10223740459949733,0.0918232216341278,0.08935981089094588,0.1363060750046975,0.09847601000992667,0.11962896894531119,0.1317406748605799,0.124139503464941,0.12916414885203406,0.09550258960990066,0.14019499292287596,0.11090942877724506,0.10646920760199641,0.10766256419246957,0.11556765246537248,0.07582615034443813
bloodties,0.1584336088038317,0.17220625184673996,0.1651300755981505,0.1907328667470616,0.17393013547834296,0.17376937643090568,0.1643255701195689,0.12131428020591414,1.0000000000000588,0.16975753223322282,0.17062746535426523,0.1307820157663196,0.1742262125217412,0.17213776530810693,0.16324686966376534,0.20650550818427418,0.17336475840087165,0.17557049571435074,0.16465695703668737,0.181369383722512,0.15550143945376163,0.1648713109146135,0.15471029783853676,0.17676864711258644,0.18270445265791166,0.18284982492677818,0.1561102846081045,0.16166266373494517,0.1800378375196794,0.17185017102547606,0.172005499598751,0.16439659641817445,0.1514228129881884,0.15696695057155038,0.17407264047381743,0.16300944132444034,0.154912311936469,0.17474702174225307,0.12329124288169914,0.1822981819715475,0.1694285359839782,0.17426805900127657,0.19683513140752024,0.16956299102252118,0.18567182122295758,0.16794733131294076,0.19770033825962544,0.1672891822242396,0.1765595667330875,0.2001693973258404,0.16505813025460753,0.1213288571218074,0.16643006538507304,0.1857042007962736,0.16239749755308247,0.17377286317224352,0.2007230443638674,0.16054500259831175,0.1693950257488949,0.17837905686163813,0.18528065376328093,0.18380470679664287,0.17257139209307504,0.1378721469759839,0.18668078189819828,0.1757690059982584,0.1792539536954188,0.1584839132322176,0.19300329595535187,0.18224761924728336,0.17454770989392013,0.17031518817187033,0.18504605799707904,0.17789702275024466,0.1643775778774286,0.19378426732208756,0.07668230103679471,0.17632262278449296,0.16258389627344266,0.17902870936262893,0.18557877973019882,0.17032120932064684,0.19341975500158104,0.168424183002523,0.11901546680981528,0.15977684082929597,0.18952065371312704,0.1580216629943981,0.1787377493395777,0.18345613475174063,0.14914796451738987,0.19258187619753853,0.16473357802758457,0.15560251019894097,0.12756777556654933,0.1829448291616148,0.17114176678806986,0.1709152887486761,0.18665285104359214,0.1538508956940212,0.19488488096332002,0.17221114260008505,0.1641087194197249,0.152742419156392,0.13943752949288904,0.18998622539180465,0.1581920066405755,0.19125229869108726,0.18051880419331237,0.15376611011056546,0.17748047304388026,0.17905371057997022,0.15790906576570082,0.14750959418918283,0.20078710863066124,0.16066018221927436,0.187586461418676,0.16757219887844613,0.18926589503552063,0.19821983086833891,0.1684037240043158,0.17835316249381458,0.1876022251541231,0.16486271076743925,0.140542913336929,0.17265903355029846,0.13260800838397013
bones,0.21229948568047402,0.1792157039645448,0.20062073164723682,0.2280017087963897,0.184961354631484,0.16925534735370715,0.13331062832593107,0.09223792197824711,0.16975753223322282,0.9999999999999499,0.1745582268436362,0.16966308108373984,0.1894478562748017,0.16881041878464392,0.11794239511392259,0.23738680320590458,0.1914945734398314,0.24620350365650992,0.16138665430254337,0.24431664926232308,0.12467256584677557,0.11724051871451036,0.09852209614646687,0.22181073848482555,0.1976172623918505,0.16225868645545768,0.14081413118278968,0.1917488455433737,0.18278369014697635,0.18284626133721749,0.19223495102914648,0.20160850617881612,0.13544097568378607,0.10616349620109984,0.16772561017315157,0.14859691676767398,0.1441338082372878,0.187315385753029,0.1551728700304266,0.20913212992330207,0.20205615606467994,0.17113150929309326,0.22043724566184256,0.18997407586472365,0.22618006205084273,0.22137535355194393,0.20256997392125542,0.2508740025547638,0.21143420050044096,0.1903060729861937,0.14252158869199655,0.11088492998283213,0.1082162671425304,0.16822625405114774,0.1371515584145298,0.17088815722680725,0.19399236997207997,0.13342082996697996,0.18980358051953555,0.19247543204647788,0.17604048704460984,0.20650887265310966,0.18026919774034242,0.10581993558428232,0.22224776329601306,0.15908601800079245,0.16226869692588503,0.12066868624262635,0.15281779173882232,0.20724822762183864,0.2741061496051751,0.17639951077739977,0.24167814256820097,0.20321839379365125,0.17113652340992674,0.1732149095847846,0.0676216097303683,0.2012772653607327,0.18041986791622663,0.2253861028774931,0.18771682394685568,0.13961496746674174,0.1856580276119608,0.14804029988762638,0.10471583692950247,0.1355094435853263,0.18474498453772953,0.20942900051173888,0.19616353873479736,0.22436054781249212,0.1499831650116006,0.24532971944051504,0.15614840796375004,0.1997338610017453,0.09966764187628667,0.20104222915817152,0.21779915157012297,0.15251549329295314,0.20099731947574712,0.13112908646797472,0.1939427536700318,0.21631946434992477,0.12971347154480928,0.1196057921035998,0.09777751502517046,0.20381717061923704,0.1196720584232808,0.2216574573434383,0.22899342162009295,0.13821228854697548,0.16557112790701015,0.2062250474351178,0.21081706255828664,0.137800930347847,0.15000103059413303,0.19715325072128392,0.18361847967149095,0.11747130227789523,0.1698568549853452,0.17505955829463926,0.20463442785261574,0.1387365416733357,0.22952456499845908,0.1836665288479063,0.10088925637592884,0.1542867048054078,0.19973627810197828
