,mots,poids,serie
0,etre,19142.160314323723,90210
1,je,16539.654704190605,90210
2,le,11661.714372929506,90210
3,avoir,11144.243397964741,90210
4,ce,9887.975040542937,90210
5,de,8490.42588982357,90210
6,que,8278.537035679517,90210
7,pas,7451.788274887069,90210
8,tu,6115.379655768752,90210
9,un,6110.321762488276,90210
10,ne,4856.314976302083,90210
11,cela,4601.301891659154,90210
12,aller,4386.42260962436,90210
13,te,4096.6046057219,90210
14,et,4036.0488982279444,90210
15,il,3240.6304866035066,90210
16,faire,3036.213873139346,90210
17,pouvoir,2876.645873923833,90210
18,me,2826.46854225627,90210
19,mon,2570.3324798875765,90210
20,dire,2480.3026417264646,90210
21,en,2443.3640947065396,90210
22,taire,2357.134725447816,90210
23,devoir,2290.515919636495,90210
24,lui,2284.9275640146698,90210
25,mais,2248.8072870423757,90210
26,on,2208.0,90210
27,savoir,2185.4900138270896,90210
28,vouloir,2128.3555005471853,90210
29,tout,2075.34751638132,90210
30,vous,1987.2692152732036,90210
31,moi,1977.5708748820134,90210
32,avec,1914.9435754672381,90210
33,quoi,1888.031241449812,90210
34,pour,1808.6688317786836,90210
35,bien,1783.5529161630427,90210
36,qui,1721.748809238948,90210
37,voir,1570.6990242882155,90210
38,toi,1549.8989293132984,90210
39,si,1505.7842415696953,90210
40,se,1493.183550893342,90210
41,sur,1312.3742935815335,90210
42,oui,1307.8373402047964,90210
43,dans,1306.9733507622404,90210
44,non,1177.6256415159012,90210
45,ton,1167.4855390492182,90210
46,naomi,1156.2040823728635,90210
47,vraiment,1135.9668447132162,90210
48,navid,1123.3560146459806,90210
49,penser,1118.2312233033626,90210
50,au,1070.9579627049122,90210
51,comme,1021.0802004611272,90210
52,parler,996.9906506352033,90210
53,plus,973.1404132853256,90210
54,ou,937.3487809832368,90210
55,quelque,912.0153579906308,90210
56,pourquoi,909.439731984481,90210
57,peu,895.2811312385091,90210
58,aimer,862.4893824213478,90210
59,juste,854.782968299738,90210
60,nous,845.4474053525524,90210
61,chose,832.0820201385712,90210
62,quand,831.1546268502858,90210
63,luire,826.0046347361696,90210
64,dixon,822.7190511069366,90210
65,croire,809.1129244143666,90210
66,bon,806.160133386152,90210
67,veux,786.1823324114928,90210
68,alors,769.7744305975966,90210
69,merci,764.9397132744807,90210
70,sai,747.406212528163,90210
71,passer,730.9797023627088,90210
72,venir,709.5312142899586,90210
73,adrianna,708.9301411189742,90210
74,rien,654.8778030270996,90210
75,la,653.6987354603265,90210
76,ici,638.2986181403376,90210
77,son,628.4990053147304,90210
78,annie,620.7504731968357,90210
79,prendre,606.9369728150226,90210
80,parce,593.4868459936371,90210
81,autre,582.9741871695392,90210
82,donc,568.9637095721366,90210
83,aussi,562.9865007522977,90210
84,192,556.6421732742552,90210
85,fait,542.0748354599863,90210
86,fille,539.6675332655162,90210
87,meme,536.31404997849,90210
88,as,508.0,90210
89,silver,492.79530496362395,90210
90,comment,482.15761732403394,90210
91,truc,472.4357046011672,90210
92,po,469.74463983253935,90210
93,liam,469.5841056953886,90210
94,jamais,467.02233930836894,90210
95,ethan,464.2700597988714,90210
96,temps,449.72294438793017,90210
97,besoin,441.783586256012,90210
98,mere,438.2637319426238,90210
99,mec,437.24370117722594,90210
100,tres,431.2798932486379,90210
101,arriver,427.36027114161743,90210
102,fai,426.4039769011486,90210
103,ade,420.21681409175346,90210
104,maintenant,410.91364836672744,90210
105,pere,409.98855542698084,90210
106,desoler,407.09021875545375,90210
107,appeler,407.09021875545375,90210
108,trouver,405.40104772327345,90210
109,ok,399.06612228655194,90210
110,monde,396.7787412308735,90210
111,salut,395.1355230819543,90210
112,soir,381.4316824623556,90210
113,probleme,381.32125239552636,90210
114,apres,377.80973380544503,90210
115,notre,373.8800664102567,90210
116,allez,372.9577692003229,90210
117,trop,371.30751358439227,90210
118,petit,361.10879776712534,90210
119,toujours,353.03674572568394,90210
120,ouai,349.50679108691077,90210
121,dieu,348.24201550762757,90210
122,sortir,348.0220315033509,90210
123,nouveau,346.59936449108216,90210
124,encore,342.21121964294093,90210
125,ami,342.14239157953455,90210
126,accord,342.06417722277905,90210
127,votre,340.0287604249005,90210
128,vrai,337.93443638731173,90210
129,essayer,331.07752230733996,90210
130,fois,328.2678607578879,90210
131,avant,325.385658371096,90210
132,par,306.1500671718607,90210
133,super,301.42951029876934,90210
134,oh,301.19760638086126,90210
135,deux,301.14837231194053,90210
136,fete,300.39363872381847,90210
137,ecoute,297.29410166373384,90210
138,mal,296.03449294530196,90210
139,vie,291.89396708522474,90210
140,connaitre,290.85899251246235,90210
141,finir,290.53741753501265,90210
142,maman,290.21080351284155,90210
143,quel,286.4901719804592,90210
144,seul,284.1339291017696,90210
145,beaucoup,281.91827194100136,90210
146,ensembl,279.6481052583865,90210
147,demander,275.33487824538986,90210
148,chez,271.8113942432057,90210
149,mieux,271.4994071675282,90210
150,importer,267.7244768636915,90210
151,personne,264.4007826835223,90210
152,tellement,260.8912201495923,90210
153,mettre,258.4431679235868,90210
154,laisser,257.2336754589985,90210
155,sans,257.16287599057785,90210
156,tard,256.71129831287476,90210
157,bal,254.46537398450843,90210
158,entrer,251.68648379486558,90210
159,aider,248.82734619563251,90210
160,cheri,241.9197080093598,90210
161,90210,239.39834464733795,90210
162,ecole,236.43106455879257,90210
163,sentir,234.79477347306252,90210
164,partir,233.69595352157378,90210
165,dernier,233.10560244088222,90210
166,entendre,232.74867890286475,90210
167,desolee,230.19813542611087,90210
168,comprendre,229.7272603765216,90210
169,cours,229.11379224698018,90210
170,desole,226.5271127287352,90210
171,voiture,225.50757816620708,90210
172,maison,223.4005382501762,90210
173,pense,221.53019112442487,90210
174,depuis,221.28140521562008,90210
175,gens,221.28140521562008,90210
176,matthews,216.91468449740196,90210
177,bebe,215.48369537221612,90210
178,deja,215.3412463873994,90210
179,heure,214.86762898534442,90210
180,premier,214.3166381218592,90210
181,rester,213.52076328949548,90210
182,nuit,213.2019884505743,90210
183,jour,211.8994940066206,90210
184,revenir,207.76803695817765,90210
185,idee,207.50441172630866,90210
186,histoire,204.38969489381702,90210
187,donner,204.14244824736264,90210
188,demain,202.70052386163673,90210
189,regarder,202.70052386163673,90210
190,arreter,202.70052386163673,90210
191,raison,202.5222700866693,90210
192,gars,201.95956501770846,90210
193,attendre,199.3221817972761,90210
194,genre,196.92629385461868,90210
195,enfin,194.25466870073518,90210
196,famille,193.34557305741717,90210
197,grand,190.62599004831594,90210
198,arrete,189.18715560419426,90210
199,ty,188.16695522666194,90210
200,oublier,186.6853122012431,90210
201,laisse,186.6205096467244,90210
202,moins,185.80881353983366,90210
203,film,185.10156297415503,90210
204,jasper,184.87775055657954,90210
205,jouer,184.11964250765334,90210
206,air,183.907693053189,90210
207,manger,182.19471495310205,90210
208,ur,181.45995399765567,90210
209,meilleur,179.05212941111242,90210
210,serieux,179.05212941111242,90210
211,genial,179.02891701744684,90210
212,enfant,177.39727828835356,90210
213,falloir,177.36295837893212,90210
214,240,177.03814302452474,90210
215,amie,175.63265147325495,90210
216,rencontrer,173.9274800997282,90210
217,adorer,173.10819858660724,90210
218,beverly,171.3853963541534,90210
219,mentir,170.5171373526747,90210
220,voila,170.14800673461662,90210
221,rendre,169.80785111999248,90210
222,celui,169.80785111999248,90210
223,teddy,169.39254290817487,90210
224,papa,167.47418157324,90210
225,coucher,167.22793218585028,90210
226,commencer,166.4453194146461,90210
227,attend,165.2935280021772,90210
228,an,165.0,90210
229,vivre,163.99542217079232,90210
230,semaine,163.99542217079232,90210
