,mots,poids,serie
0,etre,34314.28857575789,angel
1,le,27244.070889696653,angel
2,je,22032.439532258733,angel
3,avoir,21490.98536819617,angel
4,ce,19243.25958867638,angel
5,de,17849.798820551696,angel
6,que,14601.782436527019,angel
7,un,13267.250618755928,angel
8,pas,12786.205753912827,angel
9,ne,12253.771095305909,angel
10,il,9224.870418896413,angel
11,tu,8575.035511006972,angel
12,vous,7449.468448826096,angel
13,et,6654.756210121661,angel
14,cela,6074.25903172038,angel
15,pouvoir,6055.91960132884,angel
16,aller,5907.968206293599,angel
17,faire,5727.329798051008,angel
18,te,5377.040288782423,angel
19,en,5163.290070211555,angel
20,on,5013.0,angel
21,me,4694.981285548368,angel
22,tout,4499.144652746782,angel
23,lui,4491.00787923516,angel
24,qui,4156.162876514531,angel
25,mais,3956.4750684131714,angel
26,taire,3729.0476612291413,angel
27,se,3595.069214879644,angel
28,mon,3556.8383457124255,angel
29,pour,3437.553815608109,angel
30,savoir,3430.5164841849414,angel
31,nous,3348.2274370767436,angel
32,moi,3301.957747809831,angel
33,dire,3266.8102040594363,angel
34,dans,3203.1426579079566,angel
35,bien,3172.4218676428973,angel
36,vouloir,2959.4276483798963,angel
37,devoir,2912.1308594788475,angel
38,si,2800.5752169142197,angel
39,voir,2486.8013184117767,angel
40,toi,2470.8066178022614,angel
41,angel,2341.468657223163,angel
42,sur,2339.4498276888207,angel
43,ou,2318.7767949395816,angel
44,avec,2221.02062236569,angel
45,son,2054.1676755174735,angel
46,quoi,1961.2738327129512,angel
47,comme,1921.7499999244799,angel
48,ca,1844.77002280293,angel
49,plus,1830.4307773700173,angel
50,oui,1825.1391989477734,angel
51,non,1819.1760833389683,angel
52,quelque,1817.337025280413,angel
53,chose,1788.2604027452276,angel
54,rien,1744.130250087364,angel
55,croire,1714.5085976630105,angel
56,luire,1712.8194266308303,angel
57,au,1649.3272508161815,angel
58,ici,1611.4967709932678,angel
59,ton,1441.4644251287764,angel
60,cordelia,1431.6156699795274,angel
61,la,1395.4377046526834,angel
62,votre,1384.7548069477832,angel
63,bon,1355.1485217416803,angel
64,ll,1321.604089023999,angel
65,pourquoi,1314.1903819336183,angel
66,angelus,1307.659997101584,angel
67,tuer,1296.2559724110315,angel
68,falloir,1249.9865638134263,angel
69,quand,1234.2396362646527,angel
70,alors,1233.3125116313668,angel
71,peu,1218.2517075544572,angel
72,passer,1215.5617522436057,angel
73,autre,1169.2796554086185,angel
74,parler,1166.7985017551957,angel
75,gunn,1163.2038686794233,angel
76,trouver,1158.7713280756898,angel
77,notre,1137.549989290781,angel
78,meme,1111.8705914188206,angel
79,jamais,1069.3656391230497,angel
80,penser,1048.97521098397,angel
81,arriver,1021.9484744690851,angel
82,venir,1015.7675638537851,angel
83,temps,986.0591965839062,angel
84,monde,976.815460403125,angel
85,par,964.7128783326633,angel
86,vraiment,956.0776669580441,angel
87,prendre,926.3774848229292,angel
88,tres,925.0641188521508,angel
89,cordy,924.2108250191645,angel
90,besoin,917.0356260162673,angel
91,aimer,901.1584970328313,angel
92,petit,896.4367523517235,angel
93,comment,891.8784095101848,angel
94,maintenant,886.1872657547495,angel
95,wolfram,852.0139821227968,angel
96,juste,849.9445741395508,angel
97,toujours,846.2746871223333,angel
98,as,842.0,angel
99,fred,835.3229976175063,angel
100,demon,832.0716882254486,angel
101,vampire,827.6938057683499,angel
102,seul,825.5015336625377,angel
103,lorne,823.459229996859,angel
104,veux,819.495143106895,angel
105,mal,815.6367019170037,angel
106,wesley,809.9152359196048,angel
107,aussi,764.5290054594813,angel
108,fait,730.9797023627088,angel
109,encore,715.6746054633195,angel
110,darla,711.2103965415241,angel
111,sai,703.0546350814368,angel
112,sans,696.6184235694134,angel
113,avant,696.5542234476728,angel
114,connor,695.1820693406114,angel
115,connaitre,694.3627971540286,angel
116,vie,687.7082994154509,angel
117,trop,674.9545469156286,angel
118,deux,674.8246248665474,angel
119,essayer,662.1550446146799,angel
120,personne,657.6551113583814,angel
121,vrai,655.6936825425452,angel
122,fois,639.9565366290137,angel
123,merci,631.2190491118365,angel
124,parce,628.7934288997741,angel
125,laisser,622.0683654890813,angel
126,appeler,621.6149398423526,angel
127,aider,620.3870996364082,angel
128,sortir,618.7058337837349,angel
