,mots,poids,serie
0,be,26223.628741917255,battlestargalactica
1,you,13991.799798599885,battlestargalactica
2,the,11465.2220821209,battlestargalactica
3,to,8941.731855904909,battlestargalactica
4,we,7705.634214042041,battlestargalactica
5,it,6869.706792415684,battlestargalactica
6,have,6418.706219433812,battlestargalactica
7,that,6135.247346124089,battlestargalactica
8,do,5695.887255912466,battlestargalactica
9,of,4725.8529010662405,battlestargalactica
10,and,4488.55943517622,battlestargalactica
11,they,4061.226106340251,battlestargalactica
12,this,4021.0016393791225,battlestargalactica
13,what,3665.1829205718022,battlestargalactica
14,get,3499.830156527815,battlestargalactica
15,cylon,3013.4822992443287,battlestargalactica
16,in,2930.9094025620952,battlestargalactica
17,know,2799.91003228462,battlestargalactica
18,your,2717.61434771408,battlestargalactica
19,not,2626.9640153242035,battlestargalactica
20,she,2607.222239071679,battlestargalactica
21,gon,2595.6630346969127,battlestargalactica
22,on,2534.0,battlestargalactica
23,for,2493.867783560358,battlestargalactica
24,go,2281.0556632201005,battlestargalactica
25,he,2266.5487802863786,battlestargalactica
26,cylons,2230.43150734057,battlestargalactica
27,all,2131.699645035753,battlestargalactica
28,there,1995.8274961150717,battlestargalactica
29,right,1979.071661651131,battlestargalactica
30,with,1973.2576956544704,battlestargalactica
31,galactica,1966.725733295724,battlestargalactica
32,my,1926.4602568385135,battlestargalactica
33,here,1923.1843843475144,battlestargalactica
34,just,1838.2621674744082,battlestargalactica
35,baltar,1780.0037333520852,battlestargalactica
36,no,1770.4819241132109,battlestargalactica
37,out,1692.0645171474182,battlestargalactica
38,so,1690.5027765890943,battlestargalactica
39,if,1662.1622341077061,battlestargalactica
40,think,1632.925682771111,battlestargalactica
41,na,1574.8801885970363,battlestargalactica
42,about,1549.7678560738918,battlestargalactica
43,one,1514.772990405127,battlestargalactica
44,adama,1502.090035145082,battlestargalactica
45,would,1499.4350893646883,battlestargalactica
46,can,1488.7950589278955,battlestargalactica
47,see,1476.94720390964,battlestargalactica
48,ll,1475.7678745941369,battlestargalactica
49,want,1472.0845179065725,battlestargalactica
50,gaius,1443.7765083206373,battlestargalactica
51,come,1411.6815040951738,battlestargalactica
52,our,1390.6990054845785,battlestargalactica
53,take,1373.9188013024611,battlestargalactica
54,now,1367.513999717513,battlestargalactica
55,but,1328.5440562352067,battlestargalactica
56,well,1293.8396797459138,battlestargalactica
57,like,1289.7573736977618,battlestargalactica
58,fleet,1287.8011568921497,battlestargalactica
59,say,1278.7357837148538,battlestargalactica
60,ship,1276.248679775771,battlestargalactica
61,sir,1226.491683126188,battlestargalactica
62,how,1221.6202128766563,battlestargalactica
63,up,1189.280465516838,battlestargalactica
64,let,1187.1193640970484,battlestargalactica
65,starbuck,1181.1375127768079,battlestargalactica
66,make,1127.6808861324162,battlestargalactica
67,caprica,1111.502849362987,battlestargalactica
68,tell,1084.7648175424874,battlestargalactica
69,frak,1081.2174777959774,battlestargalactica
70,admiral,1059.122633982204,battlestargalactica
71,did,1059.0962402432424,battlestargalactica
72,need,1056.3232167973886,battlestargalactica
73,at,1032.897363319923,battlestargalactica
74,back,1026.134953132351,battlestargalactica
