,mots,poids,serie
0,be,7325.879396867442,betteroffted
1,you,3130.422845661139,betteroffted
2,to,2626.049107623371,betteroffted
3,the,2273.006337403437,betteroffted
4,not,2221.4884530245727,betteroffted
5,it,2183.0262423300887,betteroffted
6,that,1806.9657297965825,betteroffted
7,do,1650.4397302171972,betteroffted
8,we,1488.3199717293103,betteroffted
9,and,1408.4978935778859,betteroffted
10,have,1352.1992203803636,betteroffted
11,this,922.2480824264043,betteroffted
12,of,886.7041964566195,betteroffted
13,my,834.7994446300225,betteroffted
14,go,831.7801640202256,betteroffted
15,what,795.4772733096327,betteroffted
16,get,784.8828843131579,betteroffted
17,in,782.0935385337915,betteroffted
18,they,775.5866342581904,betteroffted
19,so,750.5722555148008,betteroffted
20,with,750.1757145391103,betteroffted
21,like,734.7447245925933,betteroffted
22,for,638.2527232629769,betteroffted
23,just,627.4222996321918,betteroffted
24,know,608.5488889396039,betteroffted
25,can,599.6345076050602,betteroffted
26,he,592.1332672098024,betteroffted
27,she,563.6843611847708,betteroffted
28,your,563.3262631155233,betteroffted
29,would,542.3824087712437,betteroffted
30,about,501.052765497574,betteroffted
31,think,479.7207508236661,betteroffted
32,want,471.25124817238554,betteroffted
33,make,463.9858772502218,betteroffted
34,work,439.8993316452026,betteroffted
35,but,432.43201830417576,betteroffted
36,will,430.60209782737235,betteroffted
37,veronica,430.3061827130139,betteroffted
38,on,428.0,betteroffted
39,veridian,417.8667300857029,betteroffted
40,ted,408.2003248742701,betteroffted
41,if,402.59984909183197,betteroffted
42,lem,400.29874778020206,betteroffted
43,thing,394.5002305547332,betteroffted
44,say,393.57682880761314,betteroffted
45,all,391.30850127404557,betteroffted
46,at,382.6064860058873,betteroffted
47,out,371.978654028707,betteroffted
48,no,370.46027423678225,betteroffted
49,one,367.1398942846325,betteroffted
50,here,362.1185786983453,betteroffted
51,ve,358.650732975434,betteroffted
52,there,352.03785137733837,betteroffted
53,right,342.3259090423578,betteroffted
54,now,342.23951207291503,betteroffted
55,good,338.8666146994792,betteroffted
56,because,336.9159198104406,betteroffted
57,well,331.2729614808378,betteroffted
58,up,326.64956693112373,betteroffted
59,company,312.01067175492847,betteroffted
60,see,309.02279958724773,betteroffted
61,look,308.1141110553632,betteroffted
62,linda,304.73205047844664,betteroffted
63,when,301.94988681887395,betteroffted
64,how,298.6182742587382,betteroffted
65,take,296.012973512391,betteroffted
66,why,294.01589187604304,betteroffted
67,people,290.1082146638047,betteroffted
68,tell,288.53482792191164,betteroffted
69,could,277.8237810309026,betteroffted
70,who,271.20219616891796,betteroffted
71,guy,269.4615163286372,betteroffted
72,need,264.08080419934714,betteroffted
73,really,249.31908362003438,betteroffted
74,come,243.49042892169996,betteroffted
75,talk,237.12445155400593,betteroffted
76,phil,229.70342140416585,betteroffted
77,something,226.5782047864221,betteroffted
78,then,226.5782047864221,betteroffted
79,his,222.02586970897644,betteroffted
80,should,220.73901447285408,betteroffted
81,192,217.22621396068496,betteroffted
82,back,210.99326622517052,betteroffted
83,from,210.22334395927874,betteroffted
84,let,210.09662013103704,betteroffted
85,our,206.3124898246353,betteroffted
86,more,198.4411114996542,betteroffted
87,try,193.3821097309241,betteroffted
88,some,189.78803602580555,betteroffted
89,use,188.80312414498118,betteroffted
90,mean,186.9893127150258,betteroffted
91,maybe,186.40183444374344,betteroffted
92,an,178.0,betteroffted
93,never,176.55398842507785,betteroffted
94,time,175.55667215903284,betteroffted
95,sorry,174.92709528864702,betteroffted
96,great,168.14475859894364,betteroffted
97,or,166.94056450875686,betteroffted
98,off,166.79136605233037,betteroffted
99,her,165.51333644107004,betteroffted
100,way,160.10139207052478,betteroffted
101,feel,158.8101706946151,betteroffted
102,too,157.6651039199783,betteroffted
103,oh,153.61077925423922,betteroffted
104,thank,152.995635083002,betteroffted
105,as,151.0,betteroffted
106,give,150.6840846269302,betteroffted
107,yes,150.15724182855075,betteroffted
108,love,149.77265592793296,betteroffted
109,into,143.47906743657902,betteroffted
110,dynamics,142.27236471846234,betteroffted
111,day,137.4304102137188,betteroffted
112,always,136.58252385114918,betteroffted
113,okay,136.41788776951475,betteroffted
114,little,135.34615251169265,betteroffted
115,only,133.96503030463393,betteroffted
116,other,133.64223650409176,betteroffted
117,220,133.48022258765445,betteroffted
118,hear,133.2541771042037,betteroffted
119,god,133.189850917164,betteroffted
120,even,133.04008338788827,betteroffted
121,keep,129.87246235484332,betteroffted
122,pos,129.5092019206814,betteroffted
123,their,129.1732010618924,betteroffted
124,help,126.13544390028923,betteroffted
125,wait,126.00180513939131,betteroffted
126,find,125.57007052244185,betteroffted
127,ever,124.09636246808519,betteroffted
128,which,123.6985985777463,betteroffted
129,very,122.57265205807563,betteroffted
130,than,122.5053834620841,betteroffted
131,happen,121.55617522436057,betteroffted
132,by,119.28415368959675,betteroffted
133,leave,116.14146743807973,betteroffted
134,call,115.74851083473979,betteroffted
135,jenkins,113.59535307706138,betteroffted
136,down,112.11911677828199,betteroffted
137,project,111.48528812390019,betteroffted
138,problem,110.59527347512407,betteroffted
139,jabberwocky,109.90902696183528,betteroffted
140,year,109.67026763090978,betteroffted
141,those,108.91687065142173,betteroffted
142,again,108.02697095622905,betteroffted
143,where,107.08029026449704,betteroffted
144,first,106.78862714565165,betteroffted
145,mordor,106.70427353884676,betteroffted
146,hard,106.51316093936789,betteroffted
147,name,104.69475669441573,betteroffted
148,man,103.58404051673719,betteroffted
149,rose,102.70117720657905,betteroffted
150,anything,102.485048168985,betteroffted
151,still,101.56954007667197,betteroffted
152,friend,101.21802289683453,betteroffted
153,crazy,101.1165765711259,betteroffted
154,last,100.16600618853634,betteroffted
155,any,99.28440149003322,betteroffted
156,put,99.10377960684349,betteroffted
157,care,98.19625202439374,betteroffted
158,life,97.96802149499544,betteroffted
159,new,97.3819959634415,betteroffted
160,together,94.83602103278176,betteroffted
161,lab,92.58708215996376,betteroffted
162,idea,92.41431449211541,betteroffted
163,two,92.16004808460347,betteroffted
164,po,91.70313685973876,betteroffted
165,everyone,89.51872265494798,betteroffted
166,wrong,87.50384533006007,betteroffted
167,around,87.11581981512386,betteroffted
168,over,86.81138312605484,betteroffted
169,someone,85.91286632405898,betteroffted
170,since,85.81329202839288,betteroffted
171,before,85.56018017556808,betteroffted
172,system,85.4782968299738,betteroffted
173,money,85.20437145843418,betteroffted
174,every,85.14142463269523,betteroffted
175,also,85.02539816732157,betteroffted
176,win,82.62908619536107,betteroffted
177,yeah,80.27935094728792,betteroffted
178,much,80.17600850601927,betteroffted
179,turn,79.90996269872896,betteroffted
180,sure,79.49414517592513,betteroffted
181,hey,77.94271223154666,betteroffted
182,through,77.43595983556047,betteroffted
183,bring,77.41430656299514,betteroffted
184,office,77.34541159334415,betteroffted
185,us,77.33497335387854,betteroffted
186,night,77.28477311801126,betteroffted
187,sex,76.65340312248497,betteroffted
188,bulb,76.23418280768803,betteroffted
189,bad,76.10841604460182,betteroffted
190,bhamba,75.97576910649144,betteroffted
191,lemur,75.97576910649144,betteroffted
192,nice,75.3420423134651,betteroffted
193,mom,74.95382406465502,betteroffted
194,wife,74.60633199042907,betteroffted
195,after,74.60575321134567,betteroffted
196,listen,74.5281953918943,betteroffted
197,start,73.3555519376481,betteroffted
198,eat,73.24259126313926,betteroffted
199,child,73.18503427605025,betteroffted
200,sound,73.03231839294358,betteroffted
201,anyway,72.61124710094782,betteroffted
202,stuff,70.30946386913129,betteroffted
203,fine,70.23244252121562,betteroffted
204,relationship,70.19073258664477,betteroffted
205,everything,70.00307626404806,betteroffted
206,while,68.67436005822127,betteroffted
207,woman,68.31988199586274,betteroffted
208,these,67.11430610080852,betteroffted
209,ask,67.03925624731124,betteroffted
210,die,66.35961650194183,betteroffted
211,sell,66.31673954704806,betteroffted
212,fire,66.29939164920825,betteroffted
213,lot,66.17555682787632,betteroffted
214,away,66.06918640456233,betteroffted
215,next,65.42478522701197,betteroffted
216,employee,64.95130235787784,betteroffted
217,creamer,64.92342542693346,betteroffted
218,throw,64.65882105837186,betteroffted
219,cubicle,64.5923214625491,betteroffted
220,biocomputer,64.15536334429022,betteroffted
221,another,63.63916024004369,betteroffted
222,run,63.53813726248212,betteroffted
223,live,63.53813726248212,betteroffted
224,might,63.47691242805402,betteroffted
225,kill,63.21569901436135,betteroffted
226,job,62.88617807426987,betteroffted
227,each,62.4207386287257,betteroffted
228,lie,62.09408868833479,betteroffted
229,hate,62.06794750166591,betteroffted
230,may,61.928201575461266,betteroffted
231,spielman,61.66990293614272,betteroffted
232,fight,61.56446914970581,betteroffted
