,mots,poids,serie
0,be,3463.796558793654,bionicwoman
1,you,2108.2189136988777,bionicwoman
2,to,1209.0912118213148,bionicwoman
3,not,1007.9374793334792,bionicwoman
4,the,928.0261849505573,bionicwoman
5,do,864.9613317002309,bionicwoman
6,it,784.0358162355913,bionicwoman
7,that,639.5134736478868,bionicwoman
8,have,576.6505227163694,bionicwoman
9,what,570.2346045230341,bionicwoman
10,we,529.45836529306,bionicwoman
11,go,466.6083846942729,bionicwoman
12,and,455.9806410337747,bionicwoman
13,this,445.63027342843856,bionicwoman
14,know,428.6173664887114,bionicwoman
15,get,403.65405478962407,bionicwoman
16,jaime,375.28642168920027,bionicwoman
17,in,373.8518049445216,bionicwoman
18,he,356.9450099349072,bionicwoman
19,she,339.3758557003917,bionicwoman
20,can,338.92385212459925,bionicwoman
21,your,329.1645147895931,bionicwoman
22,just,322.22819460748315,bionicwoman
23,of,306.35522116019456,bionicwoman
24,my,293.55584866110684,bionicwoman
25,with,278.6769070895757,bionicwoman
26,about,273.83116253937186,bionicwoman
27,will,268.96846579832936,bionicwoman
28,on,260.0,bionicwoman
29,so,251.10552606802293,bionicwoman
30,for,247.66177099586557,bionicwoman
31,right,238.40554379735633,bionicwoman
32,think,234.39124633078148,bionicwoman
33,they,225.7078291102937,bionicwoman
34,want,224.11297144354492,bionicwoman
35,okay,221.85131243325125,bionicwoman
36,here,213.01092864608546,bionicwoman
37,out,205.4023544131581,bionicwoman
38,how,205.11154191509291,bionicwoman
39,no,187.50289953702168,bionicwoman
40,like,184.04564529912318,bionicwoman
41,if,182.60778869522377,bionicwoman
42,tell,181.31970060666578,bionicwoman
43,there,180.27744808436282,bionicwoman
44,all,178.88388629670655,bionicwoman
45,now,177.61797462012046,bionicwoman
46,say,171.12036035113616,bionicwoman
47,need,165.6364807404189,bionicwoman
48,well,164.07387243154704,bionicwoman
49,yeah,161.91936885978413,bionicwoman
50,who,159.53070362877529,bionicwoman
51,up,156.42373627687616,bionicwoman
52,at,152.7622966104092,bionicwoman
53,bionic,151.38182339809828,bionicwoman
54,make,150.15724182855075,bionicwoman
55,berkut,146.5246975625192,bionicwoman
56,why,146.23012611824362,bionicwoman
57,guy,138.37213000659747,bionicwoman
58,come,137.9309944180728,bionicwoman
59,work,136.465121130811,bionicwoman
60,take,136.0463666142807,bionicwoman
61,would,134.01890914405732,bionicwoman
62,let,124.88260637159544,bionicwoman
63,really,124.65954181001719,bionicwoman
64,one,123.23576871092558,bionicwoman
65,ve,121.52628142142805,bionicwoman
66,but,118.944005034715,bionicwoman
67,thing,116.6615467788316,bionicwoman
68,see,116.64095866773567,bionicwoman
69,look,114.91141027064775,bionicwoman
70,talk,114.11614231036536,bionicwoman
71,corvus,108.15233058734904,bionicwoman
72,jonas,107.37734171094053,bionicwoman
73,where,105.57211716218018,bionicwoman
74,good,102.47982299379412,bionicwoman
75,mean,99.08835374642392,bionicwoman
76,from,96.70273822126822,bionicwoman
77,give,95.74717877336191,bionicwoman
78,should,93.20091722187172,bionicwoman
79,way,92.88325036152582,bionicwoman
80,could,92.60792701030086,bionicwoman
81,time,91.38566495949655,bionicwoman
82,call,90.94525851300983,bionicwoman
83,sorry,90.76405887618478,bionicwoman
84,jae,89.94017592817085,bionicwoman
85,try,81.50816195270355,bionicwoman
86,something,81.25563206133758,bionicwoman
87,find,80.05091995805668,bionicwoman
88,back,79.9415480728907,bionicwoman
89,too,79.58333816913189,bionicwoman
90,help,78.83465243768077,bionicwoman
91,sarah,78.77051754184747,bionicwoman
92,little,77.34065857811008,bionicwoman
93,becca,77.22272681870163,bionicwoman
94,anthros,75.97576910649144,bionicwoman
95,kill,75.55046955374893,bionicwoman
96,great,72.71124696170536,bionicwoman
97,an,72.0,bionicwoman
98,then,71.87998220810633,bionicwoman
99,some,71.55942341956603,bionicwoman
100,love,71.5130699475716,bionicwoman
101,as,70.0,bionicwoman
102,people,68.67295902669773,bionicwoman
103,oh,68.27145744632855,bionicwoman
104,feel,67.8412379666317,bionicwoman
105,down,67.2714700669692,bionicwoman
106,only,66.98251515231696,bionicwoman
107,his,66.29939164920825,bionicwoman
108,happen,65.70604066181653,bionicwoman
109,never,65.0462062618708,bionicwoman
110,life,63.95134736478869,bionicwoman
111,more,63.62234109149218,bionicwoman
112,thank,63.47691242805402,bionicwoman
113,because,63.47691242805402,bionicwoman
114,keep,63.352420660899185,bionicwoman
115,off,61.827833967674195,bionicwoman
116,her,61.112616532087394,bionicwoman
117,sister,60.86026532745299,bionicwoman
118,move,60.49884100367112,bionicwoman
119,maybe,60.49884100367112,bionicwoman
120,any,60.221686149692275,bionicwoman
121,even,58.60098911133174,bionicwoman
122,trust,58.073145283971414,bionicwoman
123,our,56.544904618603745,bionicwoman
