,mots,poids,serie
0,etre,2809.1083471434317,bionicwoman
1,le,2027.7477039286507,bionicwoman
2,je,1891.7533005051657,bionicwoman
3,ce,1587.7422987052976,bionicwoman
4,avoir,1510.2982950059775,bionicwoman
5,de,1395.4518982014035,bionicwoman
6,que,1303.9645956151842,bionicwoman
7,un,1019.3339447558088,bionicwoman
8,pas,973.8774888841408,bionicwoman
9,ne,969.9415490083616,bionicwoman
10,tu,931.4999205271915,bionicwoman
11,il,656.9205715030957,bionicwoman
12,aller,596.8493776989834,bionicwoman
13,et,573.07231239661,bionicwoman
14,vous,520.541725629849,bionicwoman
15,te,488.22367771372467,bionicwoman
16,faire,487.6736263686996,bionicwoman
17,pouvoir,480.8420338645331,bionicwoman
18,cela,439.18446836687957,bionicwoman
19,me,430.331706565937,bionicwoman
20,jaime,409.0621996412283,bionicwoman
21,taire,390.0536778201807,bionicwoman
22,en,383.57930423788684,bionicwoman
23,devoir,336.1450354038809,bionicwoman
24,qui,326.37546109199843,bionicwoman
25,savoir,324.64399899116034,bionicwoman
26,mon,323.6081380668219,bionicwoman
27,tout,317.7492129370808,bionicwoman
28,on,303.0,bionicwoman
29,moi,301.816056075387,bionicwoman
30,lui,292.3918809450835,bionicwoman
31,pour,281.58915943859745,bionicwoman
32,dire,278.9441811564836,bionicwoman
33,dans,258.7904891297587,bionicwoman
34,avec,251.1401410448837,bionicwoman
35,mais,239.78636778261642,bionicwoman
36,nous,236.53348958823773,bionicwoman
37,sur,225.23586274282613,bionicwoman
38,si,218.8563693143073,bionicwoman
39,toi,216.11493915502808,bionicwoman
40,vouloir,211.14637902253824,bionicwoman
41,bien,206.31207244803008,bionicwoman
42,se,203.72887050458246,bionicwoman
43,penser,177.36295837893212,bionicwoman
44,quelque,169.01569019642884,bionicwoman
45,quoi,167.64415333562985,bionicwoman
46,chose,162.2798586121114,bionicwoman
47,luire,155.40373496058814,bionicwoman
48,oui,153.50203523530473,bionicwoman
49,ou,153.03653567073255,bionicwoman
50,juste,151.6030170191988,bionicwoman
51,ton,148.73139530033146,bionicwoman
52,non,146.79544007815943,bionicwoman
53,ca,146.6613735977388,bionicwoman
54,pourquoi,146.57636705976984,bionicwoman
55,ok,145.70806644795084,bionicwoman
56,vraiment,141.5794454554595,bionicwoman
57,berkut,141.09785691205553,bionicwoman
58,comme,134.85964911750736,bionicwoman
59,parler,132.82000236118222,bionicwoman
60,plus,129.54141865161802,bionicwoman
61,voir,128.2543211772986,bionicwoman
62,ici,127.65972362806751,bionicwoman
63,alors,127.18012331612466,bionicwoman
64,peu,117.13958726485166,bionicwoman
65,au,111.77473882599811,bionicwoman
66,bionique,110.76718785226703,bionicwoman
67,maintenant,108.91687065142173,bionicwoman
68,corvus,108.15233058734904,bionicwoman
69,son,106.42315425457097,bionicwoman
70,arriver,106.41777502735927,bionicwoman
71,passer,105.12966505890644,bionicwoman
72,jona,103.84940483899497,bionicwoman
73,croire,103.03943296299866,bionicwoman
74,oh,101.40319414822328,bionicwoman
75,besoin,97.05851516230567,bionicwoman
76,aimer,95.83215360237199,bionicwoman
77,prendre,95.83215360237199,bionicwoman
78,ouai,94.22977210676515,bionicwoman
79,venir,93.71166981188134,bionicwoman
80,comment,92.80968220791263,bionicwoman
81,becca,92.07325120691348,bionicwoman
82,meme,91.5658134109617,bionicwoman
83,appeler,91.21523573773652,bionicwoman
84,vie,90.16619925669247,bionicwoman
85,jae,89.94017592817085,bionicwoman
86,rien,89.52759838851487,bionicwoman
87,bon,89.27723791218543,bionicwoman
88,votre,87.06050387690689,bionicwoman
89,la,86.93973081038011,bionicwoman
90,autre,86.61330780804582,bionicwoman
91,aussi,83.28202673850559,bionicwoman
92,sai,82.13255082727066,bionicwoman
93,sarah,80.28533518688299,bionicwoman
94,par,76.19735005166311,bionicwoman
95,anthros,75.97576910649144,bionicwoman
96,fai,74.95382406465502,bionicwoman
97,quand,74.95382406465502,bionicwoman
98,seul,73.97569751762047,bionicwoman
99,jamais,72.61124710094782,bionicwoman
100,avant,70.30946386913129,bionicwoman
101,donc,70.283752358911,bionicwoman
102,as,70.0,bionicwoman
103,veux,69.9569024603447,bionicwoman
104,laisser,68.9318999596009,bionicwoman
105,temps,68.29126192557459,bionicwoman
106,notre,66.82111825204588,bionicwoman
107,monde,65.56936825425451,bionicwoman
108,petit,64.93623117742166,bionicwoman
109,he,64.52067234974999,bionicwoman
110,essayer,64.18849922285163,bionicwoman
111,tuer,63.88810240158132,bionicwoman
112,personne,63.59006165806233,bionicwoman
113,mourir,63.59006165806233,bionicwoman
114,trouver,60.810157158491016,bionicwoman
115,toujours,60.810157158491016,bionicwoman
116,fait,60.778087612180286,bionicwoman
117,connaitre,60.52557069623494,bionicwoman
118,merci,58.95212075987539,bionicwoman
119,homme,58.29741871695391,bionicwoman
120,trop,57.75894655757213,bionicwoman
121,aider,57.16303899088855,bionicwoman
122,ur,56.7062356242674,bionicwoman
123,tres,56.253899119387555,bionicwoman
124,sans,55.33884673214966,bionicwoman
125,allez,54.458435325710866,bionicwoman
126,confiance,53.80050728554217,bionicwoman
