,mots,poids,serie
0,be,8885.95381209829,bloodties
1,you,5149.060862561403,bloodties
2,to,3042.937290495859,bloodties
3,not,2869.961781383202,bloodties
4,the,2833.6677403070453,bloodties
5,it,2449.7988123910804,bloodties
6,do,2402.0209954648303,bloodties
7,that,2099.5091273163603,bloodties
8,have,1773.1232650369648,bloodties
9,he,1605.7322167042619,bloodties
10,and,1473.168224878349,bloodties
11,what,1458.37500106766,bloodties
12,know,1344.366415710327,bloodties
13,this,1342.7932080128446,bloodties
14,of,1273.9630851767245,bloodties
15,we,1249.2993973712885,bloodties
16,she,1200.1961592151192,bloodties
17,get,1046.5105124175439,bloodties
18,vicki,1001.8928656218657,bloodties
19,go,950.9681753280018,bloodties
20,in,909.6690802804383,bloodties
21,they,849.8126988649313,bloodties
22,for,782.4140526486301,bloodties
23,your,745.3033932431032,bloodties
24,think,742.2389467141413,bloodties
25,with,726.2489093849548,bloodties
26,can,716.2682218989506,bloodties
27,my,702.4372092962199,bloodties
28,just,695.5586579632895,bloodties
29,well,685.9850475947538,bloodties
30,right,681.5953367539803,bloodties
31,so,675.1033815599305,bloodties
32,there,654.3929414715847,bloodties
33,like,649.9111849625288,bloodties
34,no,647.7372893097113,bloodties
35,would,644.8674569402287,bloodties
36,will,633.906900613903,bloodties
37,if,626.9054793001384,bloodties
38,about,623.4028593981444,bloodties
39,all,617.3978575657163,bloodties
40,on,606.0,bloodties
41,want,581.7727135418049,bloodties
42,yeah,574.2014593178899,bloodties
43,see,568.0566168883231,bloodties
44,say,563.1415495191935,bloodties
45,here,546.2208813138906,bloodties
46,out,498.47644546607876,bloodties
47,okay,491.93117104764406,bloodties
48,who,480.0423900102238,bloodties
49,his,471.80497313157497,bloodties
50,find,448.9130021177296,bloodties
51,one,439.0274260326724,bloodties
52,come,436.3123292816589,bloodties
53,how,431.33750726262184,bloodties
54,take,415.61417493153886,bloodties
55,tell,414.67027182220085,bloodties
56,but,413.2800174935013,bloodties
57,kill,410.13112043463707,bloodties
58,look,407.8723683232882,bloodties
59,something,404.715551997816,bloodties
60,ve,400.14751199738504,bloodties
61,at,398.0228645629011,bloodties
62,henry,382.15498807241863,bloodties
63,could,381.4190892119171,bloodties
64,need,353.1494778050441,bloodties
65,now,349.45975494365166,bloodties
66,some,336.0181621440492,bloodties
67,up,335.8509631827047,bloodties
68,guy,330.6365632789224,bloodties
69,why,322.0174053880471,bloodties
70,make,321.3364975130986,bloodties
71,thing,320.81925364178693,bloodties
72,her,317.0216982602034,bloodties
73,oh,305.21357446593936,bloodties
74,when,301.94988681887395,bloodties
75,work,300.22326648778426,bloodties
76,good,289.676299662458,bloodties
77,more,289.3301702017859,bloodties
78,mean,271.6938731756785,bloodties
79,let,270.33411261615953,bloodties
80,where,266.94663911008416,bloodties
81,from,264.8814133886912,bloodties
82,time,260.93012231856255,bloodties
83,talk,257.87284106498146,bloodties
84,then,256.26776265498773,bloodties
85,any,250.65242343385435,bloodties
86,maybe,250.17088306923463,bloodties
87,fitzroy,247.29531066412937,bloodties
88,coreen,247.1240851728342,bloodties
89,help,239.65734341054954,bloodties
90,vampire,238.17311553742314,bloodties
91,thank,227.86583948532214,bloodties
92,try,226.94429406439025,bloodties
93,or,226.8679466401055,bloodties
94,people,225.63972251629252,bloodties
95,mike,223.45721125960185,bloodties
96,call,220.47335397093292,bloodties
97,give,219.74762341427322,bloodties
98,really,218.95329779451737,bloodties
99,too,216.22642823311307,bloodties
100,anything,216.00694767924531,bloodties
101,dead,213.03503439860398,bloodties
102,way,212.65375740665124,bloodties
103,kind,207.76590301669532,bloodties
104,an,207.0,bloodties
105,should,206.02308017466382,bloodties
106,as,204.0,bloodties
107,hey,200.4241171668343,bloodties
108,other,194.09943873213325,bloodties
109,believe,192.94224968738357,bloodties
110,use,188.80312414498118,bloodties
111,back,188.71447413928294,bloodties
112,even,188.47345146617508,bloodties
113,into,187.62647280168025,bloodties
114,night,182.55196408909558,bloodties
115,might,177.40983217071508,bloodties
116,ask,174.95610776737323,bloodties
117,celluci,173.65890081483758,bloodties
118,still,171.88691397590642,bloodties
119,keep,171.0515357844278,bloodties
120,our,169.63471385581124,bloodties
121,because,167.64415333562985,bloodties
122,body,167.4691439100167,bloodties
123,than,160.6888796061103,bloodties
124,never,159.51807726125455,bloodties
125,only,159.26953602884257,bloodties
126,blood,159.16667633826378,bloodties
127,their,156.96996584736291,bloodties
128,over,155.70930624197138,bloodties
129,die,155.34182953863655,bloodties
130,nelson,153.07636115319812,bloodties
131,leave,149.55202656410268,bloodties
132,case,149.04195228759642,bloodties
133,happen,147.83859148908718,bloodties
134,before,146.23012611824362,bloodties
135,around,146.23012611824362,bloodties
136,by,146.0622290076695,bloodties
137,little,145.65824032210733,bloodties
138,last,145.0164567207168,bloodties
139,nothing,144.67448647868784,bloodties
140,off,142.34780378604057,bloodties
141,much,141.8498612029572,bloodties
142,these,139.49247934677848,bloodties
143,day,137.4304102137188,bloodties
144,listen,136.09496549824175,bloodties
145,hobman,135.67101626159186,bloodties
146,year,135.4750364852415,bloodties
147,yes,132.13837280912466,bloodties
148,someone,132.05125749809065,bloodties
149,demon,129.49952929447946,bloodties
150,wait,129.3176421167437,bloodties
151,friend,128.0110289577613,bloodties
152,everything,127.27832048008737,bloodties
153,woman,127.0749805123047,bloodties
154,somebody,126.58868064252849,bloodties
155,name,126.571273018622,bloodties
156,sure,124.9193709907395,bloodties
157,start,123.78749389478116,bloodties
158,down,123.33102845611019,bloodties
159,murder,123.19882624090599,bloodties
160,life,121.09935990353603,bloodties
161,hear,120.41040099777443,bloodties
162,detective,119.74926694983718,bloodties
163,sorry,118.81840434700553,bloodties
164,same,118.81575916020368,bloodties
165,always,118.26047796867793,bloodties
166,hell,116.64095866773567,bloodties
167,love,116.0400757639841,bloodties
168,swanson,115.73019899922541,bloodties
169,two,115.56577458228054,bloodties
170,uh,114.965823928784,bloodties
