,mots,poids,serie
0,etre,8808.304229372332,bloodties
1,le,7206.6079166469735,bloodties
2,avoir,6320.878049469461,bloodties
3,je,5561.212980610891,bloodties
4,de,5170.876972476366,bloodties
5,ce,5027.358746922815,bloodties
6,que,4337.811870840463,bloodties
7,un,3845.5140123229176,bloodties
8,vous,3437.2500542260536,bloodties
9,ne,3135.791956126488,bloodties
10,pas,3070.0463074838226,bloodties
11,il,2890.184015395973,bloodties
12,cela,1996.6001600371217,bloodties
13,et,1862.7917991821282,bloodties
14,pouvoir,1851.0737037931851,bloodties
15,tu,1616.345276299402,bloodties
16,lui,1453.7461496426906,bloodties
17,faire,1403.0742871604448,bloodties
18,en,1291.4237390328856,bloodties
19,aller,1247.499262683509,bloodties
20,me,1176.2399979468944,bloodties
21,qui,1100.5317480300237,bloodties
22,tout,1062.234083828309,bloodties
23,savoir,1052.5828627084527,bloodties
24,dire,1033.8188982036686,bloodties
25,vicki,995.2797113933384,bloodties
26,bien,947.8395212467469,bloodties
27,pour,907.5835215751719,bloodties
28,quelque,888.5874405376604,bloodties
29,devoir,883.4364498303,bloodties
30,te,869.8540457379299,bloodties
31,dans,867.517803183405,bloodties
32,mon,855.3519067845513,bloodties
33,se,828.5802233326616,bloodties
34,sur,821.3601128021726,bloodties
35,moi,788.3255195998914,bloodties
36,voir,782.8510513419525,bloodties
37,mais,777.6855171328101,bloodties
38,vouloir,766.8836486098589,bloodties
39,nous,762.3410441458743,bloodties
40,chose,755.7150278505188,bloodties
41,si,736.5106560158126,bloodties
42,on,697.0,bloodties
43,avec,646.6858631905756,bloodties
44,son,645.5668696763125,bloodties
45,taire,640.5622898684865,bloodties
46,ou,609.4133474030956,bloodties
47,comme,569.9425647227989,bloodties
48,votre,560.1439966419858,bloodties
49,non,511.0656061980365,bloodties
50,luire,491.548770364469,bloodties
51,croire,479.7245731392069,bloodties
52,penser,478.0354021070266,bloodties
53,trouver,474.657060042666,bloodties
54,autre,473.04191187471173,bloodties
55,quoi,470.3801972232721,bloodties
56,plus,465.50656133345666,bloodties
57,au,465.2948430198526,bloodties
58,oui,460.50610570591425,bloodties
59,alors,425.0493595038903,bloodties
60,tuer,415.2726656102786,bloodties
