,mots,poids,serie
0,le,71432.63998134987,bones
1,etre,69967.72717265111,bones
2,avoir,52770.94116698663,bones
3,de,47618.72589429912,bones
4,je,36922.69064286646,bones
5,ce,36492.98772237985,bones
6,un,34230.074786994956,bones
7,vous,30142.575688683937,bones
8,que,27649.291495767997,bones
9,il,21710.358765719957,bones
10,pas,21618.949481107305,bones
11,ne,20724.241570978385,bones
12,et,14504.742467939892,bones
13,cela,13516.746599506809,bones
14,pouvoir,11020.697664272779,bones
15,en,9593.08993482715,bones
16,lui,9299.047404663585,bones
17,faire,9189.650527452706,bones
18,dans,8361.048695972142,bones
19,dire,7856.448483706321,bones
20,qui,7796.747126086629,bones
21,pour,7728.5393913608905,bones
22,aller,7643.034566252334,bones
23,sur,7584.442284760098,bones
24,savoir,7058.496844044918,bones
25,on,6909.0,bones
26,tout,6774.044814933998,bones
27,se,6493.236622728369,bones
28,mais,6441.828366916777,bones
29,avec,6399.364718999943,bones
30,me,6292.82162210189,bones
31,nous,6255.351880056503,bones
32,mon,6216.98277581238,bones
33,vouloir,6163.785096425936,bones
34,votre,5895.474498381488,bones
35,son,5865.321388256638,bones
36,devoir,5616.493681999517,bones
37,bien,5310.293343010166,bones
38,voir,4938.624185593381,bones
39,si,4696.893578577709,bones
40,moi,4561.777006751372,bones
41,quoi,4493.8398772783885,bones
42,brennan,4467.514771738576,bones
43,au,4415.102183626926,bones
44,tu,4344.703031689697,bones
45,oui,4282.706783065002,bones
46,quelque,4235.432790961993,bones
47,booth,4106.732372031537,bones
48,bones,4058.2318852517233,bones
49,trouver,4026.9837407178493,bones
50,ou,3928.3932147621076,bones
51,non,3916.7198160113353,bones
52,comme,3870.793024075122,bones
53,pourquoi,3855.957837992809,bones
54,luire,3825.972387888393,bones
55,hodgins,3169.2749398707856,bones
56,penser,3109.763870243943,bones
57,plus,3023.6862841365473,bones
58,chose,2854.2163367659596,bones
59,quand,2784.950974135627,bones
60,par,2718.6125964861235,bones
61,tuer,2710.2005545091865,bones
62,parler,2607.643337496122,bones
63,autre,2591.736672102294,bones
64,tres,2431.41852860464,bones
65,ici,2382.4288682277015,bones
66,te,2363.476348177492,bones
67,la,2301.1516091709473,bones
68,rien,2294.559188327863,bones
69,meme,2244.9975323794715,bones
70,juste,2236.9509000598805,bones
71,victime,2182.9185140022223,bones
72,croire,2165.517263255152,bones
73,venir,2165.4089417245436,bones
74,os,2131.733842611546,bones
75,donc,2115.2062614681786,bones
76,bon,2058.706456333231,bones
77,alors,2054.963045160541,bones
78,aimer,2044.4192768506023,bones
79,deux,1939.332449966947,bones
80,taire,1938.4995281321912,bones
81,vraiment,1872.1799610816056,bones
82,fait,1826.6279303984993,bones
83,zack,1820.674289994773,bones
84,jamais,1805.3796438281117,bones
85,mort,1799.7341269134017,bones
86,passer,1792.1322590510458,bones
87,prendre,1778.7792721282378,bones
88,parce,1765.3291453068523,bones
89,personne,1763.7874996736236,bones
90,aussi,1757.250764182468,bones
91,notre,1753.2588646132035,bones
92,dr,1669.4056450875687,bones
93,pere,1656.6884484600448,bones
94,merci,1643.4700982570141,bones
95,homme,1602.3461944488474,bones
96,besoin,1579.7110054002853,bones
97,petit,1571.1400323903,bones
98,avant,1558.2539317972587,bones
99,peu,1527.8349024687082,bones
100,femme,1525.209527411148,bones
101,comment,1483.8230899338228,bones
102,apres,1475.100612857781,bones
103,ok,1470.1291480420114,bones
104,appeler,1461.1329428359647,bones
105,toujours,1432.4170352888993,bones
106,celui,1420.669645508848,bones
107,temps,1384.1472843939628,bones
108,angela,1324.208557417207,bones
109,epps,1314.3287807519469,bones
110,fille,1305.8621792597676,bones
111,arriver,1298.9725237466553,bones
112,corps,1255.3201591719994,bones
113,ouai,1228.4135745554656,bones
114,entrer,1221.2706562663611,bones
115,fois,1218.5700891770082,bones
116,sans,1217.4546281072926,bones
117,seul,1210.5114139246987,bones
118,fbi,1201.250392513174,bones
119,quel,1170.9452959433886,bones
120,arme,1161.7547041971761,bones
121,travailler,1160.073438344503,bones
122,essayer,1143.5687887860672,bones
123,falloir,1141.8796177538868,bones
124,an,1138.0,bones
125,aucun,1133.4337625929852,bones
126,demander,1131.744591560805,bones
127,mourir,1131.2337284434245,bones
128,gens,1123.2987363999034,bones
129,encore,1114.139724225648,bones
130,meurtre,1114.0331268601822,bones
131,vrai,1112.9979944696536,bones
132,vie,1107.9744823915598,bones
133,toi,1101.541070469285,bones
134,mettre,1092.893657820658,bones
135,laisser,1086.0977408268825,bones
136,rus,1074.616915255235,bones
137,reste,1069.2850823001506,bones
138,donner,1067.6974078969206,bones
139,preuve,1060.7120011434267,bones
140,connaitre,1018.8471067199548,bones
141,depuis,1010.1242772438229,bones
142,gormogon,1009.3923609862434,bones
143,jour,1009.2694418241264,bones
144,sou,991.80362517431,bones
145,aider,990.2655872245106,bones
146,maintenant,988.5031139424487,bones
147,affaire,981.4083696967577,bones
148,partir,975.1341945504518,bones
149,trop,942.295956696391,bones
150,dernier,934.1115807957092,bones
151,utiliser,932.4224097635289,bones
152,hodgin,917.1360699283609,bones
153,agent,913.6504922894875,bones
154,enfant,910.1972502832347,bones
155,oh,892.5489069086188,bones
156,arreter,890.1931339590212,bones
157,truc,882.6645726534261,bones
158,monde,879.3020409480798,bones
159,mal,864.9757840745541,bones
160,heure,857.8048754066076,bones
161,tete,856.4826646679982,bones
162,raison,853.8338906853977,bones
163,accord,852.1243704780472,bones
164,regarder,849.6530291866939,bones
165,jeffersonian,847.9611653719625,bones
166,nom,845.1061799793636,bones
167,probleme,842.2225922475104,bones
168,beaucoup,834.6681422073467,bones
169,temperance,822.265372481903,bones
170,comprendre,819.2479506074484,bones
171,sang,803.256347090707,bones
172,mieux,802.8387377591939,bones
173,ton,787.2699420408522,bones
174,seeley,786.2912624358197,bones
175,dieu,775.331279809435,bones
176,travail,769.5259270637916,bones
177,chercher,748.3027672558756,bones
178,assez,744.924425191515,bones
179,moins,744.924425191515,bones
180,coup,744.4786878544687,bones
181,voiture,710.9513723865919,bones
182,crane,710.5435976980136,bones
183,blessure,709.0881681106931,bones
184,sortir,706.131658122741,bones
185,sembler,704.3843204191876,bones
186,envoyer,702.7691264173945,bones
187,fils,701.005978354827,bones
188,ami,687.4381692565763,bones
189,retrouver,682.4250970008436,bones
190,deja,681.2102173300739,bones
191,cote,681.0830288113518,bones
192,nouveau,676.7722188167102,bones
193,celer,666.9757063189868,bones
194,attendre,663.8442156468602,bones
195,entendre,651.045255672349,bones
196,tirer,648.9686191318524,bones
197,noel,648.8866735949222,bones
198,gars,643.215757493374,bones
199,allez,641.949434597016,bones
200,euh,634.4359876622743,bones
201,sentir,633.4391370676148,bones
202,finir,633.4391370676148,bones
203,famille,632.1559606051204,bones
204,cam,630.7172820918317,bones
205,premier,627.5314511913432,bones
206,mere,626.4593344826917,bones
207,argent,624.1866578541382,bones
208,trois,620.9220842541662,bones
209,perdre,615.3433020783885,bones
210,disparaitre,613.8616944696289,bones
211,chez,613.6101534711888,bones
212,pendant,604.0381333749709,bones
213,rester,601.893175257003,bones
214,meilleur,594.5882033274677,bones
215,mec,585.2868440954993,bones
216,rendre,581.7179850249247,bones
217,genre,581.6899756936429,bones
218,fracture,581.1709813523375,bones
219,humain,573.9449755593878,bones
220,correspondre,572.0156624131267,bones
221,identifier,569.3914428818827,bones
222,eh,567.0500148677056,bones
223,saroyan,564.3914276482221,bones
224,oeil,563.2240606455196,bones
225,facon,557.2497508456514,bones
226,attendez,555.7372695873206,bones
227,mari,553.9029054952272,bones
228,bas,547.8848644889699,bones
229,frere,547.7597766548602,bones
230,voila,546.120215164334,bones
231,vivre,543.8623694439541,bones
232,marque,543.0588472844028,bones
233,tueur,542.8950968431815,bones
234,idee,542.188946768742,bones
235,boulot,533.7186399138718,bones
236,mois,533.0049711264357,bones
237,warren,526.9637272277615,bones
238,cas,526.5948203636002,bones
239,regardez,526.1131525671397,bones
240,enquete,525.3466879221558,bones
241,vieux,524.5549460340361,bones
242,peur,523.7812973414082,bones
243,contre,522.7188741634807,bones
244,marni,519.0550163792012,bones
245,type,518.2277518317372,bones
246,sai,517.4350702118052,bones
247,particule,516.9281535135663,bones
248,endroit,514.2331781543334,bones
249,maison,512.5071171621689,bones
250,semaine,512.067338614923,bones
251,decouvrir,511.10481921265057,bones
252,grand,509.7402164827896,bones
253,revenir,503.37296758973116,bones
254,balle,501.98769504149436,bones
255,squelette,500.0202496793269,bones
256,ecoutez,497.2617861360385,bones
257,partie,493.1726044576131,bones
258,veux,491.36395775718296,bones
259,jusque,489.8595993322887,bones
