,mots,poids,serie
0,be,10555.305329225494,breakingbad
1,you,6042.415559402371,breakingbad
2,it,3278.9229503271213,breakingbad
3,not,3209.2959399034603,breakingbad
4,to,3206.921007858444,breakingbad
5,the,2818.487377412543,breakingbad
6,that,2677.792587529875,breakingbad
7,do,2570.3377951470375,breakingbad
8,what,2030.0351921020017,breakingbad
9,we,1800.992234697653,breakingbad
10,and,1726.3690135293155,breakingbad
11,get,1684.8819249922456,breakingbad
12,this,1677.7537115501148,breakingbad
13,have,1432.3752288863827,breakingbad
14,he,1349.7308393165442,breakingbad
15,know,1347.2921315225365,breakingbad
16,of,1313.875561172947,breakingbad
17,go,1243.8663733290264,breakingbad
18,just,1209.4203603769852,breakingbad
19,right,1159.9346650140606,breakingbad
20,your,1136.0189961640835,breakingbad
21,in,1103.805774242727,breakingbad
22,for,972.164862267353,breakingbad
23,my,952.7459909670744,breakingbad
24,all,937.8981538473156,breakingbad
25,they,937.6721222769919,breakingbad
26,like,936.0446491385093,breakingbad
27,so,898.7656807352733,breakingbad
28,will,849.8393309027026,breakingbad
29,on,819.0,breakingbad
30,here,806.3985155887522,breakingbad
31,about,780.7101229845921,breakingbad
32,say,765.3747026614453,breakingbad
33,can,740.9671261023627,breakingbad
34,no,715.9201618686283,breakingbad
35,there,709.7537326156016,breakingbad
36,think,706.2989556100882,breakingbad
37,with,668.5430851896386,breakingbad
38,would,652.7509221839969,breakingbad
39,out,638.7512240896989,breakingbad
40,want,637.0334462265147,breakingbad
41,how,634.9408760753979,breakingbad
42,come,626.3193113881878,breakingbad
43,good,623.0773238022682,breakingbad
44,up,599.2409308842094,breakingbad
45,tell,562.8794184050407,breakingbad
46,at,549.3836722135818,breakingbad
47,if,530.5690868388785,breakingbad
48,but,520.1280220162114,breakingbad
49,well,515.6607419277193,breakingbad
50,see,504.4342757968309,breakingbad
51,mean,501.8345657480179,breakingbad
52,now,496.75270950667834,breakingbad
53,look,482.37537058667516,breakingbad
54,yeah,462.6267681708118,breakingbad
55,okay,451.9703756404125,breakingbad
56,some,449.57985583162133,breakingbad
57,walt,446.13745564712343,breakingbad
58,one,444.162249728961,breakingbad
59,why,437.1347387151751,breakingbad
60,take,427.57429507345364,breakingbad
61,need,421.90424339540664,breakingbad
62,make,406.9261253553725,breakingbad
63,his,403.9637351649433,breakingbad
64,really,396.3534149856957,breakingbad
65,talk,395.7014285307474,breakingbad
66,she,390.35506149229604,breakingbad
67,ve,369.0249277309218,breakingbad
68,thing,366.86986421237833,breakingbad
69,could,362.5835786335508,breakingbad
70,who,361.1195018505913,breakingbad
71,man,359.7596245903883,breakingbad
72,let,340.8560550377664,breakingbad
73,pinkman,336.4641203287478,breakingbad
74,tuco,331.0372796782841,breakingbad
75,something,325.0225282453503,breakingbad
76,time,319.8498273582379,breakingbad
77,guy,317.52762464671844,breakingbad
78,where,315.2081783842237,breakingbad
79,call,312.79657094626106,breakingbad
80,skyler,311.48773000203624,breakingbad
81,work,311.46157058090984,breakingbad
82,then,306.2712285388878,breakingbad
83,thank,305.991270166004,breakingbad
84,back,302.7294689317664,breakingbad
85,down,294.3126815429902,breakingbad
