,mots,poids,serie
0,etre,8219.666857444721,breakingbad
1,le,6599.149635604284,breakingbad
2,je,5994.591280048397,breakingbad
3,ce,5326.904924094911,breakingbad
4,avoir,5135.014203020323,breakingbad
5,de,4705.3696291346405,breakingbad
6,que,3463.696910764756,breakingbad
7,un,3420.5074400390017,breakingbad
8,pas,3033.2962135636667,breakingbad
9,il,2621.0198055711753,breakingbad
10,cela,2545.580745495721,breakingbad
11,vous,2071.0024687257264,breakingbad
12,tu,1992.5279365123063,breakingbad
13,et,1657.8601585606425,breakingbad
14,te,1656.802183939567,breakingbad
15,ne,1624.0574437755809,breakingbad
16,aller,1571.9835722494352,breakingbad
17,en,1447.7413238320244,breakingbad
18,faire,1370.6707239465777,breakingbad
19,me,1345.8780040134668,breakingbad
20,pouvoir,1345.0126821385543,breakingbad
21,on,1232.0,breakingbad
22,tout,1231.086322587144,breakingbad
23,dire,1112.9010114181356,breakingbad
24,mon,969.3988276891581,breakingbad
25,quoi,965.1745915342573,breakingbad
26,moi,959.5047752844392,breakingbad
27,mais,957.5252929697724,breakingbad
28,bien,935.8794011048321,breakingbad
29,qui,922.365433520865,breakingbad
30,se,884.4814378003823,breakingbad
31,pour,883.7567465457521,breakingbad
32,dans,794.2752119202657,breakingbad
33,vouloir,770.2619906742195,breakingbad
34,savoir,742.999667794202,breakingbad
35,devoir,680.7359259686633,breakingbad
36,voir,671.253135512355,breakingbad
37,si,660.5006594874903,breakingbad
38,taire,652.3311508371988,breakingbad
39,toi,649.95761551848,breakingbad
40,sur,645.6761398627682,breakingbad
41,bon,611.6157045028823,breakingbad
42,ou,599.8485639236749,breakingbad
43,lui,596.282319005985,breakingbad
44,au,501.68661845157294,breakingbad
45,comme,494.485380097527,breakingbad
46,avec,489.7232750375232,breakingbad
47,luire,486.48125726792813,breakingbad
48,la,463.3117300148105,breakingbad
49,nous,460.28138514467884,breakingbad
50,ton,449.5490294040094,breakingbad
51,alors,448.47727695686063,breakingbad
52,oui,448.22594288708984,breakingbad
53,plus,446.5492805551711,breakingbad
54,rien,445.9800734538982,breakingbad
55,votre,438.5878214176253,breakingbad
56,parler,428.7227924316641,breakingbad
57,vraiment,423.07269583160837,breakingbad
58,walt,415.7720790847538,breakingbad
59,non,413.20197947926357,breakingbad
60,falloir,403.7118766910931,breakingbad
61,pourquoi,401.41936887959696,breakingbad
62,quelque,393.25432867485915,breakingbad
63,son,377.50099999734607,breakingbad
64,tuco,369.02516423152986,breakingbad
65,tres,328.1477448630941,breakingbad
66,passer,325.2449012759918,breakingbad
67,amphet,324.73430123315694,breakingbad
68,croire,322.6316671464384,breakingbad
69,quand,321.46862321063156,breakingbad
70,juste,320.9468126257507,breakingbad
71,meme,317.21013931654585,breakingbad
72,pinkman,314.7567577268931,breakingbad
73,deux,302.7250653606942,breakingbad
74,prendre,302.62785348117467,breakingbad
75,veux,301.48093679339024,breakingbad
76,mec,294.36485394214816,breakingbad
77,chose,292.740137104201,breakingbad
78,peu,289.5021228117048,breakingbad
79,autre,288.15581251522934,breakingbad
80,appeler,271.95653618102926,breakingbad
81,sai,269.3947667134478,breakingbad
82,ici,263.609039699516,breakingbad
83,skyler,262.7004951824402,breakingbad
84,penser,255.0648258592262,breakingbad
85,tyno,250.88575390489763,breakingbad
86,par,249.0020546331134,breakingbad
87,merci,247.31133587069678,breakingbad
88,truc,247.14608034295932,breakingbad
89,notre,245.0107669241682,breakingbad
90,trouver,239.86228656960344,breakingbad
91,comment,237.6833324836787,breakingbad
92,petit,228.06871437923706,breakingbad
93,venir,227.58548382885465,breakingbad
94,arriver,224.65974727998068,breakingbad
95,besoin,215.8715251023695,breakingbad
96,fai,214.86762898534442,breakingbad
97,trop,214.5332300709822,breakingbad
98,hank,210.36296994678824,breakingbad
99,temps,209.8707073810341,breakingbad
100,jamais,207.93220760725967,breakingbad
101,donc,207.50441172630866,breakingbad
102,toujours,206.07886592599732,breakingbad
103,vrai,200.07063646810994,breakingbad
104,argent,199.13729835024782,breakingbad
105,fait,197.11812198544956,breakingbad
106,chez,195.31357670170468,breakingbad
107,aimer,195.02683891009036,breakingbad
108,fois,192.31854468643937,breakingbad
109,apres,192.19016893581335,breakingbad
110,as,191.0,breakingbad
111,aussi,189.88302096379275,breakingbad
112,accord,186.21245150589155,breakingbad
113,mettre,185.80881353983366,breakingbad
114,probleme,185.68687073173456,breakingbad
115,jesse,185.39732924796303,breakingbad
116,nouveau,183.97691385308627,breakingbad
117,voila,178.38097480242067,breakingbad
118,encore,178.13734721139392,breakingbad
119,arreter,170.6062742502109,breakingbad
120,heure,168.22969401178128,breakingbad
121,enfin,167.22793218585028,breakingbad
122,aucun,165.53876115366998,breakingbad
123,heisenberg,161.62185157375134,breakingbad
124,mieux,161.56713187270083,breakingbad
125,parce,161.40152185662652,breakingbad
126,maintenant,160.07479474527133,breakingbad
127,sang,159.33714860490508,breakingbad
128,ecoute,155.40373496058814,breakingbad
129,payer,154.67645844593372,breakingbad
130,dollar,154.12338721398092,breakingbad
131,vendre,151.7602522438805,breakingbad
132,famille,149.63266088791414,breakingbad
133,avant,148.79444679281275,breakingbad
134,sans,148.11279566545937,breakingbad
135,essayer,146.95787979968662,breakingbad
136,quel,146.57636705976984,breakingbad
137,personne,145.5877727434585,breakingbad
138,semaine,143.91435006824634,breakingbad
139,allez,143.572238585965,breakingbad
140,homme,141.5794454554595,breakingbad
141,connaitre,141.22633162454818,breakingbad
142,mal,137.22432225068684,breakingbad
143,monde,134.5012682138554,breakingbad
144,laisser,134.5012682138554,breakingbad
145,donner,134.4747873375484,breakingbad
146,sou,133.67070489038122,breakingbad
147,laisse,129.45747065583583,breakingbad
148,genre,128.7594998280199,breakingbad
149,jour,128.70932228550288,breakingbad
150,affaire,128.37699844570326,breakingbad
151,beaucoup,126.70484132179837,breakingbad
152,seul,126.09493895048945,breakingbad
153,demander,124.99865638134264,breakingbad
154,rester,124.41367309781626,breakingbad
155,partir,124.41367309781626,breakingbad
156,putain,123.98939066743807,breakingbad
157,comprendre,123.30948534916233,breakingbad
158,sortir,122.73240724514307,breakingbad
159,reste,121.05114139246987,breakingbad
160,maison,119.91352420781516,breakingbad
161,vie,119.20277189867817,breakingbad
162,attendre,116.55280122044111,breakingbad
163,celui,116.0073438344503,breakingbad
164,deja,115.41164839063235,breakingbad
165,dernier,114.8636301882608,breakingbad
166,moins,114.8636301882608,breakingbad
167,nom,114.50866179109697,breakingbad
168,tuer,114.3260779817771,breakingbad
169,serieux,113.1744591560805,breakingbad
170,stup,112.36282417171245,breakingbad
171,depuis,111.48528812390019,breakingbad
172,gros,110.96354627643072,breakingbad
173,schrader,108.87494980778577,breakingbad
174,acheter,108.10694605953958,breakingbad
175,occuper,106.41777502735927,breakingbad
176,walter,104.93535369051705,breakingbad
177,desole,104.93535369051705,breakingbad
178,ouai,104.50938360932135,breakingbad
179,entendre,104.16724090757583,breakingbad
180,tete,103.96610380362984,breakingbad
181,albuquerque,103.96320405859434,breakingbad
182,jusque,103.03943296299866,breakingbad
183,entrer,103.03943296299866,breakingbad
184,preparer,102.31028241160483,breakingbad
185,000,100.70298117122621,breakingbad
186,trois,100.2017120092702,breakingbad
187,revenir,99.66109089863805,breakingbad
188,cheri,98.38068125713966,breakingbad
189,type,98.21251748424052,breakingbad
190,aider,95.83215360237199,breakingbad
191,combien,95.3850924870935,breakingbad
192,femme,95.02863099134878,breakingbad
193,elliott,94.75333563219876,breakingbad
194,gramme,93.12352616652812,breakingbad
195,beau,92.92315180267255,breakingbad
196,finir,92.90440676991683,breakingbad
197,saul,92.3059898768892,breakingbad
198,cote,92.03824713666916,breakingbad
199,white,91.51977931743026,breakingbad
200,hein,91.18551687719108,breakingbad
201,michvanilly,90.80626865933507,breakingbad
202,bordel,90.37398221018638,breakingbad
203,connard,90.1171094847574,breakingbad
204,sentir,89.52606470555621,breakingbad
205,commencer,89.10709019167922,breakingbad
206,travailler,89.10709019167922,breakingbad
207,bonjour,88.59277267884494,breakingbad
208,mois,88.27894834281592,breakingbad
209,meilleur,87.83689367337591,breakingbad
210,regarde,87.83689367337591,breakingbad
211,drogue,87.59868352028964,breakingbad
212,fille,86.61330780804582,breakingbad
213,porte,86.21176141116248,breakingbad
214,apprendre,86.1477226411956,breakingbad
215,assez,86.1477226411956,breakingbad
216,perdre,85.74455848633283,breakingbad
217,marie,85.49082654344002,breakingbad
218,fric,84.77777004384346,breakingbad
219,coup,84.41115234037657,breakingbad
220,papa,84.37630522010565,breakingbad
221,kilo,83.82381340897221,breakingbad
222,boulot,83.55339730281061,breakingbad
223,air,83.31729740531215,breakingbad
224,soir,83.28202673850559,breakingbad
225,regarder,82.76938057683499,breakingbad
226,voiture,82.62873093112931,breakingbad
227,bas,82.51278079653162,breakingbad
228,faut,82.4741107893076,breakingbad
229,idee,81.99771108539616,breakingbad
230,pere,81.99771108539616,breakingbad
231,chimie,81.9704770949673,breakingbad
232,changer,80.17600850601927,breakingbad
233,aujourd,79.95074566896537,breakingbad
234,hui,79.58008745645768,breakingbad
235,tenir,79.39103851247438,breakingbad
236,salut,79.02710461639087,breakingbad
237,dieu,78.84724879417983,breakingbad
238,frere,78.48498292368146,breakingbad
239,maman,78.0684032841562,breakingbad
240,grand,77.93548764406287,breakingbad
241,clair,77.92216896778147,breakingbad
242,raison,77.768551713281,breakingbad
243,compte,77.70186748029407,breakingbad
244,histoire,77.70186748029407,breakingbad
245,produit,77.41951190431769,breakingbad
246,camping,77.31680017803606,breakingbad
247,beneke,77.08737867017841,breakingbad
248,vite,76.7135641907798,breakingbad
249,moment,76.30339361648484,breakingbad
250,gomie,75.97576910649144,breakingbad
251,marche,75.8015085095994,breakingbad
252,merde,75.3040203845475,breakingbad
253,www,75.00115981480867,breakingbad
254,bref,74.4182354170676,breakingbad
255,oh,74.29540957394578,breakingbad
256,rendre,73.97569751762047,breakingbad
257,dis,73.77984659411234,breakingbad
258,labo,73.35265738189338,breakingbad
259,pote,73.34583673285069,breakingbad
260,travail,73.28818352988492,breakingbad
261,surement,72.97698567866776,breakingbad
262,tant,72.63435438375316,breakingbad
263,monsieur,72.14595656059323,breakingbad
264,badger,71.98964846761977,breakingbad
265,salope,71.1167183810219,breakingbad
