,mots,poids,serie
0,etre,43353.14244246854,buffy
1,le,32922.75420942363,buffy
2,je,31629.487926381396,buffy
3,avoir,25058.16610306743,buffy
4,ce,22545.64552222885,buffy
5,de,21862.793159704503,buffy
6,que,17743.092120637168,buffy
7,pas,17501.52549689903,buffy
8,un,16209.341569673195,buffy
9,ne,15450.349579026926,buffy
10,tu,12695.131313338781,buffy
11,il,10514.726632314256,buffy
12,cela,9246.522230154995,buffy
13,et,8677.075633739676,buffy
14,aller,8170.952043991717,buffy
15,pouvoir,7965.837609965587,buffy
16,vous,7503.895063570236,buffy
17,faire,7485.223102403297,buffy
18,lui,7393.572225470904,buffy
19,te,7239.133291383287,buffy
20,me,6660.786414672764,buffy
21,en,6625.4607095635,buffy
22,on,6559.0,buffy
23,buffy,6061.165769736073,buffy
24,tout,5696.46052758216,buffy
25,mais,5568.552338303059,buffy
26,0000,5030.681282979826,buffy
27,taire,5020.259836082154,buffy
28,mon,4923.9758100564,buffy
29,moi,4833.5616144610485,buffy
30,savoir,4801.049655183706,buffy
31,se,4642.285299241614,buffy
32,dire,4566.632573984494,buffy
33,devoir,4542.180905532843,buffy
34,qui,4532.992515166645,buffy
35,si,3977.419645921693,buffy
36,pour,3932.5009150828746,buffy
37,bien,3927.404451601268,buffy
38,vouloir,3797.256480341328,buffy
39,voir,3481.1887176695336,buffy
40,dans,3458.6779207593536,buffy
41,toi,3314.299999728229,buffy
42,avec,3211.45455361145,buffy
43,nous,3170.8273198855654,buffy
44,quoi,3017.5947600413374,buffy
45,ou,2851.671874507311,buffy
46,sur,2819.953001540183,buffy
47,comme,2726.091478589613,buffy
48,oui,2700.1007997890106,buffy
49,chose,2629.8882969198053,buffy
50,non,2608.6093388704035,buffy
51,p0,2545.1882650674634,buffy
52,quelque,2523.521394219947,buffy
53,plus,2470.7655947698854,buffy
54,rien,2458.6931187068067,buffy
55,au,2269.2871394208455,buffy
56,croire,2152.0038949977097,buffy
57,giles,2137.427734566544,buffy
58,son,2042.1197712622393,buffy
59,est,1973.2365180398497,buffy
60,ton,1958.1103245930856,buffy
61,quand,1855.5235557339045,buffy
62,luire,1834.4397409478122,buffy
63,passer,1751.0659836374105,buffy
64,ca,1742.6822039260726,buffy
65,parler,1736.7476258114082,buffy
66,willow,1727.9719599383404,buffy
67,aimer,1693.034713641905,buffy
68,ici,1681.1293475176683,buffy
69,trouver,1662.1442956654212,buffy
70,la,1652.9553883188726,buffy
71,bon,1646.9651650665849,buffy
72,pourquoi,1617.3369592617785,buffy
73,tuer,1614.015218566265,buffy
74,peu,1581.3844280754975,buffy
75,falloir,1572.6182309598648,buffy
76,autre,1564.0364621491349,buffy
77,meme,1541.9028936881584,buffy
78,alors,1484.3259129131918,buffy
79,penser,1461.1329428359647,buffy
80,veux,1424.1226572284456,buffy
81,tueur,1401.256263473617,buffy
82,tres,1400.0970447492014,buffy
83,venir,1395.634511126947,buffy
84,vraiment,1369.156519581032,buffy
85,juste,1282.1744524496069,buffy
86,mal,1258.1465950175332,buffy
87,jamais,1226.1399226364597,buffy
88,toujours,1204.3789459445582,buffy
89,temps,1170.9452959433886,buffy
90,arriver,1170.595525300952,buffy
91,as,1150.0,buffy
92,par,1145.6815847053633,buffy
93,demon,1132.7487562425158,buffy
94,aussi,1124.3073609698254,buffy
95,petit,1116.5864141483482,buffy
96,besoin,1104.4589656400299,buffy
97,monde,1092.8228042375754,buffy
98,seul,1087.7790066795558,buffy
99,comment,1084.2887262826866,buffy
100,votre,1080.864368886882,buffy
101,prendre,1079.3726774161898,buffy
102,trop,1064.414872275258,buffy
103,marked,1034.346324614206,buffy
104,vampire,1033.7726716943473,buffy
105,qu,1018.4579037596013,buffy
106,maintenant,1003.3554144858244,buffy
107,spike,999.3500121375242,buffy
108,notre,986.4069837206772,buffy
109,encore,986.0058428981541,buffy
110,ll,969.8303601321393,buffy
111,sai,967.5214487452483,buffy
112,fille,961.0745885623545,buffy
113,truc,954.9590043183734,buffy
114,fai,944.4181832146534,buffy
115,mieux,907.7740914497109,buffy
116,anya,888.9201836556324,buffy
117,alex,888.5176997691111,buffy
118,personne,873.526636460751,buffy
119,partir,870.8957116847139,buffy
120,vie,869.5689385942036,buffy
121,merci,858.4003925279417,buffy
122,vrai,854.0830531579819,buffy
123,sans,852.8692849307771,buffy
124,sunnydale,850.4705996186993,buffy
125,avant,846.9837740513957,buffy
126,cordelia,822.5121085286104,buffy
127,deux,821.4570784006337,buffy
128,aider,817.0952043991716,buffy
129,mort,815.5797827582588,buffy
130,sortir,808.6888751358057,buffy
131,fait,796.6857430245253,buffy
132,fois,792.4850375872243,buffy
133,dieu,781.9018838756166,buffy
134,ami,759.9660494992427,buffy
135,soir,752.8695217160905,buffy
136,angel,742.3371301531537,buffy
137,appeler,738.1677410627937,buffy
138,laisser,717.9005190914532,buffy
139,salut,711.2439415475178,buffy
140,mourir,707.8577916147465,buffy
141,sentir,694.2492942261058,buffy
142,nouveau,691.5560779656189,buffy
143,arreter,690.8709521617451,buffy
144,ai,675.7636924894102,buffy
145,essayer,673.9792418399421,buffy
146,jour,670.2302514135333,buffy
147,dawn,667.3919250450085,buffy
148,apres,657.0604066181653,buffy
