,mots,poids,serie
0,be,11855.127699150551,californication
1,you,7922.387256600672,californication
2,not,4001.55492865203,californication
3,to,3616.8803012649073,californication
4,that,3306.420725456096,californication
5,it,3228.8248151043995,californication
6,the,3167.63572398609,californication
7,do,3154.771127376923,californication
8,what,2164.0403241649146,californication
9,have,1756.1629555453069,californication
10,of,1731.3384857820854,californication
11,and,1708.831296566478,californication
12,fuck,1695.5484383919138,californication
13,know,1650.1037180862336,californication
14,get,1644.5165195132834,californication
15,my,1438.9478653120325,californication
16,we,1411.8889741148266,californication
17,this,1387.061115969312,californication
18,go,1351.6427665328665,californication
19,she,1290.5021809036355,californication
20,just,1253.4250917991524,californication
21,fucking,1251.3975016252457,californication
22,your,1210.9507556283813,californication
23,in,1163.7108112368046,californication
24,with,1125.967301372023,californication
25,like,1097.084588775242,californication
26,for,1078.12960010638,californication
27,think,1054.7606084885167,californication
28,want,942.5024963447711,californication
29,right,933.7550465396456,californication
30,no,902.2866801963347,californication
31,about,897.2340219375163,californication
32,on,892.0,californication
33,so,880.9275832550312,californication
34,he,832.5248045129032,californication
35,shit,823.3133161475117,californication
36,can,819.180322746501,californication
37,well,810.9937123045039,californication
38,would,778.886366084286,californication
39,hank,728.9805889245137,californication
40,all,726.7157880803703,californication
41,say,712.4829549165487,californication
42,come,707.9519407376595,californication
43,will,707.147140127063,californication
44,good,703.6947845573862,californication
45,out,677.5772788873081,californication
46,here,675.5489451347282,californication
47,but,668.3040282882716,californication
48,there,654.3929414715847,californication
49,runkle,634.9403561042499,californication
50,up,625.6949451075046,californication
51,really,596.1283217325181,californication
52,some,552.2520720423031,californication
53,yeah,551.0701209093493,californication
54,one,549.4261355028766,californication
55,now,548.7384581759819,californication
56,mean,519.4147575417383,californication
57,they,518.0676346021506,californication
58,how,517.3033740946829,californication
59,make,512.036194635358,californication
60,see,508.97872873193745,californication
61,if,507.5633811764881,californication
62,at,504.53602550226896,californication
63,okay,500.19892182155405,californication
64,thing,486.60145169591607,californication
65,ve,480.17701439686203,californication
66,look,454.5945900816834,californication
67,take,447.0094903040652,californication
68,could,444.20412447313805,californication
69,why,432.46781979650774,californication
70,little,427.95164413220914,californication
71,love,423.68120685919774,californication
72,tell,413.09357877344723,californication
73,becca,409.8744731146471,californication
74,time,402.8183915977809,californication
75,who,387.2245260807546,californication
76,let,376.1170262485698,californication
77,something,357.83730273165975,californication
78,too,354.37109071537975,californication
79,maybe,335.1962812365562,californication
80,guy,335.00620948965707,californication
81,moody,334.53399850180983,californication
82,give,331.1910610029404,californication
83,thank,327.15024097535536,californication
84,back,325.008261017654,californication
85,should,322.11545074927596,californication
86,very,317.7212165189592,californication
87,never,309.74383934224187,californication
88,sorry,308.59780017902824,californication
89,yes,295.809766402245,californication
90,much,292.95080031045507,californication
91,work,292.19590642126593,californication
92,or,286.7953287714541,californication
93,her,283.91903097198934,californication
94,talk,280.10325839816954,californication
95,man,277.3379149319092,californication
96,because,276.6942336607483,californication
97,need,276.5816706703221,californication
98,oh,273.0858297853142,californication
99,kind,271.6938731756785,californication
100,where,269.96298531471786,californication
101,when,266.00347172138896,californication
102,from,264.8814133886912,californication
103,way,261.53967864955956,californication
104,lew,261.3932363902363,californication
105,his,259.0301813271392,californication
106,an,248.0,californication
107,try,247.72088436605978,californication
108,then,246.8921128017565,californication
109,asshole,246.33625451333415,californication
110,call,245.27660629266288,californication
111,off,241.55990945509916,californication
112,as,238.0,californication
113,god,232.3078795066814,californication
114,nice,230.73500458498688,californication
115,more,227.22264675532924,californication
116,hey,218.98190579339303,californication
117,girl,218.52726309704974,californication
118,old,214.9153505281414,californication
119,feel,212.77479180443578,californication
120,happen,211.9019811343583,californication
121,down,204.61738812036464,californication
122,big,201.57207065142413,californication
123,write,201.21022207615616,californication
124,woman,200.86045306783646,californication
125,ass,199.3221817972761,californication
126,ever,197.28139674413544,californication
127,over,194.29214318688463,californication
128,marcy,192.76217328891963,californication
129,into,189.20316585043386,californication
130,life,189.13270816394953,californication
131,karen,184.1585083408887,californication
132,great,180.26329975922786,californication
133,any,177.40983217071508,californication
134,always,176.55789668563185,californication
135,anything,171.85954231414408,californication
136,hear,171.78550542349151,californication
137,our,171.1629545211789,californication
