,mots,poids,serie
0,etre,8803.398917939603,californication
1,je,7129.358143049235,californication
2,le,6068.396880884705,californication
3,ce,5272.307837615268,californication
4,avoir,4932.042897765552,californication
5,de,4441.047068662442,californication
6,que,3641.9272474518566,californication
7,un,3536.4183233891604,californication
8,pas,3485.605061811744,californication
9,te,2643.7772736573393,californication
10,tu,2605.7194522439636,californication
11,cela,2530.378206206098,californication
12,et,1838.2490877304533,californication
13,me,1691.3907075461177,californication
14,aller,1578.708635660128,californication
15,vous,1508.594116369616,californication
16,faire,1508.3858676055129,californication
17,mon,1491.1634908277342,californication
18,en,1439.3242231120707,californication
19,il,1325.8336078003656,californication
20,mais,1275.0802124656698,californication
21,lui,1264.8412827399682,californication
22,pouvoir,1262.6306553575678,californication
23,on,1180.0,californication
24,ne,1157.58691680017,californication
25,tout,1082.1893484088985,californication
26,dire,1049.6353208465619,californication
27,moi,1019.5676720158596,californication
28,quoi,934.2499418898208,californication
29,qui,919.2120474233578,californication
30,bien,916.4442058742205,californication
31,toi,916.0692943287758,californication
32,avec,857.0157313156656,californication
33,vouloir,847.9638581545136,californication
34,pour,840.4353374013524,californication
35,si,815.1416869071805,californication
36,savoir,801.5694614266278,californication
37,taire,796.9200141670933,californication
38,dans,776.3714673892761,californication
39,devoir,755.0594513845967,californication
40,se,741.6227786050958,californication
41,voir,691.2408219295963,californication
42,ton,640.7751090758641,californication
43,sur,608.1368294056306,californication
44,ou,599.8485639236749,californication
45,comme,576.3644527760136,californication
46,hank,574.8532644090451,californication
47,non,565.434287708466,californication
48,oui,560.2824286088623,californication
49,runkle,510.1230211435854,californication
50,bon,493.0235526493822,californication
51,aimer,490.92962898057226,californication
52,plus,490.78293570450404,californication
53,vraiment,464.71370920086116,californication
54,putain,459.28464430332696,californication
55,la,449.0051920333555,californication
56,au,439.30071771148096,californication
57,veux,434.7321795749992,californication
58,son,397.58084042273686,californication
59,peu,396.60117402528346,californication
60,croire,390.19850843365066,californication
61,becca,386.11363409350815,californication
62,luire,376.6851401762082,californication
63,pourquoi,373.103479788505,californication
64,rien,366.3999859974405,californication
65,parler,354.74709491404366,californication
66,femme,346.85450311842305,californication
67,alors,344.72507109370633,californication
68,jamais,343.2531681135715,californication
69,penser,337.8342064360612,californication
70,quelque,333.01111236722113,californication
71,petit,326.2649664036308,californication
72,meme,317.21013931654585,californication
73,sai,317.03164619326475,californication
74,fille,314.80606107155114,californication
75,quand,309.8091394672408,californication
76,merde,306.2363495638265,californication
77,truc,304.3091193338479,californication
78,trop,301.9967777153057,californication
