,mots,poids,serie
0,etre,59946.175915583524,charmed
1,le,47543.81727533503,charmed
2,je,41334.880895363436,charmed
3,avoir,36971.143342193944,charmed
4,ce,31636.79821955537,charmed
5,de,29982.95343850224,charmed
6,que,26996.653939369644,charmed
7,ne,26661.49958146145,charmed
8,pas,25592.200019936507,charmed
9,un,19532.120225711085,charmed
10,il,17671.563122259748,charmed
11,tu,15634.31671346378,charmed
12,vous,14965.92350041421,charmed
13,pouvoir,14890.971657126467,charmed
14,cela,13765.054741237313,charmed
15,aller,11508.264761548004,charmed
16,et,10946.049307447025,charmed
17,on,10096.0,charmed
18,faire,9620.617918197138,charmed
19,lui,9289.19149856431,charmed
20,en,8809.09712491147,charmed
21,me,8670.248383593704,charmed
22,te,8564.311845177683,charmed
23,mais,7827.080694309595,charmed
24,tout,7157.79990302226,charmed
25,devoir,7108.031703414727,charmed
26,savoir,6994.906782386856,charmed
27,qui,6940.602800613416,charmed
28,nous,6749.195449534648,charmed
29,taire,6689.756827786634,charmed
30,pour,6633.59077523619,charmed
31,se,6544.168840354514,charmed
32,mon,6398.032262748443,charmed
33,phoebe,6198.986715608748,charmed
34,vouloir,6096.218255138724,charmed
35,prue,6061.781006567924,charmed
36,moi,6025.810114579742,charmed
37,si,5785.933356423155,charmed
38,dire,5696.787864649422,charmed
39,bien,5628.731541788647,charmed
40,piper,5111.999426073152,charmed
41,voir,4881.992407411198,charmed
42,oui,4657.251749039146,charmed
43,non,4610.464192084414,charmed
44,ou,4291.854986980097,charmed
45,dans,4137.392599797778,charmed
46,quoi,4047.8738771428298,charmed
47,toi,4041.6719218097046,charmed
48,avec,3534.7974852067377,charmed
49,sur,3492.6574449320906,charmed
50,paige,3473.1998543802506,charmed
51,plus,3324.896412058196,charmed
52,leo,3291.4955761498245,charmed
53,rien,3282.678607578879,charmed
54,croire,3222.9383294000236,charmed
55,son,3221.810396253946,charmed
56,pourquoi,3188.035983549994,charmed
57,demon,3173.482717883106,charmed
58,au,3088.1020866345525,charmed
59,luire,3069.223765471616,charmed
60,ici,3067.149204050973,charmed
61,falloir,2961.1168194120764,charmed
62,quelque,2764.494259450499,charmed
63,trouver,2748.281269357358,charmed
64,comme,2729.3024226162206,charmed
65,passer,2720.230083399204,charmed
66,votre,2703.80357323375,charmed
67,chose,2645.798086979816,charmed
68,ton,2582.1112161538745,charmed
69,bon,2525.080087217782,charmed
70,sorciere,2512.0956288246616,charmed
71,parler,2486.592196103652,charmed
72,notre,2413.515152103657,charmed
73,arriver,2329.3668533766418,charmed
74,comment,2322.505705983375,charmed
75,venir,2207.244508604848,charmed
76,autre,2205.308068035628,charmed
77,la,2106.3625920388295,charmed
78,quand,2050.4034983020074,charmed
79,alors,2039.902241083631,charmed
80,tuer,2017.5190232078312,charmed
81,peu,2013.1274782802363,charmed
82,temps,1985.4435174459732,charmed
83,aussi,1975.4496742373526,charmed
84,tres,1970.4490774874364,charmed
85,vraiment,1783.9010127387896,charmed
86,meme,1774.0876348373827,charmed
87,aider,1746.8352209274472,charmed
88,penser,1707.7519135342893,charmed
89,halliwell,1692.3372894620657,charmed
90,besoin,1671.7492525369544,charmed
91,mal,1665.1940228173235,charmed
92,wyatt,1647.7462854499252,charmed
93,prendre,1644.2780039143825,charmed
94,aimer,1632.5091429456702,charmed
95,veux,1623.999521400859,charmed
96,seul,1578.708635660128,charmed
97,avant,1553.3486203645286,charmed
98,appeler,1543.9023234127997,charmed
99,merci,1531.317283152861,charmed
100,jamais,1529.786955967696,charmed
101,vie,1505.3170553871537,charmed
102,maintenant,1476.9787762579158,charmed
103,fai,1467.4293111324685,charmed
104,cole,1440.2323641178796,charmed
105,encore,1439.1622524709983,charmed
106,par,1438.2249822251413,charmed
107,fait,1427.463733377964,charmed
108,sans,1403.002525973912,charmed
109,essayer,1402.011956709654,charmed
110,toujours,1398.6336146452934,charmed
111,as,1386.0,charmed
112,magie,1338.9349677182363,charmed
113,juste,1333.7839901582704,charmed
114,trop,1283.898869194032,charmed
115,sauver,1265.189103103049,charmed
116,petit,1213.1988556562194,charmed
117,potion,1194.0352038939693,charmed
118,ur,1190.8309481096155,charmed
119,sai,1159.7116176810616,charmed
120,deux,1128.9122229075888,charmed
121,partir,1124.7668554383658,charmed
122,livre,1113.3233164001408,charmed
123,mourir,1096.091852263969,charmed
124,trois,1092.3629260026996,charmed
125,monde,1082.7352091215362,charmed
126,laisser,1081.053943268863,charmed
127,sortir,1081.053943268863,charmed
128,fois,1077.647017639531,charmed
129,probleme,1052.778240309388,charmed
130,apres,1044.7260465228828,charmed
131,parce,1032.2972335413403,charmed
132,perdre,1017.1658408672816,charmed
133,raison,1014.2315285940398,charmed
134,fondateur,1008.189060791414,charmed
135,attendre,988.1650538254789,charmed
136,connaitre,973.4529286977786,charmed
137,revenir,972.9625145358563,charmed
138,nouveau,954.380240612885,charmed
139,accord,952.3147655817606,charmed
140,mieux,947.7494642841936,charmed
141,arreter,947.6249490531517,charmed
142,deja,947.2199922792144,charmed
143,vrai,934.7838140862951,charmed
144,moins,932.4224097635289,charmed
145,peur,932.0964300931768,charmed
146,mort,927.962823689515,charmed
147,soeur,912.3589040312195,charmed
148,retrouver,902.0173311842834,charmed
149,personne,900.3013992641456,charmed
150,quel,879.458202358619,charmed
151,celui,870.8957116847139,charmed
152,vaincre,863.0565327060348,charmed
153,vite,851.8402023684507,charmed
154,depuis,839.5180029936121,charmed
155,comprendre,836.1396609292515,charmed
156,donc,831.6910695804468,charmed
157,dieu,826.2534613223428,charmed
158,heure,817.8295025721249,charmed
159,salut,812.8502189114489,charmed
160,chercher,802.3562402856453,charmed
161,occuper,793.9103851247438,charmed
162,sentir,793.9103851247438,charmed
163,allez,777.2703951033278,charmed
164,entrer,771.9511617063998,charmed
165,changer,760.1302344897597,charmed
166,ca,751.9990038393861,charmed
167,mettre,746.6135962236953,charmed
168,oh,743.9580877607273,charmed
169,fille,732.8818352988492,charmed
170,aide,729.7309171926878,charmed
171,homme,719.5567110206882,charmed
172,bebe,711.2582125443826,charmed
173,grand,708.7916646547881,charmed
174,proteger,699.1202631459663,charmed
175,maison,698.1266820318006,charmed
176,rester,696.0440630067018,charmed
177,amour,691.5560779656189,charmed
178,tard,686.7436005822127,charmed
179,finir,684.1142680330239,charmed
180,reste,679.2314044799699,charmed
181,femme,677.8709010716212,charmed
182,entendre,673.8318396208812,charmed
183,tant,667.2225577112208,charmed
184,laisse,662.4187459532379,charmed
185,dernier,662.1550446146799,charmed
186,balthazar,658.0096868228883,charmed
187,jour,657.6732443612892,charmed
188,assez,652.0200184215981,charmed
189,demander,650.3308473894178,charmed
190,desolee,642.8496078195836,charmed
191,beaucoup,641.4432591916043,charmed
192,chez,641.2795768372637,charmed
193,sort,640.1575438660228,charmed
194,utiliser,638.5066501641556,charmed
195,lumiere,636.9298009274552,charmed
196,billie,635.3924606439979,charmed
197,ecoute,631.7499660354345,charmed
198,idee,627.5335032045625,charmed
199,premonition,626.6250306948253,charmed
200,mere,620.0142796011825,charmed
201,maman,616.0615302641023,charmed
202,enfant,606.7981668554897,charmed
203,marcher,603.0340584883692,charmed
204,desoler,603.0340584883692,charmed
205,soir,601.2962330520104,charmed
206,esperer,596.277374359648,charmed
207,aucun,584.4531771343859,charmed
208,darryl,584.3644624990541,charmed
209,donner,576.7834252068342,charmed
210,oublier,570.2387718147063,charmed
211,famille,568.2678582035392,charmed
212,truc,558.1802630875,charmed
213,avatar,556.4638322363948,charmed
214,rendre,551.4551996768072,charmed
215,cas,550.6769005631551,charmed
216,zankou,537.2572243959038,charmed
217,gens,535.467217201157,charmed
218,attend,533.598570262062,charmed
219,devenir,532.0888751367963,charmed
220,contre,531.2045701726281,charmed
221,voila,529.6542790287259,charmed
222,attaquer,529.276692421723,charmed
223,bonjour,527.0519188182132,charmed
224,sorcier,525.1386809922727,charmed
225,travailler,522.8736801813629,charmed
226,comprend,513.9547314896224,charmed
227,pere,513.7407612901352,charmed
228,ombre,510.27428932726536,charmed
229,cheri,506.41858876625986,charmed
