,mots,poids,serie
0,be,24515.455096484766,chuck
1,you,13796.68524255907,chuck
2,to,8165.69623571014,chuck
3,the,7290.622286132841,chuck
4,not,6921.84169117171,chuck
5,do,5673.67878928773,chuck
6,that,5460.356531380787,chuck
7,it,5371.772549256311,chuck
8,we,4426.049589129649,chuck
9,what,4031.5586539778515,chuck
10,have,3982.589037904765,chuck
11,and,3533.8499680117543,chuck
12,chuck,3468.4514540647965,chuck
13,this,3342.227050713289,chuck
14,know,3289.9674308297335,chuck
15,go,3196.52102666919,chuck
16,get,3141.026552270371,chuck
17,of,2992.3569841492244,chuck
18,in,2620.2906922224333,chuck
19,my,2575.1662616922986,chuck
20,no,2570.49429547117,chuck
21,he,2552.7291818376893,chuck
22,just,2347.86534749241,chuck
23,your,2294.7851335941145,chuck
24,for,2146.4020152975017,chuck
25,can,2135.083052250512,chuck
26,bartowski,2056.7726065257325,chuck
27,here,1895.7972649501605,chuck
28,okay,1842.3304641196082,chuck
29,on,1783.0,chuck
30,will,1766.6050875674307,chuck
31,right,1760.5332465035544,chuck
32,with,1704.4330024518997,chuck
33,so,1702.8522286908003,chuck
34,think,1671.990890492908,chuck
35,yeah,1649.128361832423,chuck
36,they,1648.1215977986546,chuck
37,well,1625.1126412267515,chuck
38,about,1603.6601593396192,chuck
39,want,1478.2245993159847,chuck
40,casey,1466.6809075082917,chuck
41,like,1436.4187472955005,chuck
42,would,1419.023743878254,chuck
43,she,1409.9391773303828,chuck
44,there,1355.629629295799,chuck
45,if,1325.7037887952467,chuck
46,uh,1298.9816657700537,chuck
47,all,1295.6659264407285,chuck
48,out,1248.696020426333,chuck
49,good,1237.9562617650329,chuck
50,now,1237.549628044254,chuck
51,how,1138.670692249229,chuck
52,but,1131.9840479151267,chuck
53,oh,1121.4590877580733,chuck
54,hey,1109.7557598682122,chuck
55,say,1106.059783724162,chuck
56,guy,1090.9550039467526,chuck
57,need,1076.637124812723,chuck
58,at,1074.9420321117786,chuck
59,sarah,1070.9760750401185,chuck
60,see,1066.431622105012,chuck
61,tell,1042.1941052261398,chuck
62,come,1041.5197537691213,chuck
63,really,1035.6331165755273,chuck
64,intersect,1034.9130344299842,chuck
65,ve,1034.455419904351,chuck
66,take,995.6800018144061,chuck
67,morgan,983.743399579705,chuck
68,up,962.696082821657,chuck
69,work,958.4667919422844,chuck
70,one,949.9423838133847,chuck
71,look,945.8092999199469,chuck
72,who,894.8222194450395,chuck
73,wait,877.0388805097106,chuck
74,sorry,869.6847095954432,chuck
75,more,869.5053282503932,chuck
76,ellie,868.5314378932927,chuck
77,mean,847.045604606527,chuck
78,could,838.1802207372994,chuck
79,let,835.9788591227978,chuck
80,thank,828.455087843064,chuck
81,why,826.0446486041209,chuck
82,make,821.3601128021726,chuck
83,fulcrum,813.6200857337066,chuck
84,thing,744.4848708912281,chuck
85,his,724.6677691890203,chuck
86,where,714.8740504981914,chuck
87,spy,710.5046186631663,chuck
88,talk,696.5530764398925,chuck
89,back,691.9530718440375,chuck
90,our,690.7647807461863,chuck
91,some,681.370162125433,chuck
92,time,669.7607287163103,chuck
93,something,637.5441900197256,chuck
94,shaw,620.2666548078184,chuck
95,from,616.655142280551,chuck
96,an,595.0,chuck
97,man,581.4071951584604,chuck
98,find,572.9134467586409,chuck
99,please,571.7555964646151,chuck
100,then,556.2885579583881,chuck
101,help,551.8425670637654,chuck
102,very,551.5769342613404,chuck
103,should,551.0299842766801,chuck
104,yes,522.5472015633566,chuck
105,give,516.4069150235421,chuck
106,little,513.0263685681302,chuck
107,or,512.5931435877854,chuck
108,buy,505.2470775711993,chuck
109,when,500.3740981569911,chuck
110,as,496.0,chuck
111,call,490.55321258532575,chuck
112,too,486.50946352450444,chuck
113,never,475.45679339034126,chuck
114,maybe,474.18010516390876,chuck
115,down,465.29433462987026,chuck
116,great,458.98974644576504,chuck
117,happen,458.29963361617024,chuck
118,agent,454.55248372611317,chuck
119,life,454.46276637956214,chuck
120,two,444.70880345586437,chuck
121,way,443.63973527939305,chuck
122,off,441.42197739711577,chuck
123,bryce,435.0074765363249,chuck
124,kill,433.25881519598875,chuck
125,na,432.7915022098726,chuck
126,over,431.30099870563754,chuck
127,god,430.5439366857162,chuck
128,beckman,430.4770222671882,chuck
129,try,415.53180603339064,chuck
130,leave,407.2906255362796,chuck
131,listen,403.42436201264525,chuck
132,move,398.9653298620474,chuck
133,friend,395.94108956702917,chuck
134,walker,391.02290745414047,chuck
135,anything,387.8664899933894,chuck
136,any,387.37192712504765,chuck
137,into,386.2897969446358,chuck
138,um,384.32396783295866,chuck
139,kind,383.56782095389906,chuck
140,love,376.45559462966935,chuck
141,everything,373.8800664102567,chuck
142,because,371.0957957332389,chuck
143,cia,366.78728701831795,chuck
144,only,364.68258249594794,chuck
145,by,359.06964631052085,chuck
146,first,355.47447118347054,chuck
147,use,354.81966434143015,chuck
148,buddy,354.77355570103543,chuck
149,believe,351.5473193456565,chuck
150,last,348.33849913326816,chuck
151,ask,348.2771117238364,chuck
152,real,346.84348411552884,chuck
153,actually,346.5049641333261,chuck
154,still,343.77382795181285,chuck
155,jill,342.09372827285256,chuck
156,her,338.66574994865096,chuck
157,carina,333.4508548088961,chuck
158,devon,329.9642842427423,chuck
159,feel,329.9551119286178,chuck
160,nothing,329.79560358582603,chuck
161,night,329.12653379566865,chuck
162,fine,322.8228059747104,chuck
163,before,322.0174053880471,chuck
164,hear,321.0944026607318,chuck
165,people,318.1379938583752,chuck
166,big,317.2672828004664,chuck
167,us,315.57658481502045,chuck
168,put,312.32706300338555,chuck
169,sure,310.7498402331619,chuck
170,dad,305.53308907744685,chuck
171,meet,305.4679691522097,chuck
172,year,304.81883209179335,chuck
173,keep,304.0916191723161,chuck
174,jeff,303.87300535088593,chuck
175,mission,303.0541964390212,chuck
176,ever,302.2860111402075,chuck
177,much,302.2018782149957,chuck
178,dude,299.12749620911364,chuck
179,ring,297.79416957160447,chuck
180,huh,291.8274454371197,chuck
181,day,290.71817545209746,chuck
182,even,286.6697034905688,chuck
183,stay,286.07766646144967,chuck
184,always,281.49325037614886,chuck
185,computer,279.9543141880162,chuck
186,carmichael,275.73807491733146,chuck
187,bad,264.3037720821627,chuck
188,again,261.69914090804787,chuck
189,these,260.5614236854919,chuck
190,roark,260.48835122225637,chuck
191,guess,259.83992342413745,chuck
192,name,251.57993772837213,chuck
193,hi,251.41716574477488,chuck
194,nice,251.1401410448837,chuck
195,run,248.37635475333917,chuck
196,idea,247.53834238959485,chuck
197,lester,245.541946067878,chuck
198,new,243.9900558204908,chuck
199,store,243.47349376057073,chuck
200,trust,241.46202512809168,chuck
201,awesome,241.36097598263413,chuck
202,tonight,241.23403645930318,chuck
203,care,240.7391985114169,chuck
204,job,239.8201706222156,chuck
205,those,237.63680869401105,chuck
206,general,235.01864460836788,chuck
207,orion,233.90715190098177,chuck
208,someone,233.87391388216056,chuck
209,save,233.85571774238113,chuck
210,might,231.12106576368387,chuck
211,gun,229.23609980515033,chuck
212,than,229.10097686415727,chuck
213,head,227.241927509866,chuck
214,sir,227.18134341610516,chuck
215,wrong,225.9190188521551,chuck
216,other,224.328039846154,chuck
217,ready,223.8189959712872,chuck
218,hold,223.7343748351251,chuck
219,away,223.7342903245406,chuck
220,around,222.456468456477,chuck
221,flash,220.9834812897072,chuck
222,exactly,220.24582670018825,chuck
223,mr,218.84461871879438,chuck
224,grime,217.66612457973616,chuck
225,bring,216.11493915502808,chuck
226,burbank,215.64552247327993,chuck
227,their,210.9283916073939,chuck
228,break,210.55468580645808,chuck
229,together,207.65818398557383,chuck
230,pretty,205.06556021731853,chuck
231,charles,203.039077345714,chuck
232,cover,201.82402925842817,chuck
233,after,200.41153313635994,chuck
234,room,199.5642540618456,chuck
235,remember,197.28139674413544,chuck
236,team,197.0355607217078,chuck
237,hmm,196.07905115726408,chuck
238,worry,195.63438166379177,chuck
239,whoa,194.71157241220294,chuck
240,girl,191.96593830072325,chuck
241,whole,189.44569756983176,chuck
242,stop,189.2043873462991,chuck
243,mind,188.94374199876754,chuck
244,which,188.80312414498118,chuck
245,emmett,186.1436683385016,chuck
246,start,183.38887984412025,chuck
247,hand,182.181684589151,chuck
248,yourself,181.49652301101335,chuck
249,own,181.31970060666578,chuck
250,another,179.7806276781234,chuck
251,second,179.0,chuck
252,world,177.07379777536846,chuck
253,dead,176.30485605401708,chuck
254,understand,175.73935979967737,chuck
255,watch,174.15460589235335,chuck
256,shoot,174.15453939602412,chuck
257,may,173.11747258594852,chuck
258,larkin,172.95631261331187,chuck
259,forget,172.47835673726837,chuck
260,kid,171.1629545211789,chuck
261,old,170.25761535346268,chuck
262,probably,169.8953345465514,chuck
263,crazy,169.56472071158038,chuck
264,turn,169.4091209213054,chuck
265,enough,169.19305470417754,chuck
266,game,168.92138836251317,chuck
267,play,168.66290081974432,chuck
268,hour,166.7424533026939,chuck
269,without,165.25817239072214,chuck
270,else,165.25817239072214,chuck
271,father,164.50540144636466,chuck
272,sister,164.32271638412308,chuck
273,protect,163.6964518585677,chuck
274,minute,163.29600691206636,chuck
275,three,162.80120975093675,chuck
276,myself,161.13370077890636,chuck
277,same,161.13370077890636,chuck
278,through,161.06679645796578,chuck
279,ilsa,160.28399765267645,chuck
280,plan,159.8998224887547,chuck
281,dream,159.3860475049314,chuck
282,secret,158.35584593114163,chuck
283,send,158.0389901512801,chuck
284,both,157.50225642423914,chuck
285,door,156.9625881530523,chuck
286,next,156.71518321819144,chuck
287,long,156.0,chuck
288,anna,155.66961541815385,chuck
289,doctor,155.537103426562,chuck
290,suppose,154.68131715622016,chuck
291,nerd,154.32669392096898,chuck
292,must,154.00832431602254,chuck
293,die,153.83365643631967,chuck
294,close,153.83365643631967,chuck
295,sound,153.6721699518188,chuck
296,lot,152.88835542992115,chuck
297,home,152.0199930566446,chuck
298,problem,150.17673977148428,chuck
299,hell,149.9669468585173,chuck
300,course,149.69676688972913,chuck
301,got,149.68481004346626,chuck
302,most,149.4812425056326,chuck
303,whatever,149.21266398085814,chuck
304,hello,149.04195228759642,chuck
305,security,148.63253061963587,chuck
306,wow,148.0884415120762,chuck
307,few,147.26119541867067,chuck
308,woodcomb,146.5246975625192,chuck
309,hope,144.7897614535827,chuck
310,word,144.40558110080812,chuck
311,lose,143.53902675222014,chuck
312,matter,143.11884683913206,chuck
313,easy,142.8359552192776,chuck
314,safe,142.25403154917262,chuck
315,check,141.13306461945095,chuck
316,hurt,140.641534349763,chuck
317,lie,140.0727116922901,chuck
318,today,140.00756756002048,chuck
319,already,139.9138049206894,chuck
320,phone,138.74898829031815,chuck
321,open,138.6286631181428,chuck
322,since,138.6214717381731,chuck
323,babe,137.71455155188218,chuck
324,while,137.34872011644254,chuck
325,fire,137.22432225068684,chuck
326,live,137.18461454399548,chuck
327,place,137.0,chuck
328,woman,136.6397639917255,chuck
329,promise,135.94931607144852,chuck
330,manoosh,135.67101626159186,chuck
331,every,135.59560219281093,chuck
332,speak,135.32096050631185,chuck
333,mike,135.14478046239392,chuck
334,cause,134.0,chuck
335,cipher,133.94200894516524,chuck
336,tomorrow,133.64223650409176,chuck
337,family,133.3039527631265,chuck
338,steal,132.82000236118222,chuck
339,john,132.59015278313979,chuck
340,excuse,132.57516927865106,chuck
341,five,131.2590979452376,chuck
342,later,131.13873650850903,chuck
343,mm,131.11784335388103,chuck
344,order,130.97556060541993,chuck
345,hard,130.3384732547528,chuck
346,aa,129.5092019206814,chuck
347,nsa,129.5092019206814,chuck
348,morning,129.11809008313,chuck
349,yet,128.85354599133683,chuck
350,everyone,128.58143799528892,chuck
351,inside,127.53809725098236,chuck
352,anyone,127.41104621826283,chuck
353,hannah,126.82698786756225,chuck
354,pick,125.59988017878393,chuck
355,brother,125.2631913743935,chuck
356,car,122.90336743044683,chuck
357,bit,121.88344809200638,chuck
358,walk,120.80009734347432,chuck
359,person,119.92611850344805,chuck
360,girlfriend,119.91932254813193,chuck
361,boy,119.90855966250294,chuck
362,deal,119.25592419780436,chuck
363,government,118.62321726705889,chuck
364,lichtenstein,118.34233674759322,chuck
365,turners,118.20064729427355,chuck
366,sleep,117.19945697116711,chuck
367,drop,117.1681487310749,chuck
368,lock,117.1681487310749,chuck
369,date,116.43782197923032,chuck
370,truth,115.09859255901394,chuck
371,honey,115.03264940922816,chuck
372,seem,114.98557115817891,chuck
373,wedding,114.61313528171179,chuck
374,roan,113.06148871626166,chuck
375,clear,112.82216295279208,chuck
376,until,110.56712626735236,chuck
377,fix,110.445896564003,chuck
