,mots,poids,serie
0,etre,24686.797337119635,chuck
1,le,19328.555447515137,chuck
2,je,17112.740481736255,chuck
3,avoir,13613.461245355466,chuck
4,ce,13365.957008989391,chuck
5,de,13091.992732052124,chuck
6,que,10079.187643091842,chuck
7,un,9449.009755456578,chuck
8,pas,8106.222639696006,chuck
9,ne,6220.047508422831,chuck
10,tu,6108.48986345716,chuck
11,il,5753.718109027114,chuck
12,vous,5477.550330019189,chuck
13,cela,4768.529823845004,chuck
14,aller,4672.237804578803,chuck
15,et,4448.366450616083,chuck
16,faire,3972.6768500201047,chuck
17,pouvoir,3897.174246496461,chuck
18,te,3850.5188166856024,chuck
19,en,3552.016503820432,chuck
20,mon,3407.1517620251293,chuck
21,me,3372.8027088530253,chuck
22,on,3154.0,chuck
23,tout,2845.92773326255,chuck
24,chuck,2755.5947325313628,chuck
25,moi,2752.382242717335,chuck
26,pour,2680.512190809726,chuck
27,savoir,2622.253332057465,chuck
28,bien,2541.5255301568923,chuck
29,devoir,2513.4864958842954,chuck
30,dans,2423.515964240319,chuck
31,qui,2410.763671544278,chuck
32,dire,2391.155532284702,chuck
33,taire,2347.047130331777,chuck
34,mais,2279.5906720955495,chuck
35,vouloir,2177.3414604804143,chuck
36,bartowski,2127.32153498176,chuck
37,lui,2119.019811343583,chuck
38,se,2088.22092267197,chuck
39,quoi,2084.9724312906974,chuck
40,sur,2076.674654488857,chuck
41,nous,2068.0698346431054,chuck
42,avec,1966.7412295577453,chuck
43,si,1919.9076709308995,chuck
44,toi,1785.3674451090753,chuck
45,ou,1671.1043136188027,chuck
46,voir,1663.9748942353417,chuck
47,non,1528.8473240732753,chuck
48,au,1481.6651425771843,chuck
49,casey,1348.3604309361942,chuck
50,quelque,1293.5557279390048,chuck
51,oui,1292.487136681266,chuck
52,ton,1258.0663136306232,chuck
53,intersect,1253.3548859878704,chuck
54,comme,1220.1587301107809,chuck
55,bon,1149.944124152478,chuck
56,vraiment,1147.626328456607,chuck
57,plus,1143.7559402898958,chuck
58,parler,1091.141538384902,chuck
59,son,1061.219566481901,chuck
60,penser,1057.4210661448715,chuck
61,luire,1055.7318951126913,chuck
62,votre,1048.0113485559737,chuck
63,pourquoi,1027.700209953159,chuck
64,chose,1000.725794774687,chuck
65,passer,977.3773548445208,chuck
66,la,972.844582738937,chuck
67,ici,968.2243973869017,chuck
68,peu,940.4635434692376,chuck
69,juste,940.2612651297118,chuck
70,sarah,910.4054046663524,chuck
71,notre,871.8564952885986,chuck
72,rien,857.1438586455962,chuck
73,morgan,854.0597122528136,chuck
74,meme,832.2678397532054,chuck
75,bryce,821.3628010916134,chuck
76,fulcrum,818.0660971311585,chuck
77,merci,802.3239849758651,chuck
78,croire,787.1537009960226,chuck
79,tres,771.928504582707,chuck
80,mec,766.0371930073447,chuck
81,ellie,751.9500368337904,chuck
82,aimer,744.8007727342243,chuck
