,mots,poids,serie
0,etre,53655.93155501264,coldcase
1,le,52345.335785979994,coldcase
2,avoir,45626.99050172026,coldcase
3,de,34574.88909431683,coldcase
4,je,31504.03631338633,coldcase
5,ce,30507.966566665455,coldcase
6,que,25531.495730427156,coldcase
7,un,23271.95078556768,coldcase
8,vous,22601.000661060065,coldcase
9,ne,19438.474367728882,coldcase
10,il,18307.16375635098,coldcase
11,pas,18062.6711617568,coldcase
12,et,11046.674424398892,coldcase
13,cela,10798.870408728695,coldcase
14,faire,10118.012613529998,coldcase
15,lui,9627.577607972666,coldcase
16,pouvoir,9110.779655636032,coldcase
17,en,8734.545661391881,coldcase
18,tu,8249.837313899847,coldcase
19,dire,7282.74369875046,coldcase
20,aller,7212.630507967997,coldcase
21,dans,6871.782673621643,coldcase
22,pour,6774.385354955489,coldcase
23,qui,6713.559001592895,coldcase
24,tout,6585.237311594574,coldcase
25,mon,6517.781529698281,coldcase
26,me,6512.353159364513,coldcase
27,se,5895.714752528953,coldcase
28,mais,5826.160665853302,coldcase
29,nous,5788.677697895926,coldcase
30,savoir,5609.312807311182,coldcase
31,vouloir,5518.521762133059,coldcase
32,on,5349.0,coldcase
33,son,5300.073880281889,coldcase
34,sur,5159.402829229004,coldcase
35,avec,4967.865915044105,coldcase
36,voir,4687.112464843094,coldcase
37,votre,4620.777309542247,coldcase
38,te,4563.772814854979,coldcase
39,moi,4440.149640870246,coldcase
40,luire,4231.3734356116665,coldcase
41,quelque,4166.822461278295,coldcase
42,devoir,4065.8346744579962,coldcase
43,comme,3936.617376620572,coldcase
44,bien,3764.4478146676793,coldcase
45,au,3662.572255949566,coldcase
46,ou,3523.9395133466,coldcase
47,taire,3480.220315033509,coldcase
48,si,3433.5550155897313,coldcase
49,alors,3100.8522171681448,coldcase
50,chose,3048.3157754980925,coldcase
51,non,2947.869911495483,coldcase
52,quoi,2936.2141030822936,coldcase
53,oui,2921.143730527849,coldcase
54,parler,2863.195747102447,coldcase
55,quand,2833.25454964396,coldcase
56,plus,2742.486619258645,coldcase
57,pourquoi,2666.690496166949,coldcase
58,la,2546.563760698982,coldcase
59,jamais,2539.743392917243,coldcase
60,penser,2361.4611029880675,coldcase
61,rien,2340.9809060107964,coldcase
62,toi,2306.301216355897,coldcase
63,par,2279.1171667238523,coldcase
64,passer,2168.299341839945,coldcase
65,croire,2153.69306602989,coldcase
66,est,2138.5915335180493,coldcase
67,autre,2128.688603436203,coldcase
68,trouver,2104.7071060966614,coldcase
