,mots,poids,serie
0,etre,4377.172901806151,community
1,le,3720.218026670807,community
2,je,3264.5931108943705,community
3,avoir,2561.9134041212506,community
4,de,2472.0045129181303,community
5,ce,2195.6882346407833,community
6,un,2076.168469419022,community
7,pas,1529.3692931388105,community
8,que,1196.5021867303149,community
9,cela,1155.3929860113292,community
10,et,1009.9325762364239,community
11,tu,1000.3978436431081,community
12,vous,974.0968484976798,community
13,te,954.0759200605132,community
14,il,886.1098986806464,community
15,en,796.0172395156147,community
16,on,694.0,community
17,mon,685.7071119389486,community
18,me,658.5946117878688,community
19,faire,657.7923332415019,community
20,aller,625.4308971944276,community
21,ne,573.5076733918651,community
22,pour,567.5104597916348,community
23,pouvoir,541.3676045607681,community
24,abed,534.9073620991214,community
25,britta,526.4035430949764,community
26,mais,513.5964769397933,community
27,tout,458.9710853535612,community
28,qui,457.24098413854847,community
29,dans,452.4764526922825,community
30,avec,452.05225388079066,community
31,dire,450.04911702051214,community
32,moi,441.4622909759392,community
33,quoi,405.2756716560372,community
34,se,404.97324258837733,community
35,devoir,398.6443635945522,community
36,si,398.3972231829307,community
37,vouloir,376.6851401762082,community
38,lui,356.45527059035464,community
39,voir,356.44707444080393,community
40,comme,349.9928989001977,community
41,sur,325.84121476795514,community
42,toi,295.14204377141897,community
43,savoir,292.84896816212915,community
44,bien,291.5279284591729,community
45,ou,285.57710674270623,community
46,taire,284.1339291017696,community
47,au,283.33596586125105,community
48,ton,277.3337295825729,community
49,son,275.09381382785324,community
50,greendal,271.3420325231837,community
51,plus,258.02965503777574,community
52,nous,250.91728287400895,community
53,parler,230.3334218162274,community
54,votre,228.3284912998124,community
55,luire,219.59223418343979,community
56,jeff,213.96974932991375,community
57,pourquoi,204.87378577672374,community
58,aimer,183.25797794137802,community
59,rien,177.39727828835356,community
60,bon,174.55698755964613,community
61,pierce,171.9672948372797,community
62,winger,159.94357197436725,community
63,prendre,156.3577242986069,community
64,la,156.27141487435412,community
65,quand,154.9045697336204,community
66,meme,153.69975822554284,community
67,truc,152.99519259326053,community
68,cours,152.74252816465346,community
69,troy,150.36560564370723,community
70,merci,145.22351699383938,community
71,groupe,138.77475528450867,community
72,par,137.42736348603526,community
73,quelque,137.22065936739767,community
74,jamais,136.97121612224248,community
75,croire,136.82285360660478,community
76,non,135.92170377607354,community
77,peu,135.5472366921855,community
78,notre,135.23321551009283,community
79,ami,132.4422160953037,community
80,alors,132.20039134176116,community
81,appeler,131.75534051006386,community
82,veux,131.58560224683882,community
83,passer,131.41208132363306,community
84,annie,129.7932807593384,community
85,autre,128.2543211772986,community
86,petit,126.70484132179837,community
87,venir,125.5067006409125,community
88,espagnol,125.00528782018434,community
89,fait,124.8414772574514,community
90,oui,122.8016281882438,community
91,ici,121.02804967336272,community
92,deux,119.82867170527477,community
93,vrai,116.0073438344503,community
94,sans,115.56053288184194,community
95,trop,115.51789311514426,community
96,voila,115.26155294925643,community
97,vraiment,114.92919689913771,community
98,fai,114.92919689913771,community
99,penser,114.8636301882608,community
100,shirley,110.32265348798786,community
101,vie,110.03332790647215,community
102,vaughn,106.57733041320601,community
103,trouver,106.41777502735927,community
104,as,106.0,community
105,falloir,104.72860399517897,community
106,monde,104.23848286573795,community
107,tres,103.13214838554384,community
108,aussi,101.60407262097682,community
109,fille,101.60407262097682,community
110,avant,101.37643627642187,community
111,mec,99.84304987511459,community
112,feygnasse,98.32030053395368,community
113,heure,98.2727915514366,community
114,finir,97.97191986645774,community
115,doyen,95.15766572765123,community
116,comment,95.07333299347148,community
117,homme,93.27586994712625,community
118,arriver,92.90440676991683,community
119,seul,89.10709019167922,community
120,car,89.10494138707395,community
121,personne,87.01797911103266,community
122,mal,86.34339377571307,community
123,nouveau,85.41785286036148,community
124,partir,84.06329263365964,community
125,desole,83.28202673850559,community
126,jour,80.05091995805668,community
127,temps,79.95074566896537,community
128,chose,79.54895030005461,community
129,fac,77.03241238991089,community
130,chang,76.55455043936749,community
131,examen,76.0192050339005,community
132,juste,75.8015085095994,community
133,aider,75.65696337029367,community
134,fois,74.60633199042907,community
135,gens,74.32352541593346,community
136,etudier,72.6463726690422,community
137,slater,72.53065202256191,community
138,besoin,71.95717503412317,community
139,etudiant,71.42232429289618,community
140,apres,70.63399371145276,community
141,encore,68.75476559036257,community
142,cool,67.40366498945978,community
143,famille,67.2506341069277,community
144,entendre,66.73213870641577,community
145,raison,66.42730458842753,community
146,jouer,65.87767025503193,community
147,genial,65.41441198714404,community
148,schmitty,64.92342542693346,community
149,mettre,64.18849922285163,community
150,toujours,64.18849922285163,community
151,commencer,63.88810240158132,community
152,regarder,62.49932819067132,community
153,entrer,62.49932819067132,community
154,super,62.478116680108556,community
155,femme,61.76861014437671,community
156,fete,61.09701126586138,community
157,apprendre,60.810157158491016,community
158,sai,60.778087612180286,community
159,celui,60.52557069623494,community
160,rester,60.52557069623494,community
161,nom,59.67352797564209,community
162,film,59.37219944454029,community
163,deja,59.11328332203121,community
164,connaitre,58.844304843561744,community
165,maintenant,57.75894655757213,community
166,gagner,57.4318150941304,community
167,poterie,56.90578484932525,community
168,donc,56.89637095721366,community
169,mere,56.716482957280725,community
170,mourir,55.2229482820015,community
171,mieux,54.96613764741369,community
172,prof,54.30845445854345,community
173,kickpuncher,54.268406504636744,community
174,meilleur,54.05347302976979,community
175,essayer,54.05347302976979,community
176,sortir,53.80050728554217,community
177,regarde,52.364301997589486,community
178,devenir,52.364301997589486,community
179,attendre,52.364301997589486,community
180,tant,52.364301997589486,community
181,vieux,52.119241432868975,community
182,quel,51.634856577873464,community
183,probleme,51.395473148962246,community
184,allez,51.1579240938496,community
185,aide,50.979205791904334,community
186,premier,50.88092847497377,community
187,voiture,49.921524937557294,community
188,bonjour,49.551889803421744,community
189,oublier,49.217036853055006,community
190,mot,49.053114327300904,community
191,dernier,48.98595993322887,community
192,moins,48.98595993322887,community
193,pere,48.529257581152834,community
194,salut,48.38394160187196,community
195,changer,47.79723584012687,community
196,comprendre,47.296788901048565,community
197,depuis,47.296788901048565,community
198,reste,47.0754438748494,community
199,annee,46.63793497356313,community
200,semestre,46.51039440929523,community
201,tete,46.207157246057704,community
202,dieu,45.99422846327157,community
203,plutot,45.822758449396034,community
204,ecoute,45.60761786886826,community
205,demander,45.60761786886826,community
206,laisser,45.394178022176206,community
207,gros,45.394178022176206,community
208,rendre,45.394178022176206,community
209,arreter,43.918446836687956,community
210,professeur,43.79934176014482,community
211,perdre,43.712912169503014,community
212,laisse,43.712912169503014,community
213,adorer,42.428480045737075,community
214,an,42.0,community
215,soir,41.641013369252796,community
216,sou,41.25639039826581,community
217,contre,40.73134084390759,community
218,drole,40.73134084390759,community
219,dur,40.54010477232734,community
220,donner,40.504454017333856,community
221,nuit,39.975372834482684,community
222,trois,39.42362439708992,community
223,etude,39.363598796220344,community
224,regardez,39.0342016420781,community
225,toilette,38.98098045655922,community
226,tenir,38.850933740147035,community
227,semaine,38.48872152987983,community
228,lycer,38.20664844581049,community
229,porte,38.132125239552636,community
230,raciste,37.7717963084897,community
231,billard,37.7717963084897,community
232,senor,37.703450525192466,community
233,sentir,37.16176270796673,community
234,fabrique,37.05248209339756,community
235,chaque,36.98784875881024,community
236,chanson,36.49945146678735,community
