,mots,poids,serie
0,be,58145.48320508783,criminalminds
1,you,23880.05824247972,criminalminds
2,the,23158.14960765933,criminalminds
3,to,19921.71202973209,criminalminds
4,not,15974.586869322333,criminalminds
5,he,14847.039232481986,criminalminds
6,do,13413.913841340336,criminalminds
7,it,13398.74626531686,criminalminds
8,we,12795.938655166658,criminalminds
9,that,11995.639965276108,criminalminds
10,have,10836.09591885199,criminalminds
11,and,9291.701668373338,criminalminds
12,of,9245.671128746577,criminalminds
13,they,8805.634970591525,criminalminds
14,this,8508.291909233036,criminalminds
15,what,8188.568920950771,criminalminds
16,in,7950.729632158416,criminalminds
17,get,7083.381154049032,criminalminds
18,she,6759.842688006514,criminalminds
19,know,6645.763467434183,criminalminds
20,go,5980.95584402958,criminalminds
21,for,5087.539564387706,criminalminds
22,his,4892.278365184599,criminalminds
23,with,4726.247747509066,criminalminds
24,there,4685.794142728202,criminalminds
25,on,4380.0,criminalminds
26,unsub,4367.182417051725,criminalminds
27,can,4286.632040636632,criminalminds
28,no,4170.519038187089,criminalminds
29,just,4112.313126774796,criminalminds
30,your,4071.7382866046014,criminalminds
31,would,4011.1071160291976,criminalminds
32,all,3952.836987473057,criminalminds
33,so,3947.7081885120324,criminalminds
34,here,3870.71287482601,criminalminds
35,right,3837.412310738216,criminalminds
36,will,3802.1786409331908,criminalminds
37,if,3774.3735852359246,criminalminds
38,like,3570.1979474822097,criminalminds
39,think,3547.12086113916,criminalminds
40,about,3376.2799721609786,criminalminds
41,my,3358.855536242932,criminalminds
42,at,3352.3615916706317,criminalminds
43,out,3347.8078862583634,criminalminds
44,see,3088.713178227442,criminalminds
45,want,3013.244951669032,criminalminds
46,hotch,2995.616039055948,criminalminds
47,say,2957.2709547955437,criminalminds
48,need,2940.828837296872,criminalminds
49,well,2915.8271043549216,criminalminds
50,but,2851.6321207051587,criminalminds
51,one,2838.273798123505,criminalminds
52,tell,2716.6421230024794,criminalminds
53,how,2704.1543724541293,criminalminds
54,find,2635.401855089748,criminalminds
55,come,2606.6143026762334,criminalminds
56,look,2587.400875214915,criminalminds
57,take,2574.415860547158,criminalminds
58,who,2488.6789766088946,criminalminds
59,why,2450.1324323003587,criminalminds
60,victim,2423.9082392987734,criminalminds
61,from,2396.546121135778,criminalminds
62,yeah,2371.6425203580143,criminalminds
63,could,2352.869196414254,criminalminds
64,up,2315.3013318040566,criminalminds
65,make,2250.8570550099757,criminalminds
66,reid,2244.673847562777,criminalminds
67,now,2166.0728612209814,criminalminds
68,her,2133.8488605787184,criminalminds
69,kill,2087.659913791348,criminalminds
70,garcia,2070.686331164415,criminalminds
71,where,2030.000995718493,criminalminds
72,when,2015.8749586669585,criminalminds
73,guy,1975.0800872520651,criminalminds
74,ve,1926.6361688762984,criminalminds
75,let,1926.1305523901367,criminalminds
