,mots,poids,serie
0,le,52013.76996251881,criminalminds
1,etre,51713.42822765152,criminalminds
2,avoir,41959.1232138486,criminalminds
3,de,33209.4008871811,criminalminds
4,il,27392.122085982028,criminalminds
5,ce,27280.836076638978,criminalminds
6,que,24189.52613654781,criminalminds
7,je,23827.25294999498,criminalminds
8,un,23784.458710968873,criminalminds
9,vous,18179.884878766872,criminalminds
10,ne,16829.939466172335,criminalminds
11,pas,16431.532377762174,criminalminds
12,et,10592.634262542906,criminalminds
13,cela,10118.134482760033,criminalminds
14,pouvoir,9487.383206634826,criminalminds
15,lui,8571.353004333965,criminalminds
16,faire,8266.148975857493,criminalminds
17,en,8092.4411207554185,criminalminds
18,aller,7854.874063689156,criminalminds
19,on,7434.0,criminalminds
20,se,7032.372780039276,criminalminds
21,nous,6856.274799550945,criminalminds
22,tout,6758.694611410468,criminalminds
23,dans,6549.515272063831,criminalminds
24,son,6274.950132934609,criminalminds
25,qui,6123.875801359042,criminalminds
26,savoir,5681.269982345306,criminalminds
27,pour,5677.270668373569,criminalminds
28,dire,5590.386475960867,criminalminds
29,mais,5030.653188952865,criminalminds
30,sur,4940.17325615932,criminalminds
31,tu,4888.996624305438,criminalminds
32,vouloir,4756.705626619741,criminalminds
33,me,4389.383406972557,criminalminds
34,voir,4170.76389906436,criminalminds
35,devoir,3984.754464913342,criminalminds
36,quelque,3962.6648949024107,criminalminds
37,avec,3898.9506897218193,criminalminds
38,mon,3896.127935403631,criminalminds
39,luire,3829.3507299527537,criminalminds
40,si,3770.3579312410907,criminalminds
41,ou,3763.0591003321197,criminalminds
42,votre,3603.9763303006366,criminalminds
43,moi,3549.7171968269395,criminalminds
44,bien,3483.3849913326817,criminalminds
45,te,3141.2127188750965,criminalminds
46,au,3132.292099658784,criminalminds
47,oui,3007.10487025962,criminalminds
48,non,2997.889098485078,criminalminds
49,trouver,2874.9690967708807,criminalminds
50,hotch,2816.530297590647,criminalminds
51,penser,2815.84811064457,criminalminds
52,comme,2799.9431912015816,criminalminds
53,chose,2623.524380895801,criminalminds
54,autre,2610.0587179847653,criminalminds
55,victime,2608.462987775902,criminalminds
56,pourquoi,2588.405391032754,criminalminds
57,plus,2555.02017600671,criminalminds
58,quoi,2482.1100372508304,criminalminds
59,parler,2377.3099156798944,criminalminds
60,rien,2309.4804547259487,criminalminds
61,ici,2269.69041099772,criminalminds
62,reid,2228.3370655572257,criminalminds
63,quand,2201.9767869660877,criminalminds
64,la,2183.3977965543563,criminalminds
65,taire,2083.088391462086,criminalminds
66,tuer,2083.088391462086,criminalminds
67,meme,2042.2446598266276,criminalminds
68,venir,2003.0869422289634,criminalminds
69,passer,1976.109172904132,criminalminds
70,personne,1906.0284270666577,criminalminds
71,homme,1807.2199802255714,criminalminds
72,prendre,1788.866867244277,criminalminds
73,garcia,1776.4027440480254,criminalminds
74,tueur,1758.906749569632,criminalminds
75,par,1741.6537154665855,criminalminds
76,falloir,1733.089479016994,criminalminds
77,femme,1721.6020314599352,criminalminds
78,croire,1685.7926901159453,criminalminds
79,appeler,1650.320098440159,criminalminds
80,juste,1640.2156203034594,criminalminds
81,alors,1554.6096652721028,criminalminds
82,arriver,1503.3622186404723,criminalminds
83,temps,1467.4293111324685,criminalminds
84,besoin,1450.8574594089484,criminalminds
85,notre,1430.2901263949818,criminalminds
86,jamais,1376.3131836861473,criminalminds
87,bon,1375.135963065304,criminalminds
88,merci,1370.277343516128,criminalminds
89,comment,1350.267693585851,criminalminds
90,entrer,1317.5534051006387,criminalminds
91,peu,1291.8823052637927,criminalminds
92,seul,1291.2121748530121,criminalminds
93,apres,1276.339839855786,criminalminds
94,gideon,1255.3057818738375,criminalminds
95,toujours,1255.0540769099673,criminalminds
96,hotchner,1248.1733496066452,criminalminds
97,aussi,1230.9083551951126,criminalminds
98,fille,1227.5770741255724,criminalminds
99,laisser,1212.192679777372,criminalminds
100,enfant,1205.3067412675985,criminalminds
101,tres,1187.582314742626,criminalminds
102,fois,1183.753800914808,criminalminds
103,avant,1174.0045362334017,criminalminds
104,meurtre,1171.3858463397235,criminalminds
105,prentiss,1154.0447830992705,criminalminds
106,toi,1153.1506081779485,criminalminds
107,dernier,1133.4337625929852,criminalminds
108,aucun,1111.4745391746412,criminalminds
109,donc,1109.4792336656665,criminalminds
110,celui,1101.2291335009413,criminalminds
111,fait,1095.6482280357905,criminalminds
