,mots,poids,serie
0,be,1863.4621586536223,cupid
1,you,894.5818324135516,cupid
2,the,681.0922818666577,cupid
3,to,616.6711624762006,cupid
4,not,578.0183547675588,cupid
5,that,538.8241182224749,cupid
6,it,460.90284404903764,cupid
7,have,349.9991140551226,cupid
8,do,348.32226600901186,cupid
9,of,324.69338580710763,cupid
10,and,313.4866907107201,cupid
11,this,295.11938637644937,cupid
12,what,283.6917157502095,cupid
13,in,281.7755443795504,cupid
14,my,271.27705657521926,cupid
15,for,211.92947567805413,cupid
16,your,208.73847279340052,cupid
17,we,193.1619757893316,cupid
18,know,193.09724360583584,cupid
19,can,189.3582655594927,cupid
20,so,187.9861042148587,cupid
21,gt,185.86512930981405,cupid
22,trevor,177.55778301458716,cupid
23,with,170.30255433251847,cupid
24,think,167.1990890492908,cupid
25,no,164.77527535071604,cupid
26,go,162.2985685893123,cupid
27,see,162.08548801880153,cupid
28,get,159.96660689811029,cupid
29,well,151.57300596057203,cupid
30,will,142.69219077563952,cupid
31,if,125.09352453924778,cupid
32,here,120.19902402171965,cupid
33,but,115.92000490671377,cupid
34,lt,111.83098533784542,cupid
35,tena,110.81380941286494,cupid
36,they,107.5520527975225,cupid
37,want,107.45142466471333,cupid
38,he,107.18756858103627,cupid
39,love,106.59495331807842,cupid
40,say,105.78349548979325,cupid
41,yes,103.60849686170002,cupid
42,on,103.0,cupid
43,his,100.2200106325241,cupid
44,like,97.77424906515918,cupid
45,how,96.52307854827902,cupid
46,sa,94.81322669947764,cupid
47,come,91.48484323647686,cupid
48,there,88.00946284433459,cupid
49,find,86.32942348417878,cupid
50,who,84.11618918608151,cupid
51,tell,83.56473158394162,cupid
52,more,83.31497047695404,cupid
53,good,81.98385839503528,cupid
54,she,81.56672926704694,cupid
55,all,80.7461986755967,cupid
56,cupid,77.51078575505892,cupid
57,clint,77.2710649110577,cupid
58,marshall,76.27441290723112,cupid
59,about,74.28398558248917,cupid
60,at,72.8774259058833,cupid
61,take,70.26570583374938,cupid
62,look,65.66366301179872,cupid
63,why,65.33686486134289,cupid
64,mccrae,65.12208780556409,cupid
65,time,63.729476879648914,cupid
66,make,63.06604156799131,cupid
67,as,63.0,cupid
68,work,62.613408518842704,cupid
69,something,62.50433235487506,cupid
70,just,61.03882100494174,cupid
71,thank,60.221686149692275,cupid
72,because,60.221686149692275,cupid
73,joe,59.86934646916387,cupid
74,never,58.85132947502595,cupid
75,give,58.07615761662935,cupid
76,now,57.76194296589283,cupid
77,only,56.563012795289886,cupid
78,could,56.50653173509883,cupid
79,when,56.076407552076596,cupid
80,okay,55.11833849273323,cupid
81,people,54.65806942941247,cupid
82,riley,53.03674038098058,cupid
83,try,52.740575381161115,cupid
84,thing,52.19069198000361,cupid
85,need,51.56607419277192,cupid
86,then,51.56607419277192,cupid
87,perhaps,51.1350911256868,cupid
88,god,51.10773349146991,cupid
89,call,50.98446310577824,cupid
90,guy,50.979205791904334,cupid
91,from,50.4536025502269,cupid
92,one,50.06453103881352,cupid
93,leave,49.32034918603386,cupid
94,very,48.38394160187196,cupid
95,out,47.59322846158541,cupid
96,up,47.15715578935237,cupid
97,an,47.0,cupid
98,day,46.2506188219246,cupid
99,would,45.72409841385485,cupid
100,or,44.94553659851146,cupid
101,mean,44.74957911128822,cupid
102,peaches,44.647336315055085,cupid
103,sorry,44.55690163012707,cupid
104,man,44.55227549106976,cupid
105,maybe,44.147802894570816,cupid
106,great,43.92971170603032,cupid
107,year,43.54554744168476,cupid
108,iriel,43.414725203709395,cupid
109,right,42.790738630294726,cupid
110,believe,42.512699083660785,cupid
111,hallie,42.228678461377385,cupid
112,really,41.55318060333906,cupid
113,someone,41.3654541560284,cupid
114,should,40.87759527275075,cupid
115,claire,40.54010477232734,cupid
116,some,40.446630628450364,cupid
117,feel,40.088004253009636,cupid
118,her,39.468564843639776,cupid
119,where,39.21250066023835,cupid
120,by,38.94992773537853,cupid
121,mom,38.30973229971257,cupid
122,other,38.183496144026215,cupid
123,madelyn,37.98788455324572,cupid
124,idea,37.95587916640454,cupid
125,happen,37.7809733805445,cupid
126,much,37.004311618162745,cupid
127,back,36.694481082638355,cupid
128,ask,35.972283840020665,cupid
129,holly,35.115513581527246,cupid
130,two,35.108589746515605,cupid
131,wait,34.81628826220023,cupid
132,last,34.385345408005016,cupid
133,their,34.337180029110634,cupid
134,friend,34.23550774451756,cupid
135,sign,34.17987592279832,cupid
136,use,34.17987592279832,cupid
137,ve,34.08663991088835,cupid
138,yeah,34.016674130206745,cupid
139,let,33.79176407701994,cupid
140,understand,33.15836977352403,cupid
141,dad,32.853020330908265,cupid
142,first,32.182873934305974,cupid
143,again,31.95163929691282,cupid
144,life,31.295340199790207,cupid
145,name,31.25216617743753,cupid
146,even,30.092399813927113,cupid
147,cory,30.022913735136022,cupid
148,robin,29.831061349324028,cupid
149,after,29.257158122096342,cupid
150,degustacia,29.161528792859194,cupid
151,these,28.951269298387984,cupid
152,home,28.83137799350156,cupid
153,equis,28.402160819422374,cupid
154,olympus,28.402160819422374,cupid
155,mother,28.126949559693777,cupid
156,night,27.982417853073045,cupid
157,true,27.876945540801767,cupid
158,story,27.674426001319496,cupid
159,nia,27.47725674045882,cupid
160,cajun,27.475283886187743,cupid
161,chuchi,27.134203252318372,cupid
162,kazarian,27.134203252318372,cupid
163,way,26.88725668359958,cupid
164,dance,26.855837864729573,cupid
165,tonight,26.803781828811463,cupid
166,fact,26.774762803394665,cupid
167,hector,26.742192146006513,cupid
168,reason,26.650248556321788,cupid
169,before,26.445873872448313,cupid
170,dave,26.445728408102564,cupid
171,speak,26.404089854890117,cupid
172,which,26.041810226893958,cupid
173,nick,25.86561276416752,cupid
174,sure,25.809787394780887,cupid
175,bring,25.804768854331712,cupid
176,little,25.780219526036696,cupid
177,put,25.52673111085363,cupid
178,another,25.455664096017475,cupid
179,help,25.227088780057848,cupid
180,send,25.21898779009789,cupid
181,couple,25.175745292806553,cupid
182,still,25.001732941950024,cupid
183,bad,24.908208887324236,cupid
184,republican,24.7317258771731,cupid
185,woman,24.595157518510586,cupid
186,relationship,24.56675640532567,cupid
187,meet,23.864685090016383,cupid
188,talk,23.712445155400594,cupid
189,verdad,23.668467349518643,cupid
190,da,23.650395731304233,cupid
191,anything,23.650395731304233,cupid
192,must,23.33459459333675,cupid
193,guess,23.318967486781563,cupid
194,live,23.104777186357133,cupid
195,adams,23.04339303772431,cupid
196,kid,22.92360998051503,cupid
197,father,22.579172747540248,cupid
198,de,22.47276829925573,cupid
199,real,22.425225266090226,cupid
200,down,22.4238233556564,cupid
201,perfect,22.37478955564411,cupid
202,everything,22.27370608401529,cupid
203,lita,22.23005698725974,cupid
204,please,22.173347231314715,cupid
205,agree,22.167227855847713,cupid
206,felix,22.114022587505772,cupid
207,door,21.974762341427322,cupid
208,nde,21.707362601854697,cupid
209,mind,21.68206875395693,cupid
210,read,21.55294035279062,cupid
211,our,21.395369315147363,cupid
212,party,21.162330858258134,cupid
213,close,21.114423432436034,cupid
214,hey,21.032160443433227,cupid
215,too,21.022013855997105,cupid
216,hear,20.87113617294757,cupid
217,kind,20.77659030166953,cupid
218,hour,20.658357046351455,cupid
219,baklava,20.556634312047574,cupid
220,iraq,20.481161246535777,cupid
221,wife,19.89502186411442,cupid
222,wine,19.876494746203583,cupid
223,world,19.821693780824827,cupid
224,those,19.803067391167588,cupid
225,next,19.779586231422222,cupid
226,move,19.621245730920364,cupid
227,without,19.44213792832025,cupid
228,mama,19.303330889971942,cupid
229,mr,19.23908735989401,cupid
230,letter,19.11757315984712,cupid
231,remember,19.091748072013107,cupid
232,algae,19.08701369014787,cupid
233,hello,18.786800708520556,cupid
234,stop,18.509124849094476,cupid
235,apartment,18.341050569026404,cupid
236,peachtree,18.31817116030588,cupid
237,until,18.152811775236955,cupid
238,many,18.152811775236955,cupid
239,minute,18.144000768007373,cupid
240,girl,18.109994179313514,cupid
241,enough,18.069161181999544,cupid
242,together,17.986141920010333,cupid
243,drink,17.986141920010333,cupid
244,patient,17.67868703775197,cupid
245,cua,17.496917275715518,cupid
246,orit,17.496917275715518,cupid
247,isbol,17.496917275715518,cupid
