,mots,poids,serie
0,be,5528.558641993192,daybreak
1,you,3613.9142612591354,daybreak
2,to,1877.729045292701,daybreak
3,not,1670.7893737311026,daybreak
4,do,1635.24446357922,daybreak
5,the,1625.3108539046839,daybreak
6,it,1248.696020426333,daybreak
7,that,1121.1895793316144,daybreak
8,what,1110.531892308609,daybreak
9,this,1013.7350922031036,daybreak
10,get,967.2747164773584,daybreak
11,know,877.7147436628902,daybreak
12,hopper,875.6515154975609,daybreak
13,he,859.5818606595725,daybreak
14,have,783.2579292511114,daybreak
15,garza,769.3371644628605,daybreak
16,we,762.9203216427558,daybreak
17,go,762.0424978295055,daybreak
18,and,711.3736443050957,daybreak
19,they,652.8864050103126,daybreak
20,of,615.9465890227856,daybreak
21,in,609.0345427731228,daybreak
22,your,566.0023973821053,daybreak
23,just,537.993329322626,daybreak
24,about,515.6182528666895,daybreak
25,my,512.4122179754141,daybreak
26,for,507.6450231358041,daybreak
27,she,467.55214454860834,daybreak
28,with,450.3869205488092,daybreak
29,on,440.0,daybreak
30,here,427.54336392535726,daybreak
31,can,425.3700168365416,daybreak
32,right,406.5120169877999,daybreak
33,think,403.15294368894416,daybreak
34,tell,394.1732621884039,daybreak
35,all,387.58175364286416,daybreak
36,will,364.9384348155736,daybreak
37,say,360.9083963769417,daybreak
38,yeah,346.9700761281088,daybreak
39,so,338.92385212459925,daybreak
40,brett,329.74095603377623,daybreak
41,there,322.22819460748315,daybreak
42,who,320.5116863814485,daybreak
43,how,318.2245245888574,daybreak
44,now,311.9144920158213,daybreak
45,come,311.04846700402135,daybreak
46,out,308.1035316197371,daybreak
47,ve,293.44150879808234,daybreak
48,rita,292.3852494777193,daybreak
49,but,292.32001237345213,daybreak
50,need,292.2077537590409,daybreak
51,up,289.84398192479995,daybreak
52,no,289.77720837539715,daybreak
53,why,289.3489729573757,daybreak
54,want,283.97876518531376,daybreak
55,would,275.9212835318827,daybreak
56,like,271.7548981369866,daybreak
57,if,271.7548981369866,daybreak
58,see,268.1227231712885,daybreak
59,dominguez,262.09708747860657,daybreak
60,at,262.07843546923414,daybreak
61,call,256.3002739912095,daybreak
62,murder,241.46969943217573,daybreak
63,day,239.18177162195292,daybreak
64,talk,231.19634026515578,daybreak
65,take,228.7372977141203,daybreak
66,guy,228.67815169511374,daybreak
67,make,228.23900757939714,daybreak
68,where,224.71779224521208,daybreak
69,find,222.88687517733428,daybreak
70,some,219.34518917736543,daybreak
71,chad,216.55829883534093,daybreak
72,look,215.93243028879962,daybreak
73,kill,214.3166381218592,daybreak
74,well,210.95212169770332,daybreak
75,thing,205.69272721530837,daybreak
76,okay,201.1819354984763,daybreak
77,happen,198.76077300199498,daybreak
78,one,197.6907123071098,daybreak
79,his,197.3563286302013,daybreak
80,let,190.99692739185184,daybreak
81,cop,188.3017754993976,daybreak
82,alberto,185.74009498500357,daybreak
83,man,182.664329513386,daybreak
84,something,178.13734721139392,daybreak
85,torrez,173.65890081483758,daybreak
86,time,171.94934327905273,daybreak
87,down,170.98165308688004,daybreak
88,could,166.38034344223544,daybreak
