,mots,poids,serie
0,etre,4269.256050286089,daybreak
1,le,3391.126575026499,daybreak
2,je,3351.553888084133,daybreak
3,avoir,3329.0490460290484,daybreak
4,ce,2672.306043638749,daybreak
5,que,2273.747309942055,daybreak
6,de,2161.6662840236468,daybreak
7,un,1660.2529468096284,daybreak
8,il,1572.3453841250566,daybreak
9,vous,1458.3541642981024,daybreak
10,pas,1451.6287098461721,daybreak
11,tu,1109.2565621662563,daybreak
12,cela,1079.3802895632155,daybreak
13,te,1021.1902261613217,daybreak
14,ne,975.2273340165816,daybreak
15,aller,968.409131139759,daybreak
16,hopper,865.84944629423,daybreak
17,me,851.9320451725652,daybreak
18,et,824.6351047762781,daybreak
19,faire,793.8872987397436,daybreak
20,garza,750.5728433784005,daybreak
21,tout,698.4342603206366,daybreak
22,pouvoir,689.318999596009,daybreak
23,savoir,672.715915435291,daybreak
24,qui,652.7509221839969,daybreak
25,en,590.3994933567475,daybreak
26,dire,569.3912151441623,daybreak
27,on,566.0,daybreak
28,moi,540.5660705827827,daybreak
29,se,531.6826620485444,daybreak
30,mais,508.73594245771324,daybreak
31,pour,479.78460627422567,daybreak
32,mon,476.14589477673354,daybreak
33,dans,454.1040658314634,daybreak
34,lui,422.1613112521712,daybreak
35,sur,418.9387047016566,daybreak
36,quoi,418.2965767694842,daybreak
37,vouloir,413.84690288417494,daybreak
38,devoir,412.15773185199464,daybreak
39,taire,395.0974753782003,daybreak
40,avec,364.15320451508137,daybreak
41,voir,341.4563096278729,daybreak
42,bien,339.36840902683207,daybreak
43,ou,325.20263830030666,daybreak
44,si,304.0399861132892,daybreak
45,rita,302.97891793705696,daybreak
46,votre,302.247787044356,daybreak
47,quelque,301.21608153819,daybreak
48,brett,299.30332932296614,daybreak
49,oui,296.25892800413817,daybreak
50,parler,294.22152421780874,daybreak
51,pourquoi,266.5024855632179,daybreak
52,toi,266.11167881029576,daybreak
53,non,264.231792140687,daybreak
54,croire,261.8215099879474,daybreak
55,luire,253.3756548270459,daybreak
56,dominguez,246.67961174457088,daybreak
57,passer,246.39765248181197,daybreak
58,appeler,244.92979966614436,daybreak
59,au,241.74536536785638,daybreak
60,trouver,234.79477347306252,daybreak
61,son,219.8742526580287,daybreak
62,nous,218.95329779451737,daybreak
63,ici,215.5294035279062,daybreak
64,chad,214.04017908144164,daybreak
65,comme,213.52777776938666,daybreak
66,rien,210.5556480618776,daybreak
67,meurtre,206.81738236561884,daybreak
68,la,204.6935434269709,daybreak
69,meme,204.38797636375378,daybreak
70,ton,202.4088913485714,daybreak
71,chose,202.0543337621387,daybreak
72,inspecteur,192.5229157174363,daybreak
73,affaire,182.43047147547304,daybreak
74,tuer,181.57671208870482,daybreak
75,alberto,177.48497965233676,daybreak
76,arriver,175.67378734675182,daybreak
77,torrez,173.65890081483758,daybreak
78,comment,168.64198352413393,daybreak
79,flic,168.45775820794745,daybreak
80,alors,167.34226752121666,daybreak
81,quand,163.23277240747095,daybreak
82,journee,162.92536337563035,daybreak
83,falloir,157.09290599276846,daybreak
84,plus,156.92415755358607,daybreak
85,venir,153.95488611951933,daybreak
86,penser,148.64705083186692,daybreak
87,detweiler,147.48045080093053,daybreak
88,juste,143.53902675222014,daybreak
89,prendre,142.90759747722137,daybreak
90,booth,140.0490477924496,daybreak
91,jour,138.12707757468604,daybreak
92,andrea,136.6174618249455,daybreak
93,aujourd,136.58252385114918,daybreak
94,hui,135.94931607144852,daybreak
95,shelton,134.1750792156625,daybreak
96,autre,131.58560224683882,daybreak
97,as,131.0,daybreak
98,damien,129.35991352094297,daybreak
99,accord,126.50302412085024,daybreak
100,shelten,124.81733496066451,daybreak
101,bon,123.92213620646633,daybreak
102,deux,122.98205780278201,daybreak
103,encore,121.88344809200638,daybreak
104,pere,120.48643261527599,daybreak
105,laisser,117.68860968712349,daybreak
106,besoin,117.13958726485166,daybreak
107,maintenant,115.51789311514426,daybreak
108,veux,114.92919689913771,daybreak
109,jamais,113.86763749921363,daybreak
110,vraiment,113.2635563643676,daybreak
111,homme,111.59791582959748,daybreak
112,arreter,111.48528812390019,daybreak
113,par,110.21402418186986,daybreak
114,lloron,108.53681300927349,daybreak
115,fencik,108.53681300927349,daybreak
116,aussi,108.26663476005726,daybreak
117,temps,106.60099422528715,daybreak
118,avant,106.28174770915196,daybreak
119,ouai,106.22265219308072,daybreak
120,fois,106.1067832752769,daybreak
121,parce,105.91974871841114,daybreak
122,sai,105.12966505890644,daybreak
123,aimer,102.55721701306476,daybreak
124,fai,101.60407262097682,daybreak
125,sortir,100.87595116039157,daybreak
126,petit,99.78006254091622,daybreak
127,merci,97.77424906515918,daybreak
128,arme,97.51341945504518,daybreak
129,personne,97.05851516230567,daybreak
130,essayer,94.59357780209713,daybreak
131,aider,94.1508877496988,daybreak
132,buchalter,93.40428550725599,daybreak
133,procureur,93.35526558037942,daybreak
134,nitzberg,92.25629105788246,daybreak
135,truc,90.78835604435241,daybreak
136,dossier,90.63128191456883,daybreak
137,toujours,87.83689367337591,daybreak
138,donc,87.01797911103266,daybreak
139,spivak,86.82945040741879,daybreak
140,contreras,86.82945040741879,daybreak
141,quel,86.61330780804582,daybreak
142,ecoute,86.1477226411956,daybreak
143,depuis,84.4585516090153,daybreak
144,nom,83.86549877657806,daybreak
145,disciple,83.38113744590878,daybreak
146,peu,81.99771108539616,daybreak
147,fait,80.48989981072525,daybreak
148,deja,80.22517022275663,daybreak
149,chez,79.75304381986274,daybreak
150,eddie,79.58008745645768,daybreak
151,baxter,79.43221801824319,daybreak
152,notre,77.95797129405352,daybreak
153,demain,77.70186748029407,daybreak
154,matin,77.70186748029407,daybreak
155,jen,76.81518595959085,daybreak
156,nuit,74.95382406465502,daybreak
157,empreinte,74.48055380078867,daybreak
158,envoyer,73.97569751762047,daybreak
159,apres,73.91929574454359,daybreak
160,entendre,73.24259126313926,daybreak
161,paquet,72.9989029335747,daybreak
162,femme,72.85528376003407,daybreak
163,comprendre,72.63435438375316,daybreak
164,occuper,72.63435438375316,daybreak
165,soeur,72.30013956473815,daybreak
166,frere,71.94456768004133,daybreak
167,soir,71.6225429951148,daybreak
168,hier,71.27984647683829,daybreak
169,demander,70.94518335157285,daybreak
170,connaitre,70.61316581227409,daybreak
171,voiture,70.57870767033963,daybreak
172,choi,70.16848032766802,daybreak
173,chaque,68.9318999596009,daybreak
174,gens,67.56684128721224,daybreak
175,tres,67.1921572814907,daybreak
176,gars,66.18842887134983,daybreak
177,sablier,66.0409226613346,daybreak
178,allez,66.01022463722529,daybreak
179,seul,65.56936825425451,daybreak
180,mourir,65.26348433327449,daybreak
181,dernier,64.18849922285163,daybreak
182,celui,63.88810240158132,daybreak
183,probleme,63.000902569695654,daybreak
184,mettre,62.49932819067132,daybreak
185,famille,62.20683654890813,daybreak
186,hop,61.56446914970581,daybreak
187,miguel,60.81356211564088,daybreak
188,nouveau,59.13543659563487,daybreak
189,entrer,59.12098612631071,daybreak
190,reste,58.844304843561744,daybreak
191,type,58.50958488422839,daybreak
192,contre,57.70273286220242,daybreak
193,sang,57.49278557908946,daybreak
194,desoler,57.4318150941304,daybreak
195,partenaire,57.256143703593224,daybreak
196,partir,57.16303899088855,daybreak
197,mal,57.04831374466756,daybreak
198,fille,56.6317781821838,daybreak
199,heure,56.6317781821838,daybreak
200,salut,56.44793186885062,daybreak
201,isabella,55.896746012837795,daybreak
202,interne,55.39964024642521,daybreak
203,aide,55.34885200263899,daybreak
204,mec,55.08582062075288,daybreak
205,forasz,54.268406504636744,daybreak
206,coup,53.96778592253584,daybreak
207,changer,53.96462110982066,daybreak
208,sauver,52.364301997589486,daybreak
209,tomber,52.364301997589486,daybreak
210,vieux,52.119241432868975,daybreak
211,balle,51.398057512780994,daybreak
212,mort,51.37510442571709,daybreak
213,finir,50.67513096540918,daybreak
214,chercher,50.67513096540918,daybreak
215,aucun,50.67513096540918,daybreak
216,moins,50.67513096540918,daybreak
217,battle,50.594713899427305,daybreak
218,enfant,49.737554660286044,daybreak
219,laisse,48.75670972752259,daybreak
220,rapport,48.22482882622928,daybreak
221,adjoint,48.11827512522502,daybreak
222,proteger,47.74479845874892,daybreak
223,cacher,47.51989765122552,daybreak
224,rester,47.0754438748494,daybreak
225,monde,47.0754438748494,daybreak
226,vrai,47.0754438748494,daybreak
227,pieger,46.0684314486609,daybreak
228,dieu,45.99422846327157,daybreak
229,vie,45.84721996103006,daybreak
230,histoire,45.60761786886826,daybreak
231,travailler,45.394178022176206,daybreak
232,mieux,44.972294438793014,daybreak
233,desole,44.972294438793014,daybreak
234,tete,44.55690163012707,daybreak
235,attend,44.374101477094555,daybreak
236,skinhead,44.30687514090681,daybreak
237,mme,44.125619247566554,daybreak
