,mots,poids,serie
0,be,2412.723381343193,demons
1,you,1587.9134309233689,demons
2,not,872.7789585669357,demons
3,it,676.32482550674,demons
4,do,673.2671987288284,demons
5,to,652.4704247173283,demons
6,the,578.8778383770107,demons
7,galvin,513.9158578011893,demons
8,what,456.18768361842734,demons
9,have,434.8006615134122,demons
10,that,398.67542080602306,demons
11,he,392.32731412670563,demons
12,get,328.90330390265666,demons
13,we,321.0101899808316,demons
14,know,299.8858707514875,demons
15,mina,296.4965359085346,demons
16,and,289.3723298868186,demons
17,of,272.9150385687649,demons
18,she,270.9180650655488,demons
19,will,261.391889296968,demons
20,this,261.1806569431577,demons
21,luke,255.66212644444312,demons
22,go,233.30419234713645,demons
23,think,215.63994662431895,demons
24,your,215.42880845985567,demons
25,they,206.01519972483183,demons
26,in,200.79280918385285,demons
27,my,188.71447413928294,demons
28,ve,188.21753342099223,demons
29,with,184.37714559966875,demons
30,no,182.95737469976055,demons
31,can,179.75313614705468,demons
32,well,178.13734721139392,demons
33,there,174.599418223438,demons
34,about,170.41620221865162,demons
35,want,168.85223875883523,demons
36,like,165.35350944843097,demons
37,see,163.60030566383705,demons
38,say,161.78652251380146,demons
39,so,159.1707159775446,demons
40,ruby,150.4682028311134,demons
41,for,150.32206995768956,demons
42,on,141.0,demons
43,come,137.9309944180728,demons
44,would,134.01890914405732,demons
45,simeon,132.73240572083748,demons
46,here,130.84957045402393,demons
47,just,129.1751793360395,demons
48,tell,127.71213694904286,demons
49,something,120.32083978313449,demons
50,helsing,118.33948487891679,demons
51,all,116.77142577701677,demons
52,right,114.61804990257517,demons
53,life,110.21402418186986,demons
54,thing,108.98644501706637,demons
55,gilgamel,108.53681300927349,demons
56,if,107.83924529245499,demons
57,but,104.83200443737594,demons
58,quincey,103.10997235880981,demons
59,up,101.21535876739046,demons
60,could,98.88643053642295,demons
61,who,95.71842217726517,demons
62,yeah,93.88602059937062,demons
63,how,93.5067323436453,demons
64,out,92.68155016203475,demons
65,now,90.97506017128121,demons
66,at,86.89231550316855,demons
67,kill,86.34339377571307,demons
68,sorry,84.16303641246225,demons
69,why,84.0045405360123,demons
70,one,82.15717914061706,demons
71,good,81.98385839503528,demons
72,really,79.90996269872896,demons
73,take,79.23579594018547,demons
74,need,78.13041544359382,demons
75,let,77.86797809052422,demons
76,rupert,77.51078575505892,demons
77,time,76.95634943957604,demons
78,find,75.3420423134651,demons
79,where,70.88413580889241,demons
80,give,70.63316466887353,demons
81,half,70.63316466887353,demons
82,his,69.38308428405514,demons
83,never,68.1436446552932,demons
84,talk,66.69125199956417,demons
85,keep,66.52004169394414,demons
86,look,65.66366301179872,demons
87,nothing,65.33686486134289,demons
88,tibbs,64.92342542693346,demons
89,when,63.26569057157359,demons
90,very,62.899124082433545,demons
91,happen,62.4207386287257,demons
92,mean,62.329770905008594,demons
93,should,62.13394481458115,demons
94,ok,61.98029692188953,demons
95,madge,61.91336499500119,demons
96,mum,61.09487267644265,demons
97,oh,57.22754521236364,demons
98,by,55.99052111960664,demons
99,thank,55.33884673214966,demons
100,thrip,54.268406504636744,demons
101,make,54.05660705827827,demons
102,yes,54.05660705827827,demons
103,anything,52.030870608869314,demons
104,some,51.33610810534085,demons
105,leave,50.91132819203495,demons
106,way,50.10806927398104,demons
107,too,49.551889803421744,demons
108,down,49.05211359049837,demons
109,stacks,48.84156585417307,demons
110,back,48.48913571634353,demons
111,harpy,48.4865554721254,demons
112,or,48.15593206983371,demons
113,an,48.0,demons
114,ally,46.846781096191805,demons
115,pyromancer,46.65844606857471,demons
116,maybe,45.78290670548085,demons
117,then,45.315640957284415,demons
118,turn,44.74957911128822,demons
119,old,44.657735174678734,demons
120,only,44.65501010154465,demons
121,her,44.56128288798039,demons
122,dad,44.351577446726154,demons
123,vampire,43.918446836687956,demons
124,orb,43.62097417482743,demons
125,any,42.31794161870268,demons
126,name,42.19042433954067,demons
127,year,41.93274938828903,demons
128,friend,41.67800942810834,demons
129,more,40.90007641595926,demons
130,use,40.69032847952181,demons
131,hear,40.13680033259148,demons
132,smite,39.776321472316745,demons
133,dead,39.668592612153844,demons
134,please,39.59526291306199,demons
135,from,39.2416908723987,demons
136,around,38.89099098889458,demons
137,after,38.034305558725244,demons
138,anselm,37.98788455324572,demons
139,off,37.38427170138439,demons
140,van,37.10326157151784,demons
141,feel,37.004311618162745,demons
142,as,37.0,demons
143,wait,36.474206750876434,demons
144,night,35.97739438252248,demons
145,angel,35.972283840020665,demons
146,call,35.8269200202766,demons
147,always,34.97845123017235,demons
148,idea,34.65536793454328,demons
149,nice,34.53176939367151,demons
150,people,33.6357350334846,demons
151,own,33.11055402382593,demons
152,nasty,33.01389102424753,demons
153,bit,32.8147744863094,demons
154,traveste,32.561043902782046,demons
155,start,32.093053972721044,demons
156,jamie,32.078850083483346,demons
157,exactly,31.94405120079066,demons
158,freak,31.433930028364582,demons
159,last,31.395315372526316,demons
160,mr,31.26351695982777,demons
161,ask,31.066972407290574,demons
162,ever,30.22860111402075,demons
163,home,30.14189517502436,demons
164,seem,29.567718297817436,demons
165,before,29.55715315155988,demons
166,must,29.55715315155988,demons
167,girl,28.975990686901625,demons
168,sure,28.906961882154594,demons
169,try,28.767586571542427,demons
170,die,28.655288944020334,demons
171,meet,28.63762210801966,demons
172,someone,28.63762210801966,demons
173,blood,28.529875947424642,demons
174,word,28.253265867549416,demons
175,alice,27.930207675295748,demons
176,rutherford,27.847444011266887,demons
177,believe,27.796764785470515,demons
178,bad,27.675787652582482,demons
179,watch,27.66942336607483,demons
180,trust,27.508331976618038,demons
181,sanctity,27.475283886187743,demons
182,lie,27.436922908799094,demons
183,work,27.293024226162203,demons
184,great,27.266717610639507,demons
185,kind,27.169387317567846,demons
186,speedwell,27.134203252318372,demons
187,smiter,27.134203252318372,demons
188,little,27.069230502338527,demons
189,long,27.0,demons
190,even,26.924778780882153,demons
191,help,26.803781828811463,demons
192,two,26.331442309886707,demons
193,much,26.21138739619861,demons
194,might,26.041810226893958,demons
195,kid,25.98009131125037,demons
196,lose,25.804768854331712,demons
197,beware,25.52916136516063,demons
198,than,25.455664096017475,demons
199,everything,25.455664096017475,demons
200,sword,25.365397573512453,demons
201,send,25.21898779009789,demons
202,these,25.003368939516896,demons
203,first,24.868584403781888,demons
204,over,24.803252321729953,demons
205,through,24.77950714737935,demons
206,entity,24.671369746921705,demons
207,safe,24.526557163650452,demons
208,again,24.344106130981196,demons
209,else,24.302672410400316,demons
210,stay,23.97298880961869,demons
211,karen,23.87239922937446,demons
212,other,23.864685090016383,demons
213,day,23.786032536989794,demons
214,into,23.650395731304233,demons
215,fine,23.410814173738537,demons
216,human,23.318967486781563,demons
217,guy,23.30477979058484,demons
218,jay,23.285825525534545,demons
219,anyway,23.103578623028852,demons
220,most,22.997114231635784,demons
221,love,22.93815451148523,demons
222,anika,22.89771395038235,demons
223,without,22.68249424970696,demons
224,father,22.579172747540248,demons
225,put,22.52358627428261,demons
226,away,22.52358627428261,demons
227,wrong,22.27370608401529,demons
228,boy,22.119054695024815,demons
229,suppose,21.91318659713119,demons
230,hi,21.862362238676077,demons
231,o1a1,21.707362601854697,demons
232,dunelm,21.707362601854697,demons
233,luggs,21.707362601854697,demons
234,understand,21.55294035279062,demons
235,worry,21.55294035279062,demons
236,choice,21.55294035279062,demons
237,many,21.45332300709822,demons
238,quite,21.256349541830392,demons
239,us,21.204750758321534,demons
240,listen,21.062316089013606,demons
241,save,20.966374694144516,demons
242,dear,20.955953352243053,demons
243,problem,20.954893921602455,demons
244,thee,20.907439469629104,demons
245,abraham,20.88684287766736,demons
246,whole,20.87113617294757,demons
247,odour,20.637788331667064,demons
248,care,20.589536714792235,demons
249,run,20.216680038062492,demons
250,enough,19.71181219854496,demons
251,pieter,19.664060106790735,demons
252,dracula,19.349769764067553,demons
253,remember,19.091748072013107,demons
254,child,19.091748072013107,demons
255,big,19.08374633386264,demons
256,easy,18.835510578366275,demons
257,type,18.80665228421627,demons
258,hello,18.786800708520556,demons
259,live,18.77263146391517,demons
260,prat,18.31817116030588,demons
261,may,18.296968647295373,demons
262,smell,18.237103375438217,demons
263,whatever,18.237103375438217,demons
264,new,18.192241004159403,demons
265,those,18.152811775236955,demons
266,happy,18.046153668225685,demons
267,their,17.986141920010333,demons
268,demon,17.862004040617858,demons
269,aaaagh,17.784045589807793,demons
270,drive,17.68867054770751,demons
271,miss,17.675181126214728,demons
272,sewer,17.500708738776442,demons
273,car,17.411310385979966,demons
274,deal,17.391488945513135,demons
275,hey,17.32060271812148,demons
276,matter,17.112036035113615,demons
277,yours,16.812658526731926,demons
278,gun,16.810647319044357,demons
279,our,16.810647319044357,demons
280,enchilada,16.736995543919193,demons
281,guess,16.656405347701117,demons
282,harker,16.51023066533365,demons
283,favourite,16.44757983128114,demons
284,real,16.445165195132834,demons
285,water,16.445165195132834,demons
286,yourself,16.3510381091003,demons
287,leyden,16.280521951391023,demons
288,eat,16.276131391808725,demons
289,bring,16.12798053395732,demons
290,grade,16.124032666076385,demons
291,catch,16.091436967152987,demons
292,different,16.0638723403126,demons
293,story,16.022036106027077,demons
294,hurt,15.981992539745793,demons
295,another,15.909790060010922,demons
296,dna,15.857265254894239,demons
297,lovely,15.792914831995073,demons
298,pretend,15.791601435484356,demons
299,1000fr,15.644954485883748,demons
300,worried,15.346542361740724,demons
301,fault,15.202539289622754,demons
302,actually,14.921266398085814,demons
303,shoot,14.885003367181548,demons
304,until,14.85230054337569,demons
305,against,14.85230054337569,demons
306,forget,14.783859148908718,demons
307,once,14.780363277236685,demons
308,sumerian,14.748045080093052,demons
309,gladiolus,14.748045080093052,demons
310,stuff,14.715934298190271,demons
311,drink,14.715934298190271,demons
312,hand,14.692071337834758,demons
313,entirely,14.672840455221122,demons
314,because,14.648518252627852,demons
315,same,14.648518252627852,demons
316,godfather,14.43933389702699,demons
317,stop,14.395985993740148,demons
318,travesty,14.324055839861375,demons
319,s01,14.201080409711187,demons
320,phone,14.190237438782539,demons
321,plan,14.168338701535227,demons
322,zippy,14.118882662311172,demons
323,place,14.0,demons
324,god,13.938472770400884,demons
325,girlfriend,13.903689570797905,demons
326,pretty,13.876616856811028,demons
327,calm,13.77145515518822,demons
328,cos,13.706316526067614,demons
329,three,13.693559698676923,demons
330,friendship,13.583398223228485,demons
331,maggie,13.441979272005849,demons
332,yet,13.387381401697333,demons
333,probably,13.325124278160894,demons
334,inhuman,13.226308457054332,demons
335,somewhere,13.202044927445058,demons
336,along,13.202044927445058,demons
337,speak,13.202044927445058,demons
338,message,13.104000554671993,demons
339,move,13.080830487280242,demons
340,righteousness,13.069425604441207,demons
341,wish,12.961425285546834,demons
342,rubbish,12.91846429250982,demons
343,anyone,12.902384427165856,demons
344,alive,12.902384427165856,demons
345,mess,12.902384427165856,demons
346,college,12.890109763018348,demons
347,early,12.843776106429273,demons
348,frs,12.772993715826319,demons
349,tomorrow,12.727832048008738,demons
350,sit,12.727832048008738,demons
351,fu,12.712402151205186,demons
352,war,12.670484132179837,demons
353,test,12.638187185523709,demons
354,lot,12.550536639769646,demons
355,show,12.550536639769646,demons
356,hold,12.506890518733702,demons
357,mother,12.500866470975012,demons
358,still,12.500866470975012,demons
359,ohhh,12.497022229878514,demons
360,vampires,12.497022229878514,demons
361,mind,12.389753573689674,demons
362,man,12.251875760044182,demons
363,wire,12.224306122141781,demons
364,kung,12.220899416397863,demons
365,sister,12.172053065490598,demons
366,switch,12.165728374448166,demons
367,death,12.118541160284225,demons
368,family,12.118541160284225,demons
369,hell,12.118541160284225,demons
370,weird,12.1076367547453,demons
371,blah,12.087560595689602,demons
372,fight,12.01257934628406,demons
373,dunno,11.996369658062491,demons
374,world,11.893016268494897,demons
375,marvellous,11.881510745010742,demons
376,its,11.87997441280638,demons
377,hour,11.804775455057975,demons
378,julius,11.767736002702694,demons
379,swear,11.713958726485167,demons
380,few,11.713958726485167,demons
381,redlip,11.664611517143678,demons
382,offer,11.659483743390782,demons
383,wife,11.60542942073341,demons
384,follow,11.551789311514426,demons
385,between,11.551789311514426,demons
386,blind,11.551789311514426,demons
387,denial,11.529726169778387,demons
388,rat,11.455555855913245,demons
389,hiya,11.447565172008549,demons
390,ah,11.401667342726071,demons
391,which,11.393291974266106,demons
