,mots,poids,serie
0,be,63593.521877262654,desperatehousewives
1,you,37676.74348503879,desperatehousewives
2,to,22520.045579491365,desperatehousewives
3,not,20237.831699884053,desperatehousewives
4,the,15943.429135998997,desperatehousewives
5,do,15770.349036891235,desperatehousewives
6,it,15566.743067080133,desperatehousewives
7,that,14447.56183658141,desperatehousewives
8,have,12140.497903392226,desperatehousewives
9,and,11436.783674390397,desperatehousewives
10,we,10458.539782665537,desperatehousewives
11,what,9316.207851395071,desperatehousewives
12,go,8173.254477552399,desperatehousewives
13,she,7738.643439211078,desperatehousewives
14,this,7687.860015106506,desperatehousewives
15,know,7633.1925540549355,desperatehousewives
16,get,7522.915569264401,desperatehousewives
17,just,7338.85359524532,desperatehousewives
18,my,7095.14002076443,desperatehousewives
19,of,7050.484948954337,desperatehousewives
20,he,6794.44306083093,desperatehousewives
21,so,6539.7209685256685,desperatehousewives
22,in,6172.437515463852,desperatehousewives
23,for,6147.186942777977,desperatehousewives
24,well,5955.100265110721,desperatehousewives
25,your,5882.143117947364,desperatehousewives
26,can,5728.773613846971,desperatehousewives
27,think,5086.290045377958,desperatehousewives
28,with,5037.296214513088,desperatehousewives
29,will,4798.498450862214,desperatehousewives
30,would,4788.41678906473,desperatehousewives
31,about,4368.189661997746,desperatehousewives
32,want,4337.967515749712,desperatehousewives
33,no,4329.612407491228,desperatehousewives
34,they,4267.241306065083,desperatehousewives
35,on,4123.0,desperatehousewives
36,if,3992.9277890286335,desperatehousewives
37,but,3900.9601651215853,desperatehousewives
38,say,3890.6547385290137,desperatehousewives
39,here,3752.0353574374767,desperatehousewives
40,oh,3713.766486676019,desperatehousewives
41,there,3523.2175287038463,desperatehousewives
42,tell,3460.841242014186,desperatehousewives
43,like,3413.471577657175,desperatehousewives
44,come,3399.013791016794,desperatehousewives
45,how,3311.9481326878235,desperatehousewives
46,all,3290.718158333164,desperatehousewives
47,out,3281.427857088257,desperatehousewives
48,right,3281.132708544385,desperatehousewives
49,see,3123.553984063259,desperatehousewives
50,why,3081.7221259600065,desperatehousewives
51,okay,3012.217198627871,desperatehousewives
52,ve,2971.4657835361368,desperatehousewives
53,now,2869.324516830726,desperatehousewives
54,lynette,2828.3824025406484,desperatehousewives
55,at,2819.795786973792,desperatehousewives
56,make,2807.940422193899,desperatehousewives
57,bree,2788.4793258064565,desperatehousewives
58,really,2705.7513369789626,desperatehousewives
59,could,2690.3387609433166,desperatehousewives
60,good,2649.445023799557,desperatehousewives
61,up,2638.5003751408376,desperatehousewives
62,take,2628.2364011857744,desperatehousewives
63,need,2622.056742287009,desperatehousewives
