,mots,poids,serie
0,etre,17220.91333650444,dexter
1,le,15923.819827495829,dexter
2,je,13357.745610952075,dexter
3,avoir,12668.92548625649,dexter
4,de,11024.498048520598,dexter
5,ce,9674.01348542001,dexter
6,un,7573.980760086361,dexter
7,que,7319.238458804828,dexter
8,pas,6104.7559861982645,dexter
9,il,5276.684509436631,dexter
10,ne,4336.986599244472,dexter
11,tu,3840.3702344811877,dexter
12,vous,3794.5119356234836,dexter
13,cela,3665.501139831264,dexter
14,et,3348.852977581046,dexter
15,faire,2997.3295972827054,dexter
16,pouvoir,2928.7651153567017,dexter
17,me,2893.8248093709385,dexter
18,en,2867.826459584201,dexter
19,te,2866.1756605404107,dexter
20,mon,2824.0868789003266,dexter
21,aller,2690.0253642771086,dexter
22,pour,2297.1177198817895,dexter
23,mais,2292.5520973810962,dexter
24,on,2115.0,dexter
25,tout,2043.1120889819063,dexter
26,moi,1967.0598679540149,dexter
27,qui,1942.4858360644544,dexter
28,lui,1861.123601745953,dexter
29,sur,1845.4325020728886,dexter
30,devoir,1836.1289119799926,dexter
31,dans,1808.278197629949,dexter
32,dire,1722.552211471481,dexter
33,savoir,1693.5037473147127,dexter
34,se,1688.216676925168,dexter
35,dexter,1571.5244252061864,dexter
36,vouloir,1557.415691670242,dexter
37,si,1534.6156195631968,dexter
38,bien,1484.549912615173,dexter
39,avec,1478.5875804017528,dexter
40,voir,1422.4570166936755,dexter
41,taire,1407.2195186874624,dexter
42,son,1396.5529015859265,dexter
43,au,1224.323302024305,dexter
44,toi,1107.992262682868,dexter
45,comme,1054.795112740504,dexter
46,ou,1052.1261827362862,dexter
47,quelque,1004.0536051273,dexter
48,plus,964.7149551616432,dexter
49,luire,949.314120085332,dexter
50,quoi,937.5051681681825,dexter
51,ton,912.5174328200787,dexter
52,nous,906.1789770035865,dexter
53,lundy,874.6926729046057,dexter
54,bon,871.4524417099891,dexter
55,votre,870.605038769069,dexter
56,non,857.9377942345762,dexter
57,doakes,846.5871414723332,dexter
58,trouver,846.2746871223333,dexter
59,autre,821.1607836416651,dexter
60,chose,801.8534190245505,dexter
61,la,798.9651211181767,dexter
62,quand,797.8418161548835,dexter
63,pourquoi,796.1761756201134,dexter
64,rien,765.9583417684051,dexter
65,alors,764.7541625719601,dexter
66,passer,753.9768165943447,dexter
67,parler,731.3506459128388,dexter
68,freebo,719.4822009216651,dexter
69,ici,712.9049501307667,dexter
70,croire,697.6276362904664,dexter
71,meme,658.9468357967422,dexter
72,putain,649.6345539195347,dexter
73,vraiment,646.2685274908033,dexter
74,oui,643.1735276359269,dexter
75,prendre,632.1559606051204,dexter
76,jamais,628.7473896695709,dexter
77,juste,612.8632602903782,dexter
78,venir,609.1258537772286,dexter
79,miguel,602.6071155095323,dexter
80,sang,591.3543659563487,dexter
81,penser,569.2506378447631,dexter
82,dex,564.9126580465619,dexter
83,peu,563.9434415465001,dexter
84,tuer,563.2240606455196,dexter
85,besoin,558.9231735208637,dexter
86,aussi,554.6582980784472,dexter
87,maintenant,542.934097641178,dexter
88,toujours,528.7105330724357,dexter
89,morgan,522.4399975169055,dexter
90,seul,514.467350917997,dexter
91,laguerta,510.1230211435854,dexter
92,falloir,499.99462552537057,dexter
93,notre,499.56740788434297,dexter
94,tueur,497.04247042061553,dexter
95,enfant,495.71762811418427,dexter
96,merci,493.1848151374941,dexter
97,rita,487.30874912953215,dexter
98,appeler,481.4137441713872,dexter
99,trinite,476.61375554528433,dexter
100,temps,476.37319294425197,dexter
101,arriver,476.3462310748463,dexter
102,deux,474.58460767483825,dexter
103,vie,472.2263655986097,dexter
104,affaire,469.58954694612504,dexter
105,veux,468.0449902704014,dexter
106,frigorifique,464.5154630751512,dexter
107,encore,462.5320594260754,dexter
108,aimer,453.94178022176203,dexter
109,deb,452.1788242943377,dexter
110,par,450.38076548393735,dexter
111,tres,448.4685846462286,dexter
112,petit,448.21837617586175,dexter
113,prado,447.10679628703474,dexter
114,fois,421.1112961237552,dexter
115,nouveau,413.9480561694441,dexter
116,pere,399.9480193757078,dexter
