,mots,poids,serie
0,etre,6630.345953240172,dirt
1,le,5472.073273017952,dirt
2,je,5107.876470015079,dirt
3,avoir,4538.885881287805,dirt
4,de,4038.6775029233872,dirt
5,ce,3857.2103799401934,dirt
6,que,3157.035890288421,dirt
7,un,2712.5419466355806,dirt
8,pas,2501.833316872176,dirt
9,tu,2038.0005657688112,dirt
10,il,1852.169562655787,dirt
11,ne,1835.488844104379,dirt
12,cela,1711.13025559865,dirt
13,vous,1542.087417750625,dirt
14,et,1532.6923301571003,dirt
15,te,1467.3029667137548,dirt
16,faire,1394.9733963569781,dirt
17,aller,1373.5942016339984,dirt
18,lui,1287.838396971604,dirt
19,me,1137.5725112699552,dirt
20,en,1068.971791434111,dirt
21,pouvoir,1028.934701835994,dirt
22,mon,1012.1664230283857,dirt
23,pour,871.8433590310422,dirt
24,moi,863.4041405141668,dirt
25,tout,828.9109902706456,dirt
26,on,810.0,dirt
27,qui,804.1134548643439,dirt
28,vouloir,798.9778982212847,dirt
29,savoir,789.8555027001427,dirt
30,dire,783.631849125173,dirt
31,mais,755.0030228831031,dirt
32,bien,734.0523737100201,dirt
33,sur,708.7421814307595,dirt
34,se,683.2370657165875,dirt
35,dans,680.3422921776047,dirt
36,avec,643.5466114275144,dirt
37,taire,637.19975816314,dirt
38,lucy,605.3770756613014,dirt
39,si,597.595834774396,dirt
40,son,574.2834361661754,dirt
41,toi,556.4153284215275,dirt
42,voir,547.9957359393668,dirt
43,quoi,519.2085913986983,dirt
44,holt,516.2423113754277,dirt
45,non,514.3277270886623,dirt
46,devoir,484.79208623574783,dirt
47,couv,435.05656505726466,dirt
48,nous,420.3264037953144,dirt
49,vraiment,404.75064994913714,dirt
50,rien,389.6108448389073,dirt
51,ton,385.80700284672446,dirt
52,oui,383.75508808826186,dirt
53,spiller,373.46495738596366,dirt
54,votre,369.59647872271796,dirt
55,luire,366.5501139831264,dirt
56,au,365.21746058262175,dirt
57,comme,362.83667500662693,dirt
58,quelque,351.418761794555,dirt
59,merci,342.2098717280572,dirt
