,mots,poids,serie
0,be,11140.51296701255,dirtysexymoney
1,you,7043.758186630709,dirtysexymoney
2,to,4391.761106548673,dirtysexymoney
3,not,3626.2743550342866,dirtysexymoney
4,the,3319.43935293111,dirtysexymoney
5,do,2901.1270611891528,dirtysexymoney
6,it,2775.4366913387703,dirtysexymoney
7,that,2583.9065669305046,dirtysexymoney
8,and,2236.05891276178,dirtysexymoney
9,have,2078.4088358868075,dirtysexymoney
10,what,2034.3119516359243,dirtysexymoney
11,know,1559.406527907735,dirtysexymoney
12,this,1527.2428244981254,dirtysexymoney
13,of,1506.965647749267,dirtysexymoney
14,go,1474.634650541955,dirtysexymoney
15,we,1445.2406821647833,dirtysexymoney
16,for,1426.8275164836434,dirtysexymoney
17,my,1368.1799375098014,dirtysexymoney
18,he,1342.4462472770563,dirtysexymoney
19,your,1323.3483948248277,dirtysexymoney
20,in,1164.820163773732,dirtysexymoney
21,just,1159.737599093893,dirtysexymoney
22,get,1098.836038038421,dirtysexymoney
23,well,1093.8258162103136,dirtysexymoney
24,with,1082.3360684438571,dirtysexymoney
25,she,1070.563321629991,dirtysexymoney
26,want,993.1581679724217,dirtysexymoney
27,so,957.7686185545356,dirtysexymoney
28,no,943.1964037316849,dirtysexymoney
29,about,875.385790883843,dirtysexymoney
30,can,869.9502924979593,dirtysexymoney
31,will,844.788279901795,dirtysexymoney
32,tripp,832.3525356048194,dirtysexymoney
33,darling,828.5961610337739,dirtysexymoney
34,nick,785.0974227241436,dirtysexymoney
35,all,767.7100120233656,dirtysexymoney
36,right,750.3661666955254,dirtysexymoney
37,tell,717.395337182895,dirtysexymoney
38,think,714.1119971544475,dirtysexymoney
39,yeah,708.9074888735087,dirtysexymoney
40,here,684.6779849338461,dirtysexymoney
41,would,679.5547040128083,dirtysexymoney
42,but,652.1760276055984,dirtysexymoney
43,say,644.0348107760942,dirtysexymoney
44,okay,635.2388511287505,dirtysexymoney
45,on,617.0,dirtysexymoney
46,come,613.6521792477525,dirtysexymoney
47,there,600.451657792799,dirtysexymoney
48,if,592.3969208065528,dirtysexymoney
49,like,586.6454943909552,dirtysexymoney
50,out,557.3417543527765,dirtysexymoney
51,see,530.1861757624349,dirtysexymoney
52,at,522.7553819787398,dirtysexymoney
53,they,513.523181667044,dirtysexymoney
54,karen,509.8462406844974,dirtysexymoney
55,take,508.30510603137844,dirtysexymoney
56,oh,486.9361303157257,dirtysexymoney
57,make,480.50317385136236,dirtysexymoney
58,ve,477.212958752437,dirtysexymoney
59,thank,472.007810362453,dirtysexymoney
60,letitia,454.434573110758,dirtysexymoney
61,how,444.91106518347357,dirtysexymoney
62,good,437.2472447735215,dirtysexymoney
63,his,436.34250783083564,dirtysexymoney
64,why,435.5790990756193,dirtysexymoney
65,up,434.7659728871999,dirtysexymoney
66,thing,426.7356579541472,dirtysexymoney
67,now,423.106232225165,dirtysexymoney
68,jeremy,421.3337999107158,dirtysexymoney
69,who,417.68038768261164,dirtysexymoney
70,really,417.1300052873652,dirtysexymoney
71,when,412.6648453191278,dirtysexymoney
72,look,404.08408007260743,dirtysexymoney
73,patrick,402.2219908335874,dirtysexymoney
74,could,390.83684450110024,dirtysexymoney
75,sorry,382.8593028959067,dirtysexymoney
76,let,370.2401977134359,dirtysexymoney
77,one,365.85618836056034,dirtysexymoney
78,mean,364.3894299062041,dirtysexymoney
79,family,362.04141716349125,dirtysexymoney
80,brian,359.30285363700057,dirtysexymoney
81,simon,336.3579577176455,dirtysexymoney
82,from,336.357350334846,dirtysexymoney
