,mots,poids,serie
0,etre,8486.188778623056,dirtysexymoney
1,je,6939.755137045326,dirtysexymoney
2,le,6856.484304559232,dirtysexymoney
3,avoir,5315.610718719451,dirtysexymoney
4,de,5124.86130405408,dirtysexymoney
5,ce,5002.273599080817,dirtysexymoney
6,que,4640.541339772229,dirtysexymoney
7,pas,3267.9314285923565,dirtysexymoney
8,ne,3151.6493111511477,dirtysexymoney
9,un,3072.7747899885253,dirtysexymoney
10,tu,2711.8222538424748,dirtysexymoney
11,et,2430.9555692884032,dirtysexymoney
12,vous,2172.877927092962,dirtysexymoney
13,il,2062.703944597956,dirtysexymoney
14,faire,1584.5342411581005,dirtysexymoney
15,aller,1555.1709137227033,dirtysexymoney
16,mon,1494.0146638503495,dirtysexymoney
17,me,1470.6118320035935,dirtysexymoney
18,pouvoir,1417.3071138035016,dirtysexymoney
19,pour,1396.0324096782774,dirtysexymoney
20,te,1394.9247934677849,dirtysexymoney
21,taire,1318.1124284957832,dirtysexymoney
22,en,1287.8164101529053,dirtysexymoney
23,tout,1180.4306509594935,dirtysexymoney
24,dire,1145.9717133078216,dirtysexymoney
25,mais,1140.6054251281214,dirtysexymoney
26,vouloir,1099.6503419493793,dirtysexymoney
27,savoir,1086.051316212696,dirtysexymoney
28,lui,1082.5070199034271,dirtysexymoney
29,moi,1079.6305687472798,dirtysexymoney
30,qui,1013.8136303485747,dirtysexymoney
31,cela,956.0708042140532,dirtysexymoney
32,bien,955.3145963354436,dirtysexymoney
33,avec,883.6993713016844,dirtysexymoney
34,darling,811.8380364285964,dirtysexymoney
35,tripp,804.0687115794129,dirtysexymoney
36,dans,758.4677228582865,dirtysexymoney
37,quoi,753.5848834407439,dirtysexymoney
38,si,752.2368621940863,dirtysexymoney
39,toi,751.5638928824111,dirtysexymoney
40,da,748.9291981579673,dirtysexymoney
41,se,742.8650278154897,dirtysexymoney
42,non,741.5888158022573,dirtysexymoney
43,on,732.0,dirtysexymoney
44,voir,727.8849136945388,dirtysexymoney
45,nick,722.7156507635043,dirtysexymoney
46,aatre,709.939918609347,dirtysexymoney
47,devoir,706.0734914513679,dirtysexymoney
48,nous,664.8508896534249,dirtysexymoney
49,oui,629.3583444647495,dirtysexymoney
50,ton,607.2266740457142,dirtysexymoney
51,ca,599.5862038260498,dirtysexymoney
52,sur,599.1273948959175,dirtysexymoney
53,juste,578.9945011690678,dirtysexymoney
54,votre,574.9278557908946,dirtysexymoney
55,sa,527.5505177894012,dirtysexymoney
56,luire,518.575506879354,dirtysexymoney
57,quelque,515.4141839653473,dirtysexymoney
58,son,511.03193882619456,dirtysexymoney
59,la,507.33184688082576,dirtysexymoney
60,chose,504.3403449023462,dirtysexymoney
61,au,491.28896832822426,dirtysexymoney
62,qua,469.9256176901287,dirtysexymoney
63,comme,455.9540517782392,dirtysexymoney
64,ra,450.25814220790744,dirtysexymoney
65,karen,446.7548998640077,dirtysexymoney
66,plus,446.5492805551711,dirtysexymoney
67,vraiment,446.39166331838993,dirtysexymoney
68,quand,429.73525797068885,dirtysexymoney
69,venir,428.39620485431465,dirtysexymoney
70,alors,425.0493595038903,dirtysexymoney
71,parler,420.3164631682982,dirtysexymoney
72,ja,416.13862345479794,dirtysexymoney
73,est,412.0095802331809,dirtysexymoney
74,ou,407.18649669534193,dirtysexymoney
75,merci,406.91341890353016,dirtysexymoney
76,jeremy,397.0260806850976,dirtysexymoney
77,penser,395.2660215301916,dirtysexymoney
