,mots,poids,serie
0,y1,52778.33732662634,doctorwho
1,x2,50820.93309288644,doctorwho
2,be,49765.654917562126,doctorwho
3,x1,49165.97139426098,doctorwho
4,523,48030.261126673395,doctorwho
5,y2,41724.34326376941,doctorwho
6,488,24541.05481138085,doctorwho
7,you,22260.239286669173,doctorwho
8,the,19557.367529083447,doctorwho
9,it,14951.788457221228,doctorwho
10,452,14387.651315330582,doctorwho
11,not,13840.807669135624,doctorwho
12,to,10463.777908608341,doctorwho
13,that,10127.444222045153,doctorwho
14,do,9996.147714459965,doctorwho
15,what,8887.106311491487,doctorwho
16,we,8750.654399607345,doctorwho
17,and,7647.540703107323,doctorwho
18,of,7172.379808077935,doctorwho
19,they,6846.9757555605875,doctorwho
20,get,6367.268960551885,doctorwho
21,have,5965.403402111318,doctorwho
22,this,5871.40019195946,doctorwho
23,in,5303.814479049726,doctorwho
24,go,5132.692231637002,doctorwho
25,can,4890.383032275594,doctorwho
26,there,4644.628426236497,doctorwho
27,doctor,4500.854930406138,doctorwho
28,ve,4388.284381571322,doctorwho
29,he,4295.82799128658,doctorwho
30,just,4230.132246388986,doctorwho
31,she,3972.0084055578036,doctorwho
32,no,3901.1966915793664,doctorwho
33,all,3869.606290376673,doctorwho
34,my,3757.2527594258627,doctorwho
35,will,3703.683146415493,doctorwho
36,416,3685.028374863216,doctorwho
37,but,3492.7201478414195,doctorwho
38,on,3418.0,doctorwho
39,your,3390.6621157594673,doctorwho
40,for,3282.4425767810244,doctorwho
41,know,3222.6759671489117,doctorwho
42,come,3207.59934978355,doctorwho
43,now,2941.5269455380926,doctorwho
44,with,2864.1793228650836,doctorwho
45,so,2811.5585951550765,doctorwho
46,say,2767.4829187697383,doctorwho
47,like,2654.283290798292,doctorwho
48,see,2558.527002465007,doctorwho
49,think,2547.051543461159,doctorwho
50,tardis,2497.3356335624235,doctorwho
51,one,2489.1057867758823,doctorwho
52,right,2471.1651558995204,doctorwho
53,here,2426.8030799321878,doctorwho
54,out,2403.4580373100634,doctorwho
55,if,2363.836256810613,doctorwho
56,would,2278.3214554489746,doctorwho
57,then,2270.4698727908367,doctorwho
58,at,2225.5644680488977,doctorwho
59,well,2190.776849038371,doctorwho
60,tell,2119.0754575248593,doctorwho
61,time,2115.0971666283476,doctorwho
62,078,2107.055016984876,doctorwho
63,oh,2066.215579772708,doctorwho
64,who,2060.846635058997,doctorwho
65,look,2048.201180868029,doctorwho
66,how,2001.3457067744728,doctorwho
67,dalek,1861.4063431090403,doctorwho
68,back,1841.2766400395317,doctorwho
69,thing,1739.1780592160028,doctorwho
70,could,1737.575850854289,doctorwho
71,about,1717.2709608187204,doctorwho
72,where,1707.2519518226852,doctorwho
73,why,1687.8690089180247,doctorwho
74,donna,1661.5981087538555,doctorwho
75,need,1653.2395907864454,doctorwho
76,from,1649.5525056004738,doctorwho
77,up,1611.394518558114,doctorwho
78,take,1530.8953781650928,doctorwho
79,sorry,1496.7818436490834,doctorwho
80,never,1486.7704288427608,doctorwho
81,good,1486.6406322299733,doctorwho
82,yeah,1425.978979538267,doctorwho
83,mean,1371.254959910189,doctorwho
84,daleks,1356.7101626159185,doctorwho
85,leave,1347.559218082925,doctorwho
86,want,1337.0027268995043,doctorwho
87,make,1288.3491348889654,doctorwho
88,find,1246.2829499352354,doctorwho
89,something,1239.148388935398,doctorwho
90,cos,1217.1209075148042,doctorwho
91,happen,1208.991148177424,doctorwho
92,let,1201.8114354348832,doctorwho
93,yes,1163.7186241712684,doctorwho
94,down,1102.971811306349,doctorwho
95,work,1094.9319130730955,doctorwho
96,stop,1056.0484011122237,doctorwho
97,more,1048.2538103645854,doctorwho
98,should,1039.9260237387791,doctorwho
99,only,1024.0882316620905,doctorwho
100,still,1004.7571426046165,doctorwho
101,sir,1003.6239095217811,doctorwho
102,when,994.9967698983847,doctorwho
103,must,990.9424503970339,doctorwho
104,keep,978.7948992108924,doctorwho
105,as,977.0,doctorwho
106,an,972.0,doctorwho
107,people,968.4288711724107,doctorwho
108,581,961.022654088224,doctorwho
109,year,958.0020437170648,doctorwho
110,help,953.8992944959374,doctorwho
111,559,934.2267291755999,doctorwho
112,571,929.1268400458622,doctorwho
113,575,924.7703706700053,doctorwho
114,his,917.3985588669514,doctorwho
115,human,914.4366535887914,doctorwho
116,way,914.1667272423857,doctorwho
117,planet,911.6713141827042,doctorwho
118,into,905.0218099845753,doctorwho
119,world,902.5477901535572,doctorwho
120,nothing,899.1597116632427,doctorwho
121,her,896.3183758039485,doctorwho
122,thank,888.6767739927564,doctorwho
123,give,888.4082489462761,doctorwho
124,earth,887.8613693241464,doctorwho
125,die,886.8057841623134,doctorwho
126,573,884.7562680929377,doctorwho
127,583,879.9666897788854,doctorwho
128,557,874.6926729046057,doctorwho
129,turn,856.6348001303745,doctorwho
130,551,852.0648245826712,doctorwho
131,587,852.0648245826712,doctorwho
132,by,845.9437430027524,doctorwho
133,exterminate,843.2279481417977,doctorwho
134,577,835.8501427209662,doctorwho
135,off,832.5189736577526,doctorwho
136,bit,831.3076203198383,doctorwho
137,567,831.0198454647484,doctorwho
138,day,828.5468000384778,doctorwho
139,569,818.0351603793616,doctorwho
140,move,814.281697833195,doctorwho
141,547,814.1952768234414,doctorwho
142,589,811.1424794051178,doctorwho
143,585,810.5790738435352,doctorwho
144,any,805.6685038945318,doctorwho
145,563,802.3448907661704,doctorwho
146,579,801.4199882633823,doctorwho
147,god,788.2980711260055,doctorwho
148,life,782.3835049947552,doctorwho
149,some,779.3754594174474,doctorwho
150,really,776.7248374316455,doctorwho
151,very,772.5302675765556,doctorwho
152,please,766.5642899968801,doctorwho
153,two,765.0746848928193,doctorwho
154,use,761.7229491366483,doctorwho
155,545,752.6572617146929,doctorwho
156,561,751.3759261693792,doctorwho
157,man,749.5920351372487,doctorwho
158,name,748.4893799496289,doctorwho
159,148,746.8199791615085,doctorwho
160,565,737.3063892023117,doctorwho
161,inside,724.3509882331434,doctorwho
162,those,722.811959777617,doctorwho
163,sontar,721.7698065116687,doctorwho
164,144,721.2262020124283,doctorwho
165,call,717.9163588678504,doctorwho
166,save,716.082335707705,doctorwho
167,kill,715.4166912844797,doctorwho
168,try,712.7968672726623,doctorwho
169,553,709.8291324618529,doctorwho
170,stay,709.6004687647132,doctorwho
171,even,704.7956798525034,doctorwho
172,too,704.237464175903,doctorwho
173,run,701.8076070355979,doctorwho
174,ever,698.4397836344795,doctorwho
175,146,697.8332834692823,doctorwho
176,132,697.8332834692823,doctorwho
177,or,689.164894510509,doctorwho
178,library,686.3866616823817,doctorwho
179,531,684.6857552076,doctorwho
180,last,678.7368180536641,doctorwho
181,talk,674.3226591067044,doctorwho
182,martha,672.8124248827609,doctorwho
183,537,667.2131196897627,doctorwho
184,wait,664.8253139591568,doctorwho
185,158,664.4319097477163,doctorwho
186,every,663.7877735252721,doctorwho
187,166,662.6495914523805,doctorwho
188,136,661.3767952675886,doctorwho
189,our,658.6717267734653,doctorwho
190,156,657.9496938036472,doctorwho
191,everything,649.1194344484456,doctorwho
192,142,647.4530732619552,doctorwho
193,527,645.7155334007823,doctorwho
194,162,642.7006288864969,doctorwho
195,always,636.2746842821826,doctorwho
196,539,636.249569183948,doctorwho
197,hear,635.766917268249,doctorwho
198,through,631.8774322581734,doctorwho
199,535,631.5163229490122,doctorwho
