,mots,poids,serie
0,etre,50199.32209874884,doctorwho
1,le,45050.88766983397,doctorwho
2,avoir,27399.528010140188,doctorwho
3,ce,27232.141377886866,doctorwho
4,je,25309.86292175487,doctorwho
5,de,24081.176430388176,doctorwho
6,vous,21056.122134861023,doctorwho
7,un,18228.690978626455,doctorwho
8,que,16125.913918638033,doctorwho
9,ne,15515.10044537762,doctorwho
10,pas,15091.567414827245,doctorwho
11,il,14786.70909121674,doctorwho
12,cela,10776.911185310351,doctorwho
13,et,9502.937874088539,doctorwho
14,pouvoir,8049.900902599246,doctorwho
15,tout,7372.702752351687,doctorwho
16,aller,7368.9882322666035,doctorwho
17,en,6861.139529722202,doctorwho
18,mais,6511.496027826591,doctorwho
19,faire,6283.050907168828,doctorwho
20,lui,6082.736714267665,doctorwho
21,dans,5747.10199444766,doctorwho
22,nous,5697.580340419375,doctorwho
23,moi,5549.811657983236,doctorwho
24,mon,5075.087980255004,doctorwho
25,dire,5031.060257044,doctorwho
26,docteur,5016.61418091569,doctorwho
27,on,4805.0,doctorwho
28,qui,4708.005443578296,doctorwho
29,se,4636.0740531896445,doctorwho
30,devoir,4591.166865466072,doctorwho
31,me,4433.040246769102,doctorwho
32,bien,4000.6601874704966,doctorwho
33,tu,3967.142413014474,doctorwho
34,votre,3645.0426057142718,doctorwho
35,dalek,3614.2758732088073,doctorwho
36,pour,3459.2145201803087,doctorwho
37,savoir,3448.9241336122755,doctorwho
38,voir,3382.915926118097,doctorwho
39,quoi,3227.5568549956697,doctorwho
40,si,3149.1727871992844,doctorwho
41,tardi,3044.4576049101215,doctorwho
42,ou,3038.8683511759746,doctorwho
43,non,2964.1805159486116,doctorwho
44,vouloir,2890.1716360605033,doctorwho
45,avec,2869.2761114377963,doctorwho
46,comme,2836.8690475075655,doctorwho
47,sur,2762.8932496453335,doctorwho
48,quelque,2535.235352946432,doctorwho
49,chose,2523.292703517732,doctorwho
50,oui,2426.867177070168,doctorwho
51,te,2420.0629199879777,doctorwho
52,temps,2346.8875134910872,doctorwho
53,au,2314.7768587104956,doctorwho
54,plus,2236.9591318376965,doctorwho
55,alors,2192.183704527938,doctorwho
56,la,2112.965609568732,doctorwho
57,pourquoi,2105.369635949421,doctorwho
58,son,2047.1397313685868,doctorwho
59,rien,1989.5021864114417,doctorwho
60,ici,1984.5284309454132,doctorwho
61,taire,1965.3997817749623,doctorwho
62,juste,1933.7448660214827,doctorwho
63,jamais,1920.897536943256,doctorwho
64,monde,1918.3243379001128,doctorwho
65,maintenant,1887.8924246246434,doctorwho
66,par,1853.2284066136635,doctorwho
67,venir,1845.7852107590197,doctorwho
68,oh,1836.301406901984,doctorwho
69,meme,1772.4525310264728,doctorwho
70,passer,1767.4924938028646,doctorwho
71,bon,1730.912418625804,doctorwho
72,luire,1704.3735714699287,doctorwho
73,donna,1699.361702134625,doctorwho
74,autre,1632.3277240747095,doctorwho
75,penser,1623.293361925274,doctorwho
76,trouver,1486.4705083186693,doctorwho
77,toi,1445.0670558425759,doctorwho
78,arriver,1418.903667031457,doctorwho
79,toujours,1393.5661015487524,doctorwho
80,monsieur,1379.9832967653897,doctorwho
81,mourir,1378.9002843748253,doctorwho
82,parler,1341.6501504332077,doctorwho
83,arreter,1320.9317471649993,doctorwho
84,peu,1320.3304907423994,doctorwho
85,comment,1288.0172969829828,doctorwho
86,quand,1254.227322681894,doctorwho
87,personne,1250.0467383834884,doctorwho
88,vraiment,1240.9021984037333,doctorwho
89,vie,1188.9712376560462,doctorwho
90,fait,1162.9969197141525,doctorwho
91,planete,1153.0910305141222,doctorwho
92,seul,1138.2169822597514,doctorwho
93,vaisseau,1120.9272344348149,doctorwho
94,humain,1093.0653564384759,doctorwho
95,terre,1082.6663476005726,doctorwho
96,ood,1072.6084329189855,doctorwho
97,tres,1057.8858251062604,doctorwho
98,besoin,1055.9297080588772,doctorwho
99,allez,1049.5625717318821,doctorwho
100,homme,1049.3535369051704,doctorwho
101,regarder,1048.97521098397,doctorwho
102,croire,1037.151013758708,doctorwho
103,notre,1030.9543958887077,doctorwho
104,quel,1029.365850487929,doctorwho
105,sontarien,1026.4858135086436,doctorwho
106,laucas,1022.5311255531183,doctorwho
107,encore,1011.0075758401041,doctorwho
108,dieu,995.4465160265204,doctorwho
109,jour,955.9021618520885,doctorwho
110,petit,953.4539309465328,doctorwho
111,prendre,943.1901433496611,doctorwho
112,merci,925.9796529112135,doctorwho
113,partir,902.8397628855045,doctorwho
114,tuer,899.4772311801581,doctorwho
115,deux,898.7150377895608,doctorwho
116,nouveau,888.6741999510685,doctorwho
117,dernier,886.8147918946606,doctorwho
118,aussi,877.7925618238489,doctorwho
119,appeler,871.6122526050378,doctorwho
120,mort,825.2126148380808,doctorwho
121,laisser,817.0952043991716,doctorwho
122,exterminer,804.4116673105665,doctorwho
123,sortir,798.6012800197666,doctorwho
124,entrer,793.9103851247438,doctorwho
125,maman,787.4725896488801,doctorwho
126,falloir,785.4645299638423,doctorwho
127,trop,775.6201394873972,doctorwho
128,enfant,772.5900157231099,doctorwho
129,fois,767.6162602570813,doctorwho
130,cybermen,766.8983441648387,doctorwho
131,aucun,765.1944775776786,doctorwho
132,porte,752.6949938589955,doctorwho
133,aimer,748.1633044395708,doctorwho
134,nom,728.9847201348708,doctorwho
135,sans,724.2878469354882,doctorwho
136,ton,721.291353148224,doctorwho
137,sauver,706.0734914513679,doctorwho
138,univers,703.1776465635797,doctorwho
139,avant,699.8244310694929,doctorwho
140,donc,692.7969875378369,doctorwho
141,martha,689.4023202908289,doctorwho
142,entendre,685.2251315951472,doctorwho
143,rester,684.2752020379894,doctorwho
144,rose,680.0821856484441,doctorwho
145,grand,670.8771030982169,doctorwho
146,reste,669.1438093639307,doctorwho
147,aider,664.1000118059111,doctorwho
148,gens,662.1550446146799,doctorwho
149,depuis,655.3983604859587,doctorwho
150,bibliotheque,645.1799245906434,doctorwho
151,desole,632.9434032126425,doctorwho
152,voila,631.1942185316424,doctorwho
153,perdre,618.7058337837349,doctorwho
154,essayer,609.7907426170905,doctorwho
155,connaitre,605.2557069623493,doctorwho
