,mots,poids,serie
0,etre,9835.149422623832,dollhouse
1,le,7966.240064427445,dollhouse
2,je,6208.4292567445345,dollhouse
3,avoir,6089.139157643147,dollhouse
4,ce,5037.687925445991,dollhouse
5,de,4963.271398664195,dollhouse
6,que,3904.0306837564162,dollhouse
7,un,3819.377244508666,dollhouse
8,pas,3591.614948119887,dollhouse
9,ne,3544.1188480114793,dollhouse
10,vous,3431.667837329219,dollhouse
11,il,2631.6797742771078,dollhouse
12,cela,2079.369540613957,dollhouse
13,lui,1866.0515547955893,dollhouse
14,tu,1758.2749979181901,dollhouse
15,pouvoir,1738.4288916640812,dollhouse
16,faire,1736.830988263276,dollhouse
17,et,1727.806886197916,dollhouse
18,aller,1598.8838258922062,dollhouse
19,me,1352.114695412973,dollhouse
20,tout,1312.4424012618556,dollhouse
21,on,1294.0,dollhouse
22,en,1185.6087585534685,dollhouse
23,qui,1127.3355298588351,dollhouse
24,te,1061.985196536323,dollhouse
25,dans,1028.6515039623114,dollhouse
26,savoir,994.0130690760269,dollhouse
27,devoir,983.097540728938,dollhouse
28,se,975.1656301591294,dollhouse
29,nous,960.5177516387222,dollhouse
30,mon,946.5894435082367,dollhouse
31,mais,931.6024423986787,dollhouse
32,pour,898.9192397462919,dollhouse
33,vouloir,856.4097133154152,dollhouse
34,moi,777.8145126718929,dollhouse
35,si,753.547379375609,dollhouse
36,dire,724.6797283652975,dollhouse
37,taire,706.131658122741,dollhouse
38,rossum,689.2087626088867,dollhouse
39,bien,669.7667279472281,dollhouse
40,quelque,634.2271939054111,dollhouse
41,avec,630.9896043752702,dollhouse
42,sur,629.1588432616277,dollhouse
43,ou,624.4437214421855,dollhouse
44,voir,622.9495600040218,dollhouse
45,son,614.4431170169569,dollhouse
46,votre,569.9999027412583,dollhouse
47,penser,525.3321910080751,dollhouse
48,ici,520.5864054443273,dollhouse
49,dollhouse,514.1423977142044,dollhouse
50,plus,510.79339874824996,dollhouse
51,quoi,491.5391680326235,dollhouse
52,comme,478.4306599644904,dollhouse
53,echo,458.7710612287158,dollhouse
54,chose,442.29216366830366,dollhouse
55,luire,430.738613205978,dollhouse
56,au,422.40453626103937,dollhouse
57,non,401.2408695469691,dollhouse
58,quand,394.7568067405165,dollhouse
59,autre,381.4316824623556,dollhouse
60,toi,380.62034060139274,dollhouse
61,topher,358.83585737477995,dollhouse
62,pourquoi,356.44707444080393,dollhouse
63,rien,353.1366380880309,dollhouse
64,aimer,353.0658290613705,dollhouse
65,la,348.85942616317084,dollhouse
66,oui,342.3095385747296,dollhouse
67,meme,340.1015926692863,dollhouse
68,notre,330.9236332482272,dollhouse
69,besoin,319.6237309655238,dollhouse
70,personne,316.2768856150995,dollhouse
71,passer,308.8183911105377,dollhouse
72,parler,300.9465876285015,dollhouse
73,prendre,299.2653217758283,dollhouse
74,jamais,297.0460108675138,dollhouse
75,venir,296.1958135125535,dollhouse
76,ton,295.2262282653196,dollhouse
77,trouver,293.91575959937325,dollhouse
78,vraiment,291.4870935847696,dollhouse
79,alors,291.175545486917,dollhouse
80,peu,286.1552774612805,dollhouse
81,arriver,283.7807334062914,dollhouse
82,croire,283.7807334062914,dollhouse
83,dewitt,274.486409998953,dollhouse
84,maintenant,273.94243224448496,dollhouse
85,par,272.13339304165396,dollhouse
86,comment,271.6380942670614,dollhouse
87,tuer,269.0025364277108,dollhouse
88,toujours,268.57819411666867,dollhouse
89,bon,257.1717450306237,dollhouse
90,aussi,241.5178775416662,dollhouse
91,caroline,237.14956007144482,dollhouse
92,fille,224.86147219396508,dollhouse
93,perrin,217.07362601854697,dollhouse
94,ballard,213.77455332965613,dollhouse
95,rayna,211.6467853680833,dollhouse
96,homme,211.53634791580419,dollhouse
97,laisser,210.1582315841491,dollhouse
98,aucun,207.76803695817765,dollhouse
99,appeler,207.76803695817765,dollhouse
100,seul,206.7956998788027,dollhouse
101,aider,205.11443402612952,dollhouse
102,sortir,203.43316817345632,dollhouse
103,tres,203.13908015334394,dollhouse
104,fois,200.6081371298204,dollhouse
105,gens,199.3221817972761,dollhouse
106,juste,196.7613625142793,dollhouse
107,petit,196.3925040487875,dollhouse
108,mal,195.81448231277784,dollhouse
109,monde,195.02683891009036,dollhouse
110,adelle,190.14886738644006,dollhouse
111,essayer,189.18715560419426,dollhouse
112,souvenir,186.6139428702247,dollhouse
113,dieu,185.6195648696317,dollhouse
114,sans,185.54789786661945,dollhouse
115,fait,183.97691385308627,dollhouse
116,vie,181.8606391787526,dollhouse
117,encore,181.26256382913766,dollhouse
118,entrer,180.74130044329274,dollhouse
119,temps,179.88917775517206,dollhouse
120,donc,179.05622624770183,dollhouse
121,mettre,179.05212941111242,dollhouse
122,apres,177.40630978690461,dollhouse
123,connaitre,176.53291453068525,dollhouse
124,falloir,173.98461631457153,dollhouse
125,avant,173.32100395646322,dollhouse
126,celui,173.17038282533886,dollhouse
127,quel,168.22969401178128,dollhouse
128,partir,168.12658526731929,dollhouse
129,femme,167.88391475138283,dollhouse
130,merci,165.35350944843097,dollhouse
131,parce,163.0827877092997,dollhouse
132,deux,162.39938402162238,dollhouse
133,veux,161.56713187270083,dollhouse
134,alpha,160.9797996214505,dollhouse
135,poupee,160.6444959972216,dollhouse
136,mellie,160.28399765267645,dollhouse
137,mieux,158.23585080316062,dollhouse
138,as,154.0,dollhouse
139,langton,151.95153821298288,dollhouse
140,nouveau,151.123893522178,dollhouse
141,empreinte,150.82312144659704,dollhouse
142,ok,150.0575609687852,dollhouse
143,arreter,148.64705083186692,dollhouse
144,sierra,148.1993394836204,dollhouse
145,finir,143.579537735326,dollhouse
146,tete,143.572238585965,dollhouse
147,cerveau,142.82559935105624,dollhouse
148,trop,141.92198297003438,dollhouse
149,depuis,141.8903667031457,dollhouse
150,victor,139.39198432460066,dollhouse
151,actif,139.00694685043044,dollhouse
152,securite,138.1188812556665,dollhouse
153,maison,137.9826853898147,dollhouse
154,dernier,136.82285360660478,dollhouse
155,jour,136.5574516931555,dollhouse
156,probleme,135.94931607144852,dollhouse
157,traitement,135.9270106864393,dollhouse
158,mourir,133.8738140169733,dollhouse
159,donner,132.85460917685506,dollhouse
160,attendre,131.75534051006386,dollhouse
161,boyd,130.482380310821,dollhouse
162,envoyer,127.77620480316264,dollhouse
163,sai,126.48412827399682,dollhouse
164,rendre,126.09493895048945,dollhouse
165,dominic,125.44839848961435,dollhouse
166,ouai,125.06860661443375,dollhouse
167,mynor,124.81733496066451,dollhouse
168,personnalite,124.22719044913009,dollhouse
169,corps,124.01626160864977,dollhouse
170,entendre,123.6985985777463,dollhouse
171,vrai,122.73240724514307,dollhouse
172,fai,121.59175903821816,dollhouse
173,meilleur,119.93114328480172,dollhouse
174,oh,116.46307446726635,dollhouse
175,mort,115.59398495786346,dollhouse
176,heure,114.92919689913771,dollhouse
177,confiance,114.3260779817771,dollhouse
178,deja,114.00418926391733,dollhouse
179,engagement,108.85322948827941,dollhouse
180,peur,108.77247388879083,dollhouse
181,nom,106.44467152411832,dollhouse
182,importer,106.44467152411832,dollhouse
183,chercher,106.41777502735927,dollhouse
184,comprendre,106.41777502735927,dollhouse
185,premier,106.38739590221789,dollhouse
186,perdre,105.91974871841114,dollhouse
187,effacer,105.84840925368331,dollhouse
188,raison,105.31158044506803,dollhouse
189,beaucoup,104.53149409048365,dollhouse
190,oublier,101.82835210976897,dollhouse
191,cas,101.14473683813053,dollhouse
192,truc,100.87595116039157,dollhouse
193,trois,100.2017120092702,dollhouse
194,jusque,99.66109089863805,dollhouse
195,pret,97.81719083189589,dollhouse
196,snowblade,97.68313170834614,dollhouse
197,an,97.0,dollhouse
198,moins,96.28274883427744,dollhouse
199,demander,96.28274883427744,dollhouse
200,sou,95.71482572397667,dollhouse
201,devenir,94.59357780209713,dollhouse
202,pendant,94.33341125755213,dollhouse
203,reste,94.1508877496988,dollhouse
204,rester,94.1508877496988,dollhouse
205,travailler,94.1508877496988,dollhouse
206,est,93.7011754376465,dollhouse
207,travail,91.61022941235615,dollhouse
208,revenir,91.21523573773652,dollhouse
209,allez,89.11380326025414,dollhouse
210,aide,88.8494729516047,dollhouse
211,senateur,88.73778650120764,dollhouse
212,ami,88.29481073020247,dollhouse
213,endroit,88.25123849513311,dollhouse
214,thirteen,87.4360507946268,dollhouse
215,sentir,86.1477226411956,dollhouse
216,desoler,84.4585516090153,dollhouse
217,sauver,84.4585516090153,dollhouse
218,regarder,84.4585516090153,dollhouse
219,laisse,84.06329263365964,dollhouse
220,paul,84.05546620141817,dollhouse
221,idee,83.67113376060833,dollhouse
222,accord,81.97395963031096,dollhouse
223,porte,81.23800594513388,dollhouse
224,creer,81.08020954465468,dollhouse
225,effacement,80.16545749862105,dollhouse
226,arcadya,79.97178598718362,dollhouse
227,sembler,79.39103851247438,dollhouse
228,jouer,79.39103851247438,dollhouse
229,bebe,79.38872987397436,dollhouse
230,arme,79.01949507564005,dollhouse
231,commencer,79.01949507564005,dollhouse
232,argent,78.65086573497183,dollhouse
233,retrouver,77.70186748029407,dollhouse
234,utiliser,77.70186748029407,dollhouse
235,madeline,76.58047103098394,dollhouse
236,dont,76.26425047910527,dollhouse
237,occuper,76.01269644811377,dollhouse
238,bas,75.91175833280909,dollhouse
239,audrey,75.5435926169794,dollhouse
240,nolan,75.14919722553694,dollhouse
241,saunders,75.05728433784006,dollhouse
242,plaire,75.02754043517687,dollhouse
243,grand,74.77594084768195,dollhouse
244,bonjour,73.57704849598987,dollhouse
245,proteger,73.32236906165012,dollhouse
246,moment,73.29141755267624,dollhouse
247,enlever,72.63435438375316,dollhouse
248,interieur,71.9572805178934,dollhouse
249,changer,70.9249306014786,dollhouse
250,technologie,70.89751440805314,dollhouse
251,partie,70.88413580889241,dollhouse
252,sens,70.61316581227409,dollhouse
253,priya,70.54892845602777,dollhouse
254,facon,70.283752358911,dollhouse
255,vivre,70.283752358911,dollhouse
256,contre,69.5827072750088,dollhouse
257,seulement,69.25601231939254,dollhouse
258,oeil,68.9318999596009,dollhouse
259,exister,68.20685494106988,dollhouse
260,reel,68.03334826041349,dollhouse
261,affaire,67.56684128721224,dollhouse
262,saunder,67.06469264597807,dollhouse
263,mois,66.62562139080447,dollhouse
264,desole,66.62562139080447,dollhouse
265,assez,65.87767025503193,dollhouse
266,toucher,65.56936825425451,dollhouse
267,harding,65.34230730813215,dollhouse
268,klar,65.12208780556409,dollhouse
269,fou,65.1045255672349,dollhouse
270,pense,64.95998085603436,dollhouse
271,active,64.36574786861195,dollhouse
272,leur,64.18849922285163,dollhouse
273,dessus,64.18849922285163,dollhouse
274,combien,63.59006165806233,dollhouse
275,rencontrer,63.09134082048964,dollhouse
276,client,62.50096651234056,dollhouse
277,histoire,62.49932819067132,dollhouse
278,plait,62.329770905008594,dollhouse
