,mots,poids,serie
0,be,21645.493315101565,eureka
1,you,10298.121725122806,eureka
2,the,7198.528084572862,eureka
3,to,6841.123532788413,eureka
4,not,6454.538294904406,eureka
5,it,6391.2696010386935,eureka
6,that,4937.860416740811,eureka
7,do,4821.574990896557,eureka
8,we,4078.635963609268,eureka
9,have,3829.9462524798437,eureka
10,what,3422.8332136495123,eureka
11,and,3127.1941559359598,eureka
12,this,3014.6445318354304,eureka
13,of,2751.8034126044236,eureka
14,get,2510.130214784366,eureka
15,go,2314.0225599648043,eureka
16,in,2269.735290553386,eureka
17,know,2254.264033307523,eureka
18,can,2044.5204035046675,eureka
19,he,2026.157242983278,eureka
20,well,2020.4525433713363,eureka
21,just,1941.8862124362859,eureka
22,fargo,1882.1920867214292,eureka
23,so,1864.7672673576128,eureka
24,for,1802.6326913778673,eureka
25,my,1735.124748336185,eureka
26,no,1687.5260958331953,eureka
27,yeah,1625.9970234238826,eureka
28,will,1621.3873712913376,eureka
29,they,1608.736339027731,eureka
30,your,1545.4675389511385,eureka
31,here,1523.0281398195111,eureka
32,think,1518.855276223464,eureka
33,right,1509.9017773832568,eureka
34,there,1483.3853011666074,eureka
35,with,1480.64700130421,eureka
36,on,1453.0,eureka
37,she,1446.3528957531714,eureka
38,all,1392.5613648514448,eureka
39,like,1367.4016303083292,eureka
40,but,1351.7280572165494,eureka
41,okay,1340.7535838357358,eureka
42,if,1338.6444982303412,eureka
43,would,1283.428141685443,eureka
44,out,1162.2767371671384,eureka
45,about,1149.2169534232148,eureka
46,how,1102.4745377936244,eureka
47,could,1067.3455994407557,eureka
48,ve,1043.347586837626,eureka
49,need,1039.134525399798,eureka
50,say,984.7198918388108,eureka
51,see,961.9092045975603,eureka
52,come,947.2199922792144,eureka
53,at,946.0050478167543,eureka
54,now,918.414893157696,eureka
55,carter,908.8363415230051,eureka
56,take,894.0189806081304,eureka
57,work,879.7986632904052,eureka
58,want,859.6113973177066,eureka
59,one,858.7992632042627,eureka
60,sheriff,848.143835130887,eureka
61,make,839.3789818215987,eureka
62,good,833.5025603495254,eureka
63,look,827.1096013986185,eureka
64,thing,822.7709088612335,eureka
65,mean,805.4924240031879,eureka
66,up,793.620426698857,eureka
67,tell,788.3465243768078,eureka
68,eureka,782.1408308655994,eureka
69,from,772.2204168104172,eureka
70,why,757.5965044636664,eureka
71,something,751.6145965673726,eureka
72,time,743.1097492759062,eureka
73,really,723.9842620504844,eureka
74,thank,719.4050075179456,eureka
75,oh,676.6906223356682,eureka
76,find,652.9643667166976,eureka
77,happen,640.6338964527112,eureka
78,let,639.1051031958119,eureka
79,back,622.4956612233292,eureka
80,zoe,621.4256728064723,eureka
81,down,602.6402526832658,eureka
82,gd,598.00085082288,eureka
83,allison,590.0382834676157,eureka
84,where,586.6793368012584,eureka
85,should,582.0969566839708,eureka
86,who,574.310533063591,eureka
87,some,567.8084684378608,eureka
88,jo,564.4392559958377,eureka
89,his,558.148366907288,eureka
90,an,545.0,eureka
91,talk,536.4940716409385,eureka
92,when,530.5690868388785,eureka
93,way,523.0793572991191,eureka
94,henry,512.7825112680817,eureka
95,try,508.22736276391623,eureka
96,maybe,506.88218138210937,eureka
97,sorry,503.32796285884285,eureka
98,more,502.91945815179537,eureka
99,any,498.04962058934694,eureka
100,help,493.50492425988165,eureka
101,hey,491.16280564958777,eureka
102,then,473.4703175881786,eureka
103,zane,473.35793951566717,eureka
104,give,472.4573903406874,eureka
105,our,460.0004402756683,eureka
106,off,458.6762566439086,eureka
107,guy,454.44320591640434,eureka
108,into,435.16728145599785,eureka
109,as,435.0,eureka
110,stark,434.549385768491,eureka
111,before,432.46781979650774,eureka
112,use,426.43464246538855,eureka
113,still,425.0294600131504,eureka
114,too,417.43713228337106,eureka
115,or,417.3514112718922,eureka
116,never,416.6054639153153,eureka
117,yes,415.93555986508557,eureka
118,people,412.03775416018635,eureka
119,dr,398.08903844395866,eureka
120,sure,394.37355139225195,eureka
121,leave,385.0169194522643,eureka
122,keep,376.94690293235016,eureka
123,call,373.42674328826763,eureka
124,because,372.7234088724198,eureka
125,only,370.6365838428206,eureka
126,anything,370.52286645709967,eureka
127,great,368.10068774363333,eureka
128,day,367.3620580712868,eureka
129,wait,363.08414902008815,eureka
130,even,362.6926082836478,eureka
131,uh,358.1119343069019,eureka
132,town,349.12589224148445,eureka
133,year,345.13878342668664,eureka
134,over,344.4896155795827,eureka
135,by,339.5946824428316,eureka
136,system,337.074793159708,eureka
137,her,334.8462114153955,eureka
138,little,331.2758209095715,eureka
139,someone,330.9236332482272,eureka
140,taggart,324.45699176204715,eureka
141,lab,324.05478755987315,eureka
142,please,323.09734537058586,eureka
143,much,320.7040340240771,eureka
144,nathan,318.23434183259064,eureka
145,start,317.8740583964751,eureka
146,very,311.2700243053763,eureka
147,everything,295.92209511620314,eureka
148,first,291.1087233148586,eureka
149,might,289.7151387741953,eureka
150,two,288.18300750264893,eureka
151,feel,286.78341504076127,eureka
152,hear,280.95760232814035,eureka
153,actually,280.18822458627807,eureka
154,field,275.08331976618035,eureka
155,which,275.0666205215674,eureka
156,us,271.91974501847614,eureka
157,put,271.78460770967683,eureka
158,turn,271.6938731756785,eureka
159,god,271.0258594244616,eureka
160,idea,270.6419210126237,eureka
161,bad,267.07135084742094,eureka
162,nothing,266.0143783640389,eureka
163,than,264.1025149961813,eureka
164,other,262.5115359901802,eureka
165,again,257.13462100848886,eureka
166,last,255.64756803342857,eureka
167,dad,254.61090756453905,eureka
168,everyone,250.65242343385435,eureka
169,believe,250.17088306923463,eureka
170,run,249.8204033274865,eureka
171,around,248.90234232892533,eureka
172,kind,247.72088436605978,eureka
173,big,246.8959681943479,eureka
174,those,245.8880867736642,eureka
175,their,245.26557163650452,eureka
176,guess,244.84915861120643,eureka
177,ask,243.6304678255945,eureka
178,enough,243.11235044872114,eureka
179,nice,241.72238575570054,eureka
180,these,240.82192189113644,eureka
181,through,240.05147549023744,eureka
182,global,238.58978864298354,eureka
183,wanna,232.2429196889854,eureka
184,kim,231.77151681409967,eureka
185,always,228.19275326350532,eureka
186,hour,227.241927509866,eureka
187,love,222.63502908206252,eureka
188,else,220.34422985429617,eureka
189,jack,219.746932918437,eureka
190,stay,218.95329779451737,eureka
191,same,218.1001606502369,eureka
192,lupo,215.2385111335941,eureka
193,move,214.19859922921395,eureka
194,man,213.85092235713483,eureka
195,after,212.11439638519846,eureka
196,tess,208.43836920359044,eureka
197,fine,207.00088322042495,eureka
198,exactly,206.7956998788027,eureka
199,stop,206.685227481555,eureka
200,callister,205.56634312047575,eureka
201,computer,203.76421602292322,eureka
202,kevin,202.28947367626105,eureka
203,lose,201.5997566744665,eureka
204,life,201.37871085082395,eureka
205,wrong,200.46335475613762,eureka
206,blake,199.34713980450366,eureka
207,pretty,197.3563286302013,eureka
208,check,196.7309385604468,eureka
209,ready,195.63438166379177,eureka
210,um,194.33740260232625,eureka
211,remember,194.09943873213325,eureka
212,power,192.67278492251958,eureka
213,every,192.35655194794109,eureka
214,until,191.42965144795335,eureka
215,dynamics,191.17849009043377,eureka
216,long,190.0,eureka
217,build,189.09676229897482,eureka
218,thorne,187.07519527562303,eureka
219,new,186.20293733669035,eureka
220,today,185.1211171071382,eureka
221,hold,184.82404877684246,eureka
222,project,184.11964250765334,eureka
223,problem,182.77324142731032,eureka
224,shut,182.2926715882577,eureka
225,test,180.09416739371287,eureka
226,sound,179.5377827159863,eureka
227,mind,178.10270762178908,eureka
228,anyone,177.4077858735305,eureka
229,yet,177.38280357248965,eureka
230,kid,177.27591718264958,eureka
231,under,175.80296733399524,eureka
232,another,175.00769066012015,eureka
233,ever,175.00769066012015,eureka
234,water,174.91675707550377,eureka
235,may,174.52493171266357,eureka
236,security,174.20371868322914,eureka
237,head,172.6448410302229,eureka
238,control,171.1629545211789,eureka
239,must,169.56472071158038,eureka
240,job,169.47292057303238,eureka
241,together,168.4156925237331,eureka
242,away,168.17611084797684,eureka
243,cause,168.0,eureka
244,miss,167.32504799483277,eureka
245,figure,166.3783327385751,eureka
246,three,165.8442230173094,eureka
247,seem,164.26510165454133,eureka
248,five,164.07387243154704,eureka
249,kill,163.43570964688544,eureka
250,cell,163.24419026150554,eureka
251,house,162.5727193285089,eureka
252,night,162.56452276547196,eureka
253,sg,162.36715061657847,eureka
254,old,159.09318155979298,eureka
255,level,158.78207702494876,eureka
256,without,158.7774597479487,eureka
257,door,158.53221403458284,eureka
258,device,158.0100988109005,eureka
259,lot,157.45218693529193,eureka
260,already,156.5702102683905,eureka
261,bring,156.441411179386,eureka
262,few,153.95488611951933,eureka
263,next,153.6721699518188,eureka
264,since,153.4737722815488,eureka
265,own,152.9392257291007,eureka
266,stuff,152.0646544146328,eureka
267,home,152.0199930566446,eureka
268,world,151.96631898632367,eureka
269,watch,151.36802194382113,eureka
270,die,150.81731023168595,eureka
271,create,150.76763537082425,eureka
272,while,150.4295506037228,eureka
273,radiation,147.84791452896658,eureka
274,research,147.02130345047863,eureka
275,place,147.0,eureka
276,got,146.72075439904117,eureka
277,change,146.31330276054817,eureka
278,morning,146.23012611824362,eureka
279,listen,145.8160344624019,eureka
280,beverly,145.47830155643254,eureka
281,name,145.3225727250845,eureka
282,late,143.88913536008266,eureka
283,whatever,142.58099002615333,eureka
284,close,141.76827161778482,eureka
285,probably,141.5794454554595,eureka
286,section,141.12059084713093,eureka
287,artifact,140.95734348223428,eureka
288,understand,140.92307153747714,eureka
289,everybody,140.3134306454287,eureka
290,hell,137.84840569823305,eureka
291,show,135.7739872847807,eureka
292,inside,135.7136163055325,eureka
293,particle,133.65471949390667,eureka
294,body,133.38250399912835,eureka
295,whole,133.2541771042037,eureka
296,fire,132.5987832984165,eureka
297,hand,132.22864204051282,eureka
298,save,130.63664232505428,eureka
299,fix,130.52696866654898,eureka
300,sandrov,130.24417561112818,eureka
301,care,129.87246235484332,eureka
302,room,129.78654285141008,eureka
303,hope,129.1751793360395,eureka
304,golgi,127.20116613378585,eureka
305,ago,127.06968242665869,eureka
306,trust,126.84397522551652,eureka
307,dream,126.571273018622,eureka
308,send,126.09493895048945,eureka
309,vincent,125.51070385049266,eureka
310,spencer,124.31872565855834,eureka
311,easy,124.00044464091133,eureka
312,second,124.0,eureka
313,forget,123.19882624090599,eureka
314,dna,122.89380572543035,eureka
315,pressure,121.076367547453,eureka
316,dod,120.50636791621818,eureka
317,linwelin,118.15166704241817,eureka
318,friend,117.59152660073423,eureka
319,dead,116.06736356889459,eureka
320,able,115.46616458963949,eureka
321,huh,115.34132367276635,eureka
322,energy,115.07616770684437,eureka
323,human,114.92919689913771,eureka
324,minute,114.91200486404671,eureka
325,datum,114.2682695932324,eureka
