,mots,poids,serie
0,etre,16586.493057871347,eureka
1,le,15469.772599099359,eureka
2,avoir,11043.556844964343,eureka
3,je,10766.029333394885,eureka
4,de,9962.927279336707,eureka
5,ce,9299.21186472192,eureka
6,un,7130.7920884534005,eureka
7,que,6435.949878458462,eureka
8,pas,6036.909658961053,eureka
9,vous,5137.035099312263,eureka
10,cela,4793.867389327708,eureka
11,il,4541.146668727282,eureka
12,ne,4370.022755545847,eureka
13,pouvoir,3470.13271991747,eureka
14,et,3247.000725056595,eureka
15,aller,3177.592461552334,eureka
16,tu,2684.2630845961085,eureka
17,faire,2657.092183537101,eureka
18,en,2578.0377062257976,eureka
19,on,2435.0,eureka
20,tout,2308.6706099389835,eureka
21,devoir,2109.774619193202,eureka
22,mais,2081.9289364909605,eureka
23,me,1838.5766245744671,eureka
24,pour,1820.5822192933936,eureka
25,bien,1811.9582015000904,eureka
26,qui,1772.2029867990639,eureka
27,mon,1726.385265193486,eureka
28,lui,1708.3570572072297,eureka
29,savoir,1703.5442833659856,eureka
30,dans,1673.1863070779368,eureka
31,fargo,1657.794490007682,eureka
32,se,1631.0732132470534,eureka
33,te,1521.2576049516597,eureka
34,dire,1515.5008605099674,eureka
35,moi,1444.5126663906583,eureka
36,si,1440.2583824935552,eureka
37,sur,1432.5000870443741,eureka
38,vouloir,1415.5253249670964,eureka
39,quoi,1355.8017449376666,eureka
40,nous,1348.8801703545448,eureka
41,quelque,1228.2922436057302,eureka
42,avec,1120.7128794127934,eureka
43,voir,1115.979158295975,eureka
44,ou,1076.7213402547968,eureka
45,chose,1051.637122966722,eureka
46,non,1031.9175750679503,eureka
47,votre,969.1640997617938,eureka
48,taire,966.7278652870858,eureka
49,plus,924.6940290741514,eureka
50,comme,897.4588554367455,eureka
51,ici,893.6180653964726,eureka
52,au,855.2067226454274,eureka
53,oui,818.1658478041743,eureka
54,son,804.1976090368995,eureka
55,penser,793.9103851247438,eureka
56,carter,768.3134533758738,eureka
57,sherif,762.7808285226124,eureka
58,passer,735.9076554123451,eureka
59,ouai,724.712610930212,eureka
60,vraiment,714.559789416378,eureka
61,rien,696.3257652440046,eureka
62,bon,680.9055010914441,eureka
63,parler,679.2314044799699,eureka
64,trouver,679.046754936483,eureka
65,luire,673.9792418399421,eureka
66,eureka,667.7565986836737,eureka
67,toi,667.698394105833,eureka
68,pourquoi,664.5905733732745,eureka
69,juste,654.7960096786672,eureka
70,autre,631.2777626778724,eureka
71,quand,629.6121221431023,eureka
72,merci,625.4676226962389,eureka
73,la,625.0856594974165,eureka
74,croire,623.3041108745329,eureka
75,gd,614.1630359802551,eureka
76,temps,607.9587951910908,eureka
77,meme,604.9884100367112,eureka
78,arriver,591.2098612631071,eureka
79,zoe,579.2474597200602,eureka
80,peu,572.310554922561,eureka
81,alors,572.310554922561,eureka
82,tres,568.7894244293631,eureka
83,donc,545.5357921191663,eureka
84,venir,533.8218333926811,eureka
85,falloir,521.9538489437145,eureka
