,mots,poids,serie
0,etre,5577.339099014113,extras
1,je,4336.634167397675,extras
2,le,3987.4501828932525,extras
3,avoir,3137.2651355520993,extras
4,ce,3016.1201287673125,extras
5,de,2638.945077426887,extras
6,un,2330.7178603056454,extras
7,pas,2319.49631242217,extras
8,que,2123.037834066933,extras
9,il,1628.3102198312029,extras
10,cela,1606.401651603471,extras
11,ne,1534.1990986358417,extras
12,tu,1488.1951393037973,extras
13,vous,1342.5231636887795,extras
14,et,1158.4159805190573,extras
15,aller,1153.3483749338102,extras
16,te,1115.9398347742278,extras
17,faire,975.3472527373992,extras
18,mais,876.5163849351047,extras
19,en,871.7711459951973,extras
20,me,854.4267217323677,extras
21,pouvoir,835.5891287785768,extras
22,dire,786.5075623329717,extras
23,mon,731.3258803007913,extras
24,tout,712.249443491814,extras
25,lui,696.4840310152551,extras
26,bien,681.7268480891429,extras
27,dans,631.5138980021785,extras
28,non,620.890342849104,extras
29,on,599.0,extras
30,pour,596.7524109641046,extras
31,quoi,594.0787958010184,extras
32,voir,587.9711087738494,extras
33,qui,583.3764280388377,extras
34,taire,573.3116557615588,extras
35,moi,561.5880844387798,extras
36,avec,557.2171879433357,extras
37,oui,557.2123879041562,extras
38,vouloir,533.7780461689766,extras
39,si,528.1384241536877,extras
40,savoir,485.2925758115283,extras
41,se,455.9054602145229,extras
42,luire,444.25198146342046,extras
43,sur,388.90725633594644,extras
44,toi,388.68433086837143,extras
45,plus,358.0819702565051,extras
46,devoir,347.96923262914305,extras
47,rien,343.1891271559737,extras
48,comme,338.75459480707207,extras
49,nous,335.62184333466166,extras
50,bon,333.1240220603934,extras
51,pourquoi,326.4655448149419,extras
52,son,313.2455106360957,extras
53,au,313.22920996587845,extras
54,merci,307.70131323447157,extras
55,ou,307.43946898138233,extras
56,ton,303.0541964390212,extras
57,alors,289.5021228117048,extras
58,quand,281.49325037614886,extras
59,salut,274.17566907727445,extras
60,parler,258.91494131167167,extras
61,peu,256.0336693074615,extras
62,croire,249.99731276268528,extras
63,aimer,243.78354863761294,extras
64,quelque,242.64628790576415,extras
65,la,242.11064276308386,extras
66,votre,229.97114231635783,extras
67,venir,219.21837045279383,extras
68,vraiment,216.53326952011452,extras
69,millman,206.21994471761963,extras
70,acteur,203.95489375705057,extras
71,vrai,203.43316817345632,extras
72,andy,203.21255472786223,extras
73,fai,203.20814524195364,extras
74,tres,201.57647184447208,extras
75,meme,197.84756112011365,extras
76,autre,196.5455831028732,extras
77,penser,185.80881353983366,extras
78,petit,183.72201991660762,extras
79,jouer,182.43047147547304,extras
80,replique,179.93241552013674,extras
81,parce,178.21418038335844,extras
82,aussi,174.89225615086173,extras
83,chose,173.41671165411904,extras
84,rire,164.783235566364,extras
85,jamais,163.3753059771326,extras
86,falloir,162.16041908930936,extras
87,toujours,160.47124805712906,extras
88,trop,158.4245391293407,extras
89,quel,153.2389291988503,extras
90,juste,151.6030170191988,extras
91,veux,151.57328866408017,extras
92,deux,151.3625326803471,extras
93,passer,149.4812425056326,extras
94,connaitre,147.95139503524095,extras
95,gens,146.95787979968662,extras
96,fait,146.19594047254176,extras
97,ici,145.89682700350573,extras
98,regarder,138.51202463878508,extras
99,femme,136.20770442093325,extras
100,truc,136.1825340665286,extras
101,entrer,135.13368257442448,extras
102,par,134.70602955561873,extras
103,encore,129.69648963636575,extras
104,monde,129.45747065583583,extras
105,comment,127.89626938407473,extras
106,prendre,127.77620480316264,extras
107,maggie,126.73866170748371,extras
108,ami,126.13544390028923,extras
109,gros,126.09493895048945,extras
110,bbc,125.31349805070099,extras
111,celui,124.41367309781626,extras
112,film,123.40104198277002,extras
113,arriver,123.30948534916233,extras
114,as,122.0,extras
115,appeler,121.62031431698203,extras
116,fois,119.37013118468651,extras
117,maintenant,118.81840434700553,extras
118,sans,118.81575916020368,extras
119,trouver,118.24197225262142,extras
120,personne,117.13958726485166,extras
