,mots,poids,serie
0,etre,1922.8820816301954,fearitself
1,le,1307.705505218172,fearitself
2,je,1261.644062507213,fearitself
3,avoir,1120.3376770361801,fearitself
4,ce,1106.6976989116852,fearitself
5,que,940.9513363333691,fearitself
6,de,774.7754404124357,fearitself
7,il,700.8929424150676,fearitself
8,pas,686.944063276767,fearitself
9,ne,646.1872172548894,fearitself
10,un,553.4176489365428,fearitself
11,tu,489.1752541230074,fearitself
12,aller,487.5670972752259,fearitself
13,te,464.53627556049815,fearitself
14,vous,460.53289398887443,fearitself
15,cela,390.19850843365066,fearitself
16,et,354.64218047670295,fearitself
17,faire,336.9970574242177,fearitself
18,dire,330.70701889686194,fearitself
19,pouvoir,279.09013154375,fearitself
20,mon,276.56378319367155,fearitself
21,on,259.0,fearitself
22,me,234.49959662143814,fearitself
23,tout,230.25305285295713,fearitself
24,se,226.08935629167078,fearitself
25,moi,223.7342903245406,fearitself
26,savoir,214.19810242715732,fearitself
27,en,212.8324039188275,fearitself
28,non,206.60098973963179,fearitself
29,quoi,200.1964161192473,fearitself
30,vouloir,192.56549766855488,fearitself
31,dans,190.43073728416206,fearitself
32,mais,181.45995399765567,fearitself
33,lui,180.69161181999544,fearitself
34,pour,176.5347422634284,fearitself
35,bien,176.41177209324312,fearitself
36,taire,171.48911697266567,fearitself
37,qui,170.28284926539047,fearitself
38,devoir,168.9171032180306,fearitself
39,voir,168.22969401178128,fearitself
40,quelque,167.34226752121666,fearitself
41,nous,163.0163239054071,fearitself
42,ici,159.16017491291535,fearitself
43,ou,144.838149831229,fearitself
44,si,142.846372785985,fearitself
45,juste,135.4750364852415,fearitself
46,chose,132.05125749809065,fearitself
47,avec,131.84857404856393,fearitself
48,toi,125.79824816486709,fearitself
49,luire,116.55280122044111,fearitself
50,sur,109.61478653484204,fearitself
51,zuzu,108.53681300927349,fearitself
52,votre,105.12966505890644,fearitself
53,mattingley,103.10997235880981,fearitself
54,pler,101.7749859166157,fearitself
55,oh,100.39920212695375,fearitself
56,oui,95.17126184588895,fearitself
57,vraiment,93.27586994712625,fearitself
58,ton,92.8173369167482,fearitself
59,penser,91.21523573773652,fearitself
60,harry,88.27699421253892,fearitself
61,allez,85.81329202839288,fearitself
62,comme,85.09001670509393,fearitself
63,alors,83.67113376060833,fearitself
64,passer,82.13255082727066,fearitself
65,veux,81.61638620373547,fearitself
66,aimer,80.70076092831326,fearitself
67,prendre,80.70076092831326,fearitself
68,pourquoi,79.95074566896537,fearitself
69,bon,77.28477311801126,fearitself
70,ok,77.20352774480978,fearitself
71,enfant,76.26425047910527,fearitself
72,maison,75.561946761089,fearitself
73,son,75.29940159521531,fearitself
74,meme,75.2147753018614,fearitself
75,quand,73.28818352988492,fearitself
76,croire,72.63435438375316,fearitself
77,rien,71.29049501307667,fearitself
78,maintenant,70.96099148501719,fearitself
