,mots,poids,serie
0,be,8496.294672441554,flightoftheconchords
1,you,4610.348346197138,flightoftheconchords
2,not,2556.509041733133,flightoftheconchords
3,it,2556.2573497393637,flightoftheconchords
4,bret,2351.2693437574976,flightoftheconchords
5,the,2340.8119583322127,flightoftheconchords
6,do,2144.8703292836803,flightoftheconchords
7,that,2104.9517951771936,flightoftheconchords
8,to,2079.821654718422,flightoftheconchords
9,jemaine,1953.6626341669228,flightoftheconchords
10,we,1477.2027357126583,flightoftheconchords
11,yeah,1457.274319738057,flightoftheconchords
12,what,1280.1766871542118,flightoftheconchords
13,get,1279.7328551848823,flightoftheconchords
14,have,1247.353670795569,flightoftheconchords
15,and,1075.2812712839736,flightoftheconchords
16,go,1062.548441233154,flightoftheconchords
17,just,1016.3673451055415,flightoftheconchords
18,no,1012.5156574999171,flightoftheconchords
19,of,979.4737352586502,flightoftheconchords
20,well,925.0641188521508,flightoftheconchords
21,they,816.4867106741497,flightoftheconchords
22,know,810.4232799820686,flightoftheconchords
23,he,801.3051243436693,flightoftheconchords
24,like,786.5075623329717,flightoftheconchords
25,this,770.2615984425329,flightoftheconchords
26,oh,767.0499042499266,flightoftheconchords
27,in,755.4690776475347,flightoftheconchords
28,ve,746.9420223951187,flightoftheconchords
29,my,728.6475529266759,flightoftheconchords
30,your,722.5562519771556,flightoftheconchords
31,think,701.6111306834725,flightoftheconchords
32,murray,647.9905538653483,flightoftheconchords
33,okay,646.2625188272971,flightoftheconchords
34,there,640.1978668192727,flightoftheconchords
35,with,600.9850471073173,flightoftheconchords
36,all,588.826125726659,flightoftheconchords
37,right,588.3726561665525,flightoftheconchords
38,guy,578.2498485538863,flightoftheconchords
39,on,578.0,flightoftheconchords
40,about,573.8802023431516,flightoftheconchords
41,can,569.4469580231121,flightoftheconchords
42,so,559.841828610674,flightoftheconchords
43,good,547.9254536068191,flightoftheconchords
44,for,544.6094665680229,flightoftheconchords
45,would,529.7688643812148,flightoftheconchords
46,she,524.3575452881589,flightoftheconchords
47,see,502.91945815179537,flightoftheconchords
48,say,499.3603242974064,flightoftheconchords
49,here,496.0111624187419,flightoftheconchords
50,will,487.42642158758275,flightoftheconchords
51,want,468.1812074676795,flightoftheconchords
52,one,465.9852504381874,flightoftheconchords
53,yes,442.9638633942247,flightoftheconchords
54,really,423.5228023032635,flightoftheconchords
55,look,415.4489448246496,flightoftheconchords
56,but,412.2720174508342,flightoftheconchords
57,out,402.0375351623399,flightoftheconchords
58,hey,394.66230479148237,flightoftheconchords
59,zealand,381.20983188240166,flightoftheconchords
60,thank,359.7025037589728,flightoftheconchords
61,at,357.3796847307739,flightoftheconchords
62,if,352.274867955353,flightoftheconchords
63,how,349.8961597375114,flightoftheconchords
64,come,344.827486045182,flightoftheconchords
65,some,331.35124322538184,flightoftheconchords
66,make,318.33335267652757,flightoftheconchords
67,could,310.78592454304356,flightoftheconchords
68,tell,309.03183755570865,flightoftheconchords
69,now,306.138297719232,flightoftheconchords
70,up,295.59485458203807,flightoftheconchords
71,band,266.9321429151077,flightoftheconchords
72,from,255.07099067059153,flightoftheconchords
73,when,251.62490568239497,flightoftheconchords
74,who,250.89828843434657,flightoftheconchords
75,thing,244.06823602413454,flightoftheconchords
76,mel,242.12424956534613,flightoftheconchords
77,too,238.7500145073957,flightoftheconchords
78,new,232.21860575897588,flightoftheconchords
79,should,230.54963733831426,flightoftheconchords
80,two,228.20583335235145,flightoftheconchords
81,then,228.14081309529396,flightoftheconchords
82,let,227.72710573643874,flightoftheconchords
83,why,227.12338737514435,flightoftheconchords
84,need,226.5782047864221,flightoftheconchords
85,love,223.98433228862046,flightoftheconchords
86,mean,223.7478955564411,flightoftheconchords
87,man,222.7613774553488,flightoftheconchords
88,very,222.56613136861102,flightoftheconchords
89,sorry,209.5824632231903,flightoftheconchords
90,bit,204.70168846221583,flightoftheconchords
91,arf,202.69765661461145,flightoftheconchords
92,time,202.0104172788871,flightoftheconchords
93,uh,200.85983031235827,flightoftheconchords
94,gig,200.12817147684268,flightoftheconchords
95,actually,198.95021864114418,flightoftheconchords
96,because,195.31357670170468,flightoftheconchords
97,um,192.8871234784283,flightoftheconchords
98,great,192.3818409195121,flightoftheconchords
99,take,189.86690725289725,flightoftheconchords
100,more,186.32257033936997,flightoftheconchords
101,back,184.78292259471456,flightoftheconchords
102,leggy,177.45736283361813,flightoftheconchords
103,friend,177.1315400694604,flightoftheconchords
104,talk,176.36131084329193,flightoftheconchords
105,down,170.98165308688004,flightoftheconchords
106,little,166.28241594293667,flightoftheconchords
107,put,165.17296601140583,flightoftheconchords
108,give,164.81071756070492,flightoftheconchords
109,where,164.3908681525377,flightoftheconchords
110,work,163.75814535697322,flightoftheconchords
111,something,159.3860475049314,flightoftheconchords
112,maybe,153.69975822554284,flightoftheconchords
113,call,151.57543085501638,flightoftheconchords
114,as,150.0,flightoftheconchords
115,our,148.23934454066386,flightoftheconchords
116,any,146.48518252627852,flightoftheconchords
117,night,145.24207361833152,flightoftheconchords
118,into,145.05576048533263,flightoftheconchords
119,bowie,142.37826637451064,flightoftheconchords
120,his,141.8498612029572,flightoftheconchords
121,please,140.95913597050068,flightoftheconchords
122,try,140.641534349763,flightoftheconchords
123,mmm,134.62389390441078,flightoftheconchords
124,other,130.46027849208957,flightoftheconchords
125,hear,130.0432330775964,flightoftheconchords
126,off,129.40709435094598,flightoftheconchords
127,nice,128.70932228550288,flightoftheconchords
128,many,127.06968242665869,flightoftheconchords
129,leave,125.68734147408628,flightoftheconchords
130,fa,124.494110707558,flightoftheconchords
131,us,120.99181315042287,flightoftheconchords
132,people,120.52805053665314,flightoftheconchords
133,greg,120.4703630681027,flightoftheconchords
134,an,120.0,flightoftheconchords
135,cool,119.00959599701493,flightoftheconchords
136,meet,116.14146743807973,flightoftheconchords
137,woman,114.7774017530494,flightoftheconchords
138,or,114.50410514382682,flightoftheconchords
139,much,114.09662748933512,flightoftheconchords
140,ucker,113.96365365973716,flightoftheconchords
141,kind,110.27574852424597,flightoftheconchords
142,happen,110.05761810854268,flightoftheconchords
143,never,109.95906296649586,flightoftheconchords
144,australian,109.04203359595093,flightoftheconchords
145,conchords,108.53681300927349,flightoftheconchords
146,dogggz,108.53681300927349,flightoftheconchords
147,her,108.22025844223809,flightoftheconchords
148,hi,107.94541355346313,flightoftheconchords
149,pretty,107.92924221964132,flightoftheconchords
150,move,107.916851520062,flightoftheconchords
151,way,107.54902673439832,flightoftheconchords
