,mots,poids,serie
0,etre,10803.13087868257,flightoftheconchords
1,le,7658.18077322657,flightoftheconchords
2,je,6979.671559361938,flightoftheconchords
3,ce,6457.212173916712,flightoftheconchords
4,avoir,5667.214554593858,flightoftheconchords
5,de,5243.645936493004,flightoftheconchords
6,un,4284.157159118617,flightoftheconchords
7,que,4006.2510239151943,flightoftheconchords
8,pas,3652.393949603222,flightoftheconchords
9,bret,3210.1627734606495,flightoftheconchords
10,jemaine,2659.1519187272006,flightoftheconchords
11,tu,2472.057481399085,flightoftheconchords
12,cela,2459.4330228545255,flightoftheconchords
13,il,2423.8103845114224,flightoftheconchords
14,ne,2115.6354495400365,flightoftheconchords
15,vous,2097.517998985692,flightoftheconchords
16,faire,2088.4096491337336,flightoftheconchords
17,et,1861.5646636095444,flightoftheconchords
18,te,1817.3501318669912,flightoftheconchords
19,aller,1625.7840795349773,flightoftheconchords
20,oui,1539.6254134101066,flightoftheconchords
21,on,1474.0,flightoftheconchords
22,pouvoir,1400.4944552767695,flightoftheconchords
23,en,1317.8774841527397,flightoftheconchords
24,non,1240.6933120679994,flightoftheconchords
25,dire,1203.4859774637978,flightoftheconchords
26,mais,1182.7300573061486,flightoftheconchords
27,tout,1145.1251828553734,flightoftheconchords
28,me,1135.0778347101527,flightoftheconchords
29,lui,1097.2908790523359,flightoftheconchords
30,mon,1079.1689890598423,flightoftheconchords
31,qui,999.6233929097922,flightoftheconchords
32,bien,992.6899717789273,flightoftheconchords
33,dans,934.2499418898208,flightoftheconchords
34,se,934.1714062161342,flightoftheconchords
35,moi,932.4764717553002,flightoftheconchords
36,ouai,918.3119608950204,flightoftheconchords
37,taire,886.0271043587726,flightoftheconchords
38,avec,844.4587242634215,flightoftheconchords
39,nous,840.6528075906288,flightoftheconchords
40,pour,837.1862317155225,flightoftheconchords
41,voir,834.485907919826,flightoftheconchords
42,murray,824.2821016081268,flightoftheconchords
43,bon,815.487606003843,flightoftheconchords
44,quoi,781.2543068068187,flightoftheconchords
45,vouloir,780.3970168673013,flightoftheconchords
46,savoir,746.3465131446263,flightoftheconchords
47,si,736.5106560158126,flightoftheconchords
48,devoir,736.4785700306134,flightoftheconchords
49,sur,711.7453262673306,flightoftheconchords
50,toi,667.698394105833,flightoftheconchords
51,plus,608.7393494360587,flightoftheconchords
52,comme,587.6027568691392,flightoftheconchords
53,aimer,573.3116557615588,flightoftheconchords
54,peu,545.5357921191663,flightoftheconchords
55,vraiment,542.9988143350564,flightoftheconchords
56,au,526.381037494526,flightoftheconchords
57,alors,525.4547200166203,flightoftheconchords
58,merci,500.3740981569911,flightoftheconchords
