,mots,poids,serie
0,y1,78307.2033602674,friends
1,x2,75403.0032820965,friends
2,x1,72947.5371031281,friends
3,y2,61910.28205959824,friends
4,523,41427.934201457254,friends
5,be,41365.69663758184,friends
6,you,32022.102766572883,friends
7,524,25216.258435820957,friends
8,not,18413.191669535714,friends
9,444,17081.694606985235,friends
10,to,16307.141358289193,friends
11,do,14816.553838692062,friends
12,the,13380.983879407055,friends
13,482,13268.250772564774,friends
14,that,12738.564128279822,friends
15,it,12109.97173671235,friends
16,have,9611.869942817772,friends
17,what,9381.78483091522,friends
18,and,8575.943594827533,friends
19,we,8225.36499782053,friends
20,go,8012.223866530191,friends
21,this,7709.99396908474,friends
22,get,7501.98535901605,friends
23,know,6955.889343528405,friends
24,my,6775.373828472867,friends
25,446,6686.80114176773,friends
26,so,6280.382474389841,friends
27,488,6232.648840985613,friends
28,484,6228.320612623817,friends
29,just,6201.828115595126,friends
30,442,5926.533192803447,friends
31,she,5776.672290591217,friends
32,448,5506.619671363611,friends
33,okay,5159.076482919831,friends
34,of,5135.764816703121,friends
35,can,5092.090749936793,friends
36,with,4973.960553810912,friends
37,well,4862.83705720928,friends
38,no,4852.347763776258,friends
39,in,4802.387132358558,friends
40,he,4606.984136973278,friends
41,think,4497.18671293326,friends
42,right,4344.7882116402825,friends
43,oh,4304.113795182507,friends
44,for,4263.232475849229,friends
45,your,4093.1473607372577,friends
46,yknow,3977.7087393812058,friends
47,yeah,3969.0655375125234,friends
48,they,3935.4962418023024,friends
49,like,3880.77497392448,friends
50,its,3793.1061160888944,friends
51,all,3749.1081169684744,friends
52,here,3697.261118642769,friends
53,want,3602.6927669726024,friends
54,about,3572.914051644038,friends
55,on,3501.0,friends
56,there,3457.920185303211,friends
57,say,3416.1846484645,friends
58,really,3337.0400422989214,friends
59,see,3281.095019146954,friends
60,ross,3154.2354417905476,friends
61,how,3093.263032851879,friends
62,would,3035.13411885071,friends
63,but,3017.9521277452263,friends
64,guy,2988.8380081425057,friends
65,come,2961.29400260842,friends
66,054,2893.346279420696,friends
67,out,2851.8363475534206,friends
68,if,2831.1396530779184,friends
69,will,2704.8378109860164,friends
70,look,2690.94742073352,friends
71,hey,2674.7959340413317,friends
72,good,2608.4530946020395,friends
73,at,2605.367976135328,friends
74,one,2600.788202170159,friends
75,tell,2587.353293004683,friends
76,why,2355.2384142874557,friends
77,joey,2324.8408212376335,friends
78,mean,2314.192519755191,friends
79,phoebe,2294.787777249043,friends
80,chandler,2249.9698454589925,friends
81,up,2235.939289134171,friends
82,052,2227.9407997744424,friends
83,god,2222.4120472805853,friends
84,now,2207.9502698712536,friends
85,make,2196.8004479516976,friends
86,sorry,2125.5292333186544,friends
87,could,2111.1468106585535,friends
88,486,2094.0982330257375,friends
89,450,2075.9909859355175,friends
90,ve,2005.1836434535628,friends
91,re,1970.6229063618075,friends
92,great,1964.71848561108,friends
93,thank,1868.4998837796416,friends
94,thing,1848.1645042330692,friends
95,take,1826.9083516774838,friends
96,because,1777.3535479855127,friends
97,when,1738.3686341143743,friends
98,who,1702.6276914562015,friends
99,monica,1632.7710210459718,friends
100,let,1611.7202257604729,friends
101,talk,1608.0001871006027,friends
102,then,1603.2361249025453,friends
103,rachel,1578.1347088789548,friends
104,love,1531.4591394432784,friends
105,should,1530.4571670117882,friends
106,too,1503.073990703793,friends
107,wait,1482.1791288765241,friends
108,time,1428.5022364721303,friends
109,give,1420.5114227851234,friends
110,some,1396.9643963210933,friends
111,yes,1355.9198937118133,friends
112,pheebs,1353.8363323924664,friends
113,back,1310.5171815227982,friends
114,something,1268.8379468039636,friends
115,little,1251.6296579890816,friends
116,maybe,1247.584207724353,friends
117,umm,1243.2565958499954,friends
118,work,1215.3423140708699,friends
119,need,1187.582314742626,friends
120,hi,1186.0331514481773,friends
121,ill,1135.3318210857294,friends
122,never,1121.2726984189155,friends
123,call,1117.5243129401663,friends
124,from,1112.7822340244488,friends
125,her,1100.0270975775732,friends
126,where,1082.868287463505,friends
127,rach,1081.8262013571414,friends
128,our,1072.8249470881035,friends
129,much,1070.0413442918725,friends
130,over,1051.3823067488863,friends
131,093,1043.982730784359,friends
132,feel,1040.746264260827,friends
133,133,1037.7378756798712,friends
134,his,1020.7022621343223,friends
135,094,1007.7830804730252,friends
136,happen,988.8759119603387,friends
137,friend,983.8987225707003,friends
138,believe,961.4410408150977,friends
139,two,956.7090705925503,friends
140,more,940.701757567063,friends
141,lt,931.1145083564086,friends
142,still,926.6267271610228,friends
143,please,923.3615311326056,friends
144,first,911.360475503301,friends
145,way,904.3895429938041,friends
146,leave,898.9031383906171,friends
147,very,895.1029196346312,friends
148,uh,888.0118813809523,friends
149,try,887.0005859558916,friends
150,ask,878.0507464586863,friends
151,people,868.9231550316855,friends
152,baby,868.4679316936101,friends
153,or,864.6665136094587,friends
154,an,854.0,friends
155,wanna,851.5573721929466,friends
156,by,849.5952987279442,friends
157,big,846.8412435651546,friends
158,off,844.0218264889477,friends
159,again,838.3501548856649,friends
160,nice,828.7624654481161,friends
161,even,821.9976580751669,friends
162,down,819.8710414411871,friends
163,132,819.677190106776,friends
164,actually,790.8271190985481,friends
165,marry,790.5320430603832,friends
166,year,790.2710461639086,friends
167,stuff,776.6743101822643,friends
168,any,769.8610148325527,friends
169,find,769.1166819499563,friends
170,hear,762.5992063192381,friends
171,anything,742.6224259629529,friends
172,day,741.3313474028486,friends
173,as,741.0,friends
174,man,737.3401593772045,friends
175,put,731.2657677050421,friends
176,134,727.1224571090254,friends
177,other,717.5315317064926,friends
178,ever,709.5766366764872,friends
179,sure,709.2529576085788,friends
180,kind,706.404070256764,friends
181,095,704.0647251876294,friends
182,bad,698.8136382277077,friends
183,name,698.4859140657288,friends
184,131,695.3549711188252,friends
185,last,692.1919532133184,friends
186,guess,691.2408219295963,friends
187,annd,682.3797737529052,friends
188,use,680.3422921776047,friends
189,listen,673.9941148484354,friends
190,kid,670.8976520964065,friends
191,fine,664.12783366553,friends
192,night,662.2505558560621,friends
193,help,662.2110804765185,friends
194,only,660.8941495028607,friends
195,move,655.6766281749221,friends
196,play,654.412055180608,friends
197,those,641.949434597016,friends
198,nothing,639.3678918574269,friends
199,before,634.7009729387596,friends
200,616,629.5135154537862,friends
201,together,627.8798633894517,friends
202,start,617.4092288085382,friends
203,meet,615.7088753224227,friends
204,woman,609.4133474030956,friends
205,geller,596.4453772078698,friends
206,keep,595.5127542124524,friends
207,583,594.8378182304198,friends
208,568,591.0032364713678,friends
209,582,589.9218032037221,friends
210,wow,589.7327316852592,friends
211,tlne,589.0628816157557,friends
212,these,576.393452395179,friends
213,566,575.5857607373321,friends
214,someone,572.7524421603932,friends
215,088,569.8182682986858,friends
216,591,568.0432163884475,friends
217,ll,564.8000507705956,friends
218,wedding,564.2492813868888,friends
219,remember,561.6155891183855,friends
220,584,558.7042203893293,friends
221,594,555.0291264252845,friends
222,089,555.0291264252845,friends
223,558,554.1246775992529,friends
224,569,554.0132303098322,friends
225,578,553.8421359787363,friends
226,571,550.5936829901406,friends
227,girl,542.0924924341178,friends
228,592,540.7616529367452,friends
229,pretty,536.5625184633598,friends
230,548,534.472492113237,friends
231,into,531.3455574299684,friends
232,595,531.2269636488705,friends
