,mots,poids,serie
0,etre,42036.88387468597,friends
1,je,34090.05024489829,friends
2,le,29567.506025741808,friends
3,avoir,26146.539795024117,friends
4,ce,22687.302827689546,friends
5,de,19024.803563055637,friends
6,un,16415.026568559264,friends
7,pas,16267.570420272245,friends
8,que,14221.732453885406,friends
9,uncut,13113.250705941253,friends
10,tu,11678.197968147853,friends
11,ne,10130.206968253542,friends
12,cela,9559.018871108352,friends
13,aller,8794.701675333472,friends
14,te,8449.822734770421,friends
15,il,7986.981552919991,friends
16,et,7636.464668188659,friends
17,faire,7268.119228870388,friends
18,vous,6899.620084487864,friends
19,me,6785.52024266289,friends
20,mon,6433.671925531133,friends
21,on,6326.0,friends
22,pouvoir,5823.90491365994,friends
23,lui,5780.488927223309,friends
24,en,5747.677348768336,friends
25,moi,5195.440567267856,friends
26,mais,4965.846062525131,friends
27,dire,4849.890324952676,friends
28,tout,4629.621382696791,friends
29,avec,4578.598696424536,friends
30,qui,4195.580202733371,friends
31,taire,3979.556273277447,friends
32,pour,3940.0821616831445,friends
33,savoir,3786.955514005133,friends
34,se,3714.3251390774485,friends
35,voir,3702.7189087939582,friends
36,si,3567.227768105057,friends
37,vouloir,3547.2591675786425,friends
38,quoi,3528.6652857441313,friends
39,bien,3486.3750213681606,friends
40,dans,3276.385249171096,friends
41,toi,3244.9496834322126,friends
42,devoir,3119.898896437025,friends
43,sur,2540.6605317390786,friends
44,au,2513.631917319539,friends
45,luire,2364.8394450524283,friends
46,fs56,2362.083832221595,friends
47,oui,2254.944897606627,friends
48,non,2241.0770518599006,friends
49,ton,2196.3042133071503,friends
50,ou,2182.137030947856,friends
51,plus,2135.853634353507,friends
52,ross,2134.445035798115,friends
53,comme,2104.773809441097,friends
54,pourquoi,2027.0845308152261,friends
55,joey,1954.1556296364856,friends
56,chandler,1927.8738487736402,friends
57,croire,1913.8307794602867,friends
58,nous,1898.6607137218002,friends
59,rien,1866.816218249403,friends
60,parler,1830.898513561107,friends
61,quand,1815.5481828994218,friends
62,son,1813.2095904127846,friends
63,aimer,1803.9982599183359,friends
64,bon,1801.5347113026073,friends
65,la,1799.3222768983733,friends
66,phoebe,1780.7553151452573,friends
67,peu,1772.1546130496845,friends
68,alors,1768.80776769926,friends
69,tres,1723.5569646856798,friends
70,ca,1685.1679397700966,friends
71,vraiment,1667.306175304882,friends
72,rachel,1549.9222448096102,friends
73,monica,1544.9876328176936,friends
74,veux,1520.729808245112,friends
75,quelque,1519.4677890926473,friends
76,aussi,1517.3985271755719,friends
77,autre,1485.7513570149397,friends
78,passer,1483.313867940508,friends
79,venir,1474.2853768619188,friends
80,merci,1347.2716378537377,friends
81,prendre,1301.299769969051,friends
82,truc,1279.4433138842996,friends
83,deux,1278.6980625391823,friends
84,falloir,1248.2973927812461,friends
85,meme,1229.5980658043427,friends
86,jamais,1222.8394114045986,friends
87,petit,1189.4416979083821,friends
88,arriver,1175.663038397493,friends
89,as,1167.0,friends
90,chose,1148.6868423327885,friends
91,ici,1125.7266538111407,friends
92,appeler,1111.4745391746412,friends
93,trouver,1099.6503419493793,friends
94,juste,1037.0291483334556,friends
95,mec,1031.137704744718,friends
96,par,1027.3035587322438,friends
97,votre,1025.0142343243378,friends
98,parce,985.221789666491,friends
99,comment,984.6880917180974,friends
100,notre,978.4520886906718,friends
101,fai,956.0776669580441,friends
102,bebe,952.6647584876923,friends
103,vrai,941.5088774969879,friends
104,penser,932.4224097635289,friends
105,celui,928.0587506756024,friends
106,sai,926.455173331613,friends
107,fait,918.2419182488859,friends
108,trop,899.3893106821946,friends
109,encore,893.8119526747133,friends
110,femme,879.0148366699761,friends
111,fois,870.4072065550058,friends
112,toujours,853.0313712510545,friends
113,mettre,836.1396609292515,friends
114,fille,806.1700188287341,friends
115,ll,800.2501960049877,friends
116,partir,768.3384946716491,friends
117,sans,755.2124965799247,friends
118,heure,754.5351622508606,friends
119,voila,753.3165782040688,friends
120,mal,752.4210029026424,friends
121,dieu,742.4782594785268,friends
122,ami,737.892346816692,friends
123,temps,737.8787569031595,friends
124,sortir,724.625582502146,friends
125,chez,719.4050075179456,friends
126,super,716.8541808559823,friends
127,soir,714.559789416378,friends
128,jour,714.179776096388,friends
129,seul,707.8129239754142,friends
130,friendsnet,683.781921958423,friends
131,regarder,672.2900708077618,friends
132,maintenant,668.3535244519061,friends
133,geller,667.4507792564258,friends
134,quel,666.2562139080447,friends
135,mariage,665.0168356754314,friends
136,mieux,647.9341680255735,friends
137,ninjaw,642.3948222514867,friends
138,connaitre,638.8810240158132,friends
139,salut,630.6040388777312,friends
140,marier,616.9762247041571,friends
141,avant,614.7990329021713,friends
142,apres,606.1382251052574,friends
143,personne,595.7384723755313,friends
144,adorer,595.6958598421485,friends
145,pere,592.391627025107,friends
146,nouveau,589.7117149398033,friends
147,nsv,589.0628816157557,friends
148,accord,574.8297416051435,friends
149,raison,568.6825344033674,friends
150,entrer,567.5614668125828,friends
151,entendre,563.1541461565819,friends
152,laisser,561.5427947928464,friends
153,sentir,554.0480985551403,friends
154,vie,553.2231208630961,friends
155,premier,551.9809816375943,friends
156,deja,551.7239776722912,friends
157,besoin,542.188946768742,friends
158,probleme,538.8235088197655,friends
159,donner,537.8991493501936,friends
160,depuis,537.1563882333373,friends
161,laisse,531.2800094447289,friends
162,jouer,530.399704104616,friends
163,an,528.0,friends
164,tribbiani,520.9767024445127,friends
165,monde,519.5111484760165,friends
166,beaucoup,511.5707968367609,friends
167,demander,499.99462552537057,friends
168,essayer,493.2379413966493,friends
169,grand,490.78293570450404,friends
170,manger,490.6471709701958,friends
171,finir,488.1704283001084,friends
172,mere,485.9571380657917,friends
173,gens,483.1029152035675,friends
174,tellement,480.85832733454265,friends
175,attendre,479.7245731392069,friends
176,genial,476.8366347483921,friends
177,arreter,474.657060042666,friends
178,enfant,472.5067692727174,friends
179,oh,468.86427393287397,friends
180,mugui,466.5844606857471,friends
181,rester,447.21671681106926,friends
182,dernier,440.87363939905987,friends
183,perdre,440.4916534003765,friends
184,fete,434.4676356683476,friends
185,desoler,432.4277842381583,friends
186,demain,430.738613205978,friends
187,idee,425.0493595038903,friends
188,ecoute,423.9819290772568,friends
189,gros,423.67899487364457,friends
190,ros,422.55964727591055,friends
191,tete,422.46543767824187,friends
192,ensembl,421.17732926110654,friends
193,oublier,419.1933828518823,friends
194,meilleur,417.2252449485356,friends
195,allez,415.86441521451934,friends
196,regarde,415.5360739163553,friends
197,trois,410.66275413635327,friends
198,moins,407.09021875545375,friends
199,aider,406.86633634691265,friends
200,vivre,403.2948647261322,friends
201,homme,403.08500941436705,friends
202,gagner,402.0227056589128,friends
203,reste,400.1412729362199,friends
204,embrasser,389.6846599578201,friends
205,donne,389.30829092126294,friends
206,ii,383.28214499844006,friends
207,excus,382.05889417833873,friends
208,emma,378.795291265884,friends
209,dur,374.9959691440279,friends
210,amour,371.2391297392634,friends
211,acheter,369.92845604748703,friends
212,nom,369.3307542276226,friends
213,pret,368.05790448611674,friends
214,fm,363.8712142050802,friends
215,air,358.67080468384376,friends
216,histoire,356.41508779004454,friends
217,attend,352.77410674290167,friends
218,revoir,351.51966068884786,friends
219,revenir,351.34757469350365,friends
220,coucher,349.65840366132335,friends
221,phoebs,349.46278330480874,friends
222,drole,344.519257971385,friends
223,fou,343.42637236716405,friends
224,demande,338.1250285583327,friends
225,dis,337.91169740103453,friends
226,comprendre,337.8342064360612,friends
227,bing,337.55224471712387,friends
228,beau,334.5233464896212,friends
229,rendre,331.20937297661897,friends
230,plaire,330.80324646418893,friends
231,bonjour,328.8443596045261,friends
232,assez,327.69918024297937,friends
233,chambre,327.5478659530902,friends
234,cote,326.31742166637247,friends
235,boulot,325.6877323436087,friends
236,maman,324.1535875494312,friends
237,tant,322.6316671464384,friends
238,oeil,321.1217778605798,friends
239,prend,319.4405120079066,friends
240,vieux,319.4405120079066,friends
241,compte,319.2533250820778,friends
242,question,318.0,friends
243,chercher,314.18581198553693,friends
244,arrete,314.18581198553693,friends
245,couper,313.75153272892146,friends
246,desole,313.140420536781,friends
247,commencer,312.7154485972138,friends
248,faut,310.5939916959031,friends
249,peur,309.58319491425084,friends
250,choisir,307.1821955311364,friends
251,sou,306.9475445630976,friends
252,heureux,306.93084723481445,friends
253,nuit,306.4778583977006,friends
254,pardon,305.5519900886133,friends
255,cadeau,304.69344530853937,friends
256,tenir,304.0507857924551,friends
257,bizarre,302.87657141286417,friends
258,tard,299.22399739653554,friends
