,mots,poids,serie
0,etre,12918.95521000015,garyunmarried
1,je,10496.593482757751,garyunmarried
2,le,10068.21892286233,garyunmarried
3,avoir,8154.012593778303,garyunmarried
4,de,7103.53504621236,garyunmarried
5,ce,7014.987814168201,garyunmarried
6,que,5690.26560217199,garyunmarried
7,un,5123.9428728026105,garyunmarried
8,pas,4778.925674771089,garyunmarried
9,tu,3956.1187453159278,garyunmarried
10,te,3487.311983669462,garyunmarried
11,et,3251.90926734693,garyunmarried
12,cela,3045.5753710210915,garyunmarried
13,aller,2636.2248569915664,garyunmarried
14,mon,2489.074048743044,garyunmarried
15,faire,2449.7093789683518,garyunmarried
16,il,2403.8229431877985,garyunmarried
17,me,1955.826422885186,garyunmarried
18,en,1769.996037110249,garyunmarried
19,vous,1750.024997157723,garyunmarried
20,pouvoir,1733.3850941060616,garyunmarried
21,ne,1674.2724013536706,garyunmarried
22,dire,1666.4758039194044,garyunmarried
23,lui,1608.1553451979594,garyunmarried
24,on,1585.0,garyunmarried
25,mais,1576.4333503546338,garyunmarried
26,pour,1570.4010814844858,garyunmarried
27,avec,1486.4357098094054,garyunmarried
28,quoi,1383.4711683037415,garyunmarried
29,dans,1363.9398106335711,garyunmarried
30,tout,1363.098072889506,garyunmarried
31,moi,1360.4246109666697,garyunmarried
32,taire,1336.6063528751881,garyunmarried
33,devoir,1324.3100892293598,garyunmarried
34,bien,1249.8325548300952,garyunmarried
35,savoir,1238.3327796570034,garyunmarried
36,si,1209.6073585455429,garyunmarried
37,qui,1180.943093516458,garyunmarried
38,vouloir,1179.0413804618536,garyunmarried
39,se,1176.4100022429243,garyunmarried
40,toi,1096.7026763090978,garyunmarried
41,sur,1057.1069824729973,garyunmarried
42,ton,947.1841490179003,garyunmarried
43,gary,915.3622033410551,garyunmarried
44,voir,904.4428103801707,garyunmarried
45,comme,892.6424393968344,garyunmarried
46,allison,873.8824577115065,garyunmarried
47,non,777.4721455991406,garyunmarried
48,oui,769.0451965288768,garyunmarried
49,quand,759.532083855171,garyunmarried
50,au,755.1293402081966,garyunmarried
51,pourquoi,754.5351622508606,garyunmarried
52,ou,679.0996270388756,garyunmarried
53,son,641.5509015912345,garyunmarried
54,vraiment,639.605965351723,garyunmarried
55,plus,635.0689060725664,garyunmarried
56,passer,625.8500373038024,garyunmarried
57,luire,596.277374359648,garyunmarried
58,veux,584.6398277043093,garyunmarried
59,alors,579.0042456234096,garyunmarried
60,quelque,572.310554922561,garyunmarried
61,chose,567.9795051423899,garyunmarried
62,ici,555.4026937065275,garyunmarried
63,krandall,553.5377463472948,garyunmarried
64,sai,540.432184443441,garyunmarried
65,la,531.5429111571341,garyunmarried
66,louise,525.753671212406,garyunmarried
67,peu,525.4547200166203,garyunmarried
68,croire,520.2646779115342,garyunmarried
69,bon,514.3434900612474,garyunmarried
70,parler,501.0172240966114,garyunmarried
71,aimer,497.65469239126503,garyunmarried
72,ok,495.84237537511626,garyunmarried
73,juste,493.516204339094,garyunmarried
74,mec,471.6723390651965,garyunmarried
75,parce,465.7106411904744,garyunmarried
76,venir,465.2115037089823,garyunmarried
77,enfant,460.901339851984,garyunmarried
78,truc,450.57924851641565,garyunmarried
79,merci,450.04911702051214,garyunmarried
80,addicts,444.9671861709505,garyunmarried
81,nous,437.90659558903474,garyunmarried
82,prendre,437.1291216950301,garyunmarried
83,dieu,432.01721735144366,garyunmarried
84,fai,419.7414147620682,garyunmarried
85,tres,418.7790267776629,garyunmarried
86,rien,411.16378519169797,garyunmarried
87,penser,408.77938978763405,garyunmarried
88,votre,395.87889498744454,garyunmarried
89,appeler,380.0634822405688,garyunmarried
90,as,377.0,garyunmarried
91,notre,375.47104541625777,garyunmarried
92,accord,374.4489513977167,garyunmarried
93,femme,369.0278503497378,garyunmarried
94,meme,364.62814983293674,garyunmarried
95,fois,356.45247506538334,garyunmarried
96,autre,353.1157933712637,garyunmarried
97,petit,348.43831363494553,garyunmarried
98,mettre,346.2800615969627,garyunmarried
99,jamais,344.90342372950215,garyunmarried
100,chez,336.9159198104406,garyunmarried
101,aussi,333.12810695402237,garyunmarried
102,arriver,332.76669333952026,garyunmarried
103,allez,328.4008675701958,garyunmarried
104,papa,325.99936107768093,garyunmarried
105,fait,320.3169482263556,garyunmarried
106,comment,320.30658615657654,garyunmarried
107,trop,316.8490782586814,garyunmarried
108,trouver,315.8749830177172,garyunmarried
109,temps,309.8091394672408,garyunmarried
110,fille,309.8091394672408,garyunmarried
111,falloir,300.67244372809444,garyunmarried
112,desole,296.4840151890799,garyunmarried
113,par,295.2647314501946,garyunmarried
114,heure,291.4870935847696,garyunmarried
115,toujours,288.8482465028323,garyunmarried
116,salut,288.690851557836,garyunmarried
117,sortir,279.09013154375,garyunmarried
118,besoin,272.76789605958317,garyunmarried
119,essayer,271.95653618102926,garyunmarried
120,super,268.5462909934491,garyunmarried
121,entrer,265.199852052308,garyunmarried
122,pere,262.72736000831014,garyunmarried
123,finir,261.8215099879474,garyunmarried
124,avant,259.9815059346948,garyunmarried
125,voila,259.338494135827,garyunmarried
126,brooks,254.1754760279309,garyunmarried
127,tom,253.93516233146144,garyunmarried
128,apres,251.32560553144822,garyunmarried
129,maison,244.75500146526656,garyunmarried
130,vanessa,242.92301249895726,garyunmarried
131,soir,241.5178775416662,garyunmarried
132,subs,238.27217274149922,garyunmarried
133,beaucoup,237.57157747837195,garyunmarried
134,nouveau,236.5417463825395,garyunmarried
135,veen,236.4012945885471,garyunmarried
136,partir,235.37721937424698,garyunmarried
137,deux,227.04379902052062,garyunmarried
138,maintenant,226.08501938249663,garyunmarried
139,ecoute,224.65974727998068,garyunmarried
140,ami,223.8904129230134,garyunmarried
141,plummer,222.3005698725974,garyunmarried
142,laisser,218.56456084751505,garyunmarried
143,jouer,216.21389211907916,garyunmarried
144,encore,212.5147300065752,garyunmarried
145,cheri,211.2765449948409,garyunmarried
146,laisse,205.11443402612952,garyunmarried
147,vie,204.78424915926763,garyunmarried
148,regarder,202.70052386163673,garyunmarried
149,acheter,202.70052386163673,garyunmarried
150,jour,202.48173871743748,garyunmarried
151,seul,201.75190232078313,garyunmarried
152,tommy,201.54250470718353,garyunmarried
153,premier,197.3563286302013,garyunmarried
154,mal,195.81448231277784,garyunmarried
155,ecole,191.88608138104905,garyunmarried
156,vrai,191.66430720474398,garyunmarried
157,chercher,190.87632663637459,garyunmarried
158,deja,190.00698210652888,garyunmarried
159,homme,189.88302096379275,garyunmarried
160,raison,187.9406666404291,garyunmarried
161,personne,185.7499169485505,garyunmarried
162,regarde,184.11964250765334,garyunmarried
163,mieux,183.2204588247123,garyunmarried
164,mitch,181.02184496723748,garyunmarried
165,maman,176.50247699026622,garyunmarried
166,voiture,175.5860532286498,garyunmarried
167,connaitre,174.85164867801205,garyunmarried
168,equipe,172.14318943985273,garyunmarried
169,dennis,171.76016350365455,garyunmarried
170,donner,171.73888503349556,garyunmarried
171,genial,170.4217575454542,garyunmarried
172,biere,170.32019724227433,garyunmarried
173,entendre,167.64415333562985,garyunmarried
174,arreter,167.22793218585028,garyunmarried
175,marier,166.84427484957484,garyunmarried
176,he,166.50496090258062,garyunmarried
177,monde,166.4453194146461,garyunmarried
178,oublier,166.31964177928933,garyunmarried
179,probleme,164.13393037894394,garyunmarried
180,depuis,163.84959012148968,garyunmarried
181,dernier,162.16041908930936,garyunmarried
182,manger,158.22172614348335,garyunmarried
183,boulot,156.87576636446073,garyunmarried
184,celui,156.3577242986069,garyunmarried
185,sans,156.25086136136375,garyunmarried
186,veto,155.29562550087795,garyunmarried
187,meilleur,153.71456392840784,garyunmarried
188,aider,152.99519259326053,garyunmarried
189,fete,152.74252816465346,garyunmarried
190,pret,152.52850095821054,garyunmarried
191,fils,152.02539289622754,garyunmarried
192,porte,147.55474549218192,garyunmarried
193,amie,144.9395667497735,garyunmarried
194,rester,144.58886332989456,garyunmarried
195,eh,144.34000378450688,garyunmarried
196,grand,143.23278810260203,garyunmarried
197,pendant,143.02162351951452,garyunmarried
198,reste,142.90759747722137,garyunmarried
199,chambre,142.55969295367657,garyunmarried
200,attend,141.99712472670257,garyunmarried
201,demain,141.8903667031457,garyunmarried
202,commencer,141.22633162454818,garyunmarried
203,walter,139.9138049206894,garyunmarried
204,violoncelle,139.6595444386484,garyunmarried
205,adorer,139.1654145500176,garyunmarried
206,assez,136.82285360660478,garyunmarried
207,ensembl,136.41370988213976,garyunmarried
208,an,136.0,garyunmarried
209,frere,135.7136163055325,garyunmarried
210,ur,134.4747873375484,garyunmarried
211,donc,133.8738140169733,garyunmarried
212,demander,133.44451154224416,garyunmarried
213,quel,133.25124278160894,garyunmarried
214,ex,132.59015278313979,garyunmarried
215,oh,132.52694680757895,garyunmarried
216,tant,131.75534051006386,garyunmarried
217,emmener,131.75534051006386,garyunmarried
218,vf,128.5081155259464,garyunmarried
219,rentrer,127.77620480316264,garyunmarried
220,revenir,126.68782741352295,garyunmarried
221,mlle,125.92310756041637,garyunmarried
222,peur,125.5067006409125,garyunmarried
223,sentir,121.62031431698203,garyunmarried
224,attendre,121.62031431698203,garyunmarried
225,allon,120.99768200734223,garyunmarried
226,nom,120.9598540046799,garyunmarried
227,billard,120.86974818716703,garyunmarried
228,bas,120.46865996293616,garyunmarried
229,gagner,119.93114328480172,garyunmarried
230,tenir,119.93114328480172,garyunmarried
231,ouai,119.92880086315564,garyunmarried
