,mots,poids,serie
0,etre,43027.756784097444,ghostwhisperer
1,je,30232.413145299965,ghostwhisperer
2,le,29422.75527445465,ghostwhisperer
3,avoir,28634.936033462538,ghostwhisperer
4,ce,24059.607974340033,ghostwhisperer
5,que,22902.59826429242,ghostwhisperer
6,de,20265.0863468098,ghostwhisperer
7,il,14852.001399540579,ghostwhisperer
8,ne,14557.051912637753,ghostwhisperer
9,vous,14058.81325467855,ghostwhisperer
10,pas,13861.852733652786,ghostwhisperer
11,un,12799.061560518032,ghostwhisperer
12,lui,8936.021530007047,ghostwhisperer
13,cela,8224.57375568591,ghostwhisperer
14,et,8187.448540278761,ghostwhisperer
15,pouvoir,7797.7110246982675,ghostwhisperer
16,tu,7220.502342548053,ghostwhisperer
17,faire,6542.279412879765,ghostwhisperer
18,aller,6366.953784073381,ghostwhisperer
19,me,6084.516129358379,ghostwhisperer
20,dire,5911.028498630433,ghostwhisperer
21,savoir,5903.835198148524,ghostwhisperer
22,tout,5444.717189796259,ghostwhisperer
23,en,5431.434850290078,ghostwhisperer
24,qui,5283.4984063733655,ghostwhisperer
25,mais,5241.276349843001,ghostwhisperer
26,vouloir,4820.894125842593,ghostwhisperer
27,mon,4811.354475663101,ghostwhisperer
28,se,4532.96736872696,ghostwhisperer
29,voir,4187.420304412061,ghostwhisperer
30,te,4024.22643247593,ghostwhisperer
31,pour,3895.677717310135,ghostwhisperer
32,dans,3894.8782420598277,ghostwhisperer
33,moi,3880.063128849751,ghostwhisperer
34,devoir,3510.0974048706757,ghostwhisperer
35,bien,3432.554480729544,ghostwhisperer
36,luire,3347.9369857813663,ghostwhisperer
37,taire,3307.04993220817,ghostwhisperer
38,si,3281.5350225330867,ghostwhisperer
39,quelque,3212.97153640736,ghostwhisperer
40,avec,3089.0237348520695,ghostwhisperer
41,on,2973.0,ghostwhisperer
42,son,2950.7325505111708,ghostwhisperer
43,chose,2943.3111611020204,ghostwhisperer
44,sur,2797.4294152659004,ghostwhisperer
45,oui,2770.711735997251,ghostwhisperer
46,non,2653.1916577089555,ghostwhisperer
47,ou,2616.651480441543,ghostwhisperer
48,nous,2581.0917951689457,ghostwhisperer
49,quoi,2532.5660445654376,ghostwhisperer
50,comme,2408.2080199554885,ghostwhisperer
51,pourquoi,2363.5439188387886,ghostwhisperer
52,parler,2305.015484014947,ghostwhisperer
53,penser,2304.029287893937,ghostwhisperer
54,croire,2168.895605319513,ghostwhisperer
55,votre,2094.3800460954017,ghostwhisperer
56,la,2081.051024840871,ghostwhisperer
57,alors,2036.5553957332068,ghostwhisperer
58,fantome,1929.4785198615775,ghostwhisperer
59,vraiment,1897.1645691031572,ghostwhisperer
60,melinda,1881.0354561627869,ghostwhisperer
61,passer,1879.1927629279526,ghostwhisperer
62,toi,1845.0409730847175,ghostwhisperer
63,au,1810.4908277280856,ghostwhisperer
64,ici,1757.3935979967737,ghostwhisperer
65,quand,1757.250764182468,ghostwhisperer
66,plus,1749.3357429295734,ghostwhisperer
67,rien,1626.4180373913537,ghostwhisperer
68,juste,1625.7004378228978,ghostwhisperer
69,autre,1597.3492728445372,ghostwhisperer
70,jamais,1542.989000895141,ghostwhisperer
71,trouver,1476.3354821255873,ghostwhisperer
72,venir,1459.2245727850093,ghostwhisperer
73,meme,1425.8105231135464,ghostwhisperer
74,mort,1358.2293232548957,ghostwhisperer
75,aimer,1353.4190114019202,ghostwhisperer
76,parce,1343.331416285881,ghostwhisperer
77,arriver,1336.134286454622,ghostwhisperer
78,toujours,1302.3508658110159,ghostwhisperer
79,aussi,1290.8714144468365,ghostwhisperer
80,aider,1247.499262683509,ghostwhisperer
81,peu,1245.0264703578518,ghostwhisperer
82,maintenant,1229.4404338683212,ghostwhisperer
83,pere,1166.37560462288,ghostwhisperer
84,tres,1156.3301485651887,ghostwhisperer
85,bon,1151.2766202407195,ghostwhisperer
86,essayer,1133.4337625929852,ghostwhisperer
87,comment,1132.957218172202,ghostwhisperer
88,ton,1120.5177300070084,ghostwhisperer
89,mourir,1092.7450069135448,ghostwhisperer
90,sai,1077.5790668537911,ghostwhisperer
91,personne,1054.256285383665,ghostwhisperer
92,fait,1005.3024221257929,ghostwhisperer
93,besoin,1002.3801824520878,ghostwhisperer
94,temps,999.384320862067,ghostwhisperer
95,prendre,973.4529286977786,ghostwhisperer
96,appeler,945.9357780209714,ghostwhisperer
97,merci,925.9796529112135,ghostwhisperer
98,par,914.3682006199574,ghostwhisperer
99,encore,907.8754274545603,ghostwhisperer
100,mere,893.2846065771714,ghostwhisperer
101,petit,875.8472156369312,ghostwhisperer
102,seul,869.2144458320406,ghostwhisperer
103,entendre,867.517803183405,ghostwhisperer
104,laisser,862.4893824213478,ghostwhisperer
105,deux,862.4510976682277,ghostwhisperer
106,ouai,849.7812175446458,ghostwhisperer
107,vie,849.7018099444239,ghostwhisperer
108,maison,844.3226225043423,ghostwhisperer
109,avant,825.7274245095653,ghostwhisperer
110,fille,812.8325809678146,ghostwhisperer
111,partir,805.3263434304594,ghostwhisperer
112,fois,800.7746300306053,ghostwhisperer
113,grandview,796.5695795918435,ghostwhisperer
114,vrai,793.557482461747,ghostwhisperer
115,oh,759.0179680797703,ghostwhisperer
116,apres,744.1209104950722,ghostwhisperer
117,sentir,741.5460831271544,ghostwhisperer
118,veux,724.5536326249986,ghostwhisperer
119,jour,723.5975313855712,ghostwhisperer
120,esprit,719.5868597088104,ghostwhisperer
121,jim,716.9730812863362,ghostwhisperer
122,connaitre,711.1754556807605,ghostwhisperer
123,depuis,704.3843204191876,ghostwhisperer
124,ok,703.5307387449567,ghostwhisperer
125,desoler,689.1817811295648,ghostwhisperer
126,gens,682.4250970008436,ghostwhisperer
127,quel,681.2469787209757,ghostwhisperer
128,ca,665.7276076054221,ghostwhisperer
129,as,657.0,ghostwhisperer
130,accord,653.767628656554,ghostwhisperer
131,donc,647.6145753071085,ghostwhisperer
132,trop,646.9002014448079,ghostwhisperer
133,femme,646.1946907411717,ghostwhisperer
134,demander,641.8849922285162,ghostwhisperer
135,beaucoup,622.4375329933345,ghostwhisperer
136,maman,616.0615302641023,ghostwhisperer
137,comprendre,614.8582557136314,ghostwhisperer
138,ned,612.1762201798904,ghostwhisperer
139,peur,610.7992764524408,ghostwhisperer
140,delia,610.7844380847318,ghostwhisperer
141,enfant,605.1402483668136,ghostwhisperer
142,celui,588.4430484356175,ghostwhisperer
143,monde,585.080516730271,ghostwhisperer
144,mal,584.3597543034866,ghostwhisperer
145,famille,583.3992508775979,ghostwhisperer
146,perdre,581.7179850249247,ghostwhisperer
147,falloir,581.0748350700253,ghostwhisperer
148,arreter,581.0748350700253,ghostwhisperer
149,regarder,579.3856640378449,ghostwhisperer
150,revenir,577.6964930056646,ghostwhisperer
151,nuit,571.3147034261483,ghostwhisperer
152,rester,564.9053264981927,ghostwhisperer
153,notre,563.2065681243866,ghostwhisperer
154,sortir,558.1802630875,ghostwhisperer
155,entrer,555.7372695873206,ghostwhisperer
156,raison,549.2403964750471,ghostwhisperer
157,ami,548.6891809662582,ghostwhisperer
158,est,541.537675691104,ghostwhisperer
159,donner,520.0771895825667,ghostwhisperer
160,nouveau,515.7924191952598,ghostwhisperer
161,deja,501.0554491105502,ghostwhisperer
162,souvenir,500.83889079141187,ghostwhisperer
163,attendre,499.99462552537057,ghostwhisperer
164,fils,493.2379413966493,ghostwhisperer
165,aucun,491.548770364469,ghostwhisperer
166,chez,491.5391680326235,ghostwhisperer
167,eli,485.426077675684,ghostwhisperer
168,vivre,481.94573046110395,ghostwhisperer
169,sans,481.7734891975382,ghostwhisperer
170,mettre,481.4137441713872,ghostwhisperer
171,lumiere,476.8366347483921,ghostwhisperer
172,eh,468.5322345068517,ghostwhisperer
173,dernier,457.7653497208629,ghostwhisperer
174,nom,456.4218491109922,ghostwhisperer
175,ecoute,456.0761786886826,ghostwhisperer
176,mieux,454.7198659922405,ghostwhisperer
177,fai,454.7198659922405,ghostwhisperer
178,mari,451.824122307285,ghostwhisperer
179,seulement,449.31949455996136,ghostwhisperer
180,heure,444.72602278361984,ghostwhisperer
181,soir,439.7291011793095,ghostwhisperer
182,truc,437.1291216950301,ghostwhisperer
183,tuer,437.1291216950301,ghostwhisperer
184,homme,434.7321795749992,ghostwhisperer
185,rendre,432.08532413701056,ghostwhisperer
186,ecoutez,431.07335726468864,ghostwhisperer
187,cote,428.39620485431465,ghostwhisperer
188,plaire,424.58767200816004,ghostwhisperer
189,tellement,424.58767200816004,ghostwhisperer
190,probleme,424.4271331011076,ghostwhisperer
191,aide,423.85568244126176,ghostwhisperer
192,moins,417.2252449485356,ghostwhisperer
193,dieu,409.02010311980786,ghostwhisperer
194,gordon,403.86560036126383,ghostwhisperer
195,bas,402.6623702870743,ghostwhisperer
196,travailler,401.82253878889304,ghostwhisperer
197,grand,400.20926087491745,ghostwhisperer
198,aiden,396.24553596800763,ghostwhisperer
199,chercher,395.2660215301916,ghostwhisperer
200,salut,395.1355230819543,ghostwhisperer
201,commencer,390.0536778201807,ghostwhisperer
202,cheri,388.68433086837143,ghostwhisperer
203,allez,381.20904727997606,ghostwhisperer
204,gars,375.0677636043157,ghostwhisperer
205,an,372.0,ghostwhisperer
206,reste,368.1972217354292,ghostwhisperer
207,voiture,361.50069782369076,ghostwhisperer
208,tard,361.35794221111667,ghostwhisperer
209,premier,360.79203827708676,ghostwhisperer
210,assez,359.7934298544052,ghostwhisperer
211,histoire,356.41508779004454,ghostwhisperer
212,bonjour,355.8726631336653,ghostwhisperer
213,amie,347.8549601994564,ghostwhisperer
214,frere,345.0069041020164,ghostwhisperer
215,laisse,344.6594997980045,ghostwhisperer
216,moment,344.36926329545133,ghostwhisperer
217,rappeler,341.2969680926581,ghostwhisperer
218,annee,339.7906690931028,ghostwhisperer
219,revoir,337.70447751767045,ghostwhisperer
220,importer,337.074793159708,ghostwhisperer
221,jouer,336.1450354038809,ghostwhisperer
222,ensuite,334.33642276040814,ghostwhisperer
223,affaire,332.76669333952026,ghostwhisperer
224,jusque,332.76669333952026,ghostwhisperer
225,cas,325.9108187006428,ghostwhisperer
226,genre,324.17097603760305,ghostwhisperer
227,endroit,324.1535875494312,ghostwhisperer
228,rencontrer,322.2773895965552,ghostwhisperer
229,oublier,320.75930914577225,ghostwhisperer
230,hopital,318.4649004637276,ghostwhisperer
231,retrouver,317.5641540498975,ghostwhisperer
232,verite,315.8749830177172,ghostwhisperer
233,meilleur,315.8749830177172,ghostwhisperer
234,dont,315.00451284847827,ghostwhisperer
235,pendant,314.9518730695692,ghostwhisperer
236,rentrer,312.7154485972138,ghostwhisperer
237,devenir,310.8074699211763,ghostwhisperer
238,ville,309.39644515663156,ghostwhisperer
239,sembler,309.118298888996,ghostwhisperer
240,esperer,309.118298888996,ghostwhisperer
241,ur,304.5934942103506,ghostwhisperer
242,attend,302.8532425811703,ghostwhisperer
243,tomber,302.3616147602748,ghostwhisperer
244,celer,302.09077792564796,ghostwhisperer
245,dites,300.39363872381847,ghostwhisperer
246,travail,299.8152962586201,ghostwhisperer
247,facon,297.86923618776564,ghostwhisperer
248,porte,296.76740947304006,ghostwhisperer
249,heureux,296.699818993654,ghostwhisperer
250,enfin,295.60493063155354,ghostwhisperer
251,mauvais,290.53741753501265,ghostwhisperer
252,finir,288.8482465028323,ghostwhisperer
253,he,286.18040155131047,ghostwhisperer
254,tete,283.84396594006876,ghostwhisperer
255,papa,282.5327796006568,ghostwhisperer
256,corps,281.1035263129395,ghostwhisperer
257,changer,280.6160297710675,ghostwhisperer
258,attendez,278.71322030975045,ghostwhisperer
259,voila,274.43226892680104,ghostwhisperer
260,garder,273.55655063157326,ghostwhisperer
261,envoyer,272.3650681330572,ghostwhisperer
262,livre,271.54227229271726,ghostwhisperer
263,idee,271.094473384371,ghostwhisperer
264,minute,270.1440114347765,ghostwhisperer
265,plait,270.0956739217039,ghostwhisperer
266,simplement,269.84513309088777,ghostwhisperer
267,bebe,268.9495746750968,ghostwhisperer
268,apprendre,268.57819411666867,ghostwhisperer
269,andrea,264.1270928615613,ghostwhisperer
270,expliquer,261.8215099879474,ghostwhisperer
271,pense,259.83992342413745,ghostwhisperer
272,desole,258.1742828893673,ghostwhisperer
273,partie,257.897600496183,ghostwhisperer
