,mots,poids,serie
0,etre,29086.861692278526,gossipgirl
1,je,22863.556468351053,gossipgirl
2,le,20454.39462419303,gossipgirl
3,avoir,17081.553626480305,gossipgirl
4,que,15562.391530583229,gossipgirl
5,ce,15058.46668985833,gossipgirl
6,de,14969.003950951865,gossipgirl
7,pas,10757.883262550356,gossipgirl
8,ne,10198.9221733604,gossipgirl
9,tu,9305.353496035688,gossipgirl
10,un,9139.91406652282,gossipgirl
11,et,6773.7883606622845,gossipgirl
12,il,5922.945112233794,gossipgirl
13,cela,5464.46828910329,gossipgirl
14,te,5349.404986270326,gossipgirl
15,aller,4815.145402056024,gossipgirl
16,pouvoir,4658.787677757417,gossipgirl
17,faire,4442.528516621178,gossipgirl
18,me,4294.585697700061,gossipgirl
19,taire,4211.570960946347,gossipgirl
20,mon,4205.480208357377,gossipgirl
21,lui,4026.1376415528075,gossipgirl
22,mais,3911.110079913757,gossipgirl
23,en,3843.0077001388286,gossipgirl
24,dire,3794.503577690516,gossipgirl
25,pour,3749.4679614477864,gossipgirl
26,tout,3532.081830764362,gossipgirl
27,vous,3473.5344640554804,gossipgirl
28,avec,3239.7078194789997,gossipgirl
29,devoir,3180.7090535955163,gossipgirl
30,savoir,3134.320670672388,gossipgirl
31,moi,2961.1008088590206,gossipgirl
32,vouloir,2753.348782453899,gossipgirl
33,bien,2750.827632640401,gossipgirl
34,se,2677.047048398629,gossipgirl
35,si,2670.834015943463,gossipgirl
36,on,2603.0,gossipgirl
37,qui,2577.893134712161,gossipgirl
38,serena,2555.7620997737777,gossipgirl
39,blair,2424.864261294539,gossipgirl
40,toi,2385.3283209722877,gossipgirl
41,sur,2247.8539101734045,gossipgirl
42,voir,2206.9737085703982,gossipgirl
43,nous,2199.122173469021,gossipgirl
44,dans,2198.905351033359,gossipgirl
45,ton,1977.1211044435038,gossipgirl
46,quelque,1922.7626538187794,gossipgirl
47,penser,1893.560727074123,gossipgirl
48,non,1791.9917425837536,gossipgirl
49,quoi,1725.2699275317248,gossipgirl
50,chose,1723.0302634991829,gossipgirl
51,ou,1682.0354947381406,gossipgirl
52,au,1650.6269570816,gossipgirl
53,comme,1611.8939013568738,gossipgirl
54,parler,1528.2706600799322,gossipgirl
55,plus,1527.1142849174482,gossipgirl
56,luire,1501.6730476082919,gossipgirl
57,vraiment,1495.7452002235605,gossipgirl
58,son,1440.7285505217862,gossipgirl
59,alors,1404.0016245030079,gossipgirl
60,nate,1368.3202194954374,gossipgirl
61,juste,1359.5887590126022,gossipgirl
62,venir,1335.391294819309,gossipgirl
63,passer,1322.3340683190575,gossipgirl
64,pourquoi,1287.5401333772963,gossipgirl
65,oui,1254.1116278724398,gossipgirl
66,quand,1239.2365578689632,gossipgirl
67,chuck,1229.0053383041038,gossipgirl
68,ici,1211.9384152223033,gossipgirl
69,aimer,1192.0174895452938,gossipgirl
70,meme,1165.8290171788515,gossipgirl
71,rien,1100.857876480998,gossipgirl
72,bon,1046.0094292696351,gossipgirl
73,merci,1032.381041599769,gossipgirl
74,veux,1011.0438046054578,gossipgirl
75,humphrey,1006.9174872022666,gossipgirl
76,croire,994.9217379542002,gossipgirl
77,peu,983.972533024754,gossipgirl
78,dan,981.016175956577,gossipgirl
79,autre,979.3966344448257,gossipgirl
80,la,954.1360330708806,gossipgirl
81,jamais,953.8477460079055,gossipgirl
82,as,926.0,gossipgirl
83,ouai,918.3119608950204,gossipgirl
84,jenny,907.1520268038051,gossipgirl
85,maintenant,899.3893106821946,gossipgirl
86,prendre,897.795965327485,gossipgirl
87,pere,891.9342858880848,gossipgirl
88,soir,881.1238428933891,gossipgirl
89,aussi,869.4643591499984,gossipgirl
90,toujours,864.8555684763166,gossipgirl
91,besoin,846.7518736573563,gossipgirl
92,fille,839.4828295241364,gossipgirl
93,notre,820.9451670965636,gossipgirl
94,fait,813.1122531899795,gossipgirl
95,sai,796.6857430245253,gossipgirl
96,appeler,795.5995561569241,gossipgirl
97,seul,793.557482461747,gossipgirl
98,waldorf,777.279121903305,gossipgirl
99,votre,757.2621186274355,gossipgirl
100,parce,754.8883678502635,gossipgirl
101,temps,741.2100379726998,gossipgirl
102,oh,736.9301436118405,gossipgirl
103,desoler,733.1002279662528,gossipgirl
104,mere,729.5802125868385,gossipgirl
105,fai,724.5536326249986,gossipgirl
106,lily,713.7609593844815,gossipgirl
107,woodsen,705.4892845602776,gossipgirl
108,gossip,696.7490553072221,gossipgirl
109,petit,693.7090062368461,gossipgirl
110,vanessa,691.3962663431861,gossipgirl
111,fois,688.0361728006236,gossipgirl
112,trouver,682.4250970008436,gossipgirl
113,bass,680.9112991382893,gossipgirl
114,arriver,672.2900708077618,gossipgirl
115,nouveau,653.7751045850745,gossipgirl
116,personne,635.9006165806233,gossipgirl
117,partir,630.4746947524472,gossipgirl
118,ami,614.9102890139101,gossipgirl
119,laisser,600.2119094043298,gossipgirl
120,sortir,598.5306435516566,gossipgirl
121,avant,588.6373719276108,gossipgirl
122,encore,581.290290900338,gossipgirl
123,comment,578.3627757102848,gossipgirl
124,dorota,565.3417280702337,gossipgirl
125,par,564.676790561432,gossipgirl
126,donc,557.2497508456514,gossipgirl
127,monde,554.8177313821536,gossipgirl
128,vie,554.7513615284638,gossipgirl
129,essayer,552.35892752296,gossipgirl
130,tres,551.6007330317724,gossipgirl
131,apres,543.7174864765317,gossipgirl
132,famille,536.3238070027485,gossipgirl
133,entrer,508.4404806862721,gossipgirl
134,dernier,508.4404806862721,gossipgirl
135,demander,506.7513096540918,gossipgirl
136,eh,506.3355688313654,gossipgirl
137,depuis,501.68379655755086,gossipgirl
138,deux,495.08161730863526,gossipgirl
139,georgina,491.10244412711063,gossipgirl
140,connaitre,489.2483631278991,gossipgirl
141,fete,471.80469810859626,gossipgirl
142,ok,470.83278188031875,gossipgirl
143,rufus,467.40725215350585,gossipgirl
144,dieu,464.8702376823519,gossipgirl
145,attendre,456.0761786886826,gossipgirl
146,sans,447.5936132747399,gossipgirl
147,amie,443.34455711695426,gossipgirl
148,meilleur,442.56281043124017,gossipgirl
149,mieux,439.7291011793095,gossipgirl
150,vrai,438.81038754770333,gossipgirl
151,quel,436.39782010976927,gossipgirl
152,heure,431.40089850545894,gossipgirl
153,raison,429.3472125837389,gossipgirl
154,finir,425.6711001094371,gossipgirl
155,esperer,425.6711001094371,gossipgirl
156,tripp,420.21681409175346,gossipgirl
157,chez,419.9241899086651,gossipgirl
158,bart,412.96494945497193,gossipgirl
159,trop,412.5639039826581,gossipgirl
160,maman,412.40482604456435,gossipgirl
161,moins,405.40104772327345,gossipgirl
162,jour,398.68497390875285,gossipgirl
163,annee,396.4224472752866,gossipgirl
164,beaucoup,394.36881861409745,gossipgirl
165,salut,393.5227250285586,gossipgirl
166,mettre,391.88767946583096,gossipgirl
167,rufu,390.2978785567683,gossipgirl
168,premier,390.08711830813223,gossipgirl
169,eleanor,389.0440959611187,gossipgirl
170,archibald,388.5038418446719,gossipgirl
171,donner,385.6024022450183,gossipgirl
172,accord,385.5812175203515,gossipgirl
173,papa,384.8070889583606,gossipgirl
174,girl,383.9318766014465,gossipgirl
175,probleme,379.66333390685014,gossipgirl
176,entendre,374.35102201160066,gossipgirl
177,deja,372.97666857948263,gossipgirl
178,mec,371.8292891900819,gossipgirl
179,soiree,370.7822269221024,gossipgirl
180,ecoute,368.2392850153067,gossipgirl
181,falloir,368.2392850153067,gossipgirl
182,der,367.0973649133621,gossipgirl
183,perdre,366.51595588275603,gossipgirl
184,sembler,361.4826008865855,gossipgirl
185,ecole,358.0731340057076,gossipgirl
186,aider,353.0658290613705,gossipgirl
187,gens,351.34757469350365,gossipgirl
188,est,347.24553250421934,gossipgirl
189,celui,341.2969680926581,gossipgirl
190,truc,339.61570223998496,gossipgirl
191,rester,339.61570223998496,gossipgirl
192,rencontrer,337.62393195829594,gossipgirl
193,revenir,326.01000921079907,gossipgirl
194,tard,317.21013931654585,gossipgirl
195,laisse,316.0779803025602,gossipgirl
196,plait,313.24705377901756,gossipgirl
197,comprendre,309.118298888996,gossipgirl
