,mots,poids,serie
0,etre,25455.29612824735,greek
1,le,21027.211699799478,greek
2,je,18394.342755401776,greek
3,avoir,15200.473104552224,greek
4,de,14576.265571626776,greek
5,ce,13104.776352046234,greek
6,que,10227.276084603918,greek
7,un,9424.00936885164,greek
8,pas,9164.908037626661,greek
9,tu,6342.742802051276,greek
10,et,5914.793459853661,greek
11,te,5742.879055371144,greek
12,cela,5380.009737494274,greek
13,il,4244.000041049411,greek
14,pouvoir,4182.9894414509035,greek
15,faire,4181.679832749547,greek
16,ne,4112.340736395125,greek
17,on,4111.0,greek
18,aller,3929.1182976972514,greek
19,en,3683.08278645971,greek
20,pour,3484.124330438339,greek
21,me,3321.661839377073,greek
22,mon,3298.8071871657526,greek
23,mais,3110.7420685312404,greek
24,avec,3004.2639372494214,greek
25,lui,2989.624850112652,greek
26,devoir,2885.1041229639627,greek
27,vous,2792.5040026416295,greek
28,tout,2658.655250275478,greek
29,dire,2612.5854492852095,greek
30,qui,2505.365254469495,greek
31,vouloir,2329.3668533766418,greek
32,moi,2237.342903245406,greek
33,cappie,2235.858347991034,greek
34,si,2205.6004165028694,greek
35,se,2171.4516197683542,greek
36,dans,2171.2359276672837,greek
37,savoir,2157.041828348483,greek
38,taire,2064.5944670826807,greek
39,toi,1940.1960582350657,greek
40,zbz,1899.394227662286,greek
41,sur,1828.915205471748,greek
42,voir,1817.213823434192,greek
43,quoi,1798.512518794864,greek
44,bien,1797.0080513226967,greek
45,nous,1716.4659987686982,greek
46,comme,1645.6088136362505,greek
47,plus,1556.603388350337,greek
48,ton,1482.8408283326278,greek
49,au,1437.4751295529525,greek
50,ou,1421.053545513945,greek
51,penser,1292.215839617934,greek
52,parler,1264.3119212102408,greek
53,pourquoi,1235.9052767994228,greek
54,vraiment,1180.9391391520091,greek
55,casey,1165.9496962208773,greek
56,notre,1164.5966323927994,greek
57,bon,1148.6116280642364,greek
58,non,1147.1791798700608,greek
59,quelque,1122.8666150673637,greek
60,peu,1116.1729243665152,greek
61,son,1064.2315425457098,greek
62,quand,1062.6786611833313,greek
63,luire,1006.7459351794623,greek
64,frannie,990.1258954175618,greek
65,aimer,976.815460403125,greek
66,croire,972.9625145358563,greek
67,alors,965.5648835974201,greek
68,chose,959.3603406186586,greek
69,juste,951.5508515034819,greek
70,evan,950.7539980570189,greek
71,fille,946.0838237494235,greek
72,autre,934.4243400060327,greek
73,meme,899.3070960005166,greek
74,passer,880.4609448683415,greek
75,aussi,874.4612807543086,greek
76,veux,869.4643591499984,greek
77,maison,862.3917836863419,greek
78,bizut,855.0982133186245,greek
79,kt,849.1881769133221,greek
80,venir,814.9568428283251,greek
81,rien,797.458793053253,greek
82,rusty,796.4961178558449,greek
83,merci,793.6968453524687,greek
84,toujours,783.7753589316619,greek
85,la,774.7540568418684,greek
86,prendre,773.3822922296687,greek
87,ici,764.3004232797289,greek
88,mec,743.6585783801638,greek
89,kappa,743.5728226777716,greek
90,fraternite,731.4029004069032,greek
91,oui,693.8291992635775,greek
92,donc,692.7969875378369,greek
93,besoin,689.4501421874127,greek
94,trop,688.1565918430737,greek
95,ashleigh,686.3855531360407,greek
96,votre,665.2736617008923,greek
97,jamais,656.8017351403917,greek
98,as,656.0,greek
99,trouver,652.0200184215981,greek
100,temps,651.2654490951137,greek
101,fete,648.3071750988624,greek
102,tau,639.774287897469,greek
103,omega,625.0253120991587,greek
104,fait,624.207386287257,greek
105,soir,616.2869978649413,greek
106,tres,612.5424570777756,greek
107,maintenant,610.594577894334,greek
108,par,604.1361325524718,greek
109,parce,583.3992508775979,greek
110,deux,583.3764280388377,greek
111,petit,570.1717859480926,greek
112,spitter,568.0432163884475,greek
113,sai,566.7146007081675,greek
114,cartwright,542.5889906888239,greek
115,apres,542.0748354599863,greek
116,monde,541.3676045607681,greek
117,fai,538.0018927307461,greek
118,ami,529.7688643812148,greek
119,comment,529.6942838207697,greek
120,encore,520.3485668543349,greek
121,avant,513.4225966257495,greek
122,nouveau,512.5071171621689,greek
123,dernier,511.8188227506327,greek
124,frere,510.15238900392944,greek
125,vrai,509.4235533599774,greek
126,rebecca,506.7527459352699,greek
127,heure,503.02344150057377,greek
128,arriver,501.68379655755086,greek
129,annee,493.0295982919531,greek
130,sortir,492.6108948332455,greek
131,genial,482.0009304315877,greek
132,sororite,480.4333481593076,greek
133,dal,480.4195990085246,greek
134,appeler,462.83286281740385,greek
135,sans,458.986905249006,greek
136,probleme,454.2696658972792,greek
137,ouai,450.58963752871335,greek
138,premier,450.2191246876467,greek
139,essayer,445.94115249560076,greek
140,meilleur,445.94115249560076,greek
141,entrer,440.87363939905987,greek
142,seul,440.4916534003765,greek
143,fois,439.3483994991934,greek
144,cours,436.1647748701771,greek
145,depuis,435.8061263025189,greek
146,dobler,426.5501619749872,greek
147,mettre,422.2927580450765,greek
148,truc,416.9539314629518,greek
149,mieux,409.7475715534475,greek
150,falloir,408.77938978763405,greek
151,personne,398.27459670049564,greek
152,chi,397.33452818279403,greek
153,aider,396.7787412308735,greek
154,mal,396.25450357782603,greek
155,partir,395.0974753782003,greek
156,desole,393.0911662057464,greek
157,ur,392.08311488779174,greek
158,allez,382.8593028959067,greek
159,quel,379.7660419275855,greek
160,dieu,377.80973380544503,greek
161,finir,374.9959691440279,greek
162,laisser,374.92228514612196,greek
163,zeta,372.89545955228976,greek
164,ok,368.61966064071146,greek
165,soiree,365.98762916017864,greek
166,beaucoup,364.2764188001703,greek
167,vie,359.13655636140214,greek
168,chez,358.0748906197919,greek
169,psi,355.0184546367504,greek
170,connaitre,346.3407656506777,greek
171,celui,337.93443638731173,greek
172,gagner,336.1450354038809,greek
173,super,325.5438711226709,greek
174,semaine,324.64399899116034,greek
175,rester,324.4843095659262,greek
176,raison,322.4154539779775,greek
177,commencer,321.1217778605798,greek
178,grand,317.007861903553,greek
179,deja,316.67830351088145,greek
180,jouer,315.8749830177172,greek
181,regarder,314.18581198553693,greek
182,moins,312.4966409533566,greek
183,sentir,309.118298888996,greek
184,desolee,305.22567586128775,greek
185,jour,302.93779513539096,greek
186,salut,301.5932359850019,greek
187,idee,297.86923618776564,greek
188,beaver,297.840215926874,greek
189,ensembl,296.699818993654,greek
190,perdre,294.22152421780874,greek
191,demander,293.91575959937325,greek
192,donner,293.2522470854971,greek
193,attendre,290.53741753501265,greek
194,nuit,289.82145304999943,greek
195,entendre,286.4599124958335,greek
196,laisse,284.1339291017696,greek
197,tant,283.7807334062914,greek
198,oublier,283.42224670552366,greek
199,gars,283.42224670552366,greek
200,chambers,271.60151138649667,greek
201,chambre,264.7537154853993,greek
202,voila,260.71065548046096,greek
203,chis,256.4543962442823,greek
204,adorer,254.57088027442242,greek
205,rendre,252.1898779009789,greek
206,aucun,248.30814173050499,greek
207,calvin,245.25881069606262,greek
208,histoire,244.92979966614436,greek
209,devenir,244.92979966614436,greek
210,reste,243.78354863761294,greek
211,droit,242.10228278493975,greek
212,comprendre,241.55145760178374,greek
213,pense,239.8522370068961,greek
214,contre,237.5994882561276,greek
215,esperer,236.48394450524285,greek
216,amphore,236.4012945885471,greek
217,attend,236.29209036552848,greek
218,argent,235.9525972049155,greek
219,pret,235.42442539202062,greek
220,rencontrer,235.3136495466911,greek
221,president,234.96862673568373,greek
222,copain,234.9040288187696,greek
223,demain,234.79477347306252,greek
224,assez,234.79477347306252,greek
225,rencard,233.3714649720098,greek
226,arreter,233.10560244088222,greek
227,gay,230.11906320716125,greek
228,pendant,229.74750161113502,greek
229,apprendre,228.0380893443413,greek
230,choisir,225.7195138433212,greek
231,semestre,222.76031006557187,greek
232,gamma,222.45756644257852,greek
233,prochain,221.28140521562008,greek
234,biere,220.72107193641673,greek
235,bizarre,220.03853478712355,greek
236,desoler,219.59223418343979,greek
237,air,217.43782493581463,greek
238,soeur,216.90041869421447,greek
239,amuser,216.90041869421447,greek
240,ecoute,216.21389211907916,greek
241,ash,215.0825206868544,greek
242,an,215.0,greek
243,aspirant,214.46978969290154,greek
244,recrue,214.3012545636983,greek
245,payer,213.52076328949548,greek
246,fou,213.21732123269427,greek
247,homme,211.53634791580419,greek
248,accord,211.5130563300616,greek
249,changer,211.23294548701233,greek
250,occuper,207.76803695817765,greek
251,sou,206.28195199132904,greek
252,dur,206.07886592599732,greek
253,copine,205.76426643478814,greek
254,amie,204.62056482320966,greek
255,jordan,203.9926921981944,greek
256,max,202.98956752806205,greek
257,revenir,202.70052386163673,greek
258,chance,202.0,greek
259,importer,199.98695862107076,greek
260,gens,199.3221817972761,greek
261,embrasser,199.2505274897451,greek
262,trois,198.76077300199498,greek
263,bal,198.3627718461916,greek
264,greek,197.70351828755767,greek
265,car,197.66958261730198,greek
266,serieux,197.6330107650958,greek
267,pere,197.46387567503567,greek
268,lizzi,194.0814322660529,greek
269,nom,193.53576640748784,greek
270,porte,192.31854468643937,greek
271,campus,191.78391047694953,greek
272,tard,191.30714587647353,greek
273,chercher,190.87632663637459,greek
274,genre,189.35220562944102,greek
275,katherine,188.8980928897212,greek
276,arrete,187.49798457201396,greek
277,accepter,181.59389459575468,greek
278,cru,181.01636832822746,greek
279,relation,180.87790859876083,greek
280,rentrer,176.53291453068525,greek
281,boire,175.63265147325495,greek
282,preferer,173.9274800997282,greek
283,aide,173.32929969247473,greek
284,week,172.67052284799524,greek
285,voiture,172.14318943985273,greek
286,chaque,171.48911697266567,greek
287,wade,170.51326838869116,greek
288,femme,169.4677252679053,greek
289,marche,169.34379560655185,greek
290,donne,169.19305470417754,greek
291,logan,169.14459310455783,greek
292,fisher,168.99340911109988,greek
293,coucher,168.9171032180306,greek
294,tellement,168.81196597914797,greek
295,moment,168.6706595732823,greek
296,bas,168.3260728249245,greek
297,aujourd,168.22969401178128,greek
298,gros,168.12658526731929,greek
299,travailler,168.12658526731929,greek
300,hui,167.44976735629635,greek
301,peur,167.34226752121666,greek
302,tomber,165.53876115366998,greek
303,tenir,165.53876115366998,greek
304,oc,165.12602554324812,greek
305,prend,164.7640535619729,greek
306,hier,164.62250257745984,greek
307,plutot,164.62250257745984,greek
308,cote,163.99542217079232,greek
309,jusque,163.84959012148968,greek
310,enfin,162.16041908930936,greek
311,jeu,161.40152185662652,greek
312,propos,160.47124805712906,greek
313,manger,159.81992539745792,greek
314,partie,158.35817574327027,greek
315,compte,157.09290599276846,greek
316,amour,156.05184657181425,greek
