,mots,poids,serie
0,be,76577.36701047423,greysanatomy
1,you,41192.486900491225,greysanatomy
2,not,24961.190643693582,greysanatomy
3,to,24947.466522422026,greysanatomy
4,the,19732.447714466703,greysanatomy
5,do,18408.48109857694,greysanatomy
6,it,18327.150317852087,greysanatomy
7,and,13840.54700560931,greysanatomy
8,that,13704.637673577694,greysanatomy
9,have,13434.1069637105,greysanatomy
10,we,11564.70476632243,greysanatomy
11,she,11042.095974526479,greysanatomy
12,what,9728.202353162962,greysanatomy
13,go,9323.29199091573,greysanatomy
14,get,8853.47893505242,greysanatomy
15,he,8358.549037309547,greysanatomy
16,know,8306.107190863151,greysanatomy
17,this,8070.039620464008,greysanatomy
18,in,7766.577111028474,greysanatomy
19,of,7465.790442428544,greysanatomy
20,can,7265.594319837057,greysanatomy
21,my,7211.7760499199585,greysanatomy
22,just,6771.05060915284,greysanatomy
23,your,6757.239023119697,greysanatomy
24,with,6081.630886535639,greysanatomy
25,for,5940.186059557552,greysanatomy
26,no,5876.227233369328,greysanatomy
27,so,5639.583126445761,greysanatomy
28,want,5311.170419141544,greysanatomy
29,will,5163.436885677787,greysanatomy
30,on,4821.0,greysanatomy
31,think,4815.958807943123,greysanatomy
32,they,4732.29032309099,greysanatomy
33,okay,4672.6571457214595,greysanatomy
34,right,4583.193755437639,greysanatomy
35,if,4477.485464542731,greysanatomy
36,like,4418.533343782856,greysanatomy
37,here,4391.068143375734,greysanatomy
38,there,4276.975992741615,greysanatomy
39,need,4275.296333073454,greysanatomy
40,well,4233.105908733914,greysanatomy
41,about,4034.6400012450003,greysanatomy
42,but,3999.7441693029587,greysanatomy
43,all,3973.9552240497515,greysanatomy
44,good,3865.538923325914,greysanatomy
45,would,3743.069297741083,greysanatomy
46,say,3509.523026837847,greysanatomy
47,tell,3487.6450238429975,greysanatomy
48,how,3316.4726519947744,greysanatomy
49,out,3256.3787894768966,greysanatomy
50,now,3249.1092918314716,greysanatomy
51,see,3234.1356721508528,greysanatomy
52,surgery,3204.2094921789067,greysanatomy
53,at,3128.1233581140677,greysanatomy
54,yeah,3102.3206806748553,greysanatomy
55,up,3045.6621592732945,greysanatomy
56,uh,3040.6478259785285,greysanatomy
57,dr,3016.7016112191386,greysanatomy
58,take,3000.495140602872,greysanatomy
59,his,2988.0981631666414,greysanatomy
60,make,2979.119677878447,greysanatomy
61,ve,2944.789282736311,greysanatomy
62,come,2937.367197454265,greysanatomy
